timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.225593016923,[-0.86858112 -0.92402089],[-3.22024536 -0.61926532],-4.73954,"[ 0.85901314  1.42170681  0.02139151 -0.61152399  0.3125257  -1.124542
  0.67107385 -0.35749733  1.118406    1.66472227  0.        ]","[[ 0.02016346  0.08146982  0.03550428 -0.13051852]
 [-0.00234192 -0.00026643  0.          0.        ]]",[-3.09012246 -0.43690856]
1,-0.21958386064,[-0.86858112 -0.92402089],[-2.54043913 -0.44391754],-4.64597,"[ 0.85903162  1.42327153 -0.04196354 -0.65004101  0.31252562 -1.12454137
  0.55586643 -0.66789456  1.12280737  1.52486012  0.        ]","[[-0.01956672  0.06412252  0.03550428 -0.13051852]
 [-3.95750806 -1.72870886  0.          0.        ]]",[-3.18128644 -0.97517781]
2,-0.199660551181,[-0.86858112 -0.92402089],[-1.32877481  0.16005507],-4.4256,"[ 0.84430624  1.42577252 -0.22951699 -0.81236657  0.31252553 -1.12454073
  0.44296169 -1.35489939  1.10371101  1.07762664  0.        ]","[[-0.13760704 -0.0088349   0.03550428 -0.13051852]
 [-7.83362245 -5.55428713  0.          0.        ]]",[-1.4632154  -0.20980694]
3,-0.165081408719,[-0.86858112 -0.92402089],[ 0.16944763  0.52902114],-3.85633,"[ 0.77229956  1.41580341 -0.53116427 -1.0749796   0.31252545 -1.1245401
  0.33225346 -1.48406854  0.96229714  0.37136594  0.        ]","[[ -0.3324129   -0.1271375    0.03550428  -0.13051852]
 [-11.63432902  -6.27356979   0.           0.        ]]",[ 0.27373297  0.65117379]
4,-0.128047180436,[-0.86858112 -0.92402089],[ 1.25846851  0.34307379],-3.36945,"[ 0.6232486   1.39439974 -0.84694327 -1.29047356  0.31252536 -1.12453946
  0.37046521 -0.99880625  0.67908186 -0.28732249  0.        ]","[[ -0.55193744  -0.22549719   0.03550428  -0.13051852]
 [-10.32248295  -3.57139763   0.           0.        ]]",[ 1.43941338  0.95234321]
5,-0.104943878347,[-0.86858112 -0.92402089],[ 1.4128511 -0.1849843],-3.23195,"[ 0.46821842  1.38461686 -1.05830005 -1.36157888  0.31252527 -1.12453883
  0.49159833 -0.30919646  0.42592296 -0.65847433  0.        ]","[[-0.71666279 -0.25839632  0.03550428 -0.13051852]
 [-6.16387433  0.26868245  0.          0.        ]]",[ 1.00483413  0.14434811]
6,-0.096431849087,[-0.86858112 -0.92402089],[ 1.21271849 -0.32515851],-3.26302,"[ 0.37823139  1.38804354 -1.15367522 -1.33778254  0.31252519 -1.12453819
  0.61037297 -0.20778521  0.30806087 -0.7972049   0.        ]","[[-0.79902809 -0.24735677  0.03550428 -0.13051852]
 [-2.0862329   0.83338888  0.          0.        ]]",[ 1.06128855 -0.50982451]
7,-0.0960059814813,[-0.86858112 -0.92402089],[ 0.80516112 -0.19780889],-3.28731,"[ 0.37639326  1.38688927 -1.15546568 -1.34590956  0.3125251  -1.12453756
  0.72682691 -0.57354317  0.30205007 -0.80276319  0.        ]","[[-0.80063989 -0.2511241   0.03550428 -0.13051852]
 [ 1.91173844 -1.2033283   0.          0.        ]]",[ 0.4052996   0.10894787]
8,-0.100598173039,[-0.86858112 -0.92402089],[ 0.35726303 -0.3978695 ],-3.21169,"[ 0.43631261  1.38064483 -1.09393735 -1.3878627   0.31252502 -1.12453692
  0.77242286 -0.49190047  0.36934579 -0.7235447   0.        ]","[[-0.74669944 -0.2706293   0.03550428 -0.13051852]
 [ 3.47709612 -0.74870341  0.          0.        ]]",[ 0.51526759 -1.15623318]
9,-0.106999726725,[-0.86858112 -0.92402089],[-0.0814032   0.11575112],-3.21411,"[ 0.52798836  1.36077156 -0.98521637 -1.50396378  0.31252493 -1.12453629
  0.82983769 -1.20043893  0.45540736 -0.60207682  0.        ]","[[-0.65738078 -0.3251898   0.03550428 -0.13051852]
 [ 5.44820732 -4.69418881  0.          0.        ]]",[-0.71376163  0.28346596]
10,-0.110234176543,[-0.86858112 -0.92402089],[ 0.04519805  0.04395628],-3.1791,"[ 0.60120894  1.32450099 -0.8818195  -1.67370853  0.31252485 -1.12453565
  0.74443807 -0.98198331  0.49766239 -0.51518282  0.        ]","[[-0.57783247 -0.40686829  0.03550428 -0.13051852]
 [ 2.51637689 -3.47772587  0.          0.        ]]",[ 0.03095604  0.14595422]
11,-0.111337815943,[-0.86858112 -0.92402089],[-0.13828579 -0.05632976],-3.13932,"[ 0.6437914   1.2912823  -0.81251355 -1.80080933  0.31252476 -1.12453502
  0.7465485  -0.86583709  0.51271649 -0.46568724  0.        ]","[[-0.52677791 -0.4699337   0.03550428 -0.13051852]
 [ 2.58883978 -2.83097016  0.          0.        ]]",[-0.35851797 -0.14434635]
12,-0.110658987379,[-0.86858112 -0.92402089],[ 0.00253475  0.1250608 ],-3.18233,"[ 0.67244487  1.25447011 -0.76092156 -1.92144769  0.31252468 -1.12453438
  0.70374858 -0.95831545  0.50792014 -0.44126558  0.        ]","[[-0.48974344 -0.53171987  0.03550428 -0.13051852]
 [ 1.11949211 -3.34593654  0.          0.        ]]",[ 0.78104705  0.45363456]
13,-0.113131715072,[-0.86858112 -0.92402089],[-0.684946   -0.32900313],-3.11518,"[ 0.71020428  1.22288097 -0.68508097 -2.01267002  0.31252459 -1.12453375
  0.79308896 -0.62404473  0.53505013 -0.37241093  0.        ]","[[-0.43658023 -0.57996292  0.03550428 -0.13051852]
 [ 4.18663177 -1.48455832  0.          0.        ]]",[-0.94568001  0.08875504]
14,-0.116649539916,[-0.86858112 -0.92402089],[-0.38130468 -0.25229207],-3.0954,"[ 0.73920846  1.20495085 -0.61885246 -2.0604052   0.3125245  -1.12453311
  0.68169578 -0.55541157  0.56993665 -0.29988309  0.        ]","[[-0.39121696 -0.6058194   0.03550428 -0.13051852]
 [ 0.36242153 -1.10237708  0.          0.        ]]",[-1.09106055 -0.53876701]
15,-0.108443247919,[-0.86858112 -0.92402089],[ 0.49597204  0.38803691],-3.15099,"[ 0.71872556  1.17346498 -0.66645032 -2.13828737  0.31252442 -1.12453248
  0.56626947 -0.93434507  0.48901698 -0.39882574  0.        ]","[[-0.42372694 -0.64903809  0.03550428 -0.13051852]
 [-3.60025122 -3.21246199  0.          0.        ]]",[ 0.39752367  0.78904791]
16,-0.0984851070227,[-0.86858112 -0.92402089],[ 0.47383696 -0.10602576],-3.08479,"[ 0.68021478  1.14874845 -0.74611162 -2.19480646  0.31252433 -1.12453184
  0.61412129 -0.36195049  0.38266167 -0.52508646  0.        ]","[[-0.47924951 -0.68130744  0.03550428 -0.13051852]
 [-1.95745229 -0.02509664  0.          0.        ]]",[ 1.21330896 -0.42329108]
17,-0.0970009483039,[-0.86858112 -0.92402089],[ 0.04951347  0.04251391],-3.09496,"[ 0.68090272  1.13506081 -0.7447815  -2.22455398  0.31252425 -1.12453121
  0.730505   -0.66309384  0.36719191 -0.53359564  0.        ]","[[-0.47830997 -0.69863443  0.03550428 -0.13051852]
 [ 2.03810345 -1.70200731  0.          0.        ]]",[ 0.3627271   0.26732168]
18,-0.101637501724,[-0.86858112 -0.92402089],[-0.45226741 -0.25481477],-3.05465,"[ 0.71883546  1.11638106 -0.66620336 -2.263521    0.31252416 -1.12453057
  0.77112088 -0.46703748  0.42065298 -0.44724571  0.        ]","[[-0.42355764 -0.72172091  0.03550428 -0.13051852]
 [ 3.43248927 -0.6102732   0.          0.        ]]",[-0.83979259 -0.2827477 ]
19,-0.103810426297,[-0.86858112 -0.92402089],[-0.07366679  0.07649884],-3.09793,"[ 0.74059536  1.09702043 -0.61546441 -2.30206263  0.31252408 -1.12452994
  0.67237511 -0.66571714  0.44464468 -0.3965787   0.        ]","[[-0.38892078 -0.74502657  0.03550428 -0.13051852]
 [ 0.04247725 -1.71661704  0.          0.        ]]",[ 0.75089851  0.02675242]
20,-0.104544962662,[-0.86858112 -0.92402089],[-0.6223644  -0.08162788],-3.04656,"[ 0.75837828  1.06881553 -0.56996219 -2.35513253  0.31252399 -1.1245293
  0.75888432 -0.64076406  0.45313075 -0.35907545  0.        ]","[[-0.35827304 -0.77796489  0.03550428 -0.13051852]
 [ 3.01241662 -1.57766773  0.          0.        ]]",[-0.81091495 -0.76916821]
21,-0.101989874293,[-0.86858112 -0.92402089],[-0.08094903  0.64212501],-3.11195,"[ 0.77312956  1.01334667 -0.52872955 -2.45006948  0.31252391 -1.12452867
  0.6637234  -1.18189838  0.42901226 -0.3445888   0.        ]","[[-0.33080256 -0.83975149  0.03550428 -0.13051852]
 [-0.25452418 -4.59096302  0.          0.        ]]",[-0.17797856  1.02507998]
22,-0.095290411142,[-0.86858112 -0.92402089],[-0.00820027  0.07873327],-3.04675,"[ 0.766761    0.96499845 -0.54696861 -2.52392933  0.31252382 -1.12452803
  0.64332088 -0.45446398  0.36292976 -0.39455563  0.        ]","[[-0.34292083 -0.89092876  0.03550428 -0.13051852]
 [-0.95495077 -0.54026522  0.          0.        ]]",[ 0.17437162  0.23315388]
23,-0.0936212273286,[-0.86858112 -0.92402089],[-0.08189297 -0.09477594],-3.02627,"[ 0.76024324  0.9636099  -0.56493765 -2.52593479  0.31252374 -1.1245274
  0.66395835 -0.28679256  0.34562424 -0.41651379  0.        ]","[[-0.35491119 -0.89236622  0.03550428 -0.13051852]
 [-0.24644245  0.3934079   0.          0.        ]]",[-0.10011928 -0.0834545 ]
24,-0.0929525400267,[-0.86858112 -0.92402089],[ 0.02576479 -0.01475778],-3.00234,"[ 0.75529305  0.96792616 -0.57815439 -2.51965961  0.31252365 -1.12452677
  0.65256473 -0.34751165  0.33827701 -0.42991389  0.        ]","[[-0.3637645  -0.88789046  0.03550428 -0.13051852]
 [-0.637586    0.05529489  0.          0.        ]]",[ 0.03552469 -0.83272665]
