timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.93796057 -0.91772169],"[[-0.07212387 -0.06959297 -0.06666103  0.10478075]
 [-0.00067052 -0.00484062  0.          0.        ]]",[ 1.53747593  2.59820457],"[ 0.97131042  1.36662743  0.40631268 -1.58261028 -0.5847718   0.90017725
  0.44162734 -0.37789848  2.16131451 -1.54122567  0.        ]",-4.56636,-0.303399772561,[ 1.42481339  2.71635437]
1,[-0.93796057 -0.91772169],"[[-0.03246206 -0.0299764  -0.06666103  0.10478075]
 [ 3.9536881   3.95331133  0.          0.        ]]",[ 0.0194687   1.68908199],"[ 0.97428262  1.36923422  0.47630905 -1.4785213  -0.58477148  0.90017659
  0.62600882  0.4104265   2.17328719 -1.3681025   0.        ]",-4.70073,-0.299323313925,[ 0.58153307  1.91657221]
2,[-0.93796057 -0.91772169],"[[ 0.0465847   0.08803239 -0.06666103  0.10478075]
 [ 3.95101054  7.83463075  0.          0.        ]]",[-0.12995699  1.35781477],"[ 0.97348155  1.36470343  0.6159736  -1.16837439 -0.58477117  0.90017593
  0.62588362  1.18344844  2.16413976 -0.96323056  0.        ]",-4.72447,-0.28847659685,[ 0.02056807  1.4582907 ]
3,[-0.93796057 -0.91772169],"[[  0.11964899   0.28289879  -0.06666103   0.10478075]
 [  3.35743881  11.6393265    0.           0.        ]]",[-0.27447719  1.28360131],"[ 0.96478324  1.31723132  0.74463029 -0.66530961 -0.58477085  0.90017528
  0.59820652  1.94120691  2.07224629 -0.47503272  0.        ]",-4.58942,-0.271746948748,[-0.41974896  0.87337995]
4,[-0.93796057 -0.91772169],"[[  0.17522683   0.55310533  -0.06666103   0.10478075]
 [  2.20426847  15.36889189   0.           0.        ]]",[-0.31001835  0.34162101],"[ 0.95307456  1.17254122  0.84177809 -0.01763034 -0.58477053  0.90017462
  0.54443675  2.68399607  1.85429955  0.01331941  0.        ]",-4.32753,-0.24762526729,[-0.56288362  0.167512  ]
5,[-0.93796057 -0.91772169],"[[  0.20657322   0.87100646  -0.06666103   0.10478075]
 [  0.93463926  16.41771585   0.           0.        ]]",[-0.05075912  0.24279088],"[ 0.94454412  0.89886254  0.89616944  0.61282709 -0.58477022  0.90017396
  0.48523682  2.8928734   1.51963863  0.38002952  0.        ]",-3.87558,-0.216982871907,[-0.23447782 -0.42407328]
6,[-0.93796057 -0.91772169],"[[  0.22307458   1.20574574  -0.06666103   0.10478075]
 [  0.71627371  17.05408947   0.           0.        ]]",[ 0.52930269 -1.26964121],"[ 0.93949852  0.51904212  0.92466206  1.05776759 -0.5847699   0.9001733
  0.47505473  3.01960358  1.11651985  0.56668377  0.        ]",-3.16345,-0.181652854263,[ 0.05090147 -1.07106984]
7,[-0.93796057 -0.91772169],"[[  0.25829479   1.50370724  -0.06666103   0.10478075]
 [  2.79876136  12.75640178   0.           0.        ]]",[-0.05548951 -0.94693661],"[ 0.92745809  0.13538818  0.985111    1.22520238 -0.58476959  0.90017265
  0.57215577  2.16365812  0.70855942  0.60124886  0.        ]",-2.55633,-0.14531210142,[ 0.01983356 -1.11095226]
8,[-0.93796057 -0.91772169],"[[ 0.31152615  1.71868176 -0.06666103  0.10478075]
 [ 2.52516533  8.75438657  0.          0.        ]]",[ 0.82767512 -0.55225072],"[ 0.90600218 -0.1482736   1.07538627  1.20240403 -0.58476927  0.90017199
  0.55939835  1.36660426  0.38743385  0.54240008  0.        ]",-2.26257,-0.115685958366,[ 0.12037284 -0.92469275]
9,[-0.93796057 -0.91772169],"[[ 0.3944042   1.87008607 -0.06666103  0.10478075]
 [ 5.75190346  6.39391198  0.          0.        ]]",[-0.76626881 -1.52199914],"[ 0.86492523 -0.3434292   1.21279188  1.11416958 -0.58476895  0.90017133
  0.70985296  0.8964852   0.12044808  0.45682406  0.        ]",-2.112,-0.0905057499611,[-0.50790405 -1.10180366]
