timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
16,"[ 0.65359396  1.12438829  1.66622969  0.41857224  0.49311397  1.70427905
  0.57011284 -0.39411585 -0.41365706 -0.13463202  0.        ]","[[ 0.69484953  0.74105015  0.05740094  0.19657717]
 [ 2.06628665 -0.06663899  0.          0.        ]]",[ 0.30337734 -0.60819566],-1.76994,-0.0415309785203,[-0.74666893 -0.8275848 ],[-0.37349612 -0.08184361]
17,"[ 0.60354367  1.14674812  1.73633621  0.3687551   0.49311365  1.70427556
  0.62395739 -0.850137   -0.48107903 -0.07995799  0.        ]","[[ 0.74781564  0.71556425  0.05740094  0.19657717]
 [ 3.22645367 -2.47392964  0.          0.        ]]",[-0.89507866  0.83340969],-1.88661,-0.0337157090788,[-0.74666893 -0.8275848 ],[-0.62528169  0.34179187]
18,"[ 0.57553834  1.16034162  1.77248604  0.33717702  0.49311333  1.70427206
  0.45659084 -0.21550701 -0.51556166 -0.05237421  0.        ]","[[ 0.7761631   0.69969872  0.05740094  0.19657717]
 [-0.3796889   0.87621272  0.          0.        ]]",[-0.71198526 -0.681254  ],-1.75265,-0.0297360201764,[-0.74666893 -0.8275848 ],[-0.27127784 -0.28027409]
19,"[ 0.6107384   1.16853138  1.72670046  0.31765056  0.49311301  1.70426857
  0.32624974 -0.72961011 -0.43853171 -0.09246278  0.        ]","[[ 0.74039197  0.68999363  0.05740094  0.19657717]
 [-3.18806662 -1.83768358  0.          0.        ]]",[ 0.39985033  1.50253271],-2.05219,-0.037682738044,[-0.74666893 -0.8275848 ],[ 0.1813359   0.55765438]
20,"[ 0.65517377  1.16572727  1.66387401  0.32437484  0.49311268  1.70426507
  0.40253275  0.02725323 -0.35677604 -0.14719481  0.        ]","[[ 0.69312169  0.69332703  0.05740094  0.19657717]
 [-1.5444376   2.15771306  0.          0.        ]]",[-0.57201291 -0.88774289],-1.71544,-0.0466688770782,[-0.74666893 -0.8275848 ],[ 0.07469104 -0.30538636]
21,"[ 0.70230199  1.1594086   1.5900572   0.33936616  0.49311236  1.70426157
  0.29897475 -0.64657876 -0.27151819 -0.21293615  0.        ]","[[ 0.63984565  0.70079198  0.05740094  0.19657717]
 [-3.7757345  -1.39937104  0.          0.        ]]",[ 1.50238427  0.80846927],-2.04632,-0.056404850266,[-0.74666893 -0.8275848 ],[ 0.50779206  0.69866991]
22,"[ 0.73156429  1.15566127  1.53980458  0.34814907  0.49311204  1.70425808
  0.48600758 -0.03517329 -0.21626064 -0.25919791  0.        ]","[[ 0.60476401  0.70518739  0.05740094  0.19657717]
 [ 0.25415171  1.82816702  0.          0.        ]]",[-0.19774988 -0.47129748],-1.78305,-0.0628689248163,[-0.74666893 -0.8275848 ],[ 0.09284951 -0.13518113]
23,"[ 0.73384589  1.14057234  1.53572189  0.38275047  0.49311172  1.70425458
  0.44949318 -0.39549083 -0.23086831 -0.25698095  0.        ]","[[ 0.60195343  0.72266661  0.05740094  0.19657717]
 [-0.53259489 -0.0739075   0.          0.        ]]",[ 0.3278657   0.11076676],-1.85557,-0.0615858824451,[-0.74666893 -0.8275848 ],[ 0.21146122  0.30947241]
24,"[ 0.73184267  1.13800987  1.53930067  0.38850412  0.49311139  1.70425109
  0.5101772  -0.31221211 -0.23827443 -0.2526354   0.        ]","[[ 0.60442033  0.72559927  0.05740094  0.19657717]
 [ 0.77493193  0.36570975  0.          0.        ]]",[ 0.24383302 -0.3023841 ],-1.8116,-0.0607987455332,[-0.74666893 -0.8275848 ],[ 0.03086212  0.13468568]
25,"[ 0.71112156  1.14217394  1.57528527  0.37912821  0.49311107  1.70424759
  0.55425617 -0.54045691 -0.27580569 -0.22051672  0.        ]","[[ 0.62944812  0.72082453  0.05740094  0.19657717]
 [ 1.72468085 -0.83916809  0.          0.        ]]",[ 0.30866476 -0.16430913],-1.81344,-0.0563762964918,[-0.74666893 -0.8275848 ],[-0.14776725  0.3137624 ]
26,"[ 0.67079453  1.16204529  1.64027209  0.33311887  0.49311075  1.70424409
  0.609358   -0.66063287 -0.3309988  -0.16742361  0.        ]","[[ 0.67585383  0.69767608  0.05740094  0.19657717]
 [ 2.91193312 -1.47356445  0.          0.        ]]",[ 0.12674888 -0.13293026],-1.79977,-0.0496271966328,[-0.74666893 -0.8275848 ],[-0.40783578  0.33474326]
27,"[ 0.61251291  1.19062276  1.72427291  0.26296159  0.49311043  1.7042406
  0.62996415 -0.75484802 -0.4049322  -0.10030352  0.        ]","[[ 0.73854726  0.6632147   0.05740094  0.19657717]
 [ 3.35593018 -1.97091747  0.          0.        ]]",[-0.09183826  0.45746266],-1.86434,-0.0407685391418,[-0.74666893 -0.8275848 ],[-0.60230678  0.34643489]
28,"[ 0.54996339  1.20731667  1.80374135  0.21957605  0.49311011  1.7042371
  0.60998971 -0.40429829 -0.49761671 -0.03497277  0.        ]","[[ 0.80134782  0.64236307  0.05740094  0.19657717]
 [ 2.92556366 -0.12041198  0.          0.        ]]",[-0.33936421  0.09300794],-1.84371,-0.030437727209,[-0.74666893 -0.8275848 ],[-0.71044677 -0.15970027]
29,"[ 0.50329409  1.2062754   1.85699766  0.22233317  0.49310978  1.7042336
  0.54498531 -0.33399393 -0.58341259  0.00966362  0.        ]","[[ 0.84580647  0.64367845  0.05740094  0.19657717]
 [ 1.52496633  0.25071449  0.          0.        ]]",[-0.93836336  0.40147914],-1.9017,-0.0215549006922,[-0.74666893 -0.8275848 ],[-0.64979076 -0.27132499]
30,"[ 0.51082838  1.18948819  1.84871164  0.26583087  0.49310946  1.70423011
  0.37126203 -0.03354865 -0.59374855  0.005185    0.        ]","[[ 0.83875028  0.66460577  0.05740094  0.19657717]
 [-2.21812481  1.83672479  0.          0.        ]]",[-0.0802308  -0.31543573],-1.84424,-0.0209469331899,[-0.74666893 -0.8275848 ],[-0.19723128 -0.47469348]
31,"[ 0.55988649  1.16981247  1.79177191  0.31451726  0.49310914  1.70422661
  0.35858629 -0.27702533 -0.53170447 -0.03803538  0.        ]","[[ 0.79164759  0.68844463  0.05740094  0.19657717]
 [-2.49123555  0.55144382  0.          0.        ]]",[ 0.04682073 -0.16516701],-1.83473,-0.0278081806678,[-0.74666893 -0.8275848 ],[-0.0449577  -0.11608386]
32,"[ 0.60706962  1.16615262  1.73157449  0.32331335  0.49310882  1.70422312
  0.36948063 -0.40300029 -0.44860522 -0.08771642  0.        ]","[[ 0.74417807  0.69280128  0.05740094  0.19657717]
 [-2.25649806 -0.11356177  0.          0.        ]]",[-0.12312247 -0.79334649],-1.72576,-0.0366613593733,[-0.74666893 -0.8275848 ],[ 0.05156104  0.12177339]
33,"[ 0.65379683  1.19399591  1.66586026  0.25432175  0.4931085   1.70421962
  0.34899569 -0.99762465 -0.32114562 -0.15478091  0.        ]","[[ 0.69461959  0.65903601  0.05740094  0.19657717]
 [-2.69786805 -3.25250515  0.          0.        ]]",[ 1.33320458  1.85428543],-2.16909,-0.0499232813702,[-0.74666893 -0.8275848 ],[ 0.27296364  1.00720477]
34,"[ 0.66627966  1.21360504  1.64713898  0.20271115  0.49310817  1.70421613
  0.53502361 -0.23560508 -0.26939368 -0.18064665  0.        ]","[[ 0.68087799  0.63434585  0.05740094  0.19657717]
 [ 1.31034798  0.77008765  0.          0.        ]]",[-0.32764988 -0.8433478 ],-1.71523,-0.0552722856703,[-0.74666893 -0.8275848 ],[-0.20242287  0.01115286]
35,"[ 0.65451796  1.22768431  1.66478513  0.16395041  0.49310785  1.70421263
  0.47371302 -0.87098809 -0.27214737 -0.16987458  0.        ]","[[ 0.69383088  0.61609483  0.05740094  0.19657717]
 [-0.01065958 -2.58401192  0.          0.        ]]",[ 0.15256685  1.30640672],-1.96895,-0.0546235720976,[-0.74666893 -0.8275848 ],[-0.01998841  0.81688017]
36,"[ 0.64916274  1.23632726  1.67266522  0.13939407  0.49310753  1.70420913
  0.50167099 -0.11125237 -0.26979965 -0.16629113  0.        ]","[[ 0.69966169  0.60465359  0.05740094  0.19657717]
 [ 0.59173689  1.42652266  0.          0.        ]]",[ 0.28580935  0.12144806],-1.84847,-0.054685675105,[-0.74666893 -0.8275848 ],[-0.16059889 -0.08903277]
37,"[ 0.62762151  1.21095689  1.70345963  0.20982391  0.49310721  1.70420564
  0.5535995  -0.02558041 -0.34766137 -0.12593574  0.        ]","[[ 0.72272236  0.6377216   0.05740094  0.19657717]
 [ 1.7106097   1.87877222  0.          0.        ]]",[-0.21637783 -0.26839506],-1.78656,-0.0465663855766,[-0.74666893 -0.8275848 ],[-0.38264233 -0.36825955]
38,"[ 0.60334432  1.18975358  1.7365148   0.26512545  0.49310689  1.70420214
  0.51231645 -0.23388863 -0.42342169 -0.08915026  0.        ]","[[ 0.74801013  0.66426412  0.05740094  0.19657717]
 [ 0.82112262  0.77914374  0.          0.        ]]",[-0.89366067  0.43134209],-1.84296,-0.0387839563151,[-0.74666893 -0.8275848 ],[-0.33363783 -0.1833972 ]
39,"[ 0.62185698  1.16273262  1.71145434  0.33144022  0.49310656  1.70419865
  0.34744414  0.08696044 -0.42507492 -0.10423752  0.        ]","[[ 0.72879063  0.69684068  0.05740094  0.19657717]
 [-2.73124987  2.47285718  0.          0.        ]]",[ 0.41003198  0.54978497],-1.93584,-0.0392789397929,[-0.74666893 -0.8275848 ],[ 0.12129252 -0.40921992]
40,"[ 0.6571233   1.10034808  1.66089493  0.4693252   0.49310624  1.70419515
  0.42520863  0.48996418 -0.43679914 -0.13450746  0.        ]","[[ 0.69097659  0.7676426   0.05740094  0.19657717]
 [-1.05571319  4.60025286  0.          0.        ]]",[ 0.12256877 -0.4702619 ],-1.80476,-0.0397075602398,[-0.74666893 -0.8275848 ],[ 0.07370132 -0.79270768]
41,"[ 0.67160233  1.03163623  1.63896746  0.60090445  0.49310592  1.70419165
  0.44871437  0.11994298 -0.49042903 -0.1436091   0.        ]","[[ 0.67494392  0.84004971  0.05740094  0.19657717]
 [-0.54924753  2.64696966  0.          0.        ]]",[-0.01081217 -0.91315494],-1.75303,-0.0361574596275,[-0.74666893 -0.8275848 ],[-0.03139836 -0.64696038]
42,"[ 0.68162911  1.01568144  1.62335046  0.62885725  0.4931056   1.70418816
  0.44728643 -0.57492765 -0.48869001 -0.1543999   0.        ]","[[ 0.6636504   0.85618573  0.05740094  0.19657717]
 [-0.58000826 -1.021143    0.          0.        ]]",[ 0.06845888 -0.28301817],-1.81334,-0.0368605445258,[-0.74666893 -0.8275848 ],[-0.00804256  0.09001674]
43,"[ 0.68931086  1.04657731  1.61113532  0.57387856  0.49310528  1.70418466
  0.4604062  -0.78340251 -0.43731629 -0.1670801   0.        ]","[[ 0.65488651  0.8247211   0.05740094  0.19657717]
 [-0.29732078 -2.12165143  0.          0.        ]]",[ 0.15990503  1.20309305],-1.99828,-0.0412552054963,[-0.74666893 -0.8275848 ],[ -1.51991844e-05   4.09484088e-01]
44,"[ 0.68892027  1.04878657  1.61175768  0.56980932  0.49310495  1.70418117
  0.48998239 -0.02539685 -0.4354828  -0.16687194  0.        ]","[[ 0.6553339   0.8224353   0.05740094  0.19657717]
 [ 0.33994025  1.87973651  0.          0.        ]]",[-0.1416601  -0.86450212],-1.7452,-0.0413816782247,[-0.74666893 -0.8275848 ],[-0.1068233  -0.50264651]
45,"[ 0.68794304  1.04600123  1.6133181   0.5749309   0.49310463  1.70417767
  0.46370868 -0.68086437 -0.44077794 -0.16524235  0.        ]","[[ 0.65645298  0.82531365  0.05740094  0.19657717]
 [-0.22615147 -1.58037041  0.          0.        ]]",[-0.0116165   0.20470442],-1.85263,-0.0409046283099,[-0.74666893 -0.8275848 ],[-0.01277219  0.28157309]
46,"[ 0.69224489  1.06819125  1.60640064  0.53326768  0.49310431  1.70417418
  0.46177073 -0.52138817 -0.4057348  -0.17419029  0.        ]","[[ 0.65151108  0.80215277  0.05740094  0.19657717]
 [-0.26790055 -0.73852411  0.          0.        ]]",[-0.53638456  0.34729025],-1.83084,-0.0439939195488,[-0.74666893 -0.8275848 ],[ 0.0135794   0.16061059]
47,"[ 0.71492342  1.06896664  1.56873424  0.53177387  0.49310399  1.70417068
  0.36350246 -0.25799201 -0.35828117 -0.20603476  0.        ]","[[ 0.62490958  0.8013329   0.05740094  0.19657717]
 [-2.38519942  0.65189877  0.          0.        ]]",[ 0.61739408 -0.22286322],-1.84015,-0.0491703540458,[-0.74666893 -0.8275848 ],[ 0.32442886  0.01042733]
48,"[ 0.73364292  1.06512654  1.53598508  0.53913218  0.49310366  1.70416719
  0.47907407 -0.42775643 -0.32362966 -0.23340872  0.        ]","[[ 0.6021898   0.80537937  0.05740094  0.19657717]
 [ 0.10493019 -0.24425975  0.          0.        ]]",[ 0.05057173  0.08090732],-1.83454,-0.053149180542,[-0.74666893 -0.8275848 ],[ 0.09182784  0.14531168]
49,"[ 0.73032173  1.06666693  1.54190748  0.53618395  0.49310334  1.70416369
  0.48825878 -0.36616454 -0.32881931 -0.22861603  0.        ]","[[ 0.60627401  0.80375632  0.05740094  0.19657717]
 [ 0.3028321   0.08087194  0.          0.        ]]",[ 0.0423218   0.14565137],-1.84207,-0.052520691549,[-0.74666893 -0.8275848 ],[ 0.05379364  0.05446503]
