timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.77648175 -0.84428537],"[[ 0.08370257 -0.01888836 -0.04399782 -0.13574612]
 [ 0.00127418 -0.00141471  0.          0.        ]]",[-3.30109851 -1.03900061],"[ 0.98377255  1.47563198  0.6874335  -1.42057683 -0.38536234 -1.16888659
  0.47553476 -0.3833301   1.86729032  2.09424509  0.        ]",-5.19375,-0.295111703485,[-2.68614173 -1.10633397]
1,[-0.77648175 -0.84428537],"[[ 0.04405273 -0.05862877 -0.04399782 -0.13574612]
 [-3.95309973 -3.95943987  0.          0.        ]]",[-2.34864556  0.45995662],"[ 0.98738464  1.47359095  0.61762023 -1.52499533 -0.38536211 -1.1688852
  0.2936349  -1.13520278  1.87218275  1.93181742  0.        ]",-5.03821,-0.28923401607,[-1.96028519  0.04432172]
2,[-0.77648175 -0.84428537],"[[-0.07392288 -0.11874276 -0.04399782 -0.13574612]
 [-7.83154705 -2.05829678  0.          0.        ]]",[-1.53111678  0.33783646],"[ 0.9848698   1.46654039  0.409602   -1.68243038 -0.38536189 -1.16888381
  0.11522766 -0.77405745  1.84937839  1.53148181  0.        ]",-4.59202,-0.273607667237,[-1.73972178  0.04785852]
3,[-0.77648175 -0.84428537],"[[ -0.2686958   -0.14606307  -0.04399782  -0.13574612]
 [-11.63308465  -0.67833015   0.           0.        ]]",[-1.06496653  0.14459619],"[ 0.93754222  1.46176295  0.0715005  -1.7536406  -0.38536167 -1.16888242
 -0.05964176 -0.51191603  1.73942903  0.9879964   0.        ]",-3.87197,-0.249660164161,[-1.35804653  0.31136876]
4,[-0.77648175 -0.84428537],"[[ -0.53874191  -0.1537349   -0.04399782  -0.13574612]
 [-15.35911837  -0.09080353   0.           0.        ]]",[-0.59715402  0.88343724],"[ 0.78655308  1.46024376 -0.36534586 -1.77358537 -0.38536145 -1.16888103
 -0.23103803 -0.40030808  1.46382411  0.33902516  0.        ]",-2.87028,-0.21496883193,[-0.29852909  1.19876456]
5,[-0.77648175 -0.84428537],"[[ -0.86659102  -0.12042624  -0.04399782  -0.13574612]
 [-17.41891981   3.41000064   0.           0.        ]]",[ 0.47149075  1.86920617],"[ 0.48543197  1.46626755 -0.80481663 -1.68681546 -0.38536122 -1.16887964
 -0.32578811  0.26471176  0.99600125 -0.25616836  0.        ]",-2.31487,-0.172413476996,[ 0.73288333  1.62015605]
6,[-0.77648175 -0.84428537],"[[ -1.19281348e+00  -1.31832312e-02  -4.39978158e-02  -1.35746121e-01]
 [ -1.52106834e+01   7.30130909e+00   0.00000000e+00   0.00000000e+00]]",[ 1.27964417  1.41539983],"[ 0.08801085  1.47573911 -1.09998102 -1.40555877 -0.385361   -1.16887825
 -0.22420972  1.00391207  0.48567445 -0.61112534  0.        ]",-2.24828,-0.134272975104,[ 1.40561128  1.33030105]
7,[-0.77648175 -0.84428537],"[[ -1.45433316   0.17110356  -0.04399782  -0.13574612]
 [-10.95545885  11.11465198   0.           0.        ]]",[ 0.87495353  0.27629579],"[-0.27295547  1.45651828 -1.21257775 -0.9231298  -0.38536078 -1.16887686
 -0.02847043  1.72829942  0.1401326  -0.72773538  0.        ]",-2.14023,-0.110930074259,[ 1.34000468  0.30179521]
8,[-0.77648175 -0.84428537],"[[ -1.63654461   0.40215035  -0.04399782  -0.13574612]
 [ -7.27790527  11.98713271   0.           0.        ]]",[ 1.68360762 -0.54345881],"[-0.53263924  1.37022403 -1.22071658 -0.34162598 -0.38536056 -1.16887547
  0.14069613  1.8940332   0.00457638 -0.7125158   0.        ]",-2.02986,-0.100217145949,[ 1.08206737 -0.32624191]
9,[-0.77648175 -0.84428537],"[[-1.74095727  0.61790576 -0.04399782 -0.13574612]
 [-3.17697388  9.59640747  0.          0.        ]]",[ 0.59519279  0.11777314],"[-0.6805966   1.23103429 -1.19904442  0.15257983 -0.38536033 -1.16887407
  0.32933796  1.43988471  0.01442052 -0.63685567  0.        ]",-1.94552,-0.0970440890295,[ 0.56009305 -0.28067708]
