timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.50335085 -0.529576  ],"[[ 0.0220262  -0.09784066  0.09886014 -0.05270539]
 [ 0.00424545  0.00056096  0.          0.        ]]",[-1.20406631  0.45782842],"[ 1.02995782  1.8119767   0.45536548 -1.44999639  0.85343617 -0.47652201
  0.59995964 -0.39474917  0.45518366  0.56173589  0.        ]",-0.924525,-0.120191106745,[-1.11176336  0.47187769]
1,[-0.50335085 -0.529576  ],"[[-0.01758735 -0.0796256   0.09886014 -0.05270539]
 [-3.95242365  1.81489439  0.          0.        ]]",[-0.81668674  1.10331344],"[ 1.03008269  1.81414567  0.39055621 -1.4009453   0.85343458 -0.47652138
  0.41633152 -0.09060232  0.45346461  0.4957439   0.        ]",-0.950617,-0.117708959886,[-0.56419742  0.48356605]
2,[-0.50335085 -0.529576  ],"[[ -1.28281427e-01  -3.94802087e-03   9.88601372e-02  -5.27053875e-02]
 [ -7.10647683e+00   5.73977851e+00   0.00000000e+00   0.00000000e+00]]",[ 1.06419737  0.01710708],"[ 1.01841903  1.81840072  0.21001892 -1.19658955  0.85343299 -0.47652075
  0.2699526   0.56734762  0.44244352  0.34014823  0.        ]",-0.703786,-0.112271435885,[-0.04279701  0.12886739]
3,[-0.50335085 -0.529576  ],"[[-0.22931001  0.11037101  0.09886014 -0.05270539]
 [-3.01001913  5.69228813  0.          0.        ]]",[-0.67918202 -0.21685207],"[ 0.99243915  1.81019502  0.04742625 -0.88815362  0.85343139 -0.47652012
  0.46006749  0.55938574  0.42818389  0.25124813  0.        ]",-0.699589,-0.10906473173,[-0.48297504 -0.02786833]
4,[-0.50335085 -0.529576  ],"[[-0.31586656  0.21448108  0.09886014 -0.05270539]
 [-5.63690012  4.72194425  0.          0.        ]]",[-0.72512312  1.12433894],"[ 0.95874093  1.78748669 -0.08892088 -0.61054074  0.8534298  -0.47651948
  0.33815414  0.39672071  0.40948284  0.18416068  0.        ]",-0.777956,-0.106149921139,[ 0.03349997  0.35506564]
5,[-0.50335085 -0.529576  ],"[[-0.45628208  0.34771994  0.09886014 -0.05270539]
 [-8.39547656  8.58903336  0.          0.        ]]",[ 0.84087154 -0.73820755],"[ 0.88232265  1.73765672 -0.30157546 -0.26474729  0.85342821 -0.47651885
  0.21012889  1.04498214  0.36206515  0.03984792  0.        ]",-0.545955,-0.100315857441,[ 0.68202406  0.05562764]
6,[-0.50335085 -0.529576  ],"[[-0.58913904  0.48845318  0.09886014 -0.05270539]
 [-4.9018376   5.49462529  0.          0.        ]]",[-0.4026379   0.91499855],"[ 0.78645462  1.6606368  -0.48978348  0.08264315  0.85342661 -0.47651822
  0.37226773  0.52624692  0.30428442 -0.07157978  0.        ]",-0.643568,-0.0947515436874,[ 0.43037373  0.32594821]
7,[-0.50335085 -0.529576  ],"[[-0.70219806  0.6336099   0.09886014 -0.05270539]
 [-6.39908066  9.00931728  0.          0.        ]]",[ 1.04484035  0.27231257],"[ 0.68810245  1.55654252 -0.63744778  0.41460263  0.85342502 -0.47651759
  0.30278047  1.11543392  0.24684547 -0.12922594  0.        ]",-0.664751,-0.0893605118698,[ 0.8608622  -0.06143853]
8,[-0.50335085 -0.529576  ],"[[-0.78921833  0.82281045  0.09886014 -0.05270539]
 [-2.31645579  9.90778133  0.          0.        ]]",[ 1.20843488  0.00551816],"[ 0.60272666  1.3869361  -0.74200546  0.79577595  0.85342343 -0.47651696
  0.49225422  1.26604545  0.19641057 -0.07855876  0.        ]",-0.685996,-0.0828110233732,[ 0.40561387 -0.4576413 ]
9,[-0.50335085 -0.529576  ],"[[-0.79538761  1.01920477  0.09886014 -0.05270539]
 [ 1.68629406  9.73226364  0.          0.        ]]",[ 0.27996487 -1.0422771 ],"[ 0.5963725   1.1763397  -0.74909216  1.11647157  0.85342183 -0.47651633
  0.67802072  1.23661897  0.16883443  0.13383788  0.        ]",-0.606438,-0.078603394667,[-0.27091655 -0.84030122]
