timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 0.97410847  1.38793799  0.5891947  -1.18288946 -1.37403802 -1.5192441
  0.44430258 -0.37749072  3.14515251  2.72271239  0.        ]","[[ 0.03292564  0.07986451 -0.15895632 -0.17499374]
 [ 0.00074842 -0.00054938  0.          0.        ]]",[-3.24729083 -2.37054719],-8.41819,-0.414641080889,[-0.90404934 -0.8824594 ],[-3.81353283 -1.91276085]
1,"[ 0.97484939  1.39108451  0.51899376 -1.28720044 -1.37403633 -1.51924196
  0.25908838 -1.15604843  3.15260173  2.55369287  0.        ]","[[-0.00673465  0.04014121 -0.15895632 -0.17499374]
 [-3.95361268 -3.95859538  0.          0.        ]]",[-3.70766312 -0.71914178],-8.3918,-0.409591975233,[-0.90404934 -0.8824594 ],[-3.21727204 -1.16486371]
2,"[ 0.96379017  1.38919973  0.31072556 -1.56838668 -1.37403464 -1.51923982
  0.0775157  -1.70044549  3.12310812  2.06832952  0.        ]","[[-0.124702   -0.06679918 -0.15895632 -0.17499374]
 [-7.83022699 -6.72622177  0.          0.        ]]",[-2.60803392 -0.20240344],-7.79023,-0.392603597819,[-0.90404934 -0.8824594 ],[-2.56723809 -0.10106653]
3,"[ 0.90262562  1.36365343 -0.02502827 -1.936093   -1.37403295 -1.51923768
 -0.1005095  -1.83159212  2.93665207  1.35585255  0.        ]","[[ -0.31944151  -0.20801336  -0.15895632  -0.17499374]
 [-11.63110201  -7.39296432   0.           0.        ]]",[-1.59525142  0.89869439],-6.75832,-0.359929539174,[-0.90404934 -0.8824594 ],[-1.93140388  0.82254624]
4,"[ 0.73384479  1.32559289 -0.45322937 -2.21706872 -1.37403126 -1.51923554
 -0.27509749 -1.10252205  2.51229394  0.61474787  0.        ]","[[ -0.58946262  -0.31868481  -0.15895632  -0.17499374]
 [-15.35859194  -3.68650808   0.           0.        ]]",[-1.31138091  1.52594898],-5.34576,-0.311473461114,[-0.90404934 -0.8824594 ],[-1.48206246  0.99136996]
5,"[ 0.39670268  1.31112956 -0.89168488 -2.29966914 -1.37402957 -1.5192334
 -0.44623313 -0.3089502   1.85954678  0.03309665  0.        ]","[[ -0.9332943   -0.35193706  -0.15895632  -0.17499374]
 [-19.01237415   0.34786863   0.           0.        ]]",[-0.26980752  1.36147554],-3.55911,-0.249701759875,[-0.90404934 -0.8824594 ],[-0.62501514  1.22790086]
6,"[-0.09960739  1.331015   -1.18423255 -2.18357633 -1.37402788 -1.51923126
 -0.47867549  0.4687118   1.08234467 -0.24462535  0.        ]","[[ -1.32049174  -0.30531292  -0.15895632  -0.17499374]
 [-19.70502982   4.30136295   0.           0.        ]]",[ 1.1106892  0.8173613],-2.61447,-0.180486965702,[-0.90404934 -0.8824594 ],[ 0.53516054  1.26290512]
7,"[-0.59626727  1.36892934 -1.23051928 -1.88362591 -1.37402619 -1.51922912
 -0.2751794   1.08831193  0.43316582 -0.2213173   0.        ]","[[ -1.67100076  -0.18768077  -0.15895632  -0.17499374]
 [-15.3603562    7.45130215   0.           0.        ]]",[ 1.29764955  0.60265235],-2.36293,-0.121472602354,[-0.90404934 -0.8824594 ],[ 1.30655658  0.78261483]
8,"[-0.96278003  1.39196408 -1.12297855 -1.43539506 -1.3740245  -1.51922698
 -0.07569997  1.52836796  0.05075969 -0.09547408  0.        ]","[[ -1.93547664  -0.01620813  -0.15895632  -0.17499374]
 [-11.10143886   9.68847796   0.           0.        ]]",[ 1.94725945  0.14371908],-2.21773,-0.0849176473624,[-0.90404934 -0.8824594 ],[ 1.59955585  0.05085437]
9,"[ -1.19360279e+00   1.37046586e+00  -9.83094699e-01  -9.18310730e-01
  -1.37402281e+00  -1.51922483e+00   1.19862934e-01   1.60225042e+00
  -1.04894711e-01   6.66723371e-04   0.00000000e+00]","[[ -2.1156134    0.18133012  -0.15895632  -0.17499374]
 [ -6.92613989  10.0640955    0.           0.        ]]",[ 1.22708656 -0.94874822],-2.00253,-0.0693135564147,[-0.90404934 -0.8824594 ],[ 1.44232595 -0.42408296]
