timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.81297821 -0.85948485],"[[-0.06275329  0.06041376  0.15173563 -0.11905216]
 [-0.00445019  0.00498547  0.          0.        ]]",[-1.01627137 -0.78744389],"[ 0.98366313  1.42454114  0.43718337 -1.20083198  1.30469353 -1.03113921
  0.46618288 -0.37801065 -0.17900051  1.66760412  0.        ]",-2.83596,-0.126622921479,[-1.46395671 -0.37510633]
1,[-0.81297821 -0.85948485],"[[-0.10251977  0.02924446  0.15173563 -0.11905216]
 [-3.95903351 -3.11153437  0.          0.        ]]",[-0.56703864  0.34360645],"[ 0.97896119  1.42637698  0.36708868 -1.28234901  1.30469185 -1.0311382
  0.2850828  -0.97828819 -0.18556536  1.51427618  0.        ]",-2.80383,-0.115993353227,[-0.46174091  0.80130363]
2,[-0.81297821 -0.85948485],"[[-0.20342634 -0.01870897  0.15173563 -0.11905216]
 [-6.12441278 -1.6885528   0.          0.        ]]",[ 0.84121328  0.72320529],"[ 0.95694723  1.42670727  0.19076359 -1.40787944  1.30469016 -1.03113718
  0.18591923 -0.70420466 -0.22715355  1.173103    0.        ]",-2.60806,-0.091814114334,[ 0.16884118  0.78529757]
3,[-0.81297821 -0.85948485],"[[-0.29132232 -0.02342667  0.15173563 -0.11905216]
 [-2.67666032  1.20713682  0.          0.        ]]",[-0.89169875  0.29307056],"[ 0.92613075  1.42657443  0.04007388 -1.42022597  1.30468848 -1.03113617
  0.34380883 -0.14646049 -0.27833017  0.93380886  0.        ]",-2.43588,-0.0743841539502,[-0.37948474 -0.17201203]
4,[-0.81297821 -0.85948485],"[[-0.37972073  0.01213292  0.15173563 -0.11905216]
 [-6.15160985  2.34502444  0.          0.        ]]",[ 0.79533318  0.62360993],"[ 0.88445551  1.42683657 -0.10751892 -1.32713265  1.3046868  -1.03113515
  0.1846734   0.0727102  -0.3294832   0.75360141  0.        ]",-2.32246,-0.0609966691725,[ 0.55236268 -0.14808261]
5,[-0.81297821 -0.85948485],"[[-0.46997442  0.08332948  0.15173563 -0.11905216]
 [-2.88463269  4.76656622  0.          0.        ]]",[ 0.16174812 -1.04663739],"[ 0.83119098  1.42236558 -0.25291899 -1.14098452  1.30468512 -1.03113414
  0.33428454  0.53912791 -0.37685517  0.62086657  0.        ]",-1.99761,-0.0508598251399,[ 0.03408007 -0.98493582]
6,[-0.81297821 -0.85948485],"[[-0.520659    0.1379834   0.15173563 -0.11905216]
 [-2.18615645  0.71233766  0.          0.        ]]",[-0.47954743 -0.13388679],"[ 0.79668927  1.4144229  -0.33178724 -0.99878799  1.30468344 -1.03113312
  0.36627109 -0.24176537 -0.40050215  0.56804336  0.        ]",-2.09718,-0.046587591505,[ 0.06745083  0.10719688]
7,[-0.81297821 -0.85948485],"[[-0.58297974  0.14677677  0.15173563 -0.11905216]
 [-4.03974698  0.16880698  0.          0.        ]]",[ 0.98883396  0.46212316],"[ 0.74990264  1.41277903 -0.4256436  -0.97599835  1.30468176 -1.03113211
  0.28138564 -0.34645581 -0.45964541  0.42837857  0.        ]",-2.10715,-0.0360023021787,[ 0.67962861  0.5181303 ]
8,[-0.81297821 -0.85948485],"[[-0.62373257  0.16846299  0.15173563 -0.11905216]
 [-0.04881971  1.9937409   0.          0.        ]]",[-0.45891084 -0.68583721],"[ 0.71678516  1.40829799 -0.48499577 -0.91992613  1.30468008 -1.03113109
  0.46415024  0.00504882 -0.49358719  0.35984967  0.        ]",-1.9451,-0.0307813009309,[-0.08375681 -0.2489664 ]
9,[-0.81297821 -0.85948485],"[[-0.64290314  0.18070196  0.15173563 -0.11905216]
 [-1.8622037  -0.76066728  0.          0.        ]]",[-0.11737344  0.15848415],"[ 0.70053493  1.40549873 -0.51232811 -0.88837002  1.30467839 -1.03113008
  0.38110592 -0.52548387 -0.50907052  0.33085509  0.        ]",-2.04265,-0.0285851317195,[ 0.40400875  0.6744498 ]
