timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.46251243 -0.5108186 ],"[[-0.06044652 -0.0133722   0.07142757  0.0363316 ]
 [ 0.0018959  -0.00314892  0.          0.        ]]",[-0.22206442  0.97744089],"[ 1.03585561  1.89894823  0.29769687 -1.20308839  0.60960527  0.31897158
  0.61448382 -0.39895388  0.7107725  -0.49476038  0.        ]",-0.621711,-0.147029491052,[ 0.18841583  1.73798823]
1,[-0.46251243 -0.5108186 ],"[[-0.06923792  0.0254005   0.07142757  0.0363316 ]
 [-0.87810102  3.86751728  0.          0.        ]]",[-0.01026861  1.45049673],"[ 1.03503445  1.89861884  0.28345365 -1.09702986  0.60960428  0.31897117
  0.57314764  0.23930812  0.71195142 -0.4701015   0.        ]",-0.710861,-0.146347529001,[ 0.19421832  1.21144915]
2,[-0.46251243 -0.5108186 ],"[[-0.08704832  0.14171053  0.07142757  0.0363316 ]
 [-0.90284588  7.75054506  0.          0.        ]]",[-0.5741633   0.34664974],"[ 1.03303395  1.88533357  0.25462661 -0.78014645  0.60960329  0.31897075
  0.57198443  0.87960768  0.71024729 -0.37760936  0.        ]",-0.614107,-0.143438223079,[ 0.01408799  0.64186788]
3,[-0.46251243 -0.5108186 ],"[[-0.12771947  0.30896219  0.07142757  0.0363316 ]
 [-3.1567665   8.97054676  0.          0.        ]]",[ 0.34320789  0.96178255],"[ 1.0267677   1.83424902  0.1889812  -0.33470864  0.60960231  0.31897034
  0.46611226  1.08078014  0.69237075 -0.27772595  0.        ]",-0.665868,-0.139064918829,[ 0.20595744  0.60751283]
4,[-0.46251243 -0.5108186 ],"[[ -0.17661856   0.52479533   0.07142757   0.0363316 ]
 [ -1.73780655  12.60067613   0.           0.        ]]",[ 1.3743526   0.63736677],"[ 1.01611449  1.71489007  0.11051796  0.20409941  0.60960132  0.31896992
  0.53276311  1.6793717   0.64461495 -0.1462986   0.        ]",-0.67436,-0.131440952297,[ 0.14817071  0.12056825]
5,[-0.46251243 -0.5108186 ],"[[ -0.17133979   0.79961306   0.07142757   0.0363316 ]
 [  2.25257032  14.87354949   0.           0.        ]]",[ 0.45953756 -0.2883012 ],"[ 1.01742518  1.48439859  0.11895859  0.79511416  0.60960033  0.31896951
  0.72019873  2.05414929  0.52121978  0.1360653   0.        ]",-0.596882,-0.1166497047,[-0.35266674 -0.51977503]
6,[-0.46251243 -0.5108186 ],"[[ -0.10847902   1.08267024   0.07142757   0.0363316 ]
 [  4.02764687  13.43696508   0.           0.        ]]",[-1.77701865 -0.37609937],"[ 1.03001807  1.1723976   0.21999994  1.24955801  0.60959934  0.31896909
  0.80357652  1.81725233  0.29432713  0.46880033  0.        ]",-0.597057,-0.0999172219203,[-0.7172671  -0.81167537]
7,[-0.46251243 -0.5108186 ],"[[ -6.84127514e-02   1.33380889e+00   7.14275713e-02   3.63315974e-02]
 [ -7.75526960e-03   1.16827192e+01   0.00000000e+00   0.00000000e+00]]",[-0.3680781  -1.07508038],"[ 1.03510106  0.85193689  0.2847893   1.49256844  0.60959836  0.31896868
  0.61402349  1.52797813  0.04968455  0.65172481  0.        ]",-0.416048,-0.0870841944483,[-0.30461258 -0.77075571]
8,[-0.46251243 -0.5108186 ],"[[-0.08316794  1.52541781  0.07142757  0.0363316 ]
 [-1.46304026  7.4921263   0.          0.        ]]",[-0.67034358  0.2935746 ],"[ 1.03349303  0.59275628  0.26090261  1.56620533  0.60959737  0.31896826
  0.54566455  0.83696537 -0.11485245  0.67940443  0.        ]",-0.459245,-0.0771092260518,[-0.18063393 -0.40797782]
9,[-0.46251243 -0.5108186 ],"[[-0.13875685  1.68543942  0.07142757  0.0363316 ]
 [-4.08715647  8.50662652  0.          0.        ]]",[ 0.78984784 -1.36209359],"[ 1.02464569  0.3741571   0.17121919  1.55105817  0.60959638  0.31896785
  0.42240306  1.00424985 -0.21884719  0.63191944  0.        ]",-0.345782,-0.0670271860158,[ 0.26711869 -0.54633164]
