timestep,obs,logstd_action_dist,actions,rewards,original_rewards,human_obs,avg_action_dist
0,"[ 1.19921493  2.05279222 -0.08872011  0.65272727  1.07208848  0.75963513
 -0.4877577   0.33564682  0.41807931 -0.82247734  0.        ]",[-0.27853179 -0.08892918],[-0.2436455  -1.32636142],-1.82507,-0.12932164247,"[[-0.04105026 -0.00347957  0.1242531   0.08797713]
 [-0.00050414 -0.0044114   0.          0.        ]]",[ 1.25652063 -0.80543053]
1,"[ 1.19860636  2.05153569 -0.10311828  0.53313223  1.07208644  0.75963407
 -0.51676663 -0.19178216  0.41503916 -0.87702696  0.        ]",[-0.27853179 -0.08892918],[ 0.81512512 -1.43465221],-1.85691,-0.133913452983,"[[-0.05071521 -0.043291    0.1242531   0.08797713]
 [-0.96279311 -3.96353818  0.          0.        ]]",[ 1.12894368 -0.69498616]
2,"[ 1.19940479  2.03534543 -0.08329863  0.17993081  1.07208439  0.75963301
 -0.4189389  -0.70898562  0.40329698 -0.96311745  0.        ]",[-0.27853179 -0.08892918],[ 1.66461344 -1.35217083],-1.92419,-0.140875482097,"[[-0.03741221 -0.16151493  0.1242531   0.08797713]
 [ 2.28228211 -7.84590984  0.          0.        ]]",[ 0.9777987  -0.69659626]
3,"[ 1.19881783  1.96848515  0.04327175 -0.38589759  1.07208234  0.75963194
 -0.30099891 -1.21597619  0.38098968 -0.99077649  0.        ]",[-0.27853179 -0.08892918],[ 1.08141963 -2.03182087],-1.99799,-0.141723941855,"[[  0.04748592  -0.35661737   0.1242531    0.08797713]
 [  6.19451197 -11.65163024   0.           0.        ]]",[ 0.76414669 -0.87378848]
4,"[ 1.17036688  1.79788996  0.28314755 -1.1001159   1.0720803   0.75963088
 -0.18538768 -1.7128968   0.33545422 -0.94830762  0.        ]",[-0.27853179 -0.08892918],[ 0.46586879 -0.62645579],-1.84979,-0.134071264392,"[[  0.20985326  -0.62707642   0.1242531    0.08797713]
 [ 10.02949463 -15.38178737   0.           0.        ]]",[ 0.51651692 -1.22694767]
5,"[ 1.07764216  1.48520716  0.59003739 -1.79255124  1.07207825  0.75962982
 -0.13577478 -2.00279072  0.24575636 -0.86650648  0.        ]",[-0.27853179 -0.08892918],[ 0.67556235 -1.35508904],-1.6829,-0.119327958138,"[[  0.42695484  -0.9565467    0.1242531    0.08797713]
 [ 11.67521958 -17.55793372   0.           0.        ]]",[ 0.54642236 -1.49832749]
6,"[ 0.89201022  1.01440013  0.9159689  -2.26485206  1.07207621  0.75962875
 -0.06210972 -2.48395251  0.09012187 -0.78054347  0.        ]",[-0.27853179 -0.08892918],[ 0.65555514 -1.38904949],-1.414,-0.100443283142,"[[  0.6849757   -1.34394623   0.1242531    0.08797713]
 [ 14.1187878  -21.1698876    0.           0.        ]]",[ 0.77218187 -1.66516435]
7,"[ 0.58274555  0.40499157  1.219743   -2.26127535  1.07207416  0.75962769
  0.00772148 -2.95549821 -0.15500054 -0.71329088  0.        ]",[-0.27853179 -0.08892918],[ 1.16634919 -1.77880681],-1.14939,-0.0844160047363,"[[  0.99059202  -1.80286146   0.1242531    0.08797713]
 [ 16.43518195 -24.70974772   0.           0.        ]]",[ 1.08068228 -1.62809014]
8,"[ 0.12506657 -0.21086319  1.42944532 -1.51273417  1.07207212  0.75962663
  0.11728437 -3.41763984 -0.49829708 -0.68948181  0.        ]",[-0.27853179 -0.08892918],[-0.37283829 -3.12701962],-1.15176,-0.0912679664763,"[[  1.35575922  -2.33186678   0.1242531    0.08797713]
 [ 20.06952886 -28.17913684   0.           0.        ]]",[ 1.37708378 -1.26978159]
9,"[-0.39461052 -0.59656547  1.44290107  0.03082563  1.07207007  0.75962556
  0.06082389 -3.87064238 -0.92372291 -0.77611558  0.        ]",[-0.27853179 -0.08892918],[ 1.98832508 -1.29723991],-1.22485,-0.135701965353,"[[  1.73836108  -2.92957045   0.1242531    0.08797713]
 [ 18.19666484 -31.58007842   0.           0.        ]]",[ 1.469455   -0.97177005]
