timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 1.18242942  1.89388876 -0.27934945  0.27411632  0.63524131 -0.4236798
 -0.51548183  0.28153467  0.87022965  0.20086911  0.        ]","[[-0.07596282  0.07334945  0.07383259 -0.05010751]
 [ 0.00173738  0.00294018  0.          0.        ]]",[ 0.11717971 -1.04907361],-2.6208,-0.142290099201,[-0.5132131  -0.27166489],[-0.18662056 -0.81886321]
1,"[ 1.1829115   1.89667512 -0.27238215  0.19008031  0.63524094 -0.4236796
 -0.5024519  -0.22371743  0.86990112  0.16990851  0.        ]","[[-0.07126206  0.03367802  0.07383259 -0.05010751]
 [ 0.46678563 -3.95688556  0.          0.        ]]",[-0.14727623 -2.27845289],-2.63708,-0.14128396619,[-0.5132131  -0.27166489],[-0.1765978  -1.25498819]
2,"[ 1.18324187  1.89273685 -0.26732241 -0.06019163  0.63524058 -0.42367939
 -0.51899176 -0.71891423  0.86090744  0.05793669  0.        ]","[[-0.06784932 -0.08439923  0.07383259 -0.05010751]
 [-0.12355597 -7.83790586  0.          0.        ]]",[-1.50289634 -1.39792326],-2.67307,-0.137276387326,[-0.5132131  -0.27166489],[-0.18408108 -1.68692088]
3,"[ 1.17801294  1.84645572 -0.32967258 -0.46623382  0.63524021 -0.42367919
 -0.62972151 -1.20414124  0.8045971  -0.21041525  0.        ]","[[ -0.10997263  -0.27931291   0.07383259  -0.05010751]
 [ -4.07567684 -11.64079497   0.           0.        ]]",[ 0.707978   -2.01919587],-2.728,-0.127361465881,[-0.5132131  -0.27166489],[-0.02605991 -1.79828811]
4,"[ 1.16802606  1.70380419 -0.40710181 -0.98941585  0.63523984 -0.42367898
 -0.54896426 -1.68008905  0.65697121 -0.53460835  0.        ]","[[ -0.16256631  -0.54955501   0.07383259  -0.05010751]
 [ -1.19334291 -15.37097177   0.           0.        ]]",[-0.71551359 -2.20244514],-2.68806,-0.114585839639,[-0.5132131  -0.27166489],[-0.05780338 -1.98334932]
5,"[ 1.15439309  1.40640695 -0.48304519 -1.53473794  0.63523948 -0.42367878
 -0.62761259 -2.14635453  0.38693959 -0.82506866  0.        ]","[[ -0.21459482  -0.8936392    0.07383259  -0.05010751]
 [ -4.00042881 -19.02528582   0.           0.        ]]",[ 0.07493903 -1.89491897],-2.51831,-0.100853122465,[-0.5132131  -0.27166489],[ 0.08839685 -2.19783735]
6,"[ 1.12774881  0.92145163 -0.59273952 -1.93113628  0.63523911 -0.42367857
 -0.61712376 -2.60351303 -0.03024136 -0.99835646  0.        ]","[[ -0.29084517  -1.3100941    0.07383259  -0.05010751]
 [ -3.62607982 -22.6082572    0.           0.        ]]",[ 0.00297788 -2.83420058],-2.26756,-0.0904630696625,[-0.5132131  -0.27166489],[ 0.200591   -2.47968817]
7,"[ 1.09558791  0.28699389 -0.69365119 -1.94853771  0.63523875 -0.42367837
 -0.61485806 -3.0516039  -0.49203366 -0.89095197  0.        ]","[[ -0.3625535   -1.79749579   0.07383259  -0.05010751]
 [ -3.54522599 -26.12020681   0.           0.        ]]",[ 1.34569414 -3.47358373],-2.02923,-0.0872857827493,[-0.5132131  -0.27166489],[ 0.79196948 -2.85244179]
8,"[ 1.079852   -0.34559986 -0.73580416 -1.38407839  0.63523838 -0.42367816
 -0.50206937 -3.49085442 -0.8113156  -0.46558618  0.        ]","[[ -0.3930707   -2.35444253   0.07383259  -0.05010751]
 [  0.48035408 -29.56292998   0.           0.        ]]",[ 0.82793564 -1.64080657],-2.23267,-0.0884294645138,[-0.5132131  -0.27166489],[ 1.4441514  -3.04039145]
9,"[ 1.10137412 -0.71512522 -0.67713149 -0.22359962  0.63523802 -0.42367796
 -0.41054462 -3.92135703 -0.84925969  0.14721283  0.        ]","[[ -0.35069209  -2.97955631   0.07383259  -0.05010751]
 [  3.74699512 -32.93716623   0.           0.        ]]",[ 0.61941438 -2.65858818],-2.14688,-0.0951939625733,[-0.5132131  -0.27166489],[ 1.51663983 -2.88361835]
10,"[ 1.14234487 -0.7212838  -0.53694381  0.3932946   0.63523765 -0.42367775
 -0.34387061  0.23770556 -0.77576991  0.43532206  0.        ]","[[-0.25187453 -3.27141498  0.07383259 -0.05010751]
 [ 6.12667843 -0.34065066  0.          0.        ]]",[ 2.46820984 -4.46141244],-1.83466,-0.103646279237,[-0.5132131  -0.27166489],[ 2.0888257  -3.24691558]
11,"[ 1.18068644 -0.72986994 -0.30136337  0.24884253  0.63523729 -0.42367755
 -0.23633006  0.90629511 -0.81040107  0.34665249  0.        ]","[[-0.09082944 -3.20299875  0.07383259 -0.05010751]
 [ 9.96494688  4.89940097  0.          0.        ]]",[ 2.21175091 -3.32266695],-1.98309,-0.101254606843,[-0.5132131  -0.27166489],[ 2.18961382 -3.68450212]
12,"[ 1.17153225 -0.73185872  0.04996573  0.06080026  0.63523692 -0.42367734
 -0.13092681  0.7473644  -0.8130906   0.23316675  0.        ]","[[  0.14621493  -3.11431918   0.07383259  -0.05010751]
 [ 13.72693212   3.65379118   0.           0.        ]]",[ 3.22698968 -3.95061716],-1.76551,-0.0950020916231,[-0.5132131  -0.27166489],[ 2.34161091 -3.43613553]
13,"[ 1.0425416  -0.72778715  0.49022448 -0.05787765  0.63523656 -0.42367714
 -0.02761158  0.53979751 -0.77585029  0.15875027  0.        ]","[[  0.45775107  -3.05828495   0.07383259  -0.05010751]
 [ 17.41439319   2.02699585   0.           0.        ]]",[ 3.85943657 -2.12865968],-1.80849,-0.086977208255,[-0.5132131  -0.27166489],[ 2.42424273 -3.11247516]
14,"[ 0.71922684 -0.72402605  0.94238704 -0.11963523  0.63523619 -0.42367693
  0.07365896  0.40847818 -0.71734494  0.13391489  0.        ]","[[  0.84230416  -3.02903303   0.07383259  -0.05010751]
 [ 21.02887639   0.99778743   0.           0.        ]]",[ 1.9653553  -2.52697513],-1.79732,-0.0789438688297,[-0.5132131  -0.27166489],[ 2.37325716 -2.92769742]
15,"[ 0.16467548 -0.721838    1.2648219  -0.14902168  0.63523583 -0.42367673
  0.17292544  0.33988971 -0.6567667   0.15828211  0.        ]","[[  1.29842928  -3.01508144   0.07383259  -0.05010751]
 [ 24.57183217   0.46022947   0.           0.        ]]",[ 2.02048062 -3.52080049],-1.62281,-0.0732829100016,[-0.5132131  -0.27166489],[ 2.37017536 -2.81638122]
16,"[-0.5624652  -0.72076438  1.27195402 -0.16230001  0.63523546 -0.42367652
  0.27022729  0.30716768 -0.61489851  0.22651588  0.        ]","[[  1.82470999  -3.0087694    0.07383259  -0.05010751]
 [ 28.04466781   0.20377314   0.           0.        ]]",[ 2.43845702 -2.46105607],-1.64209,-0.0729995374161,[-0.5132131  -0.27166489],[ 2.47506738 -2.74123549]
17,"[-1.26052318 -0.7202786   0.81544123 -0.16809965  0.63523509 -0.42367632
  0.36560316  0.29236095 -0.61335979  0.321004    0.        ]","[[  2.41975773  -3.00601079   0.07383259  -0.05010751]
 [ 31.44876345   0.08772712   0.           0.        ]]",[ 2.92069133 -2.20856679],-1.63765,-0.0796229368914,[-0.5132131  -0.27166489],[ 2.65388775 -2.74083519]
18,"[-1.60667465 -0.72006814 -0.07836604 -0.17057257  0.63523473 -0.42367611
  0.45909104  0.28588916 -0.66503273  0.40554416  0.        ]","[[  3.08221131  -3.0048342    0.07383259  -0.05010751]
 [ 34.78547501   0.03700579   0.           0.        ]]",[ 2.29451399 -2.71978063],-1.68975,-0.0908863597232,[-0.5132131  -0.27166489],[ 2.60896301 -2.88231993]
19,"[-1.30770709 -0.71997918 -1.08845733 -0.1716083   0.63523436 -0.42367591
  0.55072822  0.28312873 -0.75837198  0.43239881  0.        ]","[[  3.81073639e+00  -3.00434133e+00   7.38325862e-02  -5.01075062e-02]
 [  3.80561339e+01   1.53721083e-02   0.00000000e+00   0.00000000e+00]]",[ 2.25215796 -2.45796551],-1.81477,-0.101732564748,[-0.5132131  -0.27166489],[ 2.28006434 -3.09639931]
20,"[-0.36251777 -0.71994207 -1.64401473 -0.17203619  0.635234   -0.4236757
  0.64055127  0.28197247 -0.84832985  0.36978744  0.        ]","[[  4.60402503e+00  -3.00413769e+00   7.38325862e-02  -5.01075062e-02]
 [  4.12620463e+01   6.31093205e-03   0.00000000e+00   0.00000000e+00]]",[ 2.40317857 -4.593028  ],-1.79153,-0.106748834586,[-0.5132131  -0.27166489],[ 2.03413534 -3.26028657]
21,"[ 0.73981482 -0.71992662 -1.25558815 -0.17221112  0.63523363 -0.4236755
  0.7285961   0.28149484 -0.87240712  0.23921473  0.        ]","[[  5.46079515e+00  -3.00405441e+00   7.38325862e-02  -5.01075062e-02]
 [  4.44044936e+01   2.56850960e-03   0.00000000e+00   0.00000000e+00]]",[ 1.87825646 -1.85471796],-2.16228,-0.102135941403,[-0.5132131  -0.27166489],[ 2.25087571 -3.27165294]
22,"[ 1.17993094 -0.71992007 -0.02321378 -0.17228208  0.63523327 -0.42367529
  0.81489786  0.28129969 -0.7980086   0.12747012  0.        ]","[[  6.37979005e+00  -3.00402061e+00   7.38325862e-02  -5.01075062e-02]
 [  4.74847318e+01   1.03999291e-03   0.00000000e+00   0.00000000e+00]]",[ 2.12857112 -2.61830525],-1.96452,-0.0882084433993,[-0.5132131  -0.27166489],[ 2.3404119  -2.89968181]
23,"[ 0.4516711  -0.71991716  1.14178186 -0.17231076  0.6352329  -0.42367509
  0.89949104  0.28122064 -0.67129896  0.13512476  0.        ]","[[  7.35977791e+00  -3.00400693e+00   7.38325862e-02  -5.01075062e-02]
 [  5.05039923e+01   4.21418414e-04   0.00000000e+00   0.00000000e+00]]",[ 1.36931792 -4.08683853],-1.66181,-0.0736792929715,[-0.5132131  -0.27166489],[ 2.16205382 -2.68706441]
