timestep,obs,logstd_action_dist,actions,rewards,original_rewards,human_obs,avg_action_dist
0,"[ 1.23503378  2.23967017 -0.15730916  0.90326758  1.57192586  1.60161917
 -0.54713405  0.34724283  0.03409946 -1.75010013  0.        ]",[-0.29651561 -0.1543348 ],[ 1.08272823  1.99945893],-2.4379,-0.196663977727,"[[-0.07577691  0.05625079  0.1812326   0.1848757 ]
 [-0.00499296 -0.00457418  0.          0.        ]]",[ 1.5703119   1.02334499]
1,"[ 1.23806661  2.23543693 -0.09888774  1.03560432  1.57192217  1.60161531
 -0.44025568  0.856944    0.03444911 -1.63805589  0.        ]",[-0.29651561 -0.1543348 ],[ 0.98877934  0.09422963],-2.35019,-0.184159872498,"[[-0.03620065  0.09587262  0.1812326   0.1848757 ]
 [ 3.94946185  3.9535703   0.          0.        ]]",[ 1.33827269  0.80293733]
2,"[ 1.23444134  2.21973023  0.07462816  1.30769936  1.57191848  1.60161145
 -0.33665144  0.89471676  0.00649602 -1.34263478  0.        ]",[-0.29651561 -0.1543348 ],[ 0.22367156  0.56078405],-2.04781,-0.150625965764,"[[ 0.08124926  0.17788717  0.1812326   0.1848757 ]
 [ 7.7827766   4.24690698  0.          0.        ]]",[ 0.94551992  0.55863351]
3,"[ 1.19828984  2.18555715  0.31216299  1.654393    1.57191479  1.60160758
 -0.31691624  1.16978042 -0.09790916 -0.95884068  0.        ]",[-0.29651561 -0.1543348 ],[ 0.03186563 -0.74167128],-1.7208,-0.105783130988,"[[ 0.24423072  0.28425704  0.1812326   0.1848757 ]
 [ 8.51296362  6.38295593  0.          0.        ]]",[ 0.25452289  0.02385652]
4,"[ 1.12313679  2.14114853  0.54952995  1.96115279  1.5719111   1.60160372
 -0.31802484  0.77532598 -0.27326595 -0.61231452  0.        ]",[-0.29651561 -0.1543348 ],[ 0.90164061 -0.61880244],-1.43417,-0.0672991284928,"[[ 0.41407856  0.38118242  0.1812326   0.1848757 ]
 [ 8.47193718  3.31978623  0.          0.        ]]",[-0.32517207 -0.3400726 ]
5,"[ 0.98576433  2.11857174  0.8108864   2.08797376  1.57190741  1.60159986
 -0.2261227   0.45115669 -0.50747858 -0.31134881  0.        ]",[-0.29651561 -0.1543348 ],[ 0.85156322 -1.48235542],-1.27823,-0.0544817020572,"[[  0.61763403   0.42232075   0.1812326    0.1848757 ]
 [ 11.87227499   0.80242008   0.           0.        ]]",[-0.62676346 -0.76334947]
6,"[ 0.73475863  2.1319163   1.1003632   2.01469674  1.57190372  1.601596
 -0.1413816  -0.06096749 -0.82874224 -0.04345955  0.        ]",[-0.29651561 -0.1543348 ],[-0.03658282 -1.73745009],-1.34887,-0.0870309538778,"[[  0.88653812   0.39846731   0.1812326    0.1848757 ]
 [ 15.0076578   -3.17452957   0.           0.        ]]",[-0.70201796 -1.23522019]
7,"[ 0.38765004  2.18086096  1.32300896  1.69167153  1.57190003  1.60159214
 -0.15328155 -0.56278351 -1.17370324  0.12520854  0.        ]",[-0.29651561 -0.1543348 ],[-2.01791987 -2.19735626],-1.59789,-0.134282314522,"[[  1.18227372   0.29587764   0.1812326    0.1848757 ]
 [ 14.56736063  -7.07143122   0.           0.        ]]",[-0.6222924  -1.81299829]
8,"[ 0.05937887  2.23236815  1.41879182  1.10309112  1.57189634  1.60158828
 -0.26795101 -1.05445286 -1.40935496  0.18647514  0.        ]",[-0.29651561 -0.1543348 ],[-1.84557322 -1.20255894],-1.93977,-0.16646942353,"[[  1.43105205   0.11614028   0.1812326    0.1848757 ]
 [ 10.32463577 -10.88954395   0.           0.        ]]",[-0.31496981 -2.23425961]
9,"[-0.16580407  2.22823991  1.43273975  0.25010607  1.57189265  1.60158441
 -0.38034844 -1.53636924 -1.45788544  0.18875941  0.        ]",[-0.29651561 -0.1543348 ],[ 1.00604982 -3.03575589],-1.85166,-0.17293467573,"[[  1.59581967  -0.13919931   0.1812326    0.1848757 ]
 [  6.16597397 -14.6319349    0.           0.        ]]",[ 0.13387127 -2.49176121]
10,"[-0.3860641   2.09050855  1.40747104 -0.79825638  1.57188896  1.60158055
 -0.27668775 -2.00912218 -1.44295549  0.14153909  0.        ]",[-0.29651561 -0.1543348 ],[-0.48145804 -1.77824347],-2.25622,-0.170278635085,"[[  1.75762049  -0.46867344   0.1812326    0.1848757 ]
 [ 10.00136001 -18.30319578   0.           0.        ]]",[ 0.54625916 -2.80946183]
11,"[-0.62168497  1.74258805  1.33538809 -1.84728881  1.57188527  1.60157669
 -0.33348634 -2.47221578 -1.40236363  0.0152081   0.        ]",[-0.29651561 -0.1543348 ],[ 1.79548573 -1.83368986],-2.31892,-0.163848088542,"[[  1.93656403  -0.87081998   0.1812326    0.1848757 ]
 [  7.89983253 -21.89949264   0.           0.        ]]",[ 1.09505355 -3.05339265]
12,"[-0.86169465  1.15395602  1.20585361 -2.54934247  1.57188158  1.60157283
 -0.23075165 -2.92633382 -1.35149223 -0.22389936  0.        ]",[-0.29651561 -0.1543348 ],[ 0.59727701 -2.49459873],-2.31662,-0.158536829063,"[[  2.13269751  -1.34419525   0.1812326    0.1848757 ]
 [ 11.70095415 -25.42615572   0.           0.        ]]",[ 1.64436269 -3.02409458]
13,"[-1.1310146   0.40191389  0.96622763 -2.46848069  1.57187789  1.60156897
 -0.17311141 -3.37132157 -1.35669567 -0.59066969  0.        ]",[-0.29651561 -0.1543348 ],[ 2.54000606 -3.9551628 ],-1.75873,-0.17003058562,"[[  2.38811389  -1.88739283   0.1812326    0.1848757 ]
 [ 13.83360563 -28.88200584   0.           0.        ]]",[ 2.04118276 -2.66757107]
14,"[-1.37154192 -0.2844936   0.58417651 -1.29253131  1.5718742   1.60156511
 -0.0735153  -3.80744333 -1.40376492 -1.09091085  0.        ]",[-0.29651561 -0.1543348 ],[ 1.58373815 -2.73157955],-2.17929,-0.203274134388,"[[  2.70175737  -2.49901767   0.1812326    0.1848757 ]
 [ 17.51860066 -32.26912028   0.           0.        ]]",[ 2.22641349 -1.90437889]
15,"[-1.50003772 -0.56390199  0.03325578  0.63251815  1.57187051  1.60156125
  0.024136   -2.56084788 -1.46027206 -1.70383169  0.        ]",[-0.29651561 -0.1543348 ],[ 1.0672804   0.15806987],-3.14627,-0.255505443423,"[[  3.08837724  -3.11699425   0.1812326    0.1848757 ]
 [ 21.131639   -22.58840788   0.           0.        ]]",[ 2.29588842 -1.4388814 ]
16,"[-1.39112935 -0.55588189 -0.62792441  1.08187671  1.57186682  1.60155738
  0.11986815  0.62094004 -1.43052906 -1.7400218   0.        ]",[-0.29651561 -0.1543348 ],[ 2.26472198 -2.49089511],-2.96471,-0.255926552598,"[[  3.54655147  -3.25135925   0.1812326    0.1848757 ]
 [ 24.67367001   2.12082611   0.           0.        ]]",[ 2.25023007 -2.03828001]
17,"[-0.94723236 -0.56375055 -1.23352596  0.81079591  1.57186313  1.60155352
  0.21368116  0.93189631 -1.46802423 -1.61126211  0.        ]",[-0.29651561 -0.1543348 ],[ 1.68200226 -0.77211547],-3.12148,-0.248576691175,"[[  4.07485147  -3.17022055   0.1812326    0.1848757 ]
 [ 28.14469412   4.53566825   0.           0.        ]]",[ 2.3424511  -2.31576061]
18,"[-0.18700432 -0.56264535 -1.52275705  0.55104637  1.57185944  1.60154966
  0.30563022  0.74307687 -1.56969827 -1.57479498  0.        ]",[-0.29651561 -0.1543348 ],[ 2.52241486 -2.76456144],-2.83967,-0.25537271991,"[[  4.67187953  -3.09265727   0.1812326    0.1848757 ]
 [ 31.54675405   3.0693351    0.           0.        ]]",[ 2.46433997 -2.45104718]
19,"[ 0.66911493 -0.55800564 -1.24542621  0.39734238  1.57185575  1.6015458
  0.39575791  0.55763041 -1.63756797 -1.6497408   0.        ]",[-0.29651561 -0.1543348 ],[ 3.45918934 -1.47862175],-2.79717,-0.267788703953,"[[  5.33627242  -3.0466509    0.1812326    0.1848757 ]
 [ 34.88142571   1.62919409   0.           0.        ]]",[ 2.58481479 -2.52092695]
20,"[ 1.20697722 -0.55453524 -0.36298603  0.31989655  1.57185206  1.60154194
  0.48410222  0.44879699 -1.62096718 -1.75875141  0.        ]",[-0.29651561 -0.1543348 ],[ 2.2773271  -2.84631669],-2.58121,-0.27479555169,"[[  6.06669669  -3.02339957   0.1812326    0.1848757 ]
 [ 38.15011515   0.78401598   0.           0.        ]]",[ 2.63833141 -2.51627779]
21,"[ 1.01584735 -0.55265026  0.76325765  0.28369117  1.57184837  1.60153808
  0.57069843  0.39377028 -1.53168377 -1.81303206  0.        ]",[-0.29651561 -0.1543348 ],[ 2.33331658 -1.31217447],-2.51376,-0.271068648499,"[[  6.86184586  -3.0125085    0.1812326    0.1848757 ]
 [ 41.3541285    0.35669096   0.           0.        ]]",[ 2.55385184 -2.43864274]
22,"[ 0.05096642 -0.55175351  1.42003236  0.26751442  1.57184468  1.60153422
  0.65558079  0.36798929 -1.43289184 -1.7604433   0.        ]",[-0.29651561 -0.1543348 ],[ 2.40267061 -3.32466688],-2.09939,-0.257884220766,"[[  7.72043912  -3.00763744   0.1812326    0.1848757 ]
 [ 44.49473371   0.15648282   0.           0.        ]]",[ 2.39682293 -2.37072515]
