timestep,obs,logstd_action_dist,actions,rewards,original_rewards,human_obs,avg_action_dist
0,"[ 1.14087899  2.00679727  0.03983407  0.65894091 -0.63118134 -0.75915591
 -0.37373399  0.38852355  1.77158402  0.78733459  0.        ]",[-0.14932288 -0.06740376],[ 0.07911045 -2.30910422],-1.75784,-0.296056232965,"[[ 0.04515686 -0.06696294 -0.07233405 -0.08737785]
 [-0.00333844  0.00434844  0.          0.        ]]",[-0.5893752  -1.04409873]
1,"[ 1.14067064  2.00219771  0.04448678  0.53049272 -0.63117778 -0.75915108
 -0.35701779 -0.17003034  1.77029889  0.75626198  0.        ]",[-0.14932288 -0.06740376],[ 0.0101489  -0.39536413],-1.68612,-0.294788885836,"[[ 0.0482461  -0.1066059  -0.07233405 -0.08737785]
 [ 0.31120912 -3.95544674  0.          0.        ]]",[-0.66043794 -1.02534425]
2,"[ 1.14019597  1.98307339  0.05438104  0.2283693  -0.63117422 -0.75914625
 -0.35518013 -0.37980605  1.76301252  0.68157358  0.        ]",[-0.14932288 -0.06740376],[ 0.36454783 -1.89081607],-1.82252,-0.291341589772,"[[ 0.05481701 -0.20063622 -0.07233405 -0.08737785]
 [ 0.34576107 -5.44262911  0.          0.        ]]",[-0.68295562 -1.02540934]
3,"[ 1.13827159  1.93005199  0.08647323 -0.23302775 -0.63117065 -0.75914142
 -0.278834   -0.92320595  1.74140004  0.58569985  0.        ]",[-0.14932288 -0.06740376],[-1.22151852  0.70310208],-1.82584,-0.285597601975,"[[ 0.07614729 -0.34814102 -0.07233405 -0.08737785]
 [ 1.78246768 -9.29500779  0.          0.        ]]",[-0.70937413 -1.00971806]
4,"[ 1.1387076   1.84447552  0.07984401 -0.69487686 -0.63116709 -0.7591366
 -0.49098915 -0.50433479  1.69805349  0.443296    0.        ]",[-0.14932288 -0.06740376],[-2.30722904 -1.63772176],-1.92722,-0.27622846275,"[[ 0.0717389  -0.50424721 -0.07233405 -0.08737785]
 [-2.2100323  -6.32552061  0.          0.        ]]",[-0.66342002 -1.0261848 ]
5,"[ 1.14212997  1.72339924 -0.04588166 -1.14118699 -0.63116353 -0.75913177
 -0.69883559 -1.04499155  1.59676834  0.17952537  0.        ]",[-0.14932288 -0.06740376],[-0.61341162 -2.36361377],-1.81994,-0.258356456335,"[[ -0.01170515  -0.66921465  -0.07233405  -0.08737785]
 [ -6.12146945 -10.15845207   0.           0.        ]]",[-0.64380783 -0.98189068]
6,"[ 1.12529201  1.4969789  -0.26438446 -1.6914442  -0.63115997 -0.75912694
 -0.82134674 -1.57500278  1.35609096 -0.16908536  0.        ]",[-0.14932288 -0.06740376],[-2.01158678 -1.38383796],-1.65026,-0.225521140303,"[[ -0.15726508  -0.91008457  -0.07233405  -0.08737785]
 [ -8.42704506 -13.91601003   0.           0.        ]]",[-0.59691727 -0.93503153]
7,"[ 1.05244152  1.13199874 -0.56481557 -2.18372804 -0.63115641 -0.75912211
 -1.02280125 -2.09441689  0.92378792 -0.45028608  0.        ]",[-0.14932288 -0.06740376],[-1.74164993 -1.24230375],-1.35043,-0.173798412742,"[[ -0.36384063  -1.22535391  -0.07233405  -0.08737785]
 [-12.21826254 -17.5986299    0.           0.        ]]",[-0.55144417 -0.86943775]
8,"[ 0.86630066  0.6260086  -0.93534844 -2.37283094 -0.63115285 -0.75911729
 -1.22040246 -2.60348186  0.34106259 -0.44654576  0.        ]",[-0.14932288 -0.06740376],[-0.30958816 -2.59407926],-0.971879,-0.100573237217,"[[ -0.64551281  -1.61354266  -0.07233405  -0.08737785]
 [-15.93703961 -21.20818709   0.           0.        ]]",[-0.44825923 -0.83452356]
9,"[ 0.54224784  0.04377748 -1.27491914 -1.97384051 -0.63114929 -0.75911246
 -1.2690042  -3.10245971 -0.11173846 -0.01070554  0.        ]",[-0.14932288 -0.06740376],[-1.22104895 -0.8769045 ],-0.897424,-0.0199201140783,"[[ -0.97343074  -2.07320907  -0.07233405  -0.08737785]
 [-16.85190163 -24.74667849   0.           0.        ]]",[-0.37018424 -0.80067074]
10,"[ 0.07544866 -0.45291589 -1.4983881  -0.80540717 -0.63114573 -0.75910763
 -1.46189414 -3.52274316 -0.1182676   0.6159153   0.        ]",[-0.14932288 -0.06740376],[ 1.42169282 -0.4867135 ],-0.990793,-0.0713874948049,"[[ -1.34689287  -2.59805219  -0.07233405  -0.08737785]
 [-20.48215352 -27.72777097   0.           0.        ]]",[-0.39248282 -0.69649267]
11,"[-0.42303121 -0.6424721  -1.52083543  0.71385643 -0.63114217 -0.7591028
 -1.23001486 -1.24781411  0.1816231   0.86170673  0.        ]",[-0.14932288 -0.06740376],[-2.02975111 -1.20028602],-1.16671,-0.115257587004,"[[ -1.71276884  -3.0915274   -0.07233405  -0.08737785]
 [-16.11874277 -11.59824333   0.           0.        ]]",[-0.39903563 -0.66850376]
12,"[-0.88743844 -0.64403968 -1.35078221  0.91476636 -0.63113861 -0.75909798
 -1.42340287  0.61170376  0.31605686  0.8350734   0.        ]",[-0.14932288 -0.06740376],[-0.65475069 -0.59661242],-1.04517,-0.123607204227,"[[ -2.07165962  -3.15332377  -0.07233405  -0.08737785]
 [-19.75837061   1.58609608   0.           0.        ]]",[-0.28837913 -0.73578346]
13,"[-1.31836438 -0.64307024 -0.9438909   0.74680991 -0.63113505 -0.75909315
 -1.54034792  0.77840712  0.30737231  0.84831102  0.        ]",[-0.14932288 -0.06740376],[ 0.50509842 -0.69962371],-0.911391,-0.124065449627,"[[ -2.48891157  -3.10167337  -0.07233405  -0.08737785]
 [-21.95952181   2.76808557   0.           0.        ]]",[-0.14085473 -0.74941796]
14,"[-1.56155868 -0.63917116 -0.38352432  0.59586033 -0.63113149 -0.75908832
 -1.4109636   0.64411268  0.32013228  0.86572947  0.        ]",[-0.14932288 -0.06740376],[ 0.84997802 -2.60341041],-0.7841,-0.126803074601,"[[ -2.90367543  -3.05516558  -0.07233405  -0.08737785]
 [-19.52498067   1.81594392   0.           0.        ]]",[-0.00891515 -0.73550618]
15,"[-1.59111407 -0.63561203  0.14476392  0.50887831 -0.63112793 -0.7590835
 -1.211587    0.52060932  0.34570335  0.86426556  0.        ]",[-0.14932288 -0.06740376],[-0.09825527 -0.6935172 ],-0.874436,-0.12893790999,"[[ -3.2565318   -3.02828771  -0.07233405  -0.08737785]
 [-15.77315831   0.94030752   0.           0.        ]]",[ 0.08573528 -0.71841037]
16,"[-1.47464546 -0.63343664  0.60201007  0.46477632 -0.63112437 -0.75907867
 -1.21565469  0.4541245   0.37034788  0.8437452   0.        ]",[-0.14932288 -0.06740376],[ 0.15320457 -1.78093149],-0.884001,-0.129349678663,"[[ -3.57276532  -3.01463009  -0.07233405  -0.08737785]
 [-15.84993667   0.46893829   0.           0.        ]]",[ 0.14868832 -0.71255857]
17,"[-1.24250146 -0.63235623  0.98735349  0.4445987  -0.63112081 -0.75907384
 -1.16673829  0.41555753  0.38760782  0.80917998  0.        ]",[-0.14932288 -0.06740376],[ 0.81235781 -1.18541354],-0.921041,-0.127974401435,"[[ -3.88052991  -3.008374    -0.07233405  -0.08737785]
 [-14.92958913   0.19550895   0.           0.        ]]",[ 0.19214574 -0.71142405]
18,"[-0.96714092 -0.63189123  1.2424735   0.43623895 -0.63111725 -0.75906902
 -0.98011544  0.39932907  0.39387463  0.77330357  0.        ]",[-0.14932288 -0.06740376],[ 0.36081418 -0.01309159],-1.02268,-0.125553553287,"[[ -4.14388556  -3.00578092  -0.07233405  -0.08737785]
 [-11.41767886   0.08046131   0.           0.        ]]",[ 0.21294205 -0.71255654]
19,"[-0.70779006 -0.63150588  1.38468896  0.42944212 -0.63111369 -0.75906419
 -0.89218722  0.40280101  0.39317937  0.74347608  0.        ]",[-0.14932288 -0.06740376],[ 0.15081386 -0.73527087],-1.04655,-0.123019985622,"[[-4.35563799 -3.00367206 -0.07233405 -0.08737785]
 [-9.76307911  0.10509093  0.          0.        ]]",[ 0.21275918 -0.72134471]
20,"[-0.4601212  -0.63132581  1.45802075  0.42633393 -0.63111013 -0.75905936
 -0.85018188  0.38989009  0.38764538  0.71722721  0.        ]",[-0.14932288 -0.06740376],[-0.9241973 -1.3950924],-1.11342,-0.120324504882,"[[-4.54296938 -3.00270782 -0.07233405 -0.08737785]
 [-8.97269254  0.01356513  0.          0.        ]]",[ 0.20424685 -0.72941315]
21,"[-0.16728663 -0.63136686  1.47806541  0.42711489 -0.63110657 -0.75905454
 -1.03517484  0.38464008  0.37523056  0.68894486  0.        ]",[-0.14932288 -0.06740376],[ 1.38794377 -1.54369779],-0.973836,-0.1167759591,"[[ -4.75735464  -3.0029509   -0.07233405  -0.08737785]
 [-12.45423136  -0.02364481   0.           0.        ]]",[ 0.18127145 -0.74455869]
22,"[ 0.1127771  -0.63144591  1.43200442  0.42856648 -0.63110301 -0.75904971
 -0.81168009  0.38525928  0.35846061  0.66525022  0.        ]",[-0.14932288 -0.06740376],[-0.42195177  0.71383479],-1.19739,-0.113146989324,"[[-4.96424072 -3.00340215 -0.07233405 -0.08737785]
 [-8.24839254 -0.01924201  0.          0.        ]]",[ 0.16183954 -0.75791252]
23,"[ 0.34510941 -0.62581489  1.34107156  0.33862177 -0.63109945 -0.75904489
 -0.89176327  0.78396801  0.36222417  0.64113788  0.        ]",[-0.14932288 -0.06740376],[ 0.5189284   0.08085848],-1.11784,-0.111664085996,"[[-5.14433088 -2.97542423 -0.07233405 -0.08737785]
 [-9.75559483  2.80761727  0.          0.        ]]",[ 0.1580838  -0.81461263]
24,"[ 0.55039998 -0.61064969  1.21234032  0.15101983 -0.63109589 -0.75904006
 -0.77231736  0.82130217  0.38449552  0.60281817  0.        ]",[-0.14932288 -0.06740376],[-0.68037314 -0.24297308],-1.18926,-0.111227249087,"[[-5.31689034 -2.91661567 -0.07233405 -0.08737785]
 [-7.50784434  3.07235335  0.          0.        ]]",[ 0.12363929 -0.84795666]
25,"[ 0.73559984 -0.59380824  1.043445   -0.01023935 -0.63109233 -0.75903523
 -0.90755449  0.67702126  0.39261318  0.55798852  0.        ]",[-0.14932288 -0.06740376],[ 0.56539805 -1.35170549],-1.05075,-0.108995775772,"[[ -5.49258349  -2.86543194  -0.07233405  -0.08737785]
 [-10.05298382   2.04944077   0.           0.        ]]",[ 0.06119449 -0.8636682 ]
26,"[ 0.89182141 -0.5934949   0.84043381 -0.01291708 -0.63108877 -0.75903041
 -0.7780301   0.11284189  0.35948075  0.53542135  0.        ]",[-0.14932288 -0.06740376],[-0.06917389 -1.61344078],-1.08717,-0.10365860161,"[[-5.6691877  -2.86457612 -0.07233405 -0.08737785]
 [-7.61557407 -1.95053663  0.          0.        ]]",[-0.02479711 -0.82467341]
27,"[ 0.99945664 -0.61797962  0.64171844  0.23468252 -0.63108521 -0.75902558
 -0.78457947 -0.44018553  0.28819269  0.57734717  0.        ]",[-0.14932288 -0.06740376],[ 0.55949906  1.48992117],-1.25241,-0.0988558513917,"[[-5.82273663 -2.94292663 -0.07233405 -0.08737785]
 [-7.73892194 -5.87145046  0.          0.        ]]",[-0.09603897 -0.76403677]
28,"[ 1.06851878 -0.6337589   0.45951045  0.47181078 -0.63108165 -0.75902076
 -0.6587139   0.20927077  0.24020326  0.63366055  0.        ]",[-0.14932288 -0.06740376],[-0.55887134 -0.79518062],-1.23392,-0.0986078847989,"[[-5.95375074 -3.01681342 -0.07233405 -0.08737785]
 [-5.37035143 -1.26689109  0.          0.        ]]",[-0.10820545 -0.80252635]
29,"[ 1.11466827 -0.63467053  0.27259766  0.49011397 -0.63107809 -0.75901593
 -0.7706374   0.4229215   0.22320621  0.64740071  0.        ]",[-0.14932288 -0.06740376],[ 0.30979831 -1.16989836],-1.18495,-0.0981890370297,"[[-6.08229136 -3.02248361 -0.07233405 -0.08737785]
 [-7.47670867  0.24787067  0.          0.        ]]",[-0.13941407 -0.82533258]
30,"[ 1.13932565 -0.6335779   0.06988748  0.46842338 -0.63107453 -0.7590111
 -0.697589    0.43578309  0.21058377  0.64922609  0.        ]",[-0.14932288 -0.06740376],[ 0.67070366 -0.36730496],-1.19526,-0.0971785249483,"[[-6.21803367 -3.01576523 -0.07233405 -0.08737785]
 [-6.10210768  0.33907172  0.          0.        ]]",[-0.18380518 -0.83416891]
31,"[ 1.14164629 -0.63250327 -0.07205266  0.44817676 -0.63107097 -0.75900628
 -0.55005691  0.42497703  0.20168062  0.65038663  0.        ]",[-0.14932288 -0.06740376],[-0.11255083  1.11519494],-1.28688,-0.0964677163858,"[[-6.31222019 -3.00948897 -0.07233405 -0.08737785]
 [-3.32579802  0.26247342  0.          0.        ]]",[-0.21336205 -0.83787334]
32,"[ 1.13545078 -0.62332317 -0.17784887  0.30380673 -0.63106741 -0.75900145
 -0.57022562  0.98272889  0.19665094  0.61486953  0.        ]",[-0.14932288 -0.06740376],[ 0.35349046 -1.6308612 ],-1.14272,-0.0928227226311,"[[-6.38254486 -2.9645639  -0.07233405 -0.08737785]
 [-3.70540345  4.21685593  0.          0.        ]]",[-0.17791726 -0.90704036]
