timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 1.16391172  1.89132935  0.00986783  0.75285356  0.43431802 -0.2949078
 -0.38715638  0.32636551  0.88972551  0.38042673  0.        ]","[[ 0.02320145  0.05131954  0.05032265 -0.03505505]
 [-0.00402311 -0.00197756  0.          0.        ]]",[-0.74372916 -2.21375017],-1.08924,-0.165731765911,[-0.21495111 -0.08187287],[-0.06579183 -1.6119349 ]
1,"[ 1.16424807  1.89293155 -0.03452296  0.64495146  0.4343172  -0.29490729
 -0.49805395 -0.21227047  0.89203685  0.29385519  0.        ]","[[-0.00638176  0.01156402  0.05032265 -0.03505505]
 [-2.94451162 -3.96038613  0.          0.        ]]",[ 0.37732071 -1.39773465],-1.06433,-0.163462918032,[-0.21495111 -0.08187287],[-0.15837736 -1.53888726]
2,"[ 1.16258081  1.88566559 -0.09949257  0.32463454  0.43431638 -0.29490678
 -0.43950658 -0.74047875  0.88175284  0.11352043  0.        ]","[[-0.04969652 -0.1065909   0.05032265 -0.03505505]
 [-1.39214515 -7.84216701  0.          0.        ]]",[-0.14644661 -2.20123165],-1.22978,-0.158743762378,[-0.21495111 -0.08187287],[-0.21046963 -1.46045947]
3,"[ 1.15954574  1.83462458 -0.14944957 -0.19313099  0.43431557 -0.29490627
 -0.46026576 -1.25811575  0.83304743 -0.1115001   0.        ]","[[ -0.08306185  -0.30160217   0.05032265  -0.03505505]
 [ -1.94259933 -11.64628211   0.           0.        ]]",[-0.55449584 -2.03600457],-1.37323,-0.151989903632,[-0.21495111 -0.08187287],[-0.19753829 -1.35856187]
4,"[ 1.15018134  1.68719656 -0.23959156 -0.85631115  0.43431475 -0.29490576
 -0.54151336 -1.76541649  0.69494587 -0.41350187  0.        ]","[[ -0.14352728  -0.57193405   0.05032265  -0.03505505]
 [ -4.09691059 -15.37448704   0.           0.        ]]",[-0.29113956 -2.21039909],-1.40137,-0.141354989971,[-0.21495111 -0.08187287],[-0.12707859 -1.2361114 ]
5,"[ 1.12623112  1.3872867  -0.37612504 -1.5405609   0.43431393 -0.29490526
 -0.58190203 -2.26271476  0.41284016 -0.72013611  0.        ]","[[ -0.2362082   -0.91609345   0.05032265  -0.03505505]
 [ -5.16784867 -19.02927354   0.           0.        ]]",[-0.39181442 -1.52032477],-1.2513,-0.127617693175,[-0.21495111 -0.08187287],[ 0.03580768 -1.12415504]
6,"[ 1.07928615  0.90497888 -0.54530269 -2.02539694  0.43431311 -0.29490475
 -0.63657959 -2.75013449 -0.0155578  -0.88412521  0.        ]","[[ -0.35410812  -1.33262152   0.05032265  -0.03505505]
 [ -6.61765982 -22.61159961   0.           0.        ]]",[ 0.60128411 -1.37450143],-0.974948,-0.113140892235,[-0.21495111 -0.08187287],[ 0.28642762 -1.09051728]
7,"[ 1.02110304  0.28087869 -0.69290719 -2.01809184  0.43431229 -0.29490424
 -0.54200835 -3.22798973 -0.46102445 -0.75273388  0.        ]","[[ -0.46130222  -1.82009312   0.05032265  -0.03505505]
 [ -4.11013882 -26.1238281    0.           0.        ]]",[ 0.57770617 -0.60316   ],-0.898782,-0.0983679483207,[-0.21495111 -0.08187287],[ 0.56751019 -1.04422843]
8,"[ 0.98337768 -0.31912425 -0.77029989 -1.2967398   0.43431147 -0.29490373
 -0.45281361 -3.48252833 -0.72355716 -0.34423822  0.        ]","[[ -0.51977883  -2.36134421   0.05032265  -0.03505505]
 [ -1.74517122 -27.99501493   0.           0.        ]]",[ 1.50874426 -2.18385507],-0.698174,-0.0819690948491,[-0.21495111 -0.08187287],[ 0.73046732 -1.02350962]
9,"[ 0.98685789 -0.67081049 -0.76358818  0.11088754  0.43431065 -0.29490322
 -0.30226247 -3.94576956 -0.70649037  0.18189628  0.        ]","[[ -0.51463479  -2.95541112   0.05032265  -0.03505505]
 [  2.24665969 -31.40028746   0.           0.        ]]",[ 1.75145232 -1.84022686],-0.594933,-0.0706863417574,[-0.21495111 -0.08187287],[ 0.70831728 -0.85556668]
