timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.85203576 -0.67574793],"[[-0.00555148 -0.00425326  0.02524031  0.09935758]
 [ 0.00259645 -0.0017613   0.          0.        ]]",[  1.88338413e-03   2.24286949e+00],"[ 1.36199565  2.1071034   0.44488836 -1.05095308  0.22534167  0.86544119
 -0.71474759 -0.40403046  1.01280922 -0.87924299  0.        ]",-5.95834,-0.210553668578,[ 0.6596033   2.37342262]
1,[-0.85203576 -0.67574793],"[[-0.00544076  0.03543968  0.02524031  0.09935758]
 [ 0.00846179  3.95785863  0.          0.        ]]",[ 0.54526497  2.04424689],"[ 1.36199564  2.10621901  0.44505533 -0.94239845  0.22534162  0.86544084
 -0.71459597  0.22765673  1.01247322 -0.8337725   0.        ]",-5.71568,-0.20844586896,[ 0.51359063  2.11850929]
2,[-0.85203576 -0.67574793],"[[ 0.01635368  0.1535301   0.02524031  0.09935758]
 [ 2.16382308  7.83825384  0.          0.        ]]",[ 0.41797599  2.34578033],"[ 1.3618205   2.09035205  0.47794565 -0.62100585  0.22534156  0.86544049
 -0.65897189  0.84670486  1.00071175 -0.65264731  0.        ]",-5.38171,-0.199524692727,[ 0.3350645   1.84317517]
3,[-0.85203576 -0.67574793],"[[  0.07577719   0.34845975   0.02524031   0.09935758]
 [  3.77323126  11.64203648   0.           0.        ]]",[-0.05533937  1.19651721],"[ 1.35781066  2.02147978  0.5675176  -0.10532746  0.22534151  0.86544014
 -0.61743735  1.45353015  0.93647858 -0.31458816  0.        ]",-4.74079,-0.180807332815,[ 0.31554967  1.57792902]
4,[-0.85203576 -0.67574793],"[[  0.14828748   0.6187166    0.02524031   0.09935758]
 [  3.47888559  15.37121644   0.           0.        ]]",[ 1.09084503  1.82305492],"[ 1.34593426  1.8429885   0.67623819  0.54716477  0.22534145  0.86543979
 -0.62503339  2.04845233  0.77012469  0.08200762  0.        ]",-4.16511,-0.153084798207,[ 0.65895349  1.43198121]
5,[-0.85203576 -0.67574793],"[[  0.25687013   0.96280172   0.02524031   0.09935758]
 [  7.36677794  19.02512911   0.           0.        ]]",[ 1.26118907  1.05108363],"[ 1.31393857  1.49619815  0.83667822  1.20585336  0.2253414   0.86543944
 -0.52469753  2.63136416  0.43874794  0.4715016   0.        ]",-3.60447,-0.113184449122,[ 0.89765316  1.23356402]
6,[-0.85203576 -0.67574793],"[[  0.44246297   1.3792397    0.02524031   0.09935758]
 [ 11.18030957  22.60673167   0.           0.        ]]",[ 1.80942293  1.63905518],"[ 1.22090868  0.9535968   1.09944298  1.6460098   0.22534134  0.8654391
 -0.42628074  3.20273592 -0.10532128  0.68584296  0.        ]",-3.51217,-0.0627053565771,[ 1.69844556  0.85943627]
7,[-0.85203576 -0.67574793],"[[  7.03600324e-01   1.86659814e+00   2.52403132e-02   9.93575814e-02]
 [  1.49214556e+01   2.61174136e+01   0.00000000e+00   0.00000000e+00]]",[ 1.65119163  0.30553711],"[ 1.01404036  0.26701059  1.42965034  1.57724058  0.22534129  0.86543875
 -0.32973203  3.76278751 -0.70905145  0.42481596  0.        ]",-3.54441,-0.0483709115031,[ 2.29067016  0.52309167]
8,[-0.85203576 -0.67574793],"[[  1.03884061e+00   2.39588410e+00   2.52403132e-02   9.93575814e-02]
 [  1.85903096e+01   2.68089205e+01   0.00000000e+00   0.00000000e+00]]",[ 2.79722475  0.20742652],"[ 0.63996301 -0.36430352  1.75389412  0.81660142  0.22534124  0.8654384
 -0.23504899  3.8730901  -1.00061271 -0.29850615  0.        ]",-3.77628,-0.0916157556195,[ 2.29202437  0.54009157]
9,[-0.85203576 -0.67574793],"[[  1.44671793e+00   2.93496925e+00   2.52403132e-02   9.93575814e-02]
 [  2.21849498e+01   2.70987580e+01   0.00000000e+00   0.00000000e+00]]",[ 2.52496651  0.87081137],"[ 0.07809638 -0.7121198   1.95083217 -0.47814389  0.22534118  0.86543805
 -0.1422812   3.91931324 -0.7628543  -0.91214394  0.        ]",-4.08876,-0.114937812027,[ 2.09530067  0.53382808]
10,[-0.85203576 -0.67574793],"[[  1.92572742e+00   3.18648865e+00   2.52403132e-02   9.93575814e-02]
 [  2.57041958e+01   1.17233222e+00   0.00000000e+00   0.00000000e+00]]",[ 1.79746517  0.05252907],"[-0.61245858 -0.74098975  1.86836646 -1.16208548  0.22534113  0.8654377
 -0.05145913 -0.21673173 -0.51425005 -0.9350197   0.        ]",-2.1156,-0.107556560109,[ 2.60572481  0.25551003]
