timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.83739656 -0.67082113],"[[-0.01023272 -0.07424048  0.10972942 -0.06577732]
 [-0.00120844 -0.00453848  0.          0.        ]]",[-1.54014767  1.87663796],"[ 1.35753746  2.10373383  0.43323377 -1.23894012  0.95624878 -0.56417539
 -0.71624631 -0.40457803  0.36808197  0.73491204  0.        ]",-4.45692,-0.114244904714,[-1.57832932  1.34695363]
1,[-0.83739656 -0.67082113],"[[-0.0499626  -0.03458707  0.10972942 -0.06577732]
 [-3.95859789  3.95667306  0.          0.        ]]",[-0.49998092  0.87738365],"[ 1.35578637  2.10680272  0.37334383 -1.13061418  0.95624835 -0.56417521
 -0.81864629  0.22724506  0.36716756  0.69384164  0.        ]",-4.13272,-0.112260514463,[-1.23466134  1.15619576]
2,[-0.83739656 -0.67082113],"[[-0.14820671  0.07862441  0.10972942 -0.06577732]
 [-5.85948125  7.35315073  0.          0.        ]]",[-0.88943994  1.40802248],"[ 1.34156373  2.10325159  0.22595728 -0.82110402  0.95624791 -0.56417504
 -0.86783267  0.76899158  0.36074091  0.60987341  0.        ]",-4.1699,-0.107996244167,[-0.91008461  1.00709605]
3,[-0.83739656 -0.67082113],"[[ -0.29955106   0.26396755   0.10972942  -0.06577732]
 [ -9.26363089  11.16842518   0.           0.        ]]",[ 0.15662995  0.66501098],"[ 1.29242054  2.05831298  0.00360734 -0.32213566  0.95624748 -0.56417486
 -0.95591708  1.37753665  0.33670032  0.49622297  0.        ]",-3.65947,-0.101067502342,[-0.23487794  0.75810462]
4,[-0.83739656 -0.67082113],"[[ -0.47677847   0.51153281   0.10972942  -0.06577732]
 [ -8.46176475  13.58005846   0.           0.        ]]",[ 0.66984963 -0.34690938],"[ 1.19434842  1.92532265 -0.24347945  0.30332609  0.95624704 -0.56417468
 -0.93516779  1.76219651  0.28575464  0.40690804  0.        ]",-2.99518,-0.0921531170187,[ 0.34241107  0.3749581 ]
5,[-0.83739656 -0.67082113],"[[ -0.61774052   0.76664319   0.10972942  -0.06577732]
 [ -5.64378364  11.93648602   0.           0.        ]]",[-0.56876192 -1.33465276],"[ 1.08705704  1.70917256 -0.42487983  0.86204297  0.95624661 -0.56417451
 -0.86225012  1.50004154  0.22123849  0.41175432  0.        ]",-2.48318,-0.0841203722435,[ 0.36268011  0.08177623]
6,[-0.83739656 -0.67082113],"[[-0.7520611   0.96327949  0.10972942 -0.06577732]
 [-7.78124683  7.7410921   0.          0.        ]]",[ 0.77778349  0.9611315 ],"[ 0.96275754  1.49635422 -0.58165898  1.21046681  0.95624617 -0.56417433
 -0.91755814  0.83086584  0.1473088   0.37409517  0.        ]",-2.46657,-0.0737679579487,[ 0.39339313  0.16018343]
7,[-0.83739656 -0.67082113],"[[ -0.8752763    1.15473641   0.10972942  -0.06577732]
 [ -4.55091376  11.39247524   0.           0.        ]]",[-0.64458441 -1.38324761],"[ 0.83173744  1.25895527 -0.70921584  1.46661437  0.95624574 -0.56417415
 -0.83397058  1.41326922  0.06535044  0.361865    0.        ]",-2.19224,-0.0631184697122,[ 0.69319469 -0.51514077]
8,[-0.83739656 -0.67082113],"[[-0.99097232  1.34059995  0.10972942 -0.06577732]
 [-7.01060997  7.20778645  0.          0.        ]]",[ 0.62984984 -0.88118381],"[ 0.69572476  1.00828136 -0.81303842  1.62785598  0.9562453  -0.56417398
 -0.89761663  0.74580118 -0.02349681  0.36663181  0.        ]",-2.25862,-0.0522981955181,[ 0.63365614 -0.51648587]
9,[-0.83739656 -0.67082113],"[[-1.10477875  1.44830918  0.10972942 -0.06577732]
 [-4.37877389  3.57527547  0.          0.        ]]",[ 0.47351391  0.49493047],"[ 0.55146049  0.85731709 -0.89871297  1.67952774  0.95624487 -0.5641738
 -0.82951561  0.16640698 -0.09674248  0.30142958  0.        ]",-2.46992,-0.0410551674728,[ 0.33122981 -0.33891261]
10,[-0.83739656 -0.67082113],"[[-1.17268773  1.53876262  0.10972942 -0.06577732]
 [-2.41861672  5.46379211  0.          0.        ]]",[ 0.49249378 -0.60997063],"[ 0.46119842  0.72890719 -0.94159261  1.69862131  0.95624443 -0.56417362
 -0.7787948   0.46762982 -0.15019665  0.2960641   0.        ]",-2.36072,-0.0342966280869,[ 0.46556699 -0.71452528]
11,[-0.83739656 -0.67082113],"[[-1.20101949  1.62271674  0.10972942 -0.06577732]
 [-0.42120837  2.94004237  0.          0.        ]]",[ 0.37037266 -0.4772106 ],"[ 0.42274305  0.60936759 -0.95759749  1.69633646  0.95624399 -0.56417345
 -0.72711012  0.06508554 -0.18804908  0.34345555  0.        ]",-2.50093,-0.0320189785194,[ 0.12400214 -0.61479139]
12,[-0.83739656 -0.67082113],"[[-1.19464963  1.66197271  0.10972942 -0.06577732]
 [ 1.05328088  0.99204878  0.          0.        ]]",[ 0.10591485 -0.22024183],"[ 0.43142697  0.55359963 -0.95409648  1.68865727  0.95624356 -0.56417327
 -0.68895638 -0.24562422 -0.1999523   0.39263318  0.        ]",-2.6211,-0.0336726000901,[-0.12650797 -0.36023778]
13,[-0.83739656 -0.67082113],"[[-1.16958588  1.67286623  0.10972942 -0.06577732]
 [ 1.45176405  0.10027489  0.          0.        ]]",[-0.53487507 -0.6107616 ],"[ 0.46538114  0.53815568 -0.93977099  1.68578038  0.95624312 -0.56417309
 -0.6786451  -0.3878643  -0.19633983  0.4385636   0.        ]",-2.65505,-0.0370999085145,[-0.23814997 -0.21901985]
14,[-0.83739656 -0.67082113],"[[-1.16207477  1.65059077  0.10972942 -0.06577732]
 [-0.69349625 -2.31975331  0.          0.        ]]",[-0.43695327  1.30745025],"[ 0.47548747  0.56975192 -0.93530736  1.69131305  0.95624269 -0.56417291
 -0.73415504 -0.77386469 -0.18520773  0.42689161  0.        ]",-2.85249,-0.0373424511488,[-0.16289228  0.38357854]
