timestep,obs,logstd_action_dist,actions,rewards,original_rewards,human_obs,avg_action_dist
0,"[ 1.07212479  1.45166438  0.01336264 -0.46602038 -1.68757162 -0.38701005
 -0.5383889  -0.19816981  2.38740806  0.28750931  0.        ]",[-0.00215099 -0.11347616],[ 0.00824616  0.79288801],-2.12969,-0.40666262919,"[[ 0.04447952 -0.05025251 -0.19395434 -0.04390394]
 [ 0.0019837   0.00245227  0.          0.        ]]",[ 0.26553905  0.74362099]
1,"[ 1.07209292  1.4529752   0.0139059  -0.40433821 -1.68754337 -0.38700811
 -0.5359049   0.21758052  2.38709494  0.31329667  0.        ]",[-0.00215099 -0.11347616],[ 0.19110823 -1.3686242 ],-1.85902,-0.407056570538,"[[ 0.04483386 -0.01870435 -0.19395434 -0.04390394]
 [ 0.03334891  3.1419009   0.          0.        ]]",[ 0.25631917  0.76194763]
2,"[ 1.07152472  1.4531608   0.02657084 -0.36035349 -1.68751511 -0.38700618
 -0.4760311  -0.31505726  2.38584342  0.34391547  0.        ]",[-0.00215099 -0.11347616],[-0.10099992  1.53973924],-2.20588,-0.407428482171,"[[ 0.05309508  0.00377878 -0.19395434 -0.04390394]
 [ 0.79024848 -0.88018315  0.          0.        ]]",[ 0.26874882  0.7644347 ]
3,"[ 1.07057001  1.45273384  0.04438136 -0.31672947 -1.68748686 -0.38700424
 -0.50899084  0.21163585  2.38352905  0.37942908  0.        ]",[-0.00215099 -0.11347616],[-2.51892827  0.09420395],-2.2185,-0.407781596867,"[[ 0.06471898  0.02607942 -0.19395434 -0.04390394]
 [ 0.37353367  3.0969916   0.          0.        ]]",[ 0.25776029  0.77163815]
4,"[ 1.07272448  1.4480501  -0.00512881 -0.18964367 -1.68745861 -0.3870023
 -0.82249378  0.25311552  2.38196025  0.38208383  0.        ]",[-0.00215099 -0.11347616],[-1.10947487  1.15397145],-2.1927,-0.407608874562,"[[ 0.03242379  0.09116204 -0.19395434 -0.04390394]
 [-3.58985759  3.41022063  0.          0.        ]]",[ 0.25851601  0.79514062]
5,"[ 1.06920325  1.42910354 -0.17505265  0.01792152 -1.68743036 -0.38700037
 -1.12990271  0.76873417  2.38053898  0.29868755  0.        ]",[-0.00215099 -0.11347616],[ 1.23270164  1.17934997],-1.91759,-0.40585523309,"[[-0.07836683  0.19843186 -0.19395434 -0.04390394]
 [-7.47626822  7.30377072  0.          0.        ]]",[ 0.25067267  0.79025948]
6,"[ 1.04943241  1.36455888 -0.33984598  0.36294434 -1.68740211 -0.38699843
 -0.80539393  1.27373008  2.36252344  0.28054317  0.        ]",[-0.00215099 -0.11347616],[ 0.23892814  1.42321772],-1.86979,-0.402832547951,"[[ -0.1867323    0.38276817  -0.19395434  -0.04390394]
 [ -3.37389053  11.11716979   0.           0.        ]]",[ 0.24683003  0.77001393]
7,"[ 1.03250754  1.2090341  -0.42580709  0.80471504 -1.68737386 -0.38699649
 -0.72543152  1.76886918  2.31187741  0.3945797   0.        ]",[-0.00215099 -0.11347616],[-0.43608641  0.3285747 ],-1.55312,-0.397304696761,"[[ -0.24406904   0.64262721  -0.19395434  -0.04390394]
 [ -2.36306561  14.85627916   0.           0.        ]]",[ 0.24050835  0.74021351]
8,"[ 1.00837786  0.94142678 -0.52045445  1.22343809 -1.68734561 -0.38699456
 -0.85819595  1.90224045  2.21374606  0.51823419  0.        ]",[-0.00215099 -0.11347616],[-1.19850273  1.25708993],-1.49046,-0.385628323247,"[[ -0.30817103   0.94986064  -0.19395434  -0.04390394]
 [ -4.04155375  15.86368357   0.           0.        ]]",[ 0.2383796   0.71761847]
9,"[ 0.94893633  0.55251151 -0.69182733  1.51924789 -1.68731737 -0.38699262
 -1.16489809  2.38505439  2.07003369  0.57269776  0.        ]",[-0.00215099 -0.11347616],[-0.3501826   2.12778738],-1.2335,-0.365848984951,"[[ -0.42790528   1.30372066  -0.19395434  -0.04390394]
 [ -7.91902506  19.51008324   0.           0.        ]]",[ 0.2250364   0.65808022]
10,"[ 0.83335129  0.03594849 -0.91982044  1.56391387 -1.68728912 -0.38699069
 -1.26213239  2.85812578  1.86091035  0.57412668  0.        ]",[-0.00215099 -0.11347616],[ 1.39633233  0.50313774],-0.56384,-0.334907297336,"[[ -0.59862137   1.72977418  -0.19395434  -0.04390394]
 [ -9.14844034  23.08332387   0.           0.        ]]",[ 0.21064234  0.54853678]
11,"[ 0.71230407 -0.49711224 -1.08992072  1.20601007 -1.68726088 -0.38698875
 -0.93463971  3.0612058   1.57226839  0.56525888  0.        ]",[-0.00215099 -0.11347616],[ 0.52694238  2.573845  ],-0.736463,-0.292127093991,"[[ -0.74005441   2.20683709  -0.19395434  -0.04390394]
 [ -5.00836598  24.61796544   0.           0.        ]]",[ 0.21104178  0.40825844]
12,"[ 0.6364325  -0.89359628 -1.17532333  0.40764398 -1.68723264 -0.38698681
 -0.76167802  3.52076782  1.2186293   0.48192002  0.        ]",[-0.00215099 -0.11347616],[ 0.79506349  0.24793503],-0.435666,-0.237091652411,"[[ -0.81828436   2.73403322  -0.19395434  -0.04390394]
 [ -2.82184732  28.09011399   0.           0.        ]]",[ 0.22631636  0.31581947]
13,"[ 0.61167237 -0.99366358 -1.2004633  -0.39697083 -1.6872044  -0.38698488
 -0.50829745  0.7183856   0.95309713  0.29507874  0.        ]",[-0.00215099 -0.11347616],[ 0.63707526 -1.61739009],-0.474963,-0.190810649402,"[[-0.84257728  3.15650203 -0.19395434 -0.04390394]
 [ 0.38135345  6.92559329  0.          0.        ]]",[ 0.26325423  0.31532386]
14,"[ 0.64501665 -0.99346434 -1.1662771  -0.41300462 -1.68717616 -0.38698294
 -0.30940483 -0.60709793  0.9554699   0.29662261  0.        ]",[-0.00215099 -0.11347616],[ 0.53967776  1.47639669],-0.67047,-0.191217139768,"[[-0.80972408  3.16470023 -0.19395434 -0.04390394]
 [ 2.89572636 -3.08492145  0.          0.        ]]",[ 0.29740402  0.26133195]
