timestep,obs,logstd_action_dist,actions,rewards,original_rewards,human_obs,avg_action_dist
0,"[ 1.13393223  1.985401   -0.01958382 -0.82931795 -1.25986351  0.44556311
 -0.8238659  -0.33793372  2.26700344 -0.57271772  0.        ]",[-0.28918642 -0.29644376],[-0.34733191  2.53390486],-3.34821,-0.360721307421,"[[-0.0236304  -0.06595273 -0.14513232  0.05362776]
 [-0.00072283 -0.00204926  0.          0.        ]]",[-0.3887552   1.82878184]
1,"[ 1.13334752  1.98781726 -0.04036144 -0.71994152 -1.25985895  0.44556236
 -0.8757581   0.21531466  2.26821905 -0.56089926  0.        ]",[-0.28918642 -0.29644376],[-0.16349259  1.19746206],-3.17514,-0.360631221872,"[[-0.03744593 -0.0262601  -0.14513232  0.05362776]
 [-1.37624557  3.95811182  0.          0.        ]]",[-0.32217747  1.74073958]
2,"[ 1.13081922  1.98266259 -0.09107504 -0.39449007 -1.25985439  0.44556161
 -0.89918566  0.75756831  2.26831571 -0.51300874  0.        ]",[-0.28918642 -0.29644376],[-0.12129668  2.5532522 ],-3.19487,-0.359640787116,"[[-0.07120195  0.09184616 -0.14513232  0.05362776]
 [-1.99728156  7.83957703  0.          0.        ]]",[-0.19657254  1.64625943]
3,"[ 1.12511525  1.93398621 -0.15755197  0.13290266 -1.25984983  0.44556086
 -0.91584913  1.28907316  2.25424667 -0.41520508  0.        ]",[-0.28918642 -0.29644376],[ 0.36592858  2.7709898 ],-2.95131,-0.355896794099,"[[ -0.11558      0.28680997  -0.14513232   0.05362776]
 [ -2.4390291   11.64412246   0.           0.        ]]",[ 0.01944672  1.45935786]
4,"[ 1.11896495  1.78737682 -0.20793759  0.81107629 -1.25984526  0.44556012
 -0.85945458  1.80994789  2.19901648 -0.2405624   0.        ]",[-0.28918642 -0.29644376],[-1.6834797  1.0303934],-2.48623,-0.345898889911,"[[ -0.14936426   0.55710161  -0.14513232   0.05362776]
 [ -0.94428014  15.3726241    0.           0.        ]]",[ 0.31182933  1.19315481]
5,"[ 1.10467482  1.48429799 -0.29439914  1.51555044 -1.2598407   0.44555937
 -1.00803214  2.3207552   2.0765053  -0.07055947  0.        ]",[-0.28918642 -0.29644376],[ 0.22173926 -0.12404588],-1.58717,-0.327598774856,"[[ -0.2077639    0.90124167  -0.14513232   0.05362776]
 [ -4.88257839  19.02914574   0.           0.        ]]",[ 0.65890944  0.90455782]
6,"[ 1.07453535  1.049481   -0.4224064   1.98980747 -1.25983614  0.44555862
 -0.97124914  2.19944116  1.89880876  0.0298579   0.        ]",[-0.28918642 -0.29644376],[ 1.48129259  1.61356424],-1.21361,-0.302414327926,"[[ -0.29563435   1.27311304  -0.14513232   0.05362776]
 [ -3.90767188  18.16089973   0.           0.        ]]",[ 0.86330175  0.79928547]
7,"[ 1.05848324  0.52507231 -0.47630123  2.09688229 -1.25983158  0.44555787
 -0.81900177  2.70222922  1.63584457  0.12947332  0.        ]",[-0.28918642 -0.29644376],[ 1.90496248  0.78265805],-0.691322,-0.265695499616,"[[ -0.33330282   1.67244264  -0.14513232   0.05362776]
 [  0.12777284  21.76013703   0.           0.        ]]",[ 1.18669975  0.43160638]
8,"[ 1.07635905 -0.0498094  -0.41578672  1.68443113 -1.25982701  0.44555713
 -0.66968053  3.07487297  1.25928915  0.15300715  0.        ]",[-0.28918642 -0.29644376],[ 1.30575938 -0.44370808],-0.549943,-0.212631439065,"[[ -0.29103968   2.13441146  -0.14513232   0.05362776]
 [  4.08566975  24.42790782   0.           0.        ]]",[ 1.3614372   0.20605612]
9,"[ 1.11433717 -0.47873044 -0.2391687   0.77340224 -1.25982245  0.44555638
 -0.5232822   2.76181702  0.90120028 -0.02852921  0.        ]",[-0.28918642 -0.29644376],[ 1.7086018   1.22098382],-1.00006,-0.160376786675,"[[ -0.17039159   2.60048766  -0.14513232   0.05362776]
 [  7.96610008  22.18721119   0.           0.        ]]",[ 1.32373083  0.22899731]
10,"[ 1.13377686 -0.66594396  0.056729   -0.47648697 -1.25981789  0.44555563
 -0.3798166   2.57018216  0.72400391 -0.42052648  0.        ]",[-0.28918642 -0.29644376],[ 0.7703889   0.81534028],-1.29168,-0.143125642369,"[[  0.02708837   3.07955222  -0.14513232   0.05362776]
 [ 11.7687995   20.8156225    0.           0.        ]]",[ 1.300488    0.14413923]
11,"[ 1.07647585 -0.66521784  0.44727261 -0.84127421 -1.25981333  0.44555488
 -0.2735677  -0.52852899  0.74687584 -0.56464863  0.        ]",[-0.28918642 -0.29644376],[ 1.3171608  -0.25549776],-1.2427,-0.1528500302,"[[  0.29071787   3.21188516  -0.14513232   0.05362776]
 [ 14.58503098  -1.36613934   0.           0.        ]]",[ 1.34564352  0.75995451]
12,"[ 0.87849422 -0.66849054  0.88931313 -0.65605315 -1.25980876  0.44555414
 -0.13509119 -0.92296493  0.7386268  -0.52368105  0.        ]",[-0.28918642 -0.29644376],[ 1.40376177  1.03807642],-1.33569,-0.149701147327,"[[  0.61924489   3.14468558  -0.14513232   0.05362776]
 [ 18.25549094  -4.18967635   0.           0.        ]]",[ 1.47245812  0.90421724]
13,"[  4.77168345e-01  -6.65697137e-01   1.29846638e+00  -4.68551045e-01
  -1.25980420e+00   4.45553388e-01   6.50262917e-04  -6.98686494e-01
   7.15474235e-01  -5.11023909e-01   0.00000000e+00]",[-0.28918642 -0.29644376],[ 2.10122839  1.07494869],-1.2279,-0.146058650765,"[[  1.02045431   3.07667126  -0.14513232   0.05362776]
 [ 21.85345555  -2.5842182    0.           0.        ]]",[ 1.52178395  0.85860169]
14,"[-0.13606293 -0.66143594  1.51606853 -0.36351672 -1.25979964  0.44555264
  0.13370316 -0.52424793  0.70946632 -0.54269032  0.        ]",[-0.28918642 -0.29644376],[ 1.13978997  1.46421124],-1.31121,-0.14688328745,"[[  1.49290802   3.03845972  -0.14513232   0.05362776]
 [ 25.38015734  -1.33552958   0.           0.        ]]",[ 1.48277581  0.8466869 ]
15,"[-0.86021934 -0.65860977  1.36126717 -0.31163554 -1.25979508  0.44555189
  0.26412122 -0.4261715   0.73872575 -0.58900563  0.        ]",[-0.28918642 -0.29644376],[ 1.56600007  0.61273196],-1.12193,-0.153108100839,"[[  2.03519502   3.01953302  -0.14513232   0.05362776]
 [ 28.83702095  -0.63346831   0.           0.        ]]",[ 1.37417281  0.85645145]
16,"[-1.45498735 -0.6570694   0.73159536 -0.28653307 -1.25979052  0.44555115
  0.391957   -0.38153945  0.80191086 -0.61139921  0.        ]",[-0.28918642 -0.29644376],[ 0.81194546  0.12784633],-0.815382,-0.162396912215,"[[  2.64593256   3.01036013  -0.14513232   0.05362776]
 [ 32.2254408   -0.31398076   0.           0.        ]]",[ 1.19439316  0.87811917]
