timestep,obs,logstd_action_dist,actions,rewards,original_rewards,human_obs,avg_action_dist
0,"[ 1.11520005  1.90227047 -0.1606722  -0.59094787  1.60758592 -1.67939307
 -0.79382555 -0.32019245 -0.06258687  1.31633192  0.        ]",[-0.19261046 -0.27352357],[-1.03547848  0.43698439],-1.27062,-0.173857798977,"[[-0.09985875  0.00545978  0.1852275  -0.19256095]
 [-0.00410227  0.00119271  0.          0.        ]]",[-0.75281727  0.61597836]
1,"[ 1.10864931  1.90193447 -0.22029827 -0.54543028  1.6075761  -1.67938213
 -0.96189423 -0.08058015 -0.06772687  1.26556105  0.        ]",[-0.19261046 -0.27352357],[-0.10498747  0.92775682],-1.25691,-0.167423160121,"[[-0.13963723  0.02285928  0.1852275  -0.19256095]
 [-3.96057046  1.73298101  0.          0.        ]]",[-0.71937352  0.58883405]
2,"[ 1.08817059  1.89650315 -0.3429524  -0.35957619  1.60756628 -1.6793712
 -0.97626601  0.42296465 -0.07920948  1.19112259  0.        ]",[-0.19261046 -0.27352357],[-0.0506811  -1.24198426],-0.845598,-0.157911331038,"[[-0.22224388  0.09403373  0.1852275  -0.19256095]
 [-4.29896333  5.37233289  0.          0.        ]]",[-0.62236935  0.53046483]
3,"[ 1.05664658  1.88545889 -0.46983529 -0.18664123  1.60755646 -1.67936026
 -0.98110122 -0.13960147 -0.09739731  1.10672344  0.        ]",[-0.19261046 -0.27352357],[-0.20331272  0.32064178],-0.853587,-0.147031216628,"[[-0.30936587  0.16068574  0.1852275  -0.19256095]
 [-4.41286314  1.30641737  0.          0.        ]]",[-0.71015477  0.68434453]
4,"[ 1.01069018  1.87643821 -0.60481785 -0.08726547  1.60754664 -1.67934933
 -1.01157694  0.03252094 -0.12845928  0.98686934  0.        ]",[-0.19261046 -0.27352357],[-0.39278808  1.88458157],-1.02553,-0.131514364019,"[[-0.40482193  0.1992956   0.1852275  -0.19256095]
 [-5.13035383  2.55042032  0.          0.        ]]",[-0.65282595  0.67054236]
5,"[ 0.9385538   1.84798063 -0.76301194  0.14171902  1.60753682 -1.67933839
 -1.0733346   0.57346161 -0.16962167  0.88070107  0.        ]",[-0.19261046 -0.27352357],[-0.67926317  0.39224463],-0.686356,-0.117660848254,"[[-0.5220163   0.28953052  0.1852275  -0.19256095]
 [-6.58424264  6.46003369  0.          0.        ]]",[-0.49032092  0.5351451 ]
6,"[ 0.81615248  1.78192397 -0.95879175  0.49263792  1.607527   -1.67932746
 -1.18197519  0.77077652 -0.23433567  0.76603239  0.        ]",[-0.19261046 -0.27352357],[-0.04606822  1.32546341],-0.613313,-0.102913140548,"[[-0.6793616   0.43303987  0.1852275  -0.19256095]
 [-9.14179264  7.88612433  0.          0.        ]]",[-0.3424288   0.48490003]
7,"[ 0.6408687   1.65286893 -1.15657787  0.93384737  1.60751718 -1.67931652
 -1.18209612  1.29700077 -0.3210271   0.67304917  0.        ]",[-0.19261046 -0.27352357],[ 0.05805556  0.75059657],-0.404934,-0.0921392694237,"[[ -0.86222725   0.62892199   0.1852275   -0.19256095]
 [ -9.14475307  11.68940247   0.           0.        ]]",[-0.05325626  0.34530684]
8,"[ 0.4405434   1.41908274 -1.31303073  1.42812475  1.60750736 -1.67930559
 -1.16469553  1.67613747 -0.41069254  0.66148011  0.        ]",[-0.19261046 -0.27352357],[ 0.91457961  0.61134032],-0.320953,-0.0934157696721,"[[ -1.04101396   0.89020397   0.1852275   -0.19256095]
 [ -8.7352469   14.42965835   0.           0.        ]]",[ 0.24859886  0.22152749]
9,"[ 0.27207433  1.07105121 -1.40483064  1.83340636  1.60749754 -1.67929466
 -1.00364615  1.971349   -0.48775586  0.76406037  0.        ]",[-0.19261046 -0.27352357],[ 0.00637007  0.69907663],-0.317623,-0.109109777192,"[[ -1.17768377   1.20020498   0.1852275   -0.19256095]
 [ -4.94416309  16.56339905   0.           0.        ]]",[ 0.51270384  0.07494658]
10,"[ 0.14548576  0.61846753 -1.45456737  2.01071021  1.60748772 -1.67928372
 -0.99841252  2.30892586 -0.58199161  0.96011453  0.        ]",[-0.19261046 -0.27352357],[ 0.82637535 -0.02508856],-0.383835,-0.13697219806,"[[ -1.27533262   1.55595434   0.1852275   -0.19256095]
 [ -4.8210413   19.00340589   0.           0.        ]]",[ 0.72737229 -0.06002215]
11,"[ 0.06219337  0.13954914 -1.47924764  1.84286067  1.6074779  -1.67927279
 -0.8553724   2.24303436 -0.7257881   1.19350552  0.        ]",[-0.19261046 -0.27352357],[-0.71156524 -0.25689349],-0.541055,-0.172066421148,"[[ -1.3379712    1.93124531   0.1852275   -0.19256095]
 [ -1.45388101  18.52734016   0.           0.        ]]",[ 0.77647817 -0.07576108]
12,"[-0.01474622 -0.25725098 -1.49670997  1.36661674  1.60746808 -1.67926186
 -0.97376321  2.05154677 -0.92039632  1.37629712  0.        ]",[-0.19261046 -0.27352357],[ 0.28104135  0.23274175],-0.941732,-0.20511806415,"[[ -1.39501014   2.28790781   0.1852275   -0.19256095]
 [ -4.2409213   17.14348118   0.           0.        ]]",[ 0.75819576 -0.06539553]
13,"[-0.11406184 -0.5412851  -1.51197098  0.6604365   1.60745826 -1.67925092
 -0.92290982  2.13206695 -1.15250913  1.49172063  0.        ]",[-0.19261046 -0.27352357],[ 0.56409658 -0.16017396],-1.2796,-0.234863486389,"[[ -1.46781843   2.63661781   0.1852275   -0.19256095]
 [ -3.04388197  17.7255955    0.           0.        ]]",[ 0.76999259 -0.07808384]
14,"[-0.16603787 -0.68720669 -1.51676115 -0.18755062  1.60744844 -1.67923999
 -0.82546138  1.99575621 -1.40698449  1.55485107  0.        ]",[-0.19261046 -0.27352357],[-0.34836042 -0.47722439],-1.58348,-0.263109830011,"[[ -1.50568018   2.98124592   0.1852275   -0.19256095]
 [ -0.74996553  16.74051082   0.           0.        ]]",[ 0.75401956 -0.13805953]
15,"[-0.20552203 -0.70380137 -1.51895125 -0.5698744   1.60743862 -1.67922906
 -0.88344959 -0.28390677 -1.5240101   1.55722826  0.        ]",[-0.19261046 -0.27352357],[-0.46337598  0.93128085],-1.64051,-0.274324495734,"[[-1.53437705  3.12806702  0.1852275  -0.19256095]
 [-2.11509172  0.26380248  0.          0.        ]]",[ 0.50443119 -0.04050404]
16,"[-0.28857271 -0.70262501 -1.5195137  -0.48870393  1.6074288  -1.67921812
 -0.95960882 -0.63557513 -1.49116254  1.55539568  0.        ]",[-0.19261046 -0.27352357],[ 1.26754652  0.73945048],-1.67826,-0.271011900941,"[[-1.59466803  3.0970275   0.1852275  -0.19256095]
 [-3.90798037 -2.27795557  0.          0.        ]]",[ 0.46497774  0.00721911]
17,"[-0.34040507 -0.69907813 -1.51707814 -0.38000028  1.60741899 -1.67920719
 -0.7881268  -0.55936497 -1.45564845  1.54912488  0.        ]",[-0.19261046 -0.27352357],[-0.73162805 -0.21398543],-1.53577,-0.267068832201,"[[-1.63232622  3.05538634  0.1852275  -0.19256095]
 [ 0.12871396 -1.72714235  0.          0.        ]]",[ 0.50130594  0.04278958]
18,"[-0.37683276 -0.69310347 -1.51407844 -0.26893403  1.60740917 -1.67919626
 -0.91128753 -0.67187951 -1.42152577  1.53969578  0.        ]",[-0.19261046 -0.27352357],[ 0.69975465  0.46328468],-1.60418,-0.262992068917,"[[-1.6588417   3.01268409  0.1852275  -0.19256095]
 [-2.77059688 -2.54037191  0.          0.        ]]",[ 0.48228216  0.07243904]
19,"[-0.41392477 -0.68710237 -1.5099267  -0.18636229  1.60739935 -1.67918533
 -0.79125879 -0.41109849 -1.39633262  1.5293014   0.        ]",[-0.19261046 -0.27352357],[ 0.55003898  0.74750578],-1.60468,-0.2596719538,"[[-1.68590481  2.98078778  0.1852275  -0.19256095]
 [ 0.05486659 -0.65554145  0.          0.        ]]",[ 0.534603    0.07807358]
20,"[ -3.82491583e-01  -6.90408555e-01  -1.51350103e+00  -2.29590427e-01
   1.60738953e+00  -1.67917440e+00  -6.98785635e-01   2.22635992e-04
  -1.40988954e+00   1.53617965e+00   0.00000000e+00]",[-0.19261046 -0.27352357],[-0.38310676  0.83268088],-1.5973,-0.261582829654,"[[-1.66296691  2.99750488  0.1852275  -0.19256095]
 [ 2.23167129  2.31734329  0.          0.        ]]",[ 0.58396858  0.03083345]
