timestep,obs,logstd_action_dist,actions,rewards,original_rewards,human_obs,avg_action_dist
0,"[ 1.17866169  2.1214816   0.017033   -0.75349896  1.43842585 -0.85439074
 -0.84192902 -0.37493752  0.05723764  0.70124467  0.        ]",[-0.44905984 -0.34594068],[-1.34241173  0.13932739],-1.03965,-0.0926040234615,"[[-0.06938301  0.00793957  0.16813302 -0.09651231]
 [-0.00495795 -0.00403565  0.          0.        ]]",[-0.82005334  1.46460819]
1,"[ 1.17374144  2.12139125 -0.04195158 -0.73749562  1.43842217 -0.85438951
 -0.96449842 -0.29412785  0.05256307  0.63530981  0.        ]",[-0.44905984 -0.34594068],[-0.00431688  1.83065568],-1.19247,-0.0854536234185,"[[-0.10917384  0.01341028  0.16813302 -0.09651231]
 [-3.96095236  0.54925723  0.          0.        ]]",[-0.70639282  1.44181645]
2,"[ 1.15761942  2.11867793 -0.15765118 -0.58959211  1.43841849 -0.85438828
 -0.96264602  0.28258521  0.04178284  0.54275178  0.        ]",[-0.44905984 -0.34594068],[-0.20217753  1.28935643],-1.08048,-0.0753078888711,"[[-0.18779357  0.0640139   0.16813302 -0.09651231]
 [-3.90121558  4.4979451   0.          0.        ]]",[-0.42346701  1.07871711]
3,"[ 1.13061956  2.09591314 -0.28120272 -0.21618824  1.43841481 -0.85438705
 -0.98508049  0.84792309  0.03129758  0.51253052  0.        ]",[-0.44905984 -0.34594068],[-0.96742227 -0.73324314],-0.658782,-0.0715286129284,"[[-0.27308333  0.19280992  0.16813302 -0.09651231]
 [-4.62534346  8.36875206  0.          0.        ]]",[-0.09988006  0.63519412]
4,"[  1.07089813e+00   2.04725845e+00  -4.63578557e-01   1.69550296e-01
   1.43841113e+00  -8.54385816e-01  -1.10078546e+00   3.99885185e-01
   7.66121245e-04   4.14169661e-01   0.00000000e+00]",[-0.44905984 -0.34594068],[ 1.18431924  0.46008025],-0.544967,-0.0595529914047,"[[-0.40305882  0.32940638  0.16813302 -0.09651231]
 [-8.35980237  5.30109521  0.          0.        ]]",[-0.11447185  0.73439085]
5,"[ 0.99255866  1.98244822 -0.63081388  0.50261395  1.43840745 -0.85438458
 -0.9731108   0.65039026 -0.03998858  0.31571566  0.        ]",[-0.44905984 -0.34594068],[-0.4528672   0.19910236],-0.400617,-0.0468633887034,"[[-0.5289113   0.45263703  0.16813302 -0.09651231]
 [-4.23913596  7.01627616  0.          0.        ]]",[ 0.05041582  0.41857892]
6,"[ 0.91517509  1.88073195 -0.75765752  0.8737679   1.43840377 -0.85438335
 -1.02602965  0.74532468 -0.07815956  0.28513056  0.        ]",[-0.44905984 -0.34594068],[-0.95714161  0.21114105],-0.278421,-0.040877992473,"[[-0.63083092  0.59948447  0.16813302 -0.09651231]
 [-5.94715556  7.66628614  0.          0.        ]]",[ 0.23336458  0.17803766]
7,"[ 0.77477748  1.74187291 -0.93348542  1.23789732  1.43840009 -0.85438212
 -1.13972049  0.84541755 -0.15079017  0.18845959  0.        ]",[-0.44905984 -0.34594068],[-0.2921116  -0.39975792],-0.141533,-0.0259455561003,"[[-0.78659025  0.75968683  0.16813302 -0.09651231]
 [-9.61661394  8.35161671  0.          0.        ]]",[ 0.50026059 -0.06765641]
8,"[ 0.55794674  1.58909496 -1.12297359  1.53131345  1.43839641 -0.85438089
 -1.16962471  0.59008165 -0.26533707  0.03051172  0.        ]",[-0.44905984 -0.34594068],[ 1.36466509  0.44942323],-0.201552,-0.00550941930184,"[[ -0.98860678   0.90917868   0.16813302  -0.09651231]
 [-10.58185151   6.60337138   0.           0.        ]]",[ 0.75844043 -0.01491396]
9,"[ 0.35125304  1.41847672 -1.24341757  1.77195691  1.43839273 -0.85437966
 -1.04056844  0.83067555 -0.37394861 -0.05849192  0.        ]",[-0.44905984 -0.34594068],[ 1.00957967 -0.11075143],-0.124825,-0.0196106344136,"[[-1.15845335  1.0577736   0.16813302 -0.09651231]
 [-6.41659839  8.25069191  0.          0.        ]]",[ 0.95672959 -0.30352044]
