timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.341826863874,[-2.92871515  1.36935568],"[ 1.18118355  2.35471108  0.04314562 -0.48620542 -0.98682444 -0.87719046
  1.19594728 -0.38438479  2.17325505  0.99125864  0.        ]",-2.21911,"[[-0.0018293   0.09434307 -0.11384273 -0.10081827]
 [ 0.002532    0.00261163  0.          0.        ]]",[-3.25883389  1.2218554 ],[-0.19245914 -0.37140325]
1,-0.340485007825,[-4.74278389  0.61970643],"[ 1.17999673  2.34812453 -0.01577047 -0.34265113 -0.98682279 -0.87718915
  1.08922252  0.16592509  2.17260016  0.95629194  0.        ]",-1.90244,"[[-0.04148517  0.13413802 -0.11384273 -0.10081827]
 [-3.95493857  3.96367444  0.          0.        ]]",[-3.45921874  0.9709214 ],[-0.19245914 -0.37140325]
2,-0.335527196911,[-3.33345498 -0.20360107],"[ 1.16367339  2.32053215 -0.19016862  0.02520475 -0.98682115 -0.87718784
  0.9846245   0.49612913  2.16487826  0.83789462  0.        ]",-2.07165,"[[-0.15949921  0.23725858 -0.11384273 -0.10081827]
 [-7.8335602   6.3404437   0.          0.        ]]",[-3.43960547  0.98680222],[-0.19245914 -0.37140325]
3,-0.324452308608,[-2.10331312  1.10858766],"[ 1.095507    2.27089004 -0.46973076  0.43299787 -0.98681951 -0.87718653
  0.88212655  0.36686938  2.13081338  0.59601449  0.        ]",-2.23423,"[[ -0.35430429   0.35473286  -0.11384273  -0.10081827]
 [-11.63431894   5.41005206   0.           0.        ]]",[-3.15514064  1.27870643],[-0.19245914 -0.37140325]
4,-0.305515988232,[-0.92610634  2.67348986],"[ 0.92092758  2.18258847 -0.82293104  0.91772428 -0.98681786 -0.87718522
  0.78160219  0.90223872  2.0311727   0.26572367  0.        ]",-2.26494,"[[ -0.62439014   0.50159817  -0.11384273  -0.10081827]
 [-15.36190238   9.26357526   0.           0.        ]]",[-3.03306723  1.32493806],[-0.19245914 -0.37140325]
5,-0.277692109863,[-2.71867585  1.6112118 ],"[ 0.5868591   1.99685362 -1.17610911  1.57908263 -0.98681622 -0.87718391
  0.69093861  1.42692346  1.83492952 -0.05760599  0.        ]",-1.82907,"[[ -0.96535855   0.72476293  -0.11384273  -0.10081827]
 [-18.72383696  13.04020803   0.           0.        ]]",[-3.04938769  1.33928061],[-0.19245914 -0.37140325]
6,-0.239053991034,[-4.19421906  1.47010612],"[ 0.06906678  1.66701851 -1.41210775  2.27104926 -0.98681458 -0.8771826
  0.59416446  1.94111416  1.53082514 -0.30306804  0.        ]",-1.40882,"[[ -1.37583847   1.02270349  -0.11384273  -0.10081827]
 [-22.3123673   16.74133926   0.           0.        ]]",[-3.13563561  1.22562826],[-0.19245914 -0.37140325]
7,-0.189225199788,[-3.65141722  1.79926755],"[-0.5880536   1.1668949  -1.37964315  2.74628016 -0.98681293 -0.87718129
  0.49927487  2.44495289  1.14324327 -0.38233978  0.        ]",-1.16064,"[[ -1.85738744   1.39392007  -0.11384273  -0.10081827]
 [-25.83101874  20.36801428   0.           0.        ]]",[-3.18309188  0.94668067],[-0.19245914 -0.37140325]
8,-0.134493542772,[-3.41185521  0.6743703 ],"[-1.22323796  0.53075198 -0.94846497  2.6750716  -0.98681129 -0.87717998
  0.40623068  2.93863305  0.75949951 -0.21694349  0.        ]",-0.875052,"[[ -2.40862319   1.83693701  -0.11384273  -0.10081827]
 [-29.28124194  23.92165242   0.           0.        ]]",[-2.97288871  0.67514503],[-0.19245914 -0.37140325]
9,-0.101146464489,[-2.56667083  0.76582269],"[-1.56859514 -0.093363   -0.1223023   1.7872156  -0.98680965 -0.87717867
  0.31501372  3.24331039  0.51739792  0.18181944  0.        ]",-0.820091,"[[ -3.02818512   2.3373761   -0.11384273  -0.10081827]
 [-32.66370997  26.11493405   0.           0.        ]]",[-2.67885756  0.46695149],[-0.19245914 -0.37140325]
10,-0.12763029935,[-1.96682156  0.70568776],"[-1.35704909 -0.48979491  0.85174907  0.0936691  -0.986808   -0.87717736
  0.22562012  3.59235717  0.55289828  0.66429153  0.        ]",-1.06525,"[[ -3.714721     2.88488313  -0.11384273  -0.10081827]
 [-35.97856548  28.62768167   0.           0.        ]]",[-2.77762103  0.19992346],[-0.19245914 -0.37140325]
11,-0.150917043357,[-2.40738171 -0.2112227 ],"[-0.53336408 -0.53702019  1.48744273 -0.89747646 -0.98680636 -0.87717605
  0.13801428 -0.09572548  0.66779735  0.82488068  0.        ]",-0.974571,"[[ -4.46688951   3.16064764  -0.11384273  -0.10081827]
 [-39.22712847   2.08053712   0.           0.        ]]",[-2.99509549  0.26269352],[-0.19245914 -0.37140325]
12,-0.142297759993,[-2.89386893  1.55602296],"[ 0.5473283  -0.53723009  1.29625759 -0.79734789 -0.98680472 -0.87717474
  0.05217712 -0.79905211  0.58143828  0.83122891  0.        ]",-0.850218,"[[ -5.28336877   3.13307216  -0.11384273  -0.10081827]
 [-42.41010605  -2.98207372   0.           0.        ]]",[-3.00022435  0.33470637],[-0.19245914 -0.37140325]
13,-0.148467635274,[-2.4549659   1.02216963],"[ 1.17121211 -0.53425889  0.22423959 -0.59385792 -0.98680307 -0.87717343
 -0.03195261 -0.71396164  0.54715035  0.95447642  0.        ]",-0.885885,"[[ -6.1628717    3.07698821  -0.11384273  -0.10081827]
 [-45.52976937  -2.36959222   0.           0.        ]]",[-2.96284723  0.41241574],[-0.19245914 -0.37140325]
14,-0.163246994339,[-1.85815192  1.13047679],"[ 0.74189288 -0.52984833 -1.04168361 -0.46097579 -0.98680143 -0.87717212
 -0.11441566 -0.57106661  0.63776251  1.03121417  0.        ]",-1.16813,"[[ -7.10414757   3.04026544  -0.11384273  -0.10081827]
 [-48.58762979  -1.34102739   0.           0.        ]]",[-2.90931296  0.50418329],[-0.19245914 -0.37140325]
15,-0.167214267115,[-1.42150435  1.27182814],"[-0.54204749 -0.52672471 -1.39332229 -0.39079859 -0.98679978 -0.87717081
 -0.19524701 -0.47736852  0.73692897  0.95247078  0.        ]",-1.26291,"[[ -8.10597354   3.02081931  -0.11384273  -0.10081827]
 [-51.58498419  -0.66658527   0.           0.        ]]",[-2.87900734  0.54494119],[-0.19245914 -0.37140325]
16,-0.154653096666,[-2.17494193  1.20611818],"[-1.53193199 -0.52502948 -0.33277209 -0.35712657 -0.98679814 -0.8771695
 -0.27447903 -0.42772427  0.71677059  0.80102551  0.        ]",-1.09284,"[[ -9.16715158   3.01147297  -0.11384273  -0.10081827]
 [-54.52303374  -0.30924569   0.           0.        ]]",[-2.73237157  0.50373125],[-0.19245914 -0.37140325]
17,-0.137468426185,[-0.60962451  0.75814216],"[-1.09624233 -0.52421699  1.17379997 -0.34183228 -0.9867965  -0.87716819
 -0.35214306 -0.40385693  0.58577506  0.7572938   0.        ]",-1.13558,"[[-10.28650728   3.00722405  -0.11384273  -0.10081827]
 [-57.40294075  -0.13744993   0.           0.        ]]",[-2.83241844  0.38979536],[-0.19245914 -0.37140325]
18,-0.138419561822,[-4.37414984  0.08382526],"[ 0.40406747 -0.52380171  1.38288009 -0.33420579 -0.98679485 -0.87716688
 -0.3865884  -0.39546664  0.4966435   0.88920413  0.        ]",-0.62107,"[[-11.44738161   3.00510447  -0.11384273  -0.10081827]
 [-58.68023675  -0.07705889   0.           0.        ]]",[-2.95360279  0.33255994],[-0.19245914 -0.37140325]
19,-0.157749273866,[-2.53508225  0.1460186 ],"[ 1.17647222 -0.52343788 -0.07687187 -0.32762269 -0.98679321 -0.87716557
 -0.4620334  -0.39692348  0.56844176  1.04325404  0.        ]",-0.927832,"[[-12.64905582   3.00327439  -0.11384273  -0.10081827]
 [-61.47786002  -0.0875481    0.           0.        ]]",[-2.94259357  0.4149754 ],[-0.19245914 -0.37140325]
20,-0.169785312935,[-5.037424   -0.05540192],"[ 0.1177157  -0.5231651  -1.40077018 -0.32274679 -0.98679157 -0.87716426
 -0.53598477 -0.39163412  0.72012602  1.01090492  0.        ]",-0.69443,"[[ -1.39061268e+01   3.00191862e+00  -1.13842725e-01  -1.00818268e-01]
 [ -6.42200994e+01  -4.94777327e-02   0.00000000e+00   0.00000000e+00]]",[-2.88756633  0.52171999],[-0.19245914 -0.37140325]
21,-0.158016578968,[-1.2397452  -0.41287076],"[-1.41484919 -0.52250998 -0.65414903 -0.31121469 -0.98678992 -0.87716295
 -0.60847215 -0.42235359  0.73747202  0.81751712  0.        ]",-1.10655,"[[-15.21749794   2.99871092  -0.11384273  -0.10081827]
 [-66.90805518  -0.27060084   0.           0.        ]]",[-2.72856712  0.51453376],[-0.19245914 -0.37140325]
22,-0.134042675226,[-3.2597941  0.8304182],"[-1.08318961 -0.51767237  1.1857121  -0.23302093 -0.98678828 -0.87716164
 -0.67952366 -0.64916371  0.56326191  0.74254136  0.        ]",-0.875752,"[[-16.58209429   2.97691968  -0.11384273  -0.10081827]
 [-69.54277043  -1.90319428   0.           0.        ]]",[-2.78810573  0.45638818],[-0.19245914 -0.37140325]
23,-0.142439560562,[-2.83456812  1.00507488],"[ 0.71147377 -0.51653139  1.16305184 -0.21607311 -0.98678664 -0.87716034
 -0.74916477 -0.18765585  0.48102081  0.95508934  0.        ]",-0.884914,"[[-17.99885938   2.97218661  -0.11384273  -0.10081827]
 [-72.12519063   1.41875396   0.           0.        ]]",[-2.93050361  0.31968743],[-0.19245914 -0.37140325]
24,-0.164830631058,[-2.37994458  0.85436041],"[ 0.9266987  -0.52716093 -0.81424304 -0.40000478 -0.98678499 -0.87715903
 -0.81743793 -0.19514134  0.63386375  1.05553046  0.        ]",-1.05262,"[[-19.46676354   3.02337339  -0.11384273  -0.10081827]
 [-74.65689045   1.36487192   0.           0.        ]]",[-2.86856723  0.41866359],[-0.19245914 -0.37140325]
25,-0.16470221184,[-2.38524681 -0.69443233],"[-0.93599711 -0.52794957 -1.20973617 -0.41699536 -0.98678335 -0.87715772
 -0.88435566 -0.43527796  0.7390492   0.91387383  0.        ]",-1.00148,"[[-20.98479894   3.0280841   -0.11384273  -0.10081827]
 [-77.13833534  -0.36363997   0.           0.        ]]",[-2.79465175  0.50106949],[-0.19245914 -0.37140325]
26,-0.139550043751,[-3.3384233  -0.84682302],"[-1.36616313 -0.52136152  0.83631536 -0.29163763 -0.98678171 -0.87715641
 -0.94994487 -0.81676123  0.61621728  0.73949829  0.        ]",-0.721033,"[[-22.55196909   2.99326237  -0.11384273  -0.10081827]
 [-79.57052374  -3.10957156   0.           0.        ]]",[-2.73156834  0.51977432],[-0.19245914 -0.37140325]
27,-0.14126659447,[-4.61248692  1.51368116],"[ 0.58677208 -0.49448932  1.2679164   0.04754676 -0.98678006 -0.8771551
 -1.01422169 -1.27479754  0.43550651  0.98738143  0.        ]",-0.710847,"[[-24.16729572   2.8979963   -0.11384273  -0.10081827]
 [-81.95405443  -6.40654439   0.           0.        ]]",[-2.88522172  0.59513658],[-0.19245914 -0.37140325]
28,-0.187034891736,[-4.14107442  0.26508354],"[ 0.85942871 -0.45869754 -0.90818681  0.3511716  -0.98677842 -0.87715379
 -1.07721101 -0.70830073  0.77170333  1.16845158  0.        ]",-0.972678,"[[-25.82981163   2.81078279  -0.11384273  -0.10081827]
 [-84.28985189  -2.32889581   0.           0.        ]]",[-2.96922803  0.62201971],[-0.19245914 -0.37140325]
29,-0.160113737262,[-4.33385727  0.9281352 ],"[-1.22065938 -0.44102741 -0.95153232  0.47296999 -0.98677678 -0.87715248
 -1.13896796 -0.55759365  0.83531255  0.66002195  0.        ]",-0.757774,"[[-27.53858571   2.77509165  -0.11384273  -0.10081827]
 [-86.57996053  -1.24410821   0.           0.        ]]",[-2.81737256  0.72732222],[-0.19245914 -0.37140325]
30,-0.113969054699,[-2.16523852  0.77561491],"[-0.92192377 -0.44722043  1.31094786  0.43179538 -0.98677513 -0.87715117
 -1.19951646 -0.04527896  0.39726039  0.70155476  0.        ]",-0.861167,"[[-29.29271115   2.78720925  -0.11384273  -0.10081827]
 [-88.82526837   2.44353883   0.           0.        ]]",[-2.69569468  0.44545892],[-0.19245914 -0.37140325]
31,-0.161106438038,[-3.04034943  1.08645025],"[ 1.10914961 -0.48270127  0.51986899  0.15880784 -0.98677349 -0.87714986
 -1.25888745  0.37312266  0.51359325  1.13732745  0.        ]",-1.01885,"[[-31.09130559   2.86629348  -0.11384273  -0.10081827]
 [-91.0269241    5.4551989    0.           0.        ]]",[-2.91842413  0.32556465],[-0.19245914 -0.37140325]
32,-0.168702714533,[-2.0235067  -0.28727384],"[-0.12475185 -0.52548373 -1.43815288 -0.36607158 -0.98677185 -0.87714855
 -1.31708963  0.64187599  0.72482072  0.98997293  0.        ]",-1.08711,"[[-32.93349877   3.0139567   -0.11384273  -0.10081827]
 [-93.18525057   7.38969109   0.           0.        ]]",[-2.80593276  0.35781705],[-0.19245914 -0.37140325]
33,-0.151157318452,[-4.11934132 -0.75484213],"[-1.53076499 -0.53292372  0.42922937 -0.54721878 -0.9867702  -0.87714724
 -1.37412579 -0.42164957  0.67878447  0.81096966  0.        ]",-0.674685,"[[-34.81842735   3.06411121  -0.11384273  -0.10081827]
 [-95.30035243  -0.26556609   0.           0.        ]]",[-2.69580221  0.39407882],[-0.19245914 -0.37140325]
34,-0.140550261423,[-3.46985953 -0.2958858 ],"[ 0.59983792 -0.52806711  1.25805413 -0.41968801 -0.98676856 -0.87714593
 -1.43001747 -0.83667049  0.5107335   0.89905314  0.        ]",-0.612732,"[[-36.74523074   3.02882971  -0.11384273  -0.10081827]
 [-97.37302893  -3.2528921    0.           0.        ]]",[-2.86512876  0.39474106],[-0.19245914 -0.37140325]
35,-0.173843095666,[-0.75767174  0.75819903],"[ 0.53084581 -0.51146731 -1.21575038 -0.14610814 -0.98676692 -0.87714462
 -1.48479014 -0.99136697  0.72329291  1.06004061  0.        ]",-1.28161,"[[-38.71307168   2.95260535  -0.11384273  -0.10081827]
 [-99.40422536  -4.36640781   0.           0.        ]]",[-2.84577727  0.61912405],[-0.19245914 -0.37140325]
36,-0.144952838776,[-4.22252488  0.39613583],"[-1.56594917 -0.4938455  -0.14560582  0.05396656 -0.98676527 -0.87714331
 -1.51259845 -0.56360627  0.69963881  0.67571814  0.        ]",-0.665708,"[[ -40.71150306    2.89617427   -0.11384273   -0.10081827]
 [-100.43555312   -1.28739492    0.            0.        ]]",[-2.60679388  0.60998994],[-0.19245914 -0.37140325]
37,-0.134376902001,[-2.26615375  0.24690613],"[ 0.24685659 -0.49030282  1.45253497  0.088675   -0.98676363 -0.877142
 -1.56574266 -0.343713    0.41547293  0.92825759  0.        ]",-0.883014,"[[ -4.27399876e+01   2.88630842e+00  -1.13842725e-01  -1.00818268e-01]
 [ -1.02406389e+02   2.95391463e-01   0.00000000e+00   0.00000000e+00]]",[-2.8325572   0.38243625],[-0.19245914 -0.37140325]
38,-0.178192826971,[-2.10292889 -0.15936099],"[ 0.73761279 -0.49582056 -1.04596725  0.03395665 -0.98676199 -0.87714069
 -1.61784243 -0.21029909  0.73250801  1.1043905   0.        ]",-1.10249,"[[ -4.48075006e+01   2.90185089e+00  -1.13842725e-01  -1.00818268e-01]
 [ -1.04338511e+02   1.25570090e+00   0.00000000e+00   0.00000000e+00]]",[-2.85412264  0.48279804],[-0.19245914 -0.37140325]
39,-0.14861663823,[-2.35645062  0.17428711],"[-1.54696496 -0.50192028 -0.26482337 -0.03116941 -0.98676034 -0.87713938
 -1.66891262 -0.30294429  0.71524315  0.70722569  0.        ]",-0.870794,"[[ -4.69132738e+01   2.92027330e+00  -1.13842725e-01  -1.00818268e-01]
 [ -1.06232472e+02   5.88841027e-01   0.00000000e+00   0.00000000e+00]]",[-2.60489774  0.52325857],[-0.19245914 -0.37140325]
40,-0.135844808742,[-3.1707223  -0.48768487],"[ 0.29017636 -0.50755601  1.43575217 -0.09675891 -0.9867587  -0.87713807
 -1.71896958 -0.21016145  0.45168765  0.90815861  0.        ]",-0.694291,"[[ -4.90565490e+01   2.93874995e+00  -1.13842725e-01  -1.00818268e-01]
 [ -1.08088878e+02   1.25668776e+00   0.00000000e+00   0.00000000e+00]]",[-2.83078718  0.31656981],[-0.19245914 -0.37140325]
41,-0.174530807698,[-1.81471375 -0.29228116],"[ 0.58034792 -0.50911351 -1.18094006 -0.116004   -0.98675706 -0.87713676
 -1.76803443 -0.48330138  0.72388329  1.06818533  0.        ]",-1.08561,"[[ -5.12365841e+01   2.94415774e+00  -1.13842725e-01  -1.00818268e-01]
 [ -1.09908515e+02  -7.09367184e-01   0.00000000e+00   0.00000000e+00]]",[-2.82344699  0.50622582],[-0.19245914 -0.37140325]
