timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.134597473486,[ 0.05612058  0.2470551 ],"[ 1.1205316   1.79812678  0.12845148 -0.43328286  0.91498427 -0.62088337
  0.66647954 -0.32119499  0.45974195  0.71595781  0.        ]",-0.525649,"[[ 0.04558047  0.07312893  0.10780844 -0.0710279 ]
 [ 0.00479224  0.00150826  0.          0.        ]]",[-1.24425125  0.96628189],[-0.07628413 -0.17369163]
1,-0.135496156611,[-1.72478676  1.42567431],"[ 1.12037271  1.79712418  0.13194637 -0.40771772  0.91497811 -0.62088022
  0.67737689 -0.1866157   0.45851647  0.72855088  0.        ]",-0.435475,"[[ 0.04789902  0.08297289  0.10780844 -0.0710279 ]
 [ 0.22632565  0.97962886  0.          0.        ]]",[-1.26287365  0.94951642],[-0.07628413 -0.17369163]
2,-0.134688658502,[-1.99271975  1.47050474],"[ 1.12183678  1.788663    0.0788116  -0.25466207  0.91497195 -0.62087706
  0.48242214  0.35572215  0.45666544  0.72115616  0.        ]",-0.418284,"[[ 0.0126747   0.14211413  0.10780844 -0.0710279 ]
 [-3.73556288  4.92135088  0.          0.        ]]",[-1.2832458   0.90368134],[-0.07628413 -0.17369163]
3,-0.128299865665,[-1.06140903  0.1061861 ],"[ 1.1148989   1.75222545 -0.09249217  0.09451991  0.91496579 -0.62087391
  0.29132334  0.88731012  0.45024357  0.65002388  0.        ]",-0.419169,"[[-0.10100114  0.27930622  0.10780844 -0.0710279 ]
 [-7.61909945  8.78496197  0.          0.        ]]",[-1.25755298  0.87338018],[-0.07628413 -0.17369163]
4,-0.113839131896,[-1.10419125  1.0553541 ],"[ 1.06363147  1.67082033 -0.37414778  0.52694653  0.91495964 -0.62087076
  0.10406333  0.9213988   0.42624119  0.48833875  0.        ]",-0.369417,"[[ -0.29156465   0.45749216   0.10780844  -0.0710279 ]
 [-11.42462613   9.03276287   0.           0.        ]]",[-1.1259501   0.91537428],[-0.07628413 -0.17369163]
5,-0.0917244845215,[-1.47981341  0.55312283],"[ 0.9127635   1.52204575 -0.73880001  1.00635617  0.91495348 -0.62086761
 -0.07957358  1.44170182  0.35596497  0.25135673  0.        ]",-0.221356,"[[ -0.55749969   0.67609091   0.10780844  -0.0710279 ]
 [-15.15652366  12.81442613   0.           0.        ]]",[-1.00866687  0.89496112],[-0.07628413 -0.17369163]
6,-0.0644095172781,[-1.02274766  1.7724691 ],"[ 0.60212267  1.26828373 -1.12002579  1.49792162  0.91494732 -0.62086446
 -0.25957847  1.7081459   0.20497073 -0.00960683  0.        ]",-0.195647,"[[ -0.89733151   0.95181227   0.10780844  -0.0710279 ]
 [-18.81461221  14.75111877   0.           0.        ]]",[-0.84612751  0.88460767],[-0.07628413 -0.17369163]
7,-0.0398939532136,[-1.00468135  0.1918025 ],"[ 0.09727914  0.89115327 -1.3983457   1.8744987   0.91494116 -0.62086131
 -0.43609353  2.21261418 -0.04638791 -0.23021326  0.        ]",-0.156293,"[[ -1.30961321   1.28362715   0.10780844  -0.0710279 ]
 [-22.40178593  18.41796509   0.           0.        ]]",[-0.78500301  0.77252007],[-0.07628413 -0.17369163]
8,-0.0464844468338,[-0.77186993  1.65951867],"[-0.56373881  0.42348048 -1.41243322  1.97169705  0.914935   -0.62085816
 -0.60913523  2.26663324 -0.38350248 -0.33609094  0.        ]",-0.128291,"[[ -1.79293007   1.65593131   0.10780844  -0.0710279 ]
 [-25.91838718  18.81095412   0.           0.        ]]",[-0.76586604  0.64686239],[-0.07628413 -0.17369163]
9,-0.0772508894451,[-1.4858171   0.67227367],"[-1.21707024 -0.07437433 -1.02792045  1.66557952  0.91492885 -0.620855
 -0.73438761  2.75970412 -0.73006225 -0.24480884  0.        ]",-0.102782,"[[ -2.33683642   2.06811456   0.10780844  -0.0710279 ]
 [-28.46383417  22.39535492   0.           0.        ]]",[-0.77722549  0.57326186],[-0.07628413 -0.17369163]
10,-0.104859119468,[-0.53392445  0.50695398],"[-1.61280874 -0.51423983 -0.24215754  0.85427454  0.91492269 -0.62085185
 -0.9015976   3.06443244 -0.96104919  0.06426028  0.        ]",-0.176311,"[[ -2.94020807   2.53825243   0.10780844  -0.0710279 ]
 [-31.86196983  24.61110128   0.           0.        ]]",[-0.7820518   0.54276615],[-0.07628413 -0.17369163]
11,-0.11866322673,[-2.26293127 -0.02883899],"[-1.50273788 -0.73261351  0.71721784 -0.37427448  0.91491653 -0.6208487
 -0.97465528  2.63154331 -0.95618364  0.46375516  0.        ]",-0.188722,"[[ -3.59234607   3.04570654   0.10780844  -0.0710279 ]
 [-33.3467765   21.46513265   0.           0.        ]]",[-0.82212085  0.5226649 ],[-0.07628413 -0.17369163]
12,-0.117341474113,[ 0.05668696  1.0317617 ],"[-0.82261395 -0.73690066  1.43778766 -0.7519774   0.91491037 -0.62084555
 -1.13704239 -0.4324994  -0.91496607  0.52283457  0.        ]",-0.315572,"[[ -4.29239677   3.19087972   0.10780844  -0.0710279 ]
 [-36.64697204  -0.8068495    0.           0.        ]]",[-0.80776596  0.56726277],[-0.07628413 -0.17369163]
13,-0.127145749847,[-0.61157028  0.81433001],"[ 0.15334699 -0.73841436  1.49999358 -0.60753929  0.91490422 -0.6208424
 -1.09029645 -0.79275126 -1.00701543  0.49774867  0.        ]",-0.297122,"[[ -5.01580735   3.13540946   0.10780844  -0.0710279 ]
 [-35.69718625  -3.42548125   0.           0.        ]]",[-0.84793025  0.56260538],[-0.07628413 -0.17369163]
14,-0.140006748722,[-2.13653396 -0.7009335 ],"[ 0.92807124 -0.73564156  0.83076303 -0.4509855   0.91489806 -0.62083925
 -1.17465998 -0.65534066 -1.06697406  0.58393373  0.        ]",-0.275623,"[[ -5.74695468   3.07525897   0.10780844  -0.0710279 ]
 [-37.41181759  -2.42669791   0.           0.        ]]",[-0.85145825  0.5504365 ],[-0.07628413 -0.17369163]
15,-0.143146922879,[-2.38683817  0.3698322 ],"[ 1.08093003 -0.72560544 -0.30535068 -0.25438847  0.9148919  -0.6208361
 -1.33303002 -1.03066064 -1.0169729   0.71349136  0.        ]",-0.356783,"[[ -6.52748522   2.99935338   0.10780844  -0.0710279 ]
 [-40.63047057  -5.15486956   0.           0.        ]]",[-0.80612421  0.59871632],[-0.07628413 -0.17369163]
16,-0.125769517333,[-1.71256612 -1.08830292],"[ 0.38121956 -0.70509037 -1.27741288 -0.03073705  0.91488574 -0.62083295
 -1.4882419  -0.81537166 -0.85313116  0.71861386  0.        ]",-0.387654,"[[ -7.37174549   2.9119581    0.10780844  -0.0710279 ]
 [-43.78503351  -3.59001902   0.           0.        ]]",[-0.72626781  0.63838857],[-0.07628413 -0.17369163]
17,-0.0938845241165,[-0.87638548  0.43623811],"[-0.82829826 -0.66552461 -1.3155674   0.24618249  0.91487959 -0.6208298
 -1.64036736 -1.35067406 -0.74198157  0.47867438  0.        ]",-0.344263,"[[ -8.2784701    2.80111929   0.10780844  -0.0710279 ]
 [-46.87698252  -7.48110732   0.           0.        ]]",[-0.58891058  0.74326885],[-0.07628413 -0.17369163]
