timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.212753018724,[ 1.6505052   2.50783441],"[ 1.1692735   2.2827054   0.01534462 -1.00837873  0.86137229  1.46737979
  1.10230357 -0.37890888  0.5885865  -1.58267335  0.        ]",-1.66102,"[[-0.02129916 -0.06067504  0.09996441  0.17118746]
 [ 0.00018455 -0.00265645  0.          0.        ]]",[ 1.49373388  2.4367547 ],[-0.19579844 -0.31114241]
1,-0.202196441117,[ 0.82019329  1.81871737],"[ 1.16935029  2.28499171  0.07448063 -0.87096057  0.86137062  1.46737464
  1.21533973  0.17050149  0.59132921 -1.47149823  0.        ]",-1.47496,"[[ 0.01837958 -0.02101522  0.09996441  0.17118746]
 [ 3.95452569  3.95545165  0.          0.        ]]",[ 1.10227656  2.12247992],[-0.19579844 -0.31114241]
2,-0.170815090169,[ 0.44832936  3.41779593],"[ 1.15808109  2.27860383  0.23915718 -0.46213452  0.86136895  1.46736949
  1.30580773  0.7090758   0.56483757 -1.15572764  0.        ]",-1.16058,"[[ 0.12922413  0.09702356  0.09996441  0.17118746]
 [ 7.11941073  7.83549661  0.          0.        ]]",[ 0.56935555  1.71956718],[-0.19579844 -0.31114241]
3,-0.120590298073,[-0.76237025  0.58725968],"[ 1.11278303  2.22513943  0.47040676  0.19990416  0.86136728  1.46736433
  1.35244147  1.23706224  0.42969528 -0.70758304  0.        ]",-0.67284,"[[  0.28798084   0.29189816   0.09996441   0.17118746]
 [  8.75090044  11.63927822   0.           0.        ]]",[-0.14852577  1.24280965],[-0.19579844 -0.31114241]
4,-0.0649284724421,[-0.70720065  0.75861079],"[ 1.04344952  2.07878256  0.66977584  1.00190375  0.86136561  1.46735918
  1.26127018  1.52798973  0.17001643 -0.31950777  0.        ]",-0.476918,"[[  0.43099992   0.54571332   0.09996441   0.17118746]
 [  5.56167228  13.73524026   0.           0.        ]]",[-0.75052828  0.90699732],[-0.19579844 -0.31114241]
5,-0.0176727276324,[-1.75484171  1.74052056],"[ 0.99200412  1.80418785  0.77867458  1.80239203  0.86136393  1.46735403
  1.17814293  1.90730847 -0.14021983 -0.1113725   0.        ]",-0.467953,"[[  0.51305754   0.84783726   0.09996441   0.17118746]
 [  2.65382137  16.46803123   0.           0.        ]]",[-1.30163908  0.5890047 ],[-0.19579844 -0.31114241]
6,-0.0343322562094,[ 0.25645387  0.22192304],"[ 0.98320166  1.36061282  0.79530376  2.45107126  0.86136226  1.46734888
  1.06354096  2.41180559 -0.44792431 -0.09412279  0.        ]",-0.649952,"[[  0.52591125   1.21366632   0.09996441   0.17118746]
 [ -1.35510238  20.10271438   0.           0.        ]]",[-1.58114481  0.4387641 ],[-0.19579844 -0.31114241]
7,-0.0767550686498,[-0.43782526  0.35106975],"[ 0.99455173  0.79294609  0.77375463  2.66557274  0.86136059  1.46734373
  1.09335942  2.47848383 -0.73366832 -0.23991933  0.        ]",-0.657941,"[[  0.50927501   1.6205416    0.09996441   0.17118746]
 [ -0.31189783  20.58322935   0.           0.        ]]",[-1.61784983  0.43891498],[-0.19579844 -0.31114241]
8,-0.118453830778,[-2.81255571  0.12258653],"[ 1.01004699  0.21819706  0.74291248  2.29181229  0.86135892  1.46733858
  1.04403956  2.61487509 -0.95663172 -0.52019488  0.        ]",-0.506611,"[[  0.48572823   2.04206703   0.09996441   0.17118746]
 [ -2.03712365  21.56600894   0.           0.        ]]",[-1.695714    0.43240467],[-0.19579844 -0.31114241]
9,-0.154044162611,[-1.16060778  0.61744699],"[ 1.05762165 -0.25275424  0.63529126  1.34896198  0.86135725  1.46733342
  0.93205566  2.62297369 -1.05089246 -0.88926335  0.        ]",-0.703202,"[[  0.40568408   2.47397489   0.09996441   0.17118746]
 [ -5.95448423  21.6245205    0.           0.        ]]",[-1.73917127  0.43364099],[-0.19579844 -0.31114241]
