timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.167418290298,[-0.59978789 -0.4629295 ],"[ 1.06558307  1.31194723  0.11069079 -0.52141957  0.39622791 -0.43696822
 -0.01148488 -0.17319619  0.75914153  0.36351396  0.        ]",-0.40964,"[[ 0.07277185 -0.09390023  0.051368   -0.04942643]
 [ 0.00121294 -0.00496756  0.          0.        ]]",[-0.12985045  0.37230077],[ 0.02079397 -0.0169471 ]
1,-0.165224165856,[ 1.03577613 -1.09003696],"[ 1.06757321  1.30957449  0.0745391  -0.55537296  0.39622265 -0.43696224
 -0.22675726 -0.41688045  0.7588024   0.31396484  0.        ]",-0.504279,"[[ 0.04899706 -0.11238054  0.051368   -0.04942643]
 [-2.37079785 -1.83696075  0.          0.        ]]",[-0.13306044  0.36759967],[ 0.02079397 -0.0169471 ]
2,-0.161772811256,[-1.22129252  1.53754268],"[ 1.06800469  1.29555667  0.06352061 -0.69437309  0.39621738 -0.43695626
  0.13666008 -0.93893301  0.75293419  0.2444225   0.        ]",-0.38026,"[[ 0.04175738 -0.18849824  0.051368   -0.04942643]
 [ 1.63349323 -5.76172308  0.          0.        ]]",[-0.13470301  0.36012858],[ 0.02079397 -0.0169471 ]
3,-0.158204413039,[-1.17640759  1.70968831],"[ 1.06836899  1.27513449  0.05231399 -0.828206    0.39621211 -0.43695028
 -0.22544546 -0.39684512  0.74253006  0.17688662  0.        ]",-0.376609,"[[ 0.03439633 -0.26284499  0.051368   -0.04942643]
 [-2.3563113  -1.68654     0.          0.        ]]",[-0.13493201  0.36278519],[ 0.02079397 -0.0169471 ]
4,-0.153687694572,[ 0.19850462 -1.08562429],"[ 1.06728539  1.27709319 -0.07921311 -0.81685646  0.39620684 -0.4369443
 -0.58038236  0.13450683  0.72732183  0.05595945  0.        ]",-0.387295,"[[-0.05196867 -0.25649781  0.051368   -0.04942643]
 [-6.26715542  2.30794697  0.          0.        ]]",[-0.13093814  0.37335935],[ 0.02079397 -0.0169471 ]
5,-0.148209012253,[-0.36236708  0.68594777],"[ 1.04947705  1.27888934 -0.25507585 -0.80616434  0.39620157 -0.43693832
 -0.49771447 -0.39832453  0.69208928 -0.10561509  0.        ]",-0.375863,"[[-0.16817371 -0.25052827  0.051368   -0.04942643]
 [-5.35639428 -1.69764439  0.          0.        ]]",[-0.1292578   0.37336376],[ 0.02079397 -0.0169471 ]
6,-0.14315923819,[ 0.16318693  1.46899969],"[ 1.01145907  1.27689469 -0.43371367 -0.81752151  0.3961963  -0.43693234
 -0.6182898  -0.03247669  0.63412816 -0.27571322  0.        ]",-0.439225,"[[-0.28863196 -0.25688725  0.051368   -0.04942643]
 [-6.68499724  1.05258171  0.          0.        ]]",[-0.12295806  0.38512951],[ 0.02079397 -0.0169471 ]
7,-0.140995768344,[-0.98781984  1.89500521],"[ 0.95103599  1.29352908 -0.61367748 -0.70848021  0.39619104 -0.43692636
 -0.54782293  0.49143825  0.58201965 -0.40169327  0.        ]",-0.333882,"[[-0.41454305 -0.19631941  0.051368   -0.04942643]
 [-5.9086915   4.99107348  0.          0.        ]]",[-0.11217207  0.4038884 ],[ 0.02079397 -0.0169471 ]
8,-0.140087627391,[-1.96545178  1.36593453],"[ 0.84813193  1.3149859  -0.82315397 -0.45470797  0.39618577 -0.43692038
 -0.89200183  1.00520198  0.52836923 -0.50996984  0.        ]",-0.232925,"[[-0.57076618 -0.05774649  0.051368   -0.04942643]
 [-9.70098786  8.85334361  0.          0.        ]]",[-0.1024319  0.4226101],[ 0.02079397 -0.0169471 ]
9,-0.138180957425,[ 0.96532086  1.6504117 ],"[ 0.64374386  1.30185719 -1.09563162 -0.05862496  0.3961805  -0.4369144
 -1.23373207  1.50875082  0.42899519 -0.64678727  0.        ]",-0.496882,"[[ -0.80256611   0.1573042    0.051368    -0.04942643]
 [-13.46648774  12.63907863   0.           0.        ]]",[-0.08913578  0.44664758],[ 0.02079397 -0.0169471 ]
