timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.27485433261,[-4.93962176  0.42676623],"[ 1.17764443  2.35370433  0.14655377 -0.57353951 -0.12864387 -1.19893266
  1.19149545 -0.38427848  1.43632429  1.42547263  0.        ]",-1.42997,"[[  6.76776832e-02   6.99920188e-02  -1.47172169e-02  -1.38191850e-01]
 [  9.98024101e-05   1.02190066e-03   0.00000000e+00   0.00000000e+00]]",[-3.52571201  1.11176074],[-0.18613513 -0.36961356]
1,-0.271570701113,[-4.0931141  -0.09898876],"[ 1.18025963  2.35176257  0.08762686 -0.51217324 -0.12864375 -1.19893016
  1.084572   -0.14932029  1.44004431  1.36844217  0.        ]",-1.49769,"[[ 0.02798253  0.08698217 -0.01471722 -0.13819185]
 [-3.95644057  1.69235008  0.          0.        ]]",[-3.55119514  1.03461921],[-0.18613513 -0.36961356]
2,-0.260296520228,[-4.3327327   0.84922173],"[ 1.17520856  2.34739655 -0.08761668 -0.40551423 -0.12864364 -1.19892766
  0.97978564 -0.20821869  1.44241594  1.17812595  0.        ]",-1.442,"[[-0.0900501   0.11657537 -0.01471722 -0.13819185]
 [-7.83391432  1.26837332  0.          0.        ]]",[-3.32063532  1.22847509],[-0.18613513 -0.36961356]
3,-0.24089778424,[-2.71779205  0.78782465],"[ 1.12520339  2.33498581 -0.37166227 -0.19453427 -0.12864353 -1.19892516
  0.87703209  0.25561421  1.41106992  0.8766409   0.        ]",-1.52361,"[[ -0.28487755   0.17544292  -0.01471722  -0.13819185]
 [-11.63617694   4.60723625   0.           0.        ]]",[-3.18097067  1.21151268],[-0.18613513 -0.36961356]
4,-0.213976541971,[-2.10234101  1.41524808],"[ 0.97376279  2.29339546 -0.73713805  0.2367863  -0.12864342 -1.19892266
  0.77631123  0.67646794  1.30816722  0.51765612  0.        ]",-1.4961,"[[ -5.54995457e-01   2.97983857e-01  -1.47172169e-02  -1.38191850e-01]
 [ -1.53632308e+01   7.63671926e+00   0.00000000e+00   0.00000000e+00]]",[-2.92431164  1.32053411],[-0.18613513 -0.36961356]
5,-0.178573623292,[-2.09488213  2.64574441],"[ 0.66004121  2.1875562  -1.11720278  0.87478808 -0.12864331 -1.19892016
  0.67756655  1.20564653  1.09956379  0.15053186  0.        ]",-1.33299,"[[ -8.98920367e-01   4.88938668e-01  -1.47172169e-02  -1.38191850e-01]
 [ -1.90171642e+01   1.14459792e+01   0.00000000e+00   0.00000000e+00]]",[-2.70893192  1.39136577],[-0.18613513 -0.36961356]
6,-0.134282782459,[-2.96653699  0.77912422],"[ 0.15019656  1.96347087 -1.39195167  1.65674269 -0.12864319 -1.19891766
  0.58075863  1.72424544  0.76988242 -0.14224814  0.        ]",-0.941875,"[[ -1.31520426e+00   7.55315512e-01  -1.47172169e-02  -1.38191850e-01]
 [ -2.25994349e+01   1.51791078e+01   0.00000000e+00   0.00000000e+00]]",[-2.70220709  1.35913491],[-0.18613513 -0.36961356]
7,-0.0810673662976,[-2.23757767  2.09477975],"[-0.51516326  1.58305777 -1.40053738  2.3800224  -0.12864308 -1.19891515
  0.48584564  2.1109189   0.33841645 -0.26911477  0.        ]",-0.804897,"[[ -1.80242938e+00   1.08682775e+00  -1.47172169e-02  -1.38191850e-01]
 [ -2.61115886e+01   1.79626167e+01   0.00000000e+00   0.00000000e+00]]",[-2.73738575  1.18606472],[-0.18613513 -0.36961356]
8,-0.0220138625114,[-1.83585982  1.13055982],"[-1.17677993  1.03749905 -1.00172765  2.78188314 -0.12864297 -1.19891265
  0.39276781  2.6112263  -0.10942852 -0.1413361   0.        ]",-0.697525,"[[ -2.35921600e+00   1.48221817e+00  -1.47172169e-02  -1.38191850e-01]
 [ -2.95558362e+01   2.15641759e+01   0.00000000e+00   0.00000000e+00]]",[-2.78014851  0.80085886],[-0.18613513 -0.36961356]
9,-0.0394803428477,[-2.89302815 -0.09994383],"[-1.56077864  0.37496748 -0.18688762  2.54015017 -0.12864286 -1.19891015
  0.30149853  3.10143876 -0.4199815   0.25532826  0.        ]",-0.624003,"[[ -2.98421688e+00   1.94891077e+00  -1.47172169e-02  -1.38191850e-01]
 [ -3.29331619e+01   2.50931620e+01   0.00000000e+00   0.00000000e+00]]",[-2.5982604   0.57292759],[-0.18613513 -0.36961356]
10,-0.0922083169532,[-4.05108396  0.49949088],"[-1.385437   -0.19803837  0.80318526  1.5065548  -0.12864275 -1.19890765
  0.21203524  2.97687204 -0.4723961   0.76351477  0.        ]",-0.829414,"[[ -3.67609575e+00   2.44177828e+00  -1.47172169e-02  -1.38191850e-01]
 [ -3.62436590e+01   2.41966456e+01   0.00000000e+00   0.00000000e+00]]",[-2.61938477  0.38596728],[-0.18613513 -0.36961356]
11,-0.124734733007,[-4.41662287  0.81519521],"[-0.5781908  -0.50920206  1.47491324 -0.10403978 -0.12864264 -1.19890515
  0.12436999  3.18466255 -0.24511873  1.11208647  0.        ]",-0.850743,"[[ -4.43351977e+00   2.94071755e+00  -1.47172169e-02  -1.38191850e-01]
 [ -3.94876219e+01   2.56926605e+01   0.00000000e+00   0.00000000e+00]]",[-3.10494184  0.1621708 ],[-0.18613513 -0.36961356]
12,-0.127760131382,[-4.80465666 -0.08515471],"[ 0.51393081 -0.53732117  1.31871377 -0.96095359 -0.12864252 -1.19890265
  0.03846238 -0.23620898 -0.10879218  1.13248371  0.        ]",-0.517857,"[[ -5.25517032e+00   3.17859575e+00  -1.47172169e-02  -1.38191850e-01]
 [ -4.26665452e+01   1.06705385e+00   0.00000000e+00   0.00000000e+00]]",[-3.03119993  0.28699926],[-0.18613513 -0.36961356]
13,-0.136821641855,[-3.72810998  0.42647992],"[ 1.16663509 -0.53830661  0.25849521 -0.8174064  -0.12864241 -1.19890015
 -0.04571418 -0.8415792  -0.17818907  1.21900453  0.        ]",-0.567643,"[[ -6.13975448e+00   3.13896644e+00  -1.47172169e-02  -1.38191850e-01]
 [ -4.57814123e+01  -3.29079066e+00   0.00000000e+00   0.00000000e+00]]",[-2.91368294  0.43197682],[-0.18613513 -0.36961356]
14,-0.150569718814,[-3.71763689 -0.74658695],"[ 0.75965923 -0.53542576 -1.02307076 -0.59830182 -0.1286423  -1.19889764
 -0.1282165  -0.73451659 -0.11870309  1.33661668  0.        ]",-0.655855,"[[ -7.08601383e+00   3.07844853e+00  -1.47172169e-02  -1.38191850e-01]
 [ -4.88343266e+01  -2.52009382e+00   0.00000000e+00   0.00000000e+00]]",[-2.84109163  0.49977672],[-0.18613513 -0.36961356]
15,-0.146660081691,[-1.99240285  0.34950397],"[-0.52469626 -0.52359166 -1.39807422 -0.31161368 -0.12864219 -1.19889514
 -0.20908592 -1.13841119  0.02263802  1.27554931  0.        ]",-1.03668,"[[ -8.09272551e+00   2.99887641e+00  -1.47172169e-02  -1.38191850e-01]
 [ -5.18268169e+01  -5.42759550e+00   0.00000000e+00   0.00000000e+00]]",[-2.74784088  0.71352887],[-0.18613513 -0.36961356]
16,-0.118568011196,[-2.96013707  0.62311253],"[-1.5292785  -0.49806887 -0.34478358  0.0213455  -0.12864208 -1.19889264
 -0.28834234 -0.93158357 -0.00564527  1.02799749  0.        ]",-0.948355,"[[ -9.15868780e+00   2.90526507e+00  -1.47172169e-02  -1.38191850e-01]
 [ -5.47596208e+01  -3.93873148e+00   0.00000000e+00   0.00000000e+00]]",[-2.61299539  0.75106704],[-0.18613513 -0.36961356]
17,-0.113680970985,[-3.28496731  0.72918196],"[-1.10056832 -0.47802234  1.17042278  0.20769635 -0.12864196 -1.19889014
 -0.36603044 -0.57852705 -0.25445021  1.01364179  0.        ]",-0.98661,"[[ -1.02827233e+01   2.85199210e+00  -1.47172169e-02  -1.38191850e-01]
 [ -5.76343918e+01  -1.39721453e+00   0.00000000e+00   0.00000000e+00]]",[-2.69056559  0.58800578],[-0.18613513 -0.36961356]
