timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.248296421575,[ 1.60652326  1.86506604],"[ 1.16240405  2.2407383  -0.0321197  -0.87388197 -0.33334869  0.10451037
  1.05659191 -0.37389525  1.58250207 -0.23051824  0.        ]",-1.66314,"[[-0.05555594 -0.02722036 -0.03732764  0.01260103]
 [ 0.00158021 -0.00031112  0.          0.        ]]",[ 0.01649308  1.96346521],[-0.18591742 -0.30059391]
1,-0.247742708787,[-1.62778895  1.20376986],"[ 1.16435456  2.24113223  0.02711919 -0.73968865 -0.33334821  0.10451023
  1.17388773  0.17417941  1.58626347 -0.11966382  0.        ]",-1.04879,"[[-0.01584959  0.01248588 -0.03732764  0.01260103]
 [ 3.95589341  3.95774892  0.          0.        ]]",[-0.35465246  1.67462361],[-0.18591742 -0.30059391]
2,-0.246095775331,[ 0.30049021  1.82589882],"[ 1.16416657  2.22925217  0.08478479 -0.34172896 -0.33334774  0.10451009
  1.05417387  0.71183148  1.57676367  0.06421016  0.        ]",-1.37713,"[[ 0.02277768  0.13059826 -0.03732764  0.01260103]
 [-0.07972021  7.84054305  0.          0.        ]]",[-0.78450775  1.39413512],[-0.18591742 -0.30059391]
3,-0.24205563406,[-1.92201755  0.23622517],"[ 1.16376494  2.16735209  0.10020733  0.29919509 -0.33334726  0.10450996
  1.08943938  1.23855752  1.53499354  0.26375414  0.        ]",-0.979014,"[[  0.0331119    0.32557493  -0.03732764   0.01260103]
 [  1.10922911  11.64444893   0.           0.        ]]",[-1.25377631  1.10315812],[-0.18591742 -0.30059391]
4,-0.234511945749,[-0.98844072  1.16096413],"[ 1.16435404  2.02228718  0.07374806  1.02935066 -0.33334679  0.10450982
  0.97143424  1.33635061  1.45488874  0.43838522  0.        ]",-1.19306,"[[  0.01538407   0.56555038  -0.03732764   0.01260103]
 [ -2.86879744  12.35071988   0.           0.        ]]",[-1.51186371  1.02430427],[-0.18591742 -0.30059391]
5,-0.223138422961,[-1.9875925   0.90876756],"[ 1.16003001  1.76331192 -0.06952553  1.75704983 -0.33334631  0.10450969
  0.85708263  1.85093754  1.35854731  0.49556158  0.        ]",-1.02531,"[[ -8.06687106e-02   8.49852080e-01  -3.73276375e-02   1.26010268e-02]
 [ -6.72367571e+00   1.60670134e+01   0.00000000e+00   0.00000000e+00]]",[-1.86414242  0.83285046],[-0.18591742 -0.30059391]
6,-0.204733354965,[-3.3812652  0.7700958],"[ 1.12044081  1.3393267  -0.32367075  2.37332233 -0.33334584  0.10450955
  0.74362971  2.30524673  1.22771878  0.46044562  0.        ]",-0.762274,"[[ -2.53514640e-01   1.20411318e+00  -3.73276375e-02   1.26010268e-02]
 [ -1.05482712e+01   1.93480653e+01   0.00000000e+00   0.00000000e+00]]",[-2.04538941  0.69133091],[-0.18591742 -0.30059391]
7,-0.17746643391,[-1.80052153  1.31785951],"[ 0.99433297  0.76918553 -0.66774084  2.59425006 -0.33334536  0.10450942
  0.632404    2.67442254  1.04769703  0.34026804  0.        ]",-0.834316,"[[ -5.02098655e-01   1.61782787e+00  -3.73276375e-02   1.26010268e-02]
 [ -1.42977941e+01   2.20143854e+01   0.00000000e+00   0.00000000e+00]]",[-2.0939908   0.59782231],[-0.18591742 -0.30059391]
8,-0.139231920914,[-3.3644135   0.68504717],"[ 0.72137342  0.1334677  -1.04582252  2.14672373 -0.33334489  0.10450928
  0.52334967  3.16221364  0.79002025  0.17323585  0.        ]",-0.441462,"[[ -8.24939050e-01   2.09346504e+00  -3.73276375e-02   1.26010268e-02]
 [ -1.79741236e+01   2.55374707e+01   0.00000000e+00   0.00000000e+00]]",[-2.03957868  0.55440992],[-0.18591742 -0.30059391]
9,-0.0897313052253,[-1.92804877 -0.45015399],"[ 0.25879333 -0.38808704 -1.35157058  0.88352643 -0.33334441  0.10450915
  0.41643874  3.46758808  0.43897428  0.02481304  0.        ]",-0.333081,"[[ -1.22058183e+00   2.62634628e+00  -3.73276375e-02   1.26010268e-02]
 [ -2.15782005e+01   2.77432885e+01   0.00000000e+00   0.00000000e+00]]",[-1.8690269  0.4706561],[-0.18591742 -0.30059391]
10,-0.0508540765216,[-0.96411067 -0.15921327],"[-0.37493213 -0.56900654 -1.4320186  -0.6204264  -0.33334394  0.10450901
  0.3116262   1.08825667  0.1544885  -0.03427332  0.        ]",-0.302866,"[[ -1.68759425e+00   3.09379900e+00  -3.73276375e-02   1.26010268e-02]
 [ -2.51115412e+01   1.05596509e+01   0.00000000e+00   0.00000000e+00]]",[-1.6145618   0.48633882],[-0.18591742 -0.30059391]
11,-0.0426754417174,[-1.50596001  0.4858463 ],"[-1.05124528 -0.57059635 -1.13561906 -0.79730756 -0.33334346  0.10450887
  0.21312273 -0.61124563  0.09525129 -0.02711811  0.        ]",-0.232854,"[[ -2.22314402e+00   3.14615137e+00  -3.73276375e-02   1.26010268e-02]
 [ -2.84321966e+01  -1.71425700e+00   0.00000000e+00   0.00000000e+00]]",[-1.6242044   0.61031002],[-0.18591742 -0.30059391]
12,-0.0503215345704,[-1.89938434 -0.24087561],"[-1.52487027 -0.56910683 -0.41278491 -0.62564662 -0.33334299  0.10450874
  0.11237022 -0.74011696  0.13728677 -0.11684936  0.        ]",-0.171037,"[[ -2.82586628e+00   3.09534606e+00  -3.73276375e-02   1.26010268e-02]
 [ -3.18286703e+01  -2.64498281e+00   0.00000000e+00   0.00000000e+00]]",[-1.53990114  0.68677413],[-0.18591742 -0.30059391]
13,-0.04990898339,[-0.57980263  0.90434722],"[-1.50740307 -0.56238823  0.56869332 -0.41692547 -0.33334251  0.1045086
  0.01361416 -0.86500008  0.09155951 -0.22823937  0.        ]",-0.27572,"[[ -3.49584251e+00   3.03339771e+00  -3.73276375e-02   1.26010268e-02]
 [ -3.51578415e+01  -3.54690842e+00   0.00000000e+00   0.00000000e+00]]",[-1.35274339  0.79072559],[-0.18591742 -0.30059391]
14,-0.0393699462628,[-3.88629253  0.61588782],"[-0.8720451  -0.55591534  1.36290705 -0.29453448 -0.33334204  0.10450847
 -0.03382995 -0.41161123 -0.01167755 -0.23600823  0.        ]",-0.0141725,"[[ -4.21504629e+00   2.99689275e+00  -3.73276375e-02   1.26010268e-02]
 [ -3.67572322e+01  -2.72518936e-01   0.00000000e+00   0.00000000e+00]]",[-1.42563152  0.60967118],[-0.18591742 -0.30059391]
15,-0.0267383671881,[-1.67243714  0.1292571 ],"[ 0.15381252 -0.55738204  1.48959151 -0.31939386 -0.33334156  0.10450833
 -0.12969239 -0.3429596  -0.06521794 -0.14299351  0.        ]",-0.189958,"[[ -4.98261448e+00   3.00432170e+00  -3.73276375e-02   1.26010268e-02]
 [ -3.99888548e+01   2.23281971e-01   0.00000000e+00   0.00000000e+00]]",[-1.54090774  0.49605507],[-0.18591742 -0.30059391]
