timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.0679234195873,[-1.06118578  1.64809456],"[ 1.15825314  2.20995011  0.1502929  -0.72974169  1.38510572 -0.28754637
  1.02553874 -0.37151289  0.13708523  0.42313489  0.        ]",-0.380877,"[[ 0.06600433  0.01235654  0.16114123 -0.03254666]
 [ 0.00284451 -0.0047175   0.          0.        ]]",[-1.11084676  1.42699027],[-0.18282923 -0.29356864]
1,-0.0653366899149,[-1.63473366  1.10844401],"[ 1.16077328  2.20815237  0.09112206 -0.59819121  1.38510004 -0.28754594
  0.90487571  0.17653491  0.1384127   0.3886896   0.        ]",-0.297366,"[[ 0.0263547   0.05200641  0.16114123 -0.03254666]
 [-3.95462576  3.95649696  0.          0.        ]]",[-1.26875257  1.25198388],[-0.18282923 -0.29356864]
2,-0.0577806979626,[-1.25388017 -0.06101136],"[ 1.15545954  2.18989004 -0.08499758 -0.20881734  1.38509437 -0.2875455
  0.78660002  0.71372469  0.13561545  0.28619188  0.        ]",-0.254754,"[[-0.0916588   0.17009327  0.16114123 -0.03254666]
 [-7.8338115   7.83923494  0.          0.        ]]",[-1.33754253  1.12640834],[-0.18282923 -0.29356864]
3,-0.0454748483081,[-0.69840525  0.58228262],"[ 1.10504505  2.13790729 -0.37041417  0.28267959  1.38508869 -0.28754506
  0.67071067  0.65901299  0.11101678  0.07986618  0.        ]",-0.300578,"[[ -0.28647057   0.32291074   0.16114123  -0.03254666]
 [-11.63474109   7.44379687   0.           0.        ]]",[-1.10577726  1.27959526],[-0.18282923 -0.29356864]
4,-0.0423336350881,[ 0.82977407  0.6621351 ],"[ 0.96175159  2.04357983 -0.72225365  0.80167336  1.38508301 -0.28754463
  0.59345484  0.95769942  0.03511072 -0.20884882  0.        ]",-0.459302,"[[ -0.54458758   0.49344787   0.16114123  -0.03254666]
 [-14.16856257   9.60267302   0.           0.        ]]",[-0.94020581  1.3085084 ],[-0.18282923 -0.29356864]
5,-0.0512348789979,[-0.32702501  1.01864936],"[ 0.75065116  1.87301509 -1.01187091  1.3928421   1.38507734 -0.28754419
  0.70205041  1.29390192 -0.07763476 -0.40735072  0.        ]",-0.439827,"[[ -0.79222285   0.70988248   0.16114123  -0.03254666]
 [-10.60676949  12.03272544   0.           0.        ]]",[-0.99243665  1.21656895],[-0.18282923 -0.29356864]
6,-0.0554484317898,[-1.0858228   1.85834434],"[ 0.50951484  1.58290129 -1.21759027  2.00071248  1.38507166 -0.28754375
  0.66895031  1.80874756 -0.20209318 -0.47461258  0.        ]",-0.404893,"[[ -1.01525014   0.98787443   0.16114123  -0.03254666]
 [-11.69234956  15.75402838   0.           0.        ]]",[-1.25630069  0.95355117],[-0.18282923 -0.29356864]
7,-0.0621176280253,[-2.90254829  0.47774102],"[ 0.16900444  1.13473554 -1.38229388  2.46055139  1.38506599 -0.28754331
  0.5553092   2.31342817 -0.38207153 -0.49355921  0.        ]",-0.30031,"[[ -1.28649191   1.33955704   0.16114123  -0.03254666]
 [-15.41954045  19.40194244   0.           0.        ]]",[-1.46317756  0.68918657],[-0.18282923 -0.29356864]
8,-0.0798953573752,[-2.52106643  0.68441215],"[-0.30152289  0.576406   -1.43950703  2.499947    1.38506031 -0.28754288
  0.44390176  2.52188597 -0.63344757 -0.47145671  0.        ]",-0.349606,"[[ -1.63154193   1.74271663   0.16114123  -0.03254666]
 [-19.07347628  20.90884557   0.           0.        ]]",[-1.47734284  0.60676408],[-0.18282923 -0.29356864]
9,-0.106543032037,[-0.50247304  1.16441983],"[-0.85236496  0.01237251 -1.27469196  1.94421671  1.38505463 -0.28754244
  0.33466709  2.83931548 -0.92560861 -0.35289008  0.        ]",-0.51545,"[[ -2.04895638   2.18391733   0.16114123  -0.03254666]
 [-22.65615239  23.20347667   0.           0.        ]]",[-1.45567608  0.55941314],[-0.18282923 -0.29356864]
