timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.43441332086,[-4.10899771 -0.07655906],"[ 1.15397555  2.20098647  0.19704284 -0.87089485 -1.5355806  -1.61267765
  1.0172799  -0.36949597  2.57473998  1.76352776  0.        ]",-2.10687,"[[ 0.09706717 -0.03119845 -0.17537727 -0.18492327]
 [ 0.00049942  0.00338378  0.          0.        ]]",[-3.69805527  1.12002742],[-0.17557696 -0.29213431]
1,-0.430927889822,[-4.25285226  1.61538826],"[ 1.15819316  2.2008334   0.13792914 -0.88066361 -1.53557319 -1.6126693
  0.89579152 -0.41121713  2.57844203  1.68840692  0.        ]",-2.13704,"[[ 0.05738773 -0.03415752 -0.17537727 -0.18492327]
 [-3.95527253 -0.29829096  0.          0.        ]]",[-3.6348989   1.14997411],[-0.17557696 -0.29213431]
2,-0.421730843488,[-4.37095183  0.59082066],"[ 1.15792483  2.20162679 -0.03833878 -0.76889458 -1.53556577 -1.61266095
  0.77665582  0.13742268  2.57701105  1.50531185  0.        ]",-2.00851,"[[ -6.06387487e-02  -3.21078499e-04  -1.75377265e-01  -1.84923269e-01]
 [ -7.83445370e+00   3.66870932e+00   0.00000000e+00   0.00000000e+00]]",[-3.58629227  1.05826759],[-0.17557696 -0.29213431]
3,-0.406410086254,[-3.40947581  1.84481844],"[ 1.11569638  2.1952242  -0.32540104 -0.45177515 -1.53555836 -1.6126526
  0.65989653  0.45112015  2.54614472  1.24446109  0.        ]",-2.1284,"[[ -0.25547249   0.09581111  -0.17537727  -0.18492327]
 [-11.63626711   5.93693491   0.           0.        ]]",[-3.4674294   1.06726217],[-0.17557696 -0.29213431]
4,-0.382556268121,[-3.903283    0.71601829],"[ 0.97431211  2.15723863 -0.69752651  0.05950083 -1.53555094 -1.61264425
  0.54542476  0.9826568   2.4525713   0.92254425  0.        ]",-1.85364,"[[ -0.52559502   0.25311174  -0.17537727  -0.18492327]
 [-15.36360361   9.78027774   0.           0.        ]]",[-3.33605742  1.04249585],[-0.17557696 -0.29213431]
5,-0.347827790796,[-2.83761029  1.32160615],"[ 0.67114062  2.04732422 -1.0894774   0.74380496 -1.53554353 -1.61263589
  0.43322107  1.34810022  2.26152021  0.58442126  0.        ]",-1.80113,"[[ -0.86952286   0.47523039  -0.17537727  -0.18492327]
 [-19.01709338  12.4226881    0.           0.        ]]",[-3.16756415  1.06063628],[-0.17557696 -0.29213431]
6,-0.300597509969,[-2.98670866  1.18185988],"[ 0.16909478  1.81762796 -1.38182791  1.51049833 -1.53553611 -1.61262754
  0.32320403  1.86171102  1.95160984  0.30242617  0.        ]",-1.48499,"[[ -1.28580548   0.76094753  -0.17537727  -0.18492327]
 [-22.59938606  16.13648708   0.           0.        ]]",[-3.02231956  1.01758504],[-0.17557696 -0.29213431]
7,-0.243506664114,[-3.05500605  1.1705686 ],"[-0.49563774  1.41579217 -1.41164202  2.20618449 -1.5355287  -1.61261919
  0.21532991  2.36497772  1.54574286  0.183331    0.        ]",-1.12087,"[[ -1.77303317   1.12019181  -0.17537727  -0.18492327]
 [-26.11190381  19.77558063   0.           0.        ]]",[-2.96540332  0.89791167],[-0.17557696 -0.29213431]
8,-0.188194458588,[-3.10786329  0.37172575],"[-1.16774355  0.83645193 -1.03190436  2.53531311 -1.53552128 -1.61261084
  0.10954739  2.85806016  1.12703484  0.31375885  0.        ]",-0.788682,"[[ -2.32982773   1.5514806   -0.17537727  -0.18492327]
 [-29.55631671  23.34116949   0.           0.        ]]",[-2.87957788  0.78565764],[-0.17557696 -0.29213431]
9,-0.1632563298,[-2.65412453 -0.18170984],"[-1.5737287   0.19458684 -0.22522027  2.1959984  -1.53551386 -1.61260249
  0.00583438  2.99715987  0.82495305  0.69004552  0.        ]",-0.691498,"[[ -2.95483533   2.02839991  -0.17537727  -0.18492327]
 [-32.93334412  24.34727508   0.           0.        ]]",[-2.78273559  0.70208311],[-0.17557696 -0.29213431]
10,-0.188558616035,[-2.78576405  0.70994805],"[-1.42547527 -0.30831814  0.77536714  1.20074015 -1.53550645 -1.61259414
 -0.09582966  2.83043044  0.75440094  1.16653278  0.        ]",-0.9137,"[[ -3.64671623   2.50325103  -0.17537727  -0.18492327]
 [-36.24365399  23.14194861   0.           0.        ]]",[-2.80996752  0.59188122],[-0.17557696 -0.29213431]
11,-0.236064899988,[-4.26313327  1.23201444],"[-0.63702273 -0.56638777  1.47612804 -0.26786057 -1.53549904 -1.61258579
 -0.19544704  3.15544449  0.9624005   1.49997077  0.        ]",-0.957231,"[[ -4.40413727   2.9896696   -0.17537727  -0.18492327]
 [-39.48732288  25.49245236   0.           0.        ]]",[-3.07916689  0.47464886],[-0.17557696 -0.29213431]
12,-0.248117801897,[-2.75761614  0.30841338],"[ 0.45869668 -0.57866333  1.35391375 -1.01039616 -1.53549162 -1.61257744
 -0.29307301 -0.34552466  1.0836364   1.50322712  0.        ]",-1.11319,"[[ -5.22578043   3.21507524  -0.17537727  -0.18492327]
 [-42.66614993   0.17696275   0.           0.        ]]",[-3.16322112  0.53791702],[-0.17557696 -0.29213431]
13,-0.24550804353,[-3.92537738  0.25156612],"[ 1.13991708 -0.58219135  0.30920563 -0.82755089 -1.53548421 -1.61256909
 -0.38873554 -0.91182977  0.9898161   1.58151207  0.        ]",-0.858698,"[[ -6.11035697   3.15966607  -0.17537727  -0.18492327]
 [-45.78104708  -3.91799805   0.           0.        ]]",[-3.21941781  0.59264779],[-0.17557696 -0.29213431]
14,-0.261063161027,[-2.95418136 -0.94927366],"[ 0.76814247 -0.5804289  -0.99169445 -0.59130781 -1.53547679 -1.61256074
 -0.48249497 -0.79499276  1.03685814  1.71260167  0.        ]",-1.18227,"[[ -7.05660923   3.0881326   -0.17537727  -0.18492327]
 [-48.8339806   -3.07316512   0.           0.        ]]",[-3.24474669  0.66318786],[-0.17557696 -0.29213431]
15,-0.271178536358,[-2.78702257  0.17609265],"[-0.5052079  -0.5663596  -1.40947452 -0.26748613 -1.53546938 -1.6125524
 -0.5743978  -1.30654961  1.18933708  1.66039328  0.        ]",-1.37313,"[[ -8.06331415   2.9895571   -0.17537727  -0.18492327]
 [-51.82646568  -6.77225867   0.           0.        ]]",[-3.09974051  0.80492592],[-0.17557696 -0.29213431]
16,-0.246621854968,[-2.02671844  0.37311096],"[-1.53792532 -0.5285257  -0.38295655  0.14251823 -1.53546196 -1.61254405
 -0.66446099 -1.19196257  1.16188443  1.37860119  0.        ]",-1.26273,"[[ -9.1292677    2.86242804  -0.17537727  -0.18492327]
 [-54.75905667  -5.94371144   0.           0.        ]]",[-2.81863904  0.84141028],[-0.17557696 -0.29213431]
17,-0.213803104257,[-3.22470165  1.35548521],"[-1.15084152 -0.4820401   1.15344041  0.46396457 -1.53545455 -1.6125357
 -0.75273354 -0.97201046  0.8492615   1.36186809  0.        ]",-1.01799,"[[-10.25328764   2.75951431  -0.17537727  -0.18492327]
 [-57.6333506   -4.35325945   0.           0.        ]]",[-2.76106977  0.73795325],[-0.17557696 -0.29213431]
