timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.144087722761,[ 1.39659943  3.15228585],"[ 1.15821487  2.18118752  0.1064318  -0.94806455  1.12251652  1.05809189
  0.99967894 -0.36771714  0.35418268 -1.0406758   0.        ]",-1.0361,"[[ 0.0361305  -0.05708431  0.13120202  0.12199816]
 [-0.00069606  0.00395713  0.          0.        ]]",[ 0.6949833  1.9267695],[-0.18135604 -0.26917928]
1,-0.133411346376,[ 1.92566187  2.77051092],"[ 1.15515108  2.18321845  0.16561249 -0.8180737   1.12251268  1.0580885
  1.12302822  0.17953501  0.35139738 -0.93052474  0.        ]",-1.02699,"[[ 0.07579179 -0.01729354  0.13120202  0.12199816]
 [ 3.95366236  3.96193407  0.          0.        ]]",[ 0.45408243  1.69465518],[-0.18135604 -0.26917928]
2,-0.10111729817,[-0.53398549  1.71515062],"[ 1.13329627  2.17636294  0.34022077 -0.4323217   1.12250885  1.05808511
  1.24393839  0.71595519  0.30708068 -0.60768939  0.        ]",-0.486739,"[[ 0.19375588  0.10087082  0.13120202  0.12199816]
 [ 7.8298616   7.8415734   0.          0.        ]]",[ 0.00671965  1.35775089],[-0.18135604 -0.26917928]
3,-0.0586633079745,[-0.93017183  1.9450302 ],"[ 1.08574853  2.12317372  0.53334891  0.19172898  1.12250501  1.05808171
  1.17316902  1.24207676  0.16690993 -0.21528181  0.        ]",-0.284293,"[[  0.32759175   0.29588094   0.13120202   0.12199816]
 [  5.56132457  11.64674855   0.           0.        ]]",[-0.60585713  0.98105335],[-0.18135604 -0.26917928]
4,-0.0245226495802,[-2.29724139  0.25796462],"[ 1.04979201  1.96709554  0.63554453  0.99232239  1.12250117  1.05807832
  1.054919    1.7578498  -0.04589618  0.07259856  0.        ]",-0.130923,"[[  0.40078489   0.56624415   0.13120202   0.12199816]
 [  1.77065867  15.37712574   0.           0.        ]]",[-1.10139132  0.67393166],[-0.18135604 -0.26917928]
5,-0.0230089854407,[ 0.7021713   1.47211674],"[ 1.05226566  1.67950118  0.62916794  1.76028746  1.12249734  1.05807493
  0.93042357  1.85715658 -0.26575405  0.19683307  0.        ]",-0.473819,"[[  0.39615678   0.8809942    0.13120202   0.12199816]
 [ -2.22024258  16.09544895   0.           0.        ]]",[-1.25888562  0.57773572],[-0.18135604 -0.26917928]
6,-0.0503207272607,[-0.87257428 -0.12511637],"[ 1.06066143  1.248482    0.606907    2.32985678  1.1224935   1.05807154
  1.01846134  2.3604372  -0.52999137  0.22361793  0.        ]",-0.314828,"[[  0.38006656   1.23942554   0.13120202   0.12199816]
 [  0.60210922  19.7355914    0.           0.        ]]",[-1.33912468  0.53646237],[-0.18135604 -0.26917928]
7,-0.0827094858261,[-3.15377327  0.45382628],"[ 1.07194558  0.72223405  0.57525178  2.50283957  1.12248967  1.05806815
  0.91042011  2.23799125 -0.80350692  0.12655432  0.        ]",-0.16626,"[[  0.35736125   1.62525394   0.13120202   0.12199816]
 [ -2.86131817  18.85014302   0.           0.        ]]",[-1.29911089  0.53629869],[-0.18135604 -0.26917928]
8,-0.106759255046,[-1.08556276  0.0378248 ],"[ 1.11237041  0.20023587  0.43810987  2.18822185  1.12248583  1.05806476
  0.78873778  2.43487066 -0.98025428 -0.10195393  0.        ]",-0.328582,"[[  0.26099931   2.01654638   0.13120202   0.12199816]
 [ -6.76205964  20.2742747    0.           0.        ]]",[-1.22476292  0.52465272],[-0.18135604 -0.26917928]
9,-0.129412424146,[-1.15048864  0.93621224],"[ 1.15381857 -0.24220939  0.18287467  1.39923483  1.122482    1.05806137
  0.66943228  2.40004318 -1.08241126 -0.41015181  0.        ]",-0.350508,"[[  0.08738702   2.41950701   0.13120202   0.12199816]
 [-10.58661941  20.02255752   0.           0.        ]]",[-1.15520334  0.52277553],[-0.18135604 -0.26917928]
10,-0.159518073494,[ 0.28250056 -0.77399126],"[ 1.14102512 -0.53080169 -0.18858744  0.16833763  1.12247816  1.05805798
  0.55246561  2.85767986 -1.16460603 -0.77635662  0.        ]",-0.582457,"[[ -0.16196575   2.85317097   0.13120202   0.12199816]
 [-14.33621137  23.33278886   0.           0.        ]]",[-1.13108873  0.49877322],[-0.18135604 -0.26917928]
11,-0.188515700259,[-1.04582662  0.54135583],"[ 1.03083088 -0.58709331 -0.57690765 -0.88227194  1.12247432  1.05805459
  0.59617999  0.2178023  -1.24474242 -1.06298982  0.        ]",-0.807475,"[[ -0.43462731   3.17852659   0.13120202   0.12199816]
 [-12.93481183   4.23916477   0.           0.        ]]",[-1.14340973  0.60597336],[-0.18135604 -0.26917928]
12,-0.183105666321,[-0.91001561  0.92472636],"[ 0.80712933 -0.58772468 -0.94481613 -0.83097424  1.12247049  1.0580512
  0.48064854 -0.81419615 -1.22923803 -1.01239199  0.        ]",-0.925118,"[[ -0.73048391   3.16282932   0.13120202   0.12199816]
 [-16.63839366  -3.22504652   0.           0.        ]]",[-1.04686248  0.83003569],[-0.18135604 -0.26917928]
