timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.29034421365,[-4.38575505  1.55496617],"[ 1.17596024  2.33882032  0.1446102  -0.47400555 -0.4419055  -0.92736241
  1.17642048 -0.38307992  1.69665041  1.16895522  0.        ]",-1.52759,"[[ 0.06638073  0.09700527 -0.05065883 -0.10674651]
 [-0.00192985  0.00350048  0.          0.        ]]",[-3.30154181  1.31220353],[-0.16545773 -0.34269768]
1,-0.288739747001,[-3.64210528  0.90018371],"[ 1.17850614  2.33210374  0.08558063 -0.33176711 -0.44190503 -0.92736086
  1.06862016  0.16727916  1.69799801  1.13393587  0.        ]",-1.6033,"[[ 0.02663651  0.13681781 -0.05065883 -0.10674651]
 [-3.95931247  3.96454534  0.          0.        ]]",[-3.50818062  1.04062402],[-0.16545773 -0.34269768]
2,-0.283279315594,[-3.38579823  2.06025782],"[ 1.17322713  2.30031215 -0.08984025  0.0714278  -0.44190455 -0.92735932
  0.96295634  0.65181784  1.69567065  1.02596442  0.        ]",-1.59438,"[[-0.09146846  0.25109836 -0.05065883 -0.10674651]
 [-7.83827686  7.45186948  0.          0.        ]]",[-3.58043814  0.92886972],[-0.16545773 -0.34269768]
3,-0.272473792181,[-5.00482079  0.17181897],"[ 1.1228148   2.20906182 -0.37406263  0.70465908 -0.44190408 -0.92735778
  0.85937544  1.18165266  1.66966853  0.84965126  0.        ]",-1.35773,"[[ -0.28638536   0.43839667  -0.05065883  -0.10674651]
 [-11.6407866   11.26520893   0.           0.        ]]",[-3.50847197  0.93415302],[-0.16545773 -0.34269768]
4,-0.253665881525,[-2.36993451  1.41443883],"[ 0.97080548  2.03502987 -0.73956183  1.40675557 -0.44190361 -0.92735623
  0.7578667   1.24531401  1.59267362  0.59349696  0.        ]",-1.6292,"[[ -0.55658876   0.66829901  -0.05065883  -0.10674651]
 [-15.36723456  11.72341231   0.           0.        ]]",[-3.26094723  1.15841162],[-0.16545773 -0.34269768]
5,-0.225080299214,[-2.68428191  1.79759775],"[ 0.65644035  1.75321655 -1.11933429  2.08309853 -0.44190314 -0.92735469
  0.65831825  1.7632505   1.4289811   0.29773831  0.        ]",-1.37476,"[[ -0.90059879   0.94017022  -0.05065883  -0.10674651]
 [-19.02172512  15.45114886   0.           0.        ]]",[-3.24753666  1.10781121],[-0.16545773 -0.34269768]
6,-0.185831375614,[-3.02486131  1.74351398],"[ 0.14605227  1.30783845 -1.39331903  2.62995948 -0.44190266 -0.92735314
  0.56071425  2.27079038  1.15627919  0.06608035  0.        ]",-1.07279,"[[ -1.31698195   1.28584643  -0.05065883  -0.10674651]
 [-22.60483767  19.10410927   0.           0.        ]]",[-3.25853729  0.95035374],[-0.16545773 -0.34269768]
7,-0.136973016908,[-3.32749654  0.27831506],"[-0.51946065  0.7105732  -1.40059193  2.74320971 -0.44190219 -0.9273516
  0.46501094  2.76810926  0.79667828 -0.00553308  0.        ]",-0.785172,"[[ -1.80432726   1.70384459  -0.05065883  -0.10674651]
 [-26.11817767  22.68358466   0.           0.        ]]",[-3.07842875  0.74625558],[-0.16545773 -0.34269768]
8,-0.08871125951,[-2.90470923  0.42168154],"[-1.18048263  0.09507426 -1.00011063  2.16030266 -0.44190172 -0.92735006
  0.37118664  2.85841784  0.43154372  0.13959714  0.        ]",-0.631739,"[[ -2.361248     2.16404031  -0.05065883  -0.10674651]
 [-29.56253982  23.3337295    0.           0.        ]]",[-2.76309824  0.56851906],[-0.16545773 -0.34269768]
9,-0.0775500514111,[-1.78522079 -0.14850631],"[-1.56295853 -0.36555487 -0.18388365  0.89843361 -0.44190124 -0.92734851
  0.27921523  3.02580894  0.19530537  0.48785068  0.        ]",-0.753345,"[[ -2.98637559   2.64280363  -0.05065883  -0.10674651]
 [-32.93888222  24.53869552   0.           0.        ]]",[-2.43580437  0.39445609],[-0.16545773 -0.34269768]
10,-0.102790554414,[-1.70100357  0.31104295],"[-1.3855702  -0.53713271  0.80634322 -0.54521523 -0.44190077 -0.92734697
  0.18907976  0.99007687  0.16099605  0.79850236  0.        ]",-0.893217,"[[ -3.67835254   3.06445369  -0.05065883  -0.10674651]
 [-36.24782604   9.88677712   0.           0.        ]]",[-2.564363   0.3303462],[-0.16545773 -0.34269768]
11,-0.109586489713,[-2.24918106 -0.48802979],"[-0.57685899 -0.54109295  1.47642962 -0.74532603 -0.4419003  -0.92734543
  0.10076068 -0.54241171  0.1674309   0.86284922  0.        ]",-0.678352,"[[ -4.43584146   3.12015478  -0.05065883  -0.10674651]
 [-39.49008903  -1.14312514   0.           0.        ]]",[-2.75168085  0.40089467],[-0.16545773 -0.34269768]
12,-0.109537659483,[-2.3215787 -0.5571381],"[ 0.51492742 -0.53812504  1.31740206 -0.5793645  -0.44189983 -0.92734388
  0.01420313 -0.838791    0.07593445  0.91249042  0.        ]",-0.504262,"[[ -5.25752532   3.07397182  -0.05065883  -0.10674651]
 [-42.66768506  -3.2762864    0.           0.        ]]",[-2.79624653  0.43169039],[-0.16545773 -0.34269768]
13,-0.128573052246,[-3.27217509 -0.03234286],"[ 1.16529554 -0.52419857  0.25503123 -0.26835157 -0.44189935 -0.92734234
 -0.07063634 -1.13642943  0.07907847  1.08960796  0.        ]",-0.490748,"[[ -6.14212853   2.98695382  -0.05065883  -0.10674651]
 [-45.78220883  -5.41851722   0.           0.        ]]",[-2.82592726  0.55182451],[-0.16545773 -0.34269768]
14,-0.147187881683,[-3.15001471  0.36521525],"[ 0.7554988  -0.49169849 -1.02606978  0.11364017 -0.44189888 -0.92734079
 -0.15378516 -1.13961401  0.280559    1.16705794  0.        ]",-0.786862,"[[ -7.08839954   2.87835548  -0.05065883  -0.10674651]
 [-48.83466755  -5.44145469   0.           0.        ]]",[-2.87166452  0.71047866],[-0.16545773 -0.34269768]
15,-0.134083228569,[-3.21032301  1.70414489],"[-0.52964113 -0.45065696 -1.39793537  0.43308278 -0.44189841 -0.92733925
 -0.23528115 -0.92420886  0.44050397  0.89753201  0.        ]",-0.794968,"[[ -8.09511046e+00   2.78508374e+00  -5.06588339e-02  -1.06746507e-01]
 [ -5.18264505e+01  -3.89111426e+00   0.00000000e+00   0.00000000e+00]]",[-2.79490519  0.83967566],[-0.16545773 -0.34269768]
16,-0.0916595534565,[-1.62230936 -0.36773524],"[-1.53185385 -0.43089163 -0.34161042  0.55814942 -0.44189793 -0.92733771
 -0.31517017 -0.36401214  0.25248892  0.59541429  0.        ]",-0.723244,"[[ -9.16106399e+00   2.74771680e+00  -5.06588339e-02  -1.06746507e-01]
 [ -5.47592409e+01   1.40827930e-01   0.00000000e+00   0.00000000e+00]]",[-2.45243025  0.73444462],[-0.16545773 -0.34269768]
17,-0.0797804522954,[-1.88640358  1.56619882],"[-1.09982096 -0.42421976  1.17316188  0.59749434 -0.44189746 -0.92733616
 -0.39348747 -0.56745393 -0.07752814  0.69459664  0.        ]",-0.746473,"[[ -1.02850960e+01   2.73584321e+00  -5.06588339e-02  -1.06746507e-01]
 [ -5.76343334e+01  -1.32342225e+00   0.00000000e+00   0.00000000e+00]]",[-2.43802214  0.69076127],[-0.16545773 -0.34269768]
18,-0.124965042449,[-4.5235852   0.15017099],"[ 0.42497696 -0.43176916  1.37136629  0.55286857 -0.44189699 -0.92733462
 -0.4702569  -0.01450867 -0.12190246  1.10769989  0.        ]",-0.506435,"[[ -1.14660580e+01   2.74930552e+00  -5.06588339e-02  -1.06746507e-01]
 [ -6.04526048e+01   2.65632554e+00   0.00000000e+00   0.00000000e+00]]",[-2.71065998  0.43450737],[-0.16545773 -0.34269768]
19,-0.152033430357,[-3.62096822  1.21474894],"[ 1.16617371 -0.46175392 -0.15629769  0.35614748 -0.44189652 -0.92733308
 -0.54552073  0.05996978  0.1675382   1.27248206  0.        ]",-0.802008,"[[ -1.27028321e+01   2.80780976e+00  -5.06588339e-02  -1.06746507e-01]
 [ -6.32156070e+01   3.19237393e+00   0.00000000e+00   0.00000000e+00]]",[-2.81623602  0.4397482 ],[-0.16545773 -0.34269768]
20,-0.13902904425,[-4.01096135 -0.0521973 ],"[ -3.91412487e-03  -5.03112297e-01  -1.42580930e+00   8.29509888e-04
  -4.41896044e-01  -9.27331532e-01  -6.19298087e-01   6.00606389e-01
   3.36457159e-01   1.04575134e+00   0.00000000e+00]",-0.648104,"[[ -1.39943183e+01   2.91069622e+00  -5.06588339e-02  -1.06746507e-01]
 [ -6.59240432e+01   7.08353030e+00   0.00000000e+00   0.00000000e+00]]",[-2.69407654  0.42002064],[-0.16545773 -0.34269768]
21,-0.116269732221,[-3.64255181 -0.67134091],"[-1.48693066 -0.5326465  -0.4896698  -0.42642425 -0.44189557 -0.92732999
 -0.69161914 -0.01498547  0.26000057  0.86536274  0.        ]",-0.611665,"[[ -1.53394375e+01   3.03128437e+00  -5.06588339e-02  -1.06746507e-01]
 [ -6.85790215e+01   2.65290242e+00   0.00000000e+00   0.00000000e+00]]",[-2.44822669  0.43422139],[-0.16545773 -0.34269768]
22,-0.103697734207,[-4.7398155  -0.20590055],"[-0.91133175 -0.53401028  1.32009414 -0.45843232 -0.4418951  -0.92732844
 -0.76249326 -0.53179552  0.12577656  0.82997789  0.        ]",-0.418644,"[[ -1.67371240e+01   3.04023200e+00  -5.06588339e-02  -1.06746507e-01]
 [ -7.11808871e+01  -1.06675954e+00   0.00000000e+00   0.00000000e+00]]",[-2.55264568  0.42071509],[-0.16545773 -0.34269768]
23,-0.117692406687,[-2.43540992 -0.10244817],"[ 0.88660644 -0.52910874  0.96143835 -0.35363449 -0.44189463 -0.9273269
 -0.83195688 -0.64251388  0.04232074  1.00263814  0.        ]",-0.519051,"[[ -1.81863278e+01   3.01090284e+00  -5.06588339e-02  -1.06746507e-01]
 [ -7.37309781e+01  -1.86364253e+00   0.00000000e+00   0.00000000e+00]]",[-2.69109583  0.39487928],[-0.16545773 -0.34269768]
24,-0.138729926306,[-2.31511324  0.47834596],"[ 0.72396021 -0.52019278 -1.05774481 -0.20780091 -0.44189415 -0.92732536
 -0.90004189 -0.69427185  0.22155584  1.1184475   0.        ]",-0.734583,"[[ -1.96860257e+01   2.96989438e+00  -5.06588339e-02  -1.06746507e-01]
 [ -7.62304663e+01  -2.23616843e+00   0.00000000e+00   0.00000000e+00]]",[-2.67549896  0.51495522],[-0.16545773 -0.34269768]
25,-0.119881058853,[-2.45786695  0.28204954],"[-1.2038668  -0.51349125 -0.97400678 -0.11824591 -0.44189368 -0.92732381
 -0.96677732 -0.4256483   0.31129196  0.86131268  0.        ]",-0.741073,"[[ -2.12352158e+01   2.94457073e+00  -5.06588339e-02  -1.06746507e-01]
 [ -7.86804179e+01  -3.02799836e-01   0.00000000e+00   0.00000000e+00]]",[-2.53108382  0.56216723],[-0.16545773 -0.34269768]
26,-0.0957305214298,[-4.52735197  1.07665323],"[-1.1190536  -0.51492836  1.15498107 -0.13643973 -0.44189321 -0.92732227
 -1.03219746 -0.27040949  0.08390868  0.77592682  0.        ]",-0.523671,"[[ -2.28329207e+01   2.94972529e+00  -5.06588339e-02  -1.06746507e-01]
 [ -8.10820934e+01   8.14502124e-01   0.00000000e+00   0.00000000e+00]]",[-2.44122458  0.42892241],[-0.16545773 -0.34269768]
27,-0.118244671531,[-2.91209058 -0.05245389],"[ 0.89392929 -0.52807471  0.95124443 -0.33447126 -0.44189273 -0.92732073
 -1.09632818  0.12064183  0.04051064  1.0084031   0.        ]",-0.492929,"[[ -2.44781834e+01   3.00552832e+00  -5.06588339e-02  -1.06746507e-01]
 [ -8.34364429e+01   3.62902318e+00   0.00000000e+00   0.00000000e+00]]",[-2.64337873  0.27418232],[-0.16545773 -0.34269768]
28,-0.133339626742,[-2.12126789 -1.86238764],"[ 0.50112202 -0.53253387 -1.23434172 -0.42398982 -0.44189226 -0.92731918
 -1.15919118 -0.39742529  0.201294    1.07718889  0.        ]",-0.612895,"[[ -2.61700684e+01   3.03060385e+00  -5.06588339e-02  -1.06746507e-01]
 [ -8.57442641e+01  -9.96697290e-02   0.00000000e+00   0.00000000e+00]]",[-2.58137798  0.42431483],[-0.16545773 -0.34269768]
29,-0.114377789202,[-2.9720726   0.99392395],"[-1.48783948 -0.52461191 -0.48711749 -0.27514187 -0.44189179 -0.92731764
 -1.22080081 -0.94788073  0.2643833   0.84162614  0.        ]",-0.700361,"[[ -2.79076481e+01   2.98886298e+00  -5.06588339e-02  -1.06746507e-01]
 [ -8.80060849e+01  -4.06147701e+00   0.00000000e+00   0.00000000e+00]]",[-2.44040012  0.65284812],[-0.16545773 -0.34269768]
30,-0.100515000576,[-1.69343117  1.46948591],"[-0.41336127 -0.51441188  1.51506781 -0.12987567 -0.44189132 -0.9273161
 -1.28117916 -0.390772    0.01479904  0.85378618  0.        ]",-0.763747,"[[ -2.96900092e+01   2.94786669e+00  -5.06588339e-02  -1.06746507e-01]
 [ -9.02227169e+01  -5.17988122e-02   0.00000000e+00   0.00000000e+00]]",[-2.50034428  0.39500901],[-0.16545773 -0.34269768]
31,-0.131977707314,[-3.50329601 -0.00878147],"[ 1.17206281 -0.52408803 -0.10296837 -0.26674468 -0.44189084 -0.92731455
 -1.34037654  0.15860415  0.10894511  1.10925542  0.        ]",-0.485837,"[[ -3.15162680e+01   2.98650095e+00  -5.06588339e-02  -1.06746507e-01]
 [ -9.23960084e+01   3.90222665e+00   0.00000000e+00   0.00000000e+00]]",[-2.59451938  0.30234909],[-0.16545773 -0.34269768]
