timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.379680408075,[ 0.76399758  2.89921446],"[ 1.13925222  2.05507393  0.19908498 -0.89449454 -1.31641619  1.14238592
  0.87391329 -0.3546041   2.33968787 -0.99326537  0.        ]",-2.34175,"[[ 0.09810792 -0.05890113 -0.15155125  0.13177757]
 [ 0.00132817  0.00021147  0.          0.        ]]",[ 0.86250442  2.00761199],[-0.13826628 -0.21536648]
1,-0.37562780518,[ 0.61238536  2.51405507],"[ 1.13451375  2.05713464  0.24425903 -0.7741083  -1.31640862  1.14238038
  0.98113672  0.19120581  2.33315804 -0.90236777  0.        ]",-2.2611,"[[ 0.12844224 -0.01918088 -0.15155125  0.13177757]
 [ 3.02204963  3.95862423  0.          0.        ]]",[ 0.63058943  1.8604008 ],[-0.13826628 -0.21536648]
2,-0.362278753382,[-0.27268152  2.46268511],"[ 1.11480754  2.05078915  0.36849757 -0.41635269 -1.31640106  1.14237484
  1.06495043  0.72624368  2.29000168 -0.64727871  0.        ]",-1.98158,"[[ 0.21257431  0.09892387 -0.15155125  0.13177757]
 [ 5.38331294  7.83892025  0.          0.        ]]",[ 0.27849996  1.65689385],[-0.13826628 -0.21536648]
3,-0.339744675733,[-1.07597091  1.48882161],"[ 1.08077349  1.99972345  0.5071384   0.16271426 -1.31639349  1.14236931
  1.02282915  1.25087191  2.17247589 -0.32552081  0.        ]",-1.5926,"[[  0.3083358    0.29387742  -0.15155125   0.13177757]
 [  4.19683182  11.64375021   0.           0.        ]]",[-0.10395655  1.41777849],[-0.13826628 -0.21536648]
4,-0.3125873703,[-1.78026087  0.64169279],"[ 1.06135373  1.84905598  0.56867585  0.90605291 -1.31638593  1.14236377
  0.87941703  1.76524786  1.99424373 -0.07866216  0.        ]",-1.27206,"[[  0.35173766   0.56418237  -0.15155125   0.13177757]
 [  0.15683816  15.37429355   0.           0.        ]]",[-0.42559403  1.167395  ],[-0.13826628 -0.21536648]
5,-0.285540315068,[ 0.5733939   2.07398423],"[ 1.07787986  1.55497848  0.51685296  1.64900114 -1.31637836  1.14235823
  0.73886074  2.07378028  1.80298869  0.02494926  0.        ]",-1.63692,"[[  0.31514729   0.89412087  -0.15155125   0.13177757]
 [ -3.80272603  17.61205503   0.           0.        ]]",[-0.58630085  0.99823248],[-0.13826628 -0.21536648]
6,-0.250976013906,[-1.59834808  0.42485333],"[ 1.0985331   1.0954192   0.44137435  2.19222304 -1.3163708   1.14235269
  0.82206795  2.57153645  1.5569938   0.04225898  0.        ]",-1.05257,"[[  0.26260927   1.28258431  -0.15155125   0.13177757]
 [ -1.45860407  21.22229478   0.           0.        ]]",[-0.78226858  0.79202569],[-0.13826628 -0.21536648]
7,-0.212871259472,[-1.46803097  1.31539603],"[ 1.11995001  0.51407368  0.34127281  2.28373932 -1.31636323  1.14234716
  0.68265194  2.74560093  1.28493471 -0.06863494  0.        ]",-0.941712,"[[  0.19403379   1.71970076  -0.15155125   0.13177757]
 [ -5.38604735  22.48505753   0.           0.        ]]",[-0.80496037  0.63951784],[-0.13826628 -0.21536648]
8,-0.186824937239,[-0.87443584  1.6183361 ],"[ 1.14428041 -0.08248213  0.12369014  1.7280564  -1.31635567  1.14234162
  0.54594899  3.23011597  1.06770343 -0.34647635  0.        ]",-0.870162,"[[  0.04767571   2.20466562  -0.15155125   0.13177757]
 [ -9.23707353  25.9996214    0.           0.        ]]",[-0.79168582  0.53809953],[-0.13826628 -0.21536648]
9,-0.180993658154,[-1.5577423   1.64075237],"[ 1.12595393 -0.5333666  -0.20127251  0.41582181 -1.3163481   1.14233608
  0.42956787  3.7049315   0.88514968 -0.76634158  0.        ]",-0.694791,"[[ -0.16995927   2.75921872  -0.15155125   0.13177757]
 [-12.51561938  29.44417572   0.           0.        ]]",[-0.7589103  0.4945274],[-0.13826628 -0.21536648]
10,-0.19456402302,[-1.0160796   0.77806188],"[ 1.00386611 -0.62723411 -0.60984188 -0.92458287 -1.31634054  1.14233055
  0.29778318  0.59173136  0.75769028 -1.15420869  0.        ]",-0.810665,"[[ -0.45751585   3.21042877  -0.15155125   0.13177757]
 [-16.22810392   6.86429629   0.           0.        ]]",[-0.4137837   0.65655345],[-0.13826628 -0.21536648]
11,-0.190478190393,[ 0.19575585  2.08005187],"[ 0.7085935  -0.62764894 -1.04221307 -0.91045863 -1.31633297  1.14232501
  0.16862396 -0.87698527  0.76301364 -1.0973894   0.        ]",-1.15093,"[[ -0.81858583   3.20576313  -0.15155125   0.13177757]
 [-19.86662829  -3.7882442    0.           0.        ]]",[-0.31897908  0.88187248],[-0.13826628 -0.21536648]
12,-0.192940048392,[ 0.66608076  1.28295297],"[ 0.26021473 -0.63021663 -1.34704081 -0.6640851  -1.31632541  1.14231947
  0.21009662 -0.86519368  0.83641447 -1.02855861  0.        ]",-1.19449,"[[ -1.20419652   3.12449456  -0.15155125   0.13177757]
 [-18.69829459  -3.70274365   0.           0.        ]]",[-0.47309285  0.89384246],[-0.13826628 -0.21536648]
13,-0.200909673562,[-0.39108901  0.16487148],"[-0.20310733 -0.62651266 -1.44624185 -0.48506635 -1.31631784  1.14231394
  0.31685413 -0.65986338  0.90810431 -1.02926728  0.        ]",-1.01721,"[[ -1.54798753   3.06540333  -0.15155125   0.13177757]
 [-15.69082834  -2.21351074   0.           0.        ]]",[-0.58835566  0.88461101],[-0.13826628 -0.21536648]
14,-0.208955906392,[-0.02575804  0.21380888],"[-0.64705087 -0.62176701 -1.37815064 -0.37249394 -1.31631028  1.1423084
  0.27291585 -0.56383439  0.95444636 -1.06941056  0.        ]",-1.08772,"[[ -1.87422292   3.02812123  -0.15155125   0.13177757]
 [-16.92858554  -1.51703093   0.           0.        ]]",[-0.64463109  0.89961529],[-0.13826628 -0.21536648]
15,-0.21514882975,[-0.08630225  1.019993  ],"[-1.05859426 -0.61817692 -1.15028372 -0.30764209 -1.31630271  1.14230286
  0.28119335 -0.4429873   0.9728501  -1.12691784  0.        ]",-1.09817,"[[ -2.21045483   3.00657471  -0.15155125   0.13177757]
 [-16.69538464  -0.64054523   0.           0.        ]]",[-0.6733492   0.90681052],[-0.13826628 -0.21536648]
16,-0.218064124834,[-0.89131024  2.05079903],"[-1.37613788 -0.61718307 -0.79048748 -0.29148378 -1.31629515  1.14229733
  0.28079672 -0.36130404  0.9642379  -1.17893417  0.        ]",-0.981715,"[[ -2.54447436   3.00119698  -0.15155125   0.13177757]
 [-16.70653993  -0.04811064   0.           0.        ]]",[-0.67459583  0.90640336],[-0.13826628 -0.21536648]
17,-0.21851369474,[ 0.47754441  0.59239274],"[-1.57836194 -0.61725475 -0.29073825 -0.29265823 -1.31628759  1.14229179
  0.16726589 -0.34759825  0.93692416 -1.22286     0.        ]",-1.13787,"[[ -2.91069393   3.00158823  -0.15155125   0.13177757]
 [-19.90476077   0.05129001   0.           0.        ]]",[-0.67751843  0.89929301],[-0.13826628 -0.21536648]
18,-0.216760303616,[-1.58312818  0.91511273],"[-1.60064335 -0.61736206  0.26779156 -0.29440865 -1.31628002  1.14228625
  0.24837055 -0.35268567  0.89739389 -1.25264131  0.        ]",-0.769196,"[[ -3.28586523e+00   3.00217120e+00  -1.51551249e-01   1.31777572e-01]
 [ -1.76199832e+01   1.43855280e-02   0.00000000e+00   0.00000000e+00]]",[-0.63568562  0.88009298],[-0.13826628 -0.21536648]
19,-0.212811314535,[-1.3042292   1.12999294],"[-1.42356477 -0.6174535   0.81377935 -0.2959102  -1.31627246  1.14228072
  0.12020507 -0.35090552  0.8498823  -1.26327912  0.        ]",-0.836232,"[[ -3.67448997   3.00267129  -0.15155125   0.13177757]
 [-21.23045935   0.02729071   0.           0.        ]]",[-0.6101315   0.84478992],[-0.13826628 -0.21536648]
20,-0.205990644257,[-2.21625136  1.57064131],"[-0.98849173 -0.61755423  1.30788067 -0.29756801 -1.3162649   1.14227518
 -0.00542323 -0.35130792  0.79452779 -1.24728884  0.        ]",-0.652333,"[[ -4.13460712e+00   3.00322335e+00  -1.51551249e-01   1.31777572e-01]
 [ -2.47694619e+01   2.43661537e-02   0.00000000e+00   0.00000000e+00]]",[-0.563456    0.79015291],[-0.13826628 -0.21536648]
