timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.0762744911713,[-0.05589875  0.01028191],"[ 1.11673487  1.7678799   0.10263086 -0.40660538  1.63378891  0.769562
  0.63792135 -0.31604027 -0.11431026 -0.59208395  0.        ]",-0.374196,"[[  2.82436697e-02   8.02771974e-02   1.90481108e-01   8.86510404e-02]
 [ -2.24552151e-03   1.08977443e-05   0.00000000e+00   0.00000000e+00]]",[ 0.12029225  1.26077831],[-0.06971408 -0.15115501]
1,-0.0766969745906,[-0.41577103  0.61057874],"[ 1.1168098   1.76780985  0.0992101  -0.40556012  1.6337655   0.76955721
  0.62650822 -0.31043484 -0.11411711 -0.59552191  0.        ]",-0.353061,"[[ 0.02598039  0.08068675  0.19048111  0.08865104]
 [-0.22334583  0.0408084   0.          0.        ]]",[ 0.12241849  1.26131439],[-0.06971408 -0.15115501]
2,-0.0782841434298,[ 0.06822989  1.89521973],"[ 1.11724845  1.76483438  0.06756571 -0.34175693  1.6337421   0.76955243
  0.54180927  0.02163876 -0.11423265 -0.60868416  0.        ]",-0.397429,"[[ 0.0050462   0.10575818  0.19048111  0.08865104]
 [-1.86460561  2.45827492  0.          0.        ]]",[ 0.1184074   1.24123311],[-0.06971408 -0.15115501]
3,-0.0756732750015,[-0.68533493  0.99549421],"[ 1.11666823  1.74813381  0.01582377 -0.11840751  1.63371869  0.76954764
  0.55756073  0.5588423  -0.12014662 -0.58880267  0.        ]",-0.305178,"[[-0.02918295  0.194162    0.19048111  0.08865104]
 [-1.55931632  6.36907399  0.          0.        ]]",[ 0.08942744  1.19879842],[-0.06971408 -0.15115501]
4,-0.0694124164855,[ 0.51672174  1.51526244],"[ 1.11199043  1.69096003 -0.0718409   0.2884464   1.63369529  0.76954286
  0.41916913  1.08310933 -0.14012483 -0.54265235  0.        ]",-0.370038,"[[ -0.08727589   0.35983739   0.19048111   0.08865104]
 [ -4.24104383  10.18573265   0.           0.        ]]",[ 0.07329941  1.15331101],[-0.06971408 -0.15115501]
5,-0.0562685718831,[-0.84547094  1.15442194],"[ 1.10157348  1.55036156 -0.16711957  0.83427364  1.63367189  0.76953808
  0.52892294  1.59918696 -0.19284527 -0.44653679  0.        ]",-0.23447,"[[ -0.15075819   0.6012485    0.19048111   0.08865104]
 [ -2.11418032  13.94287088   0.           0.        ]]",[ 0.01536199  1.07487082],[-0.06971408 -0.15115501]
6,-0.0418052822825,[-0.57195814  0.30402055],"[ 1.08205149  1.27697652 -0.27911498  1.41741638  1.63364849  0.76953329
  0.35841936  2.10527294 -0.30056515 -0.32779843  0.        ]",-0.199282,"[[ -0.22619159   0.91707502   0.19048111   0.08865104]
 [ -5.4181635   17.62745702   0.           0.        ]]",[-0.07089102  0.96406525],[-0.06971408 -0.15115501]
7,-0.0469506745979,[ 0.2510915   1.56563788],"[ 1.03054273  0.87324934 -0.46723498  1.83573194  1.63362509  0.76952851
  0.24716674  2.22269717 -0.45214401 -0.28676172  0.        ]",-0.250388,"[[ -0.35618423   1.27820541   0.19048111   0.08865104]
 [ -7.57398654  18.48268171   0.           0.        ]]",[-0.17930712  0.86219573],[-0.06971408 -0.15115501]
8,-0.0703191952515,[-0.99844518  0.70922003],"[ 0.95067066  0.36648802 -0.65981169  1.92799105  1.63360169  0.76952373
  0.3061716   2.71617692 -0.66621339 -0.27363314  0.        ]",-0.184129,"[[ -0.4961937    1.68391092   0.19048111   0.08865104]
 [ -6.4305748   22.07592075   0.           0.        ]]",[-0.34264806  0.7066974 ],[-0.06971408 -0.15115501]
9,-0.110125238983,[ 0.82293315  0.2715979 ],"[ 0.82450241 -0.18134476 -0.87076848  1.52851746  1.63357829  0.76951894
  0.10881323  3.04176373 -0.94776204 -0.32477826  0.        ]",-0.295094,"[[ -0.66317444   2.1492219    0.19048111   0.08865104]
 [-10.25493119  24.44717758   0.           0.        ]]",[-0.45437449  0.6053018 ],[-0.06971408 -0.15115501]
