timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.255074369935,[ 1.02351261  1.86693398],"[ 1.1488348   2.14366877 -0.08198955 -0.61545125 -0.24646166  0.70564124
  0.96067032 -0.36388179  1.48354413 -0.82059816  0.        ]",-1.66082,"[[-0.09002923  0.04115908 -0.026696    0.08202829]
 [-0.0020813   0.00203243  0.          0.        ]]",[ 0.70673645  2.18495655],[-0.16741462 -0.24482188]
1,-0.250896086849,[ 0.74237214  0.72785772],"[ 1.15266681  2.14032065 -0.02284907 -0.48868364 -0.24646122  0.70563946
  1.08907729  0.18260158  1.48611319 -0.71127277  0.        ]",-1.52033,"[[-0.05039534  0.08091173 -0.026696    0.08202829]
 [ 3.95231258  3.96004567  0.          0.        ]]",[ 0.41602641  1.94462967],[-0.16741462 -0.24482188]
2,-0.238440822283,[ 0.08547033  1.95149267],"[ 1.15214782  2.1205476   0.13821096 -0.14905634 -0.24646078  0.70563768
  1.18186545  0.56954196  1.46246945 -0.41677594  0.        ]",-1.3181,"[[ 0.05732125  0.18823099 -0.026696    0.08202829]
 [ 6.8098556   6.76254047  0.          0.        ]]",[ 0.00310934  1.66365755],[-0.16741462 -0.24482188]
3,-0.218184731787,[-0.54277312  0.51886182],"[ 1.12811146  2.05588413  0.34317555  0.38418995 -0.24646034  0.7056359
  1.18842668  1.09773672  1.35387081 -0.02742069  0.        ]",-0.975471,"[[  0.1955465    0.36186507  -0.026696     0.08202829]
 [  7.0120563   10.58811155   0.           0.        ]]",[-0.56811208  1.25335383],[-0.16741462 -0.24482188]
4,-0.19303435414,[-1.73682109  0.41812726],"[ 1.08742647  1.91107533  0.51291964  1.03637127 -0.2464599   0.70563412
  1.11418637  1.35255606  1.14986762  0.31463408  0.        ]",-0.769596,"[[  0.31285023   0.59214509  -0.026696     0.08202829]
 [  4.72596458  12.43373187   0.           0.        ]]",[-1.0029875   0.94452548],[-0.16741462 -0.24482188]
5,-0.167722256576,[-1.4205824   2.18323109],"[ 1.06264171  1.6729183   0.58891562  1.66390877 -0.24645946  0.70563234
  0.98268152  1.54733361  0.91876774  0.50382772  0.        ]",-0.859501,"[[  0.36673926   0.85497472  -0.026696     0.08202829]
 [  0.67638721  13.84450835   0.           0.        ]]",[-1.26762581  0.72383201],[-0.16741462 -0.24482188]
6,-0.141604558547,[-0.19510573  0.52239637],"[ 1.0752075   1.30914719  0.55199437  2.19346242 -0.24645902  0.70563056
  0.85374939  2.05632738  0.70327496  0.53795721  0.        ]",-0.899225,"[[  0.34043128   1.16885446  -0.026696     0.08202829]
 [ -3.2939868   17.53112962   0.           0.        ]]",[-1.36495245  0.57061565],[-0.16741462 -0.24482188]
7,-0.110401901498,[-2.46444078 -0.74748331],"[ 1.10533124  0.81892239  0.44786285  2.44621592 -0.24645858  0.70562878
  0.83080757  2.29398831  0.48727354  0.45399287  0.        ]",-0.530583,"[[  0.26746349   1.53674948  -0.026696     0.08202829]
 [ -4.00040439  19.25262143   0.           0.        ]]",[-1.29610467  0.51796532],[-0.16741462 -0.24482188]
8,-0.0822453993884,[-1.88032904  1.0948515 ],"[ 1.13919215  0.3437181   0.27391105  2.28836369 -0.24645814  0.705627
  0.70488317  1.8327575   0.33232867  0.27828243  0.        ]",-0.527911,"[[  0.14855152   1.88828638  -0.026696     0.08202829]
 [ -7.87817355  15.91211949   0.           0.        ]]",[-1.13017797  0.52881372],[-0.16741462 -0.24482188]
9,-0.0622606986679,[-1.8410454   0.41439464],"[ 1.15285038 -0.08259667 -0.01803397  1.75277685 -0.2464577   0.70562522
  0.58139211  2.33591464  0.23195486  0.03178244  0.        ]",-0.38363,"[[ -0.04716623   2.24309565  -0.026696     0.08202829]
 [-11.68101995  19.55658104   0.           0.        ]]",[-1.02796805  0.48908019],[-0.16741462 -0.24482188]
10,-0.0569115361125,[-0.3240197  -1.12877378],"[ 1.08511509 -0.43572433 -0.41551229  0.77018322 -0.24645726  0.70562344
  0.46032991  2.50890562  0.11580356 -0.27753973  0.        ]",-0.321179,"[[ -0.31819053   2.64680119  -0.026696     0.08202829]
 [-15.40907697  20.80975654   0.           0.        ]]",[-0.95365667  0.46843708],[-0.16741462 -0.24482188]
