timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.236861803403,[-2.05789474  0.21263376],"[ 1.0806557   1.47641221  0.04709702 -0.31272866  0.70542291 -1.64600931
  0.25850086 -0.24717383  0.56368573  1.46348466  0.        ]",-0.720621,"[[ 0.01093964  0.07855633  0.08583051 -0.19105499]
 [-0.00389112 -0.00409548  0.          0.        ]]",[-0.57138902  0.4737902 ],[ 0.00687583 -0.07629289]
1,-0.230687322068,[ 0.01814425  1.49257607],"[ 1.08014531  1.47553483 -0.01348086 -0.29519179  0.70541526 -1.64596511
 -0.06092253 -0.13318632  0.56511532  1.40880099  0.        ]",-0.873181,"[[-0.02883124  0.08693813  0.08583051 -0.19105499]
 [-3.96002474  0.83945717  0.          0.        ]]",[-0.57226568  0.47458526],[ 0.00687583 -0.07629289]
2,-0.222001891844,[-0.30802672 -0.51788046],"[ 1.07284027  1.46762265 -0.13155809 -0.17770078  0.70540761 -1.6459209
 -0.04892593  0.39960585  0.56239708  1.33432618  0.        ]",-0.763933,"[[-0.10654109  0.14328771  0.08583051 -0.19105499]
 [-3.81144976  4.78236049  0.          0.        ]]",[-0.56402016  0.48080117],[ 0.00687583 -0.07629289]
3,-0.212908183023,[-0.22154545  0.31527993],"[ 1.05460724  1.45140577 -0.26358955 -0.02465171  0.70539996 -1.6458767
 -0.14115937  0.10977452  0.55407776  1.2594764   0.        ]",-0.748662,"[[-0.19423133  0.21741498  0.08583051 -0.19105499]
 [-4.95377738  2.63750992  0.          0.        ]]",[-0.55148643  0.4923169 ],[ 0.00687583 -0.07629289]
4,-0.199239212668,[-0.72386785 -0.73953685],"[ 1.01826262  1.43188943 -0.42137556  0.10703889  0.70539232 -1.64583251
 -0.20404997  0.27144506  0.53697243  1.14896798  0.        ]",-0.639152,"[[-0.30112196  0.28216937  0.08583051 -0.19105499]
 [-5.73269336  3.83393739  0.          0.        ]]",[-0.53626925  0.50472379],[ 0.00687583 -0.07629289]
5,-0.176995105647,[-0.72759358  0.72955328],"[ 0.94655551  1.4148194  -0.62303938  0.20021869  0.70538467 -1.64578831
 -0.426019   -0.134377    0.49849613  0.97407263  0.        ]",-0.572204,"[[-0.44335832  0.32871622  0.08583051 -0.19105499]
 [-8.481795    0.83074178  0.          0.        ]]",[-0.51350927  0.52461052],[ 0.00687583 -0.07629289]
6,-0.143476254311,[-1.68380091  1.60003302],"[ 0.80598115  1.39574659 -0.87953769  0.28977261  0.70537702 -1.64574413
 -0.64496746  0.25387445  0.41144816  0.7295822   0.        ]",-0.427833,"[[ -0.64020151   0.37415858   0.08583051  -0.19105499]
 [-11.19350795   3.70389699   0.           0.        ]]",[-0.48423374  0.54438603],[ 0.00687583 -0.07629289]
7,-0.102883045208,[-1.0307116  -1.66786419],"[ 0.55410506  1.33827346 -1.16429581  0.50536013  0.70536937 -1.64569994
 -0.94663745  0.7791684   0.25681327  0.47863562  0.        ]",-0.30285,"[[ -0.90155833   0.48723985   0.08583051  -0.19105499]
 [-14.92977298   7.59122122   0.           0.        ]]",[-0.44600916  0.56464863],[ 0.00687583 -0.07629289]
8,-0.0469200641788,[-0.72902612 -1.40395751],"[ 0.14820024  1.26876857 -1.40872072  0.70408247  0.70536172 -1.64565576
 -1.24211462  0.22387702 -0.01621272  0.2032753   0.        ]",-0.236967,"[[ -1.23687234   0.59783592   0.08583051  -0.19105499]
 [-18.58946114   3.48200274   0.           0.        ]]",[-0.38522744  0.60114604],[ 0.00687583 -0.07629289]
9,-0.0333781418601,[-1.00854146 -0.1508433 ],"[-0.39388082  1.24829668 -1.48979977  0.75426373  0.70535407 -1.64561158
 -1.44516903 -0.32052547 -0.46563503 -0.03758209  0.        ]",-0.271855,"[[ -1.63389763   0.62705581   0.08583051  -0.19105499]
 [-21.10464527  -0.54664032   0.           0.        ]]",[-0.32443467  0.63292682],[ 0.00687583 -0.07629289]
