timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.0878899069395,[ 0.2187175   1.37350241],[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],-0.2971,"[[ 0.05143402  0.09803611  0.13010464  0.06097589]
 [-0.00148074  0.00203912  0.          0.        ]]",[ 0.  0.],[ 0.00745224  0.01121924]
1,-0.0844348325119,[-0.10301572 -0.98063177],"[-0.23721253 -1.21019209  1.3437697   1.41059931  0.          0.
  1.41420598  1.4142132  -0.45774702  1.28312471  0.        ]",-3.63331,"[[ 0.06007035  0.13780096  0.13010464  0.06097589]
 [ 0.86224584  3.96125213  0.          0.        ]]",[-0.00051598 -0.00213628],[ 0.00745224  0.01121924]
2,-0.08064938763,[-0.30602125  0.98982471],"[-0.67264698 -1.54195376  1.60635762  1.54536662  0.          0.          0.0235726
 -0.9614223  -0.98109394  1.53209143  0.        ]",-6.59407,"[[  7.30708031e-02   1.77282397e-01   1.30104638e-01   6.09758874e-02]
 [  4.39199695e-01   9.29098195e-05   0.00000000e+00   0.00000000e+00]]",[-0.00162369 -0.00020924],[ 0.00745224  0.01121924]
3,-0.0786080804368,[ 0.74413457  0.26160909],"[-0.33774109 -1.68124435  0.87332929  1.59765808  0.          0.
 -1.80724684  1.26719445 -1.15237164  1.41359783  0.        ]",-5.74325,"[[ 0.06960628  0.21661255  0.13010464  0.06097589]
 [-0.78158001  3.91985698  0.          0.        ]]",[-0.00252018  0.00064451],[ 0.00745224  0.01121924]
4,-0.0721977767677,[ 2.07652897  0.27489201],"[-0.97120596 -2.03300168  1.69084084  1.88626553  0.          0.
  1.90423023  1.34824609 -1.82881836  1.8420452   0.        ]",-2.81826,"[[ 0.08366179  0.30461285  0.13010464  0.06097589]
 [ 2.17729401  4.87698842  0.          0.        ]]",[-0.00079497 -0.0021704 ],[ 0.00745224  0.01121924]
5,-0.0626228155372,[ 1.14772887 -0.0948179 ],"[-2.34816134 -2.15418948  2.37083077  1.95238613  0.          0.
  2.26171601  1.42666454 -2.24683313  2.15624369  0.        ]",-2.62185,"[[ 0.16646425  0.41208974  0.13010464  0.06097589]
 [ 6.08995798  5.86740014  0.          0.        ]]",[-0.001333   -0.00248617],[ 0.00745224  0.01121924]
6,-0.0653931689747,[ 0.2467474   1.56978644],"[-2.57239925 -2.18853445  2.44280873  1.92877961  0.          0.          2.1769316
  1.00392891 -2.41663608  2.23085901  0.        ]",-4.30902,"[[ 0.32675103  0.52449014  0.13010464  0.06097589]
 [ 9.9259786   5.37426971  0.          0.        ]]",[-0.00138564 -0.00233954],[ 0.00745224  0.01121924]
7,-0.0926234746943,[-1.45255021 -0.74378344],"[-2.64007068 -2.29673877  2.3776911   1.95787469  0.          0.
  1.76323076  1.98945331 -2.49470722  2.16611157  0.        ]",-5.4327,"[[  0.53308538   0.67063062   0.13010464   0.06097589]
 [ 10.70496166   9.22692645   0.           0.        ]]",[-0.00155841 -0.00209938],[ 0.00745224  0.01121924]
8,-0.124024063013,[-0.09019877  0.09368951],"[ -2.53132030e+00  -2.32231772e+00   2.17607334e+00   1.92191728e+00
   0.00000000e+00   6.93889390e-15   6.60240991e-01   6.99870410e-01
  -2.40310246e+00   1.93417964e+00   0.00000000e+00]",-5.23487,"[[ 0.7053819   0.82379888  0.13010464  0.06097589]
 [ 6.53845103  6.10032786  0.          0.        ]]",[-0.00114418 -0.0009808 ],[ 0.00745224  0.01121924]
9,-0.147770394876,[ 0.08864444  0.08821806],"[-2.35188134 -2.22971972  1.96140807  1.80641621  0.          0.
  0.50031703  0.73892329 -2.22606099  1.66682222  0.        ]",-4.7472,"[[ 0.83127565  0.94831593  0.13010464  0.06097589]
 [ 6.0525472   6.35054279  0.          0.        ]]",[-0.00108137 -0.00081972],[ 0.00745224  0.01121924]
10,-0.170009788251,[ 0.24866152 -0.5098494 ],"[ -2.26911211e+00  -2.19578812e+00   1.82163049e+00   1.71744051e+00
   0.00000000e+00   6.93889390e-15   5.29749083e-01   7.71095726e-01
  -2.12118730e+00   1.41600754e+00   0.00000000e+00]",-3.74173,"[[ 0.95464796  1.07756799  0.13010464  0.06097589]
 [ 6.2839276   6.57391623  0.          0.        ]]",[-0.00104708 -0.00082138],[ 0.00745224  0.01121924]
11,-0.19094438453,[-0.25581669 -0.74150423],"[ -2.25389594e+00  -2.11886006e+00   1.72619259e+00   1.61084610e+00
   0.00000000e+00   6.93889390e-15   7.21496738e-01  -1.31785957e-01
  -2.03687071e+00   1.15992484e+00   0.00000000e+00]",-3.38959,"[[ 1.08896115  1.18748127  0.13010464  0.06097589]
 [ 7.14449666  4.42456952  0.          0.        ]]",[-0.00114158 -0.00050187],[ 0.00745224  0.01121924]
12,-0.208157267529,[ 0.37906877 -0.28547255],"[-2.22582192 -1.93761608  1.63073481  1.47616845  0.          0.
  0.37468217 -1.31206077 -1.92746761  0.92910761  0.        ]",-2.57536,"[[ 1.22028639  1.24563642  0.13010464  0.06097589]
 [ 5.99181028  1.40102844  0.          0.        ]]",[-0.00125644 -0.0003891 ],[ 0.00745224  0.01121924]
13,-0.223501459857,[ 0.62511841  1.84222183],"[-2.20402266 -1.71735175  1.53483811  1.34345733  0.          0.
  0.74002498 -1.5792466  -1.82867805  0.72344213  0.        ]",-1.91373,"[[ 1.35398643  1.26203243  0.13010464  0.06097589]
 [ 7.37358149  0.24242322  0.          0.        ]]",[-0.00178126 -0.00026417],[ 0.00745224  0.01121924]
14,-0.241399062524,[ 0.71938043 -1.34033798],"[-2.25584395 -1.65160733  1.43588237  1.26506051  0.          0.
  1.30949453  0.0118726  -1.79522548  0.38059621  0.        ]",1.41037,"[[ 1.52480504  1.30655229  0.13010464  0.06097589]
 [ 9.70061244  4.19636212  0.          0.        ]]",[-0.00126122 -0.0008681 ],[ 0.00745224  0.01121924]
15,-0.260863625381,[-0.38458637 -0.46000822],"[-2.34355243 -1.60592512  1.28054154  1.19989224  0.          0.
  1.80435926 -1.50138718 -1.77597104 -0.13604957  0.        ]",1.32088,"[[  1.74546548   1.34990741   0.13010464   0.06097589]
 [ 12.35651694   0.15259043   0.           0.        ]]",[-0.00190974  0.00038878],[ 0.00745224  0.01121924]
16,-0.278159614291,[-0.06428645  0.42611609],"[-2.35333965 -1.41487626  1.0335934   1.11064843  0.          0.
  1.22901708 -1.91513519 -1.72108818 -0.64723145  0.        ]",2.03592,"[[  1.97487681   1.3346518    0.13010464   0.06097589]
 [ 10.59047448  -1.6720419    0.           0.        ]]",[-0.00234097  0.00049637],[ 0.00745224  0.01121924]
17,-0.291023551042,[ 0.82555649  0.30817108],"[-2.27831628 -1.26222634  0.72502792  1.03496685  0.          0.
  1.04153074 -1.20133643 -1.63452838 -1.1261149   0.        ]",4.67969,"[[  2.18202672   1.31846822   0.13010464   0.06097589]
 [ 10.12608794   0.04795834   0.           0.        ]]",[-0.00195897  0.00144344],[ 0.00745224  0.01121924]
18,-0.300803167016,[ 1.33516723  1.3328388 ],"[-2.20966396 -1.22014275  0.28489875  0.99068696  0.          0.
  1.66784729 -0.73275124 -1.52422585 -1.65838203  0.        ]",7.66804,"[[  2.41531344   1.33164862   0.13010464   0.06097589]
 [ 13.1923994    1.26597589   0.           0.        ]]",[-0.00193217  0.00136007],[ 0.00745224  0.01121924]
19,-0.304074822091,[-0.5792172  -0.12418299],"[-2.14320806 -1.33332041 -0.42091252  0.98233902  0.          0.
  2.20361919  0.67293016 -1.33542313 -2.1912059   0.        ]",9.28182,"[[  2.71624126   1.39642748   0.13010464   0.06097589]
 [ 16.88822253   5.19873256   0.           0.        ]]",[-0.0014878   0.00116642],[ 0.00745224  0.01121924]
