timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.350056034599,[ 2.01552184  1.56220203],"[ 1.17607298  2.33296631  0.11866979 -1.11229718 -1.07624899  0.92937863
  1.16571501 -0.38344776  2.24301807 -0.93348724  0.        ]",-3.03284,"[[ 0.04896774 -0.08202411 -0.12350441  0.10818935]
 [ 0.00263236 -0.00337711  0.          0.        ]]",[ 1.73257136  2.22334099],[-0.15683432 -0.32671735]
1,-0.346073227243,[ 2.05357663  2.16377749],"[ 1.17230207  2.33650249  0.17761532 -0.97063891 -1.07624684  0.92937703
  1.27405912  0.16647991  2.24057002 -0.8214231   0.        ]",-2.99765,"[[ 0.08869497 -0.04237855 -0.12350441  0.10818935]
 [ 3.9569268   3.95474684  0.          0.        ]]",[ 1.2207675   1.85773873],[-0.15683432 -0.32671735]
2,-0.331954230839,[ 0.75835338  2.77152713],"[ 1.14835493  2.33366241  0.35115618 -0.5483954  -1.0762447   0.92937543
  1.38026062  0.70552313  2.19657486 -0.49260747  0.        ]",-2.62041,"[[ 0.20672361  0.07564352 -0.12350441  0.10818935]
 [ 7.83304814  7.83453194  0.          0.        ]]",[ 0.5160234   1.47410667],[-0.15683432 -0.32671735]
3,-0.302670009212,[-0.78740568  0.88761187],"[ 1.07314187  2.28538607  0.6139846   0.13770751 -1.07624255  0.92937383
  1.45817588  1.23394095  2.01719697 -0.00964224  0.        ]",-1.93857,"[[  0.39191639   0.27049424  -0.12350441   0.10818935]
 [ 10.67684078  11.63785238   0.           0.        ]]",[-0.34302309  1.11108494],[-0.15683432 -0.32671735]
4,-0.260473724536,[-0.48902707  1.28925081],"[ 0.958111    2.13556487  0.85109802  1.0101272  -1.07624041  0.92937223
  1.36702147  1.69037937  1.67849114  0.40320624  0.        ]",-1.81427,"[[  0.57207468   0.53621363  -0.12350441   0.10818935]
 [  7.35014669  14.92312358   0.           0.        ]]",[-1.16252875  0.77424121],[-0.15683432 -0.32671735]
5,-0.21085701731,[-3.72861513  1.17789945],"[ 0.85496352  1.82448672  1.00201779  1.92084422 -1.07623827  0.92937064
  1.31002702  2.19953199  1.26295224  0.59491875  0.        ]",-1.09285,"[[  0.69820711   0.87144569  -0.12350441   0.10818935]
 [  5.27016149  18.58785492   0.           0.        ]]",[-1.74094021  0.47673702],[-0.15683432 -0.32671735]
6,-0.157292169886,[-0.08659454  0.1626009 ],"[ 0.7954558   1.31121037  1.07364407  2.61016291 -1.07623612  0.92936904
  1.19878228  2.69866053  0.86246286  0.53151634  0.        ]",-1.40149,"[[  0.76287527   1.27924953  -0.12350441   0.10818935]
 [  1.21019916  22.18051342   0.           0.        ]]",[-1.89103615  0.3224954 ],[-0.15683432 -0.32671735]
7,-0.109196204797,[-1.23610844 -1.04653429],"[ 0.77566152  0.67597999  1.09551599  2.71879008 -1.07623398  0.92936744
  1.18879634  2.72708865  0.56676682  0.25377749  0.        ]",-0.980305,"[[  0.78342356   1.72491435  -0.12350441   0.10818935]
 [  0.84584251  22.38528071   0.           0.        ]]",[-1.76014817  0.28797823],[-0.15683432 -0.32671735]
8,-0.0902158318755,[-1.1184148  -0.96545109],"[ 0.79773157  0.13475716  1.07106363  2.2188114  -1.07623184  0.92936584
  1.07993399  2.11543336  0.44720291 -0.09287541  0.        ]",-0.794577,"[[  0.76048198   2.12844982  -0.12350441   0.10818935]
 [ -3.12719335  17.98287727   0.           0.        ]]",[-1.63871145  0.26946247],[-0.15683432 -0.32671735]
9,-0.102118110788,[-1.21959277  1.33186947],"[ 0.88903017 -0.2089645   0.95643633  1.47485565 -1.07622969  0.92936424
  0.97317236  1.53485398  0.47077639 -0.36832887  0.        ]",-0.864749,"[[  0.65884683   2.44618076  -0.12350441   0.10818935]
 [ -7.02357536  13.80409129   0.           0.        ]]",[-1.52028155  0.25507092],[-0.15683432 -0.32671735]
