timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.174760065057,[-1.41134085  0.96960622],"[ 1.16723305  2.26787539  0.07662563 -0.76358808  0.58048499 -0.84242033
  1.08441122 -0.37690327  0.8239274   0.89525651  0.        ]",-0.986734,"[[ 0.01832165  0.00815852  0.06748417 -0.09647844]
 [ 0.00416864 -0.00230764  0.          0.        ]]",[-2.24801254  1.36969101],[-0.19310825 -0.30715632]
1,-0.172424025992,[-2.63644313  1.65652315],"[ 1.1671484   2.26636633  0.01752536 -0.63152107  0.58048407 -0.84241863
  0.96974629  0.15561513  0.82390649  0.85946467  0.        ]",-0.850427,"[[-0.02130129  0.04664863  0.06748417 -0.09647844]
 [-3.95328097  3.83851248  0.          0.        ]]",[-2.37930393  1.15345383],[-0.19310825 -0.30715632]
2,-0.165154207999,[-1.8943249   0.13660936],"[ 1.15410368  2.24926643 -0.15780285 -0.23657628  0.58048316 -0.84241693
  0.85734868  0.69426901  0.81704358  0.75432546  0.        ]",-0.853712,"[[-0.13928815  0.16239925  0.06748417 -0.09647844]
 [-7.83249257  7.72358795  0.          0.        ]]",[-2.41669655  1.00948906],[-0.19310825 -0.30715632]
3,-0.150450688348,[-2.43696494 -0.33215126],"[ 1.09122159  2.19567622 -0.43981564  0.29074533  0.58048224 -0.84241523
  0.74721021  0.74825022  0.78388982  0.55360321  0.        ]",-0.663442,"[[ -0.33407679   0.32077784   0.06748417  -0.09647844]
 [-11.63374446   8.11293968   0.           0.        ]]",[-2.22753358  1.15670872],[-0.19310825 -0.30715632]
4,-0.126257231529,[-0.71350885  1.29293565],"[ 0.92338561  2.11551369 -0.79803902  0.7576301   0.58048133 -0.84241353
  0.63926415  0.54378155  0.68768234  0.2254501   0.        ]",-0.796671,"[[ -0.6041312    0.46824075   0.06748417  -0.09647844]
 [-15.35933671   6.63820731   0.           0.        ]]",[-1.82918429  1.48015738],[-0.19310825 -0.30715632]
5,-0.0983055933301,[-2.538825  -0.1747066],"[ 0.60559005  1.9882307  -1.15231695  1.2567757   0.58048041 -0.84241183
  0.56622692  1.07458163  0.49158176 -0.13433746  0.        ]",-0.376704,"[[ -0.93660886   0.63941755   0.06748417  -0.09647844]
 [-17.88009697  10.46664039   0.           0.        ]]",[-1.7132796   1.40905738],[-0.19310825 -0.30715632]
6,-0.0748339509644,[-1.80544739  1.87905938],"[ 0.11691617  1.79745533 -1.39945382  1.76389803  0.58047949 -0.84241013
  0.46182746  0.94994428  0.173275   -0.45136656  0.        ]",-0.409022,"[[ -1.33036173   0.83973237   0.06748417  -0.09647844]
 [-21.48329109   9.56770456   0.           0.        ]]",[-1.54276884  1.54681492],[-0.19310825 -0.30715632]
7,-0.074466153127,[-2.69856189  2.3558377 ],"[-0.51864875  1.53337    -1.40486207  2.21771792  0.58047858 -0.84240843
  0.35942905  1.47254356 -0.27140053 -0.64070669  0.        ]",-0.356188,"[[ -1.795485     1.0689069    0.06748417  -0.09647844]
 [-25.01742412  13.33700931   0.           0.        ]]",[-1.70785797  1.25894451],[-0.19310825 -0.30715632]
8,-0.098473341117,[-1.1773738   0.68675749],"[-1.16117316  1.13099596 -1.03210354  2.57389853  0.58047766 -0.84240673
  0.25902499  1.98462415 -0.74997601 -0.56986459  0.        ]",-0.547568,"[[ -2.33059988   1.37270725   0.06748417  -0.09647844]
 [-28.48272682  17.03049648   0.           0.        ]]",[-1.90410352  0.85762513],[-0.19310825 -0.30715632]
9,-0.12796887202,[-2.27401429  0.50672426],"[-1.56079709  0.61803753 -0.25762718  2.59359426  0.58047675 -0.84240503
  0.16058032  2.314416   -1.13046837 -0.22389033  0.        ]",-0.422973,"[[ -2.93434245   1.73718617   0.06748417  -0.09647844]
 [-31.88040443  19.40926816   0.           0.        ]]",[-1.87040055  0.68869734],[-0.19310825 -0.30715632]
10,-0.148620746466,[-2.36631702  0.85000433],"[-1.44464513  0.08771171  0.71658319  2.09679629  0.58047583 -0.84240333
  0.06406151  2.53871666 -1.27633773  0.28735278  0.        ]",-0.569972,"[[ -3.60537274   2.14160577   0.06748417  -0.09647844]
 [-35.21161399  21.0272213    0.           0.        ]]",[-1.84065843  0.58594716],[-0.19310825 -0.30715632]
11,-0.14781594908,[-1.87338651  0.92261963],"[-0.7100685  -0.3542627   1.44001954  1.00224856  0.58047491 -0.84240163
 -0.03054851  2.94704253 -1.11684564  0.72232019  0.        ]",-0.781246,"[[ -4.34236823   2.59170033   0.06748417  -0.09647844]
 [-38.4769442   23.97257677   0.           0.        ]]",[-2.0541544   0.47374898],[-0.19310825 -0.30715632]
12,-0.116889136079,[-1.86822722  1.09705221],"[ 0.36542783 -0.56186225  1.40416874 -0.65922793  0.580474   -0.84239993
 -0.12324734  2.66603579 -0.76751495  0.79031374  0.        ]",-0.622709,"[[ -5.14400927   3.10301769   0.06748417  -0.09647844]
 [-41.67631249  21.9459385    0.           0.        ]]",[-2.23858309  0.35700071],[-0.19310825 -0.30715632]
13,-0.110502375558,[-2.03971983 -0.33041879],"[ 1.11595334 -0.55639514  0.45319784 -1.12068116  0.58047308 -0.84239823
 -0.21408884 -0.62351441 -0.75179649  0.73261867  0.        ]",-0.260609,"[[ -6.00899568   3.23760838   0.06748417  -0.09647844]
 [-44.81157826  -1.78083698   0.           0.        ]]",[-2.06267452  0.45601517],[-0.19310825 -0.30715632]
14,-0.126718969751,[-0.38593987  1.55242923],"[ 0.88388456 -0.56267772 -0.85683488 -0.85424832  0.58047217 -0.84239653
 -0.30310937 -1.0463213  -0.77618643  0.89232888  0.        ]",-0.751062,"[[ -6.93605441   3.15984391   0.06748417  -0.09647844]
 [-47.88399676  -4.83046221   0.           0.        ]]",[-2.06431675  0.5978213 ],[-0.19310825 -0.30715632]
15,-0.122098207117,[-1.99712457  0.13687156],"[-0.27423942 -0.5604931  -1.44080845 -0.59098034  0.58047125 -0.84239483
 -0.31991384 -0.77353857 -0.65893536  0.93700169  0.        ]",-0.618195,"[[ -7.89955378   3.08311334   0.06748417  -0.09647844]
 [-48.46399087  -2.86295488   0.           0.        ]]",[-1.97026014  0.6426543 ],[-0.19310825 -0.30715632]
