timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.276668341251,[ 3.11322377  3.35535121],"[ 1.17685915  2.33233776  0.07379357 -0.98066222 -0.01036943  1.53562559
  1.1602034  -0.38220482  1.33783831 -1.57235468  0.        ]",-2.49673,"[[ 0.01874771 -0.04578361 -0.00068864  0.17828894]
 [ 0.00311061  0.00324251  0.          0.        ]]",[ 2.28583431  2.47126722],[-0.16048557 -0.3236326 ]
1,-0.268395331696,[ 2.66098855  0.34569369],"[ 1.17474078  2.33380582  0.13285841 -0.83867225 -0.01036942  1.53562075
  1.26885959  0.16765563  1.33588983 -1.46016611  0.        ]",-2.30451,"[[  5.84843745e-02  -6.00699456e-03  -6.88644794e-04   1.78288942e-01]
 [  3.95739340e+00   3.96123300e+00   0.00000000e+00   0.00000000e+00]]",[ 1.80533731  2.105726  ],[-0.16048557 -0.3236326 ]
2,-0.244216665805,[ 0.41251292  1.16223328],"[ 1.15566094  2.32848041  0.30715628 -0.50995423 -0.01036941  1.53561592
  1.37539476  0.34671062  1.29906445 -1.15551206  0.        ]",-1.66545,"[[  1.76532442e-01   8.61493005e-02  -6.88644794e-04   1.78288942e-01]
 [  7.83451392e+00   5.25010280e+00   0.00000000e+00   0.00000000e+00]]",[ 1.46057665  1.87367809],[-0.16048557 -0.3236326 ]
3,-0.204891132648,[-0.17175432  1.26488202],"[ 1.09440498  2.2959608   0.55324741 -0.00368331 -0.0103694   1.53561108
  1.41593681  0.88226674  1.16274062 -0.7312178   0.        ]",-1.16506,"[[  3.48026765e-01   2.29830191e-01  -6.88644794e-04   1.78288942e-01]
 [  9.31005042e+00   9.10513100e+00   0.00000000e+00   0.00000000e+00]]",[ 0.65188265  1.39051747],[-0.16048557 -0.3236326 ]
4,-0.15342589384,[-0.31773037  0.82108545],"[ 0.99095906  2.19060816  0.7922286   0.73561042 -0.01036939  1.53560625
  1.39217571  1.40733316  0.88351466 -0.31585265  0.        ]",-0.752508,"[[  5.25552425e-01   4.49854276e-01  -6.88644794e-04   1.78288942e-01]
 [  8.44548391e+00   1.28846696e+01   0.00000000e+00   0.00000000e+00]]",[-0.1268422   1.02979171],[-0.16048557 -0.3236326 ]
5,-0.0954351766826,[ 0.41614458 -0.64536777],"[ 0.87015944  1.9597059   0.98150644  1.58441152 -0.01036938  1.53560141
  1.35304047  1.82360242  0.48850933 -0.04779056  0.        ]",-0.669559,"[[  6.80172857e-01   7.37611920e-01  -6.88644794e-04   1.78288942e-01]
 [  7.02141720e+00   1.58810970e+01   0.00000000e+00   0.00000000e+00]]",[-0.84642512  0.73134422],[-0.16048557 -0.3236326 ]
6,-0.0361713754607,[-0.82982586  1.97148542],"[ 0.72279607  1.63990966  1.14941555  2.23767571 -0.01036937  1.53559658
  1.39452697  1.42482079  0.0540166   0.02225107  0.        ]",-0.68015,"[[  8.35750444e-01   1.02643354e+00  -6.88644794e-04   1.78288942e-01]
 [  8.53132219e+00   1.30106246e+01   0.00000000e+00   0.00000000e+00]]",[-1.00038946  0.77538693],[-0.16048557 -0.3236326 ]
7,-0.0207218094505,[-1.64969572  0.881159  ],"[ 0.57554409  1.24646888  1.27447835  2.64544701 -0.01036936  1.53559174
  1.29967769  1.93920574 -0.32859413 -0.10663812  0.        ]",-0.577531,"[[  9.71745357e-01   1.32379655e+00  -6.88644794e-04   1.78288942e-01]
 [  5.07970986e+00   1.67133253e+01   0.00000000e+00   0.00000000e+00]]",[-1.4257257   0.53712803],[-0.16048557 -0.3236326 ]
8,-0.0680146922881,[-1.75173189  0.79948143],"[ 0.5047829   0.72379351  1.32324391  2.72856729 -0.01036935  1.53558691
  1.18820302  2.378029   -0.56906905 -0.40944198  0.        ]",-0.569621,"[[  1.03263845e+00   1.68975718e+00  -6.88644794e-04   1.78288942e-01]
 [  1.02304651e+00   1.98721717e+01   0.00000000e+00   0.00000000e+00]]",[-1.68728328  0.34857544],[-0.16048557 -0.3236326 ]
9,-0.107875316247,[-1.35269073 -0.34854957],"[ 0.52766996  0.14945696  1.30817742  2.23788505 -0.01036934  1.53558207
  1.078918    2.76318238 -0.62686264 -0.80062547  0.        ]",-0.623939,"[[  1.01319845e+00   2.11501952e+00  -6.88644794e-04   1.78288942e-01]
 [ -2.95395137e+00   2.26447576e+01   0.00000000e+00   0.00000000e+00]]",[-1.84163332  0.26922706],[-0.16048557 -0.3236326 ]
