timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.169757121385,[-1.14831103  0.50047862],"[ 1.09077271  1.57463922 -0.04324964 -0.74663644  0.43079007  0.40053849
  0.40773972 -0.27544378  0.78581624 -0.53019974  0.        ]",-0.267394,"[[-0.05482719 -0.09622103  0.05252892  0.04475219]
 [ 0.00385756  0.00036314  0.          0.        ]]",[-0.1994645   0.94741172],[-0.01126381 -0.12805882]
1,-0.171661610286,[-1.63710009  1.26672156],"[ 1.08667127  1.5767115  -0.10331342 -0.70197286  0.4307871   0.40053578
  0.13161432 -0.00498597  0.78153313 -0.57628831  0.        ]",-0.228438,"[[-0.09444908 -0.07631549  0.05252892  0.04475219]
 [-3.95286887  1.98357782  0.          0.        ]]",[-0.19647656  0.94584817],[-0.01126381 -0.12805882]
2,-0.176708184666,[-2.10269415  0.55745491],"[ 1.06172427  1.58024595 -0.28046223 -0.52419032  0.43078413  0.40053308
 -0.13910134  0.52984598  0.76414331 -0.69634881  0.        ]",-0.174638,"[[ -2.12427755e-01   2.70508242e-03   5.25289166e-02   4.47521946e-02]
 [ -7.83207740e+00   5.90540337e+00   0.00000000e+00   0.00000000e+00]]",[-0.16997774  0.95531487],[-0.01126381 -0.12805882]
3,-0.184309390799,[ 0.25747532  2.14206289],"[ 0.97967411  1.56790445 -0.56204389 -0.2120279   0.43078116  0.40053038
 -0.4044151   0.81510907  0.71509442 -0.8816055   0.        ]",-0.580345,"[[ -0.40721385   0.14180122   0.05252892   0.04475219]
 [-11.63388547   7.99721945   0.           0.        ]]",[-0.10394625  0.9909724 ],[-0.01126381 -0.12805882]
4,-0.189901741978,[ 0.05267965  1.61924769],"[ 0.82932593  1.51000525 -0.85236948  0.22044213  0.43077818  0.40052767
 -0.31738127  1.33340314  0.6383627  -1.04388527  0.        ]",-0.603432,"[[ -0.62737905   0.33987899   0.05252892   0.04475219]
 [-10.38678407  11.79788232   0.           0.        ]]",[-0.04016815  1.01252317],[-0.01126381 -0.12805882]
5,-0.187685630522,[ 0.40288274  1.24727402],"[ 0.64196075  1.35662846 -1.0827811   0.76569008  0.43077521  0.40052497
 -0.2886038   1.84144107  0.56101184 -1.10238244  0.        ]",-0.661573,"[[ -0.8309779    0.61321755   0.05252892   0.04475219]
 [ -9.97445241  15.52354364   0.           0.        ]]",[-0.01664175  1.00293314],[-0.01126381 -0.12805882]
6,-0.174566071482,[-0.26823534  1.15917058],"[ 0.44213977  1.05658586 -1.24934439  1.31485954  0.43077224  0.40052226
 -0.16367786  2.33930706  0.48119928 -1.04885827  0.        ]",-0.547214,"[[ -1.01250799   0.96032417   0.05252892   0.04475219]
 [ -8.18438883  19.17496838   0.           0.        ]]",[-0.03689767  0.95207852],[-0.01126381 -0.12805882]
7,-0.148798042855,[ 0.96020724 -0.11277917],"[ 0.22954886  0.58624312 -1.36854481  1.68059474  0.43076927  0.40051956
 -0.22649062  2.82734609  0.3661594  -0.90381694  0.        ]",-0.576163,"[[ -1.18522711   1.37974214   0.05252892   0.04475219]
 [ -9.08445443  22.75486558   0.           0.        ]]",[-0.11165503  0.85305732],[-0.01126381 -0.12805882]
8,-0.112264621231,[-1.13616169  0.47162061],"[ 0.04320848  0.04374875 -1.43516628  1.64869573  0.4307663   0.40051685
  0.05132785  2.70477006  0.2011347  -0.69958081  0.        ]",-0.270242,"[[ -1.32697727   1.82582913   0.05252892   0.04475219]
 [ -5.10360319  21.85693306   0.           0.        ]]",[-0.1817733   0.75938421],[-0.01126381 -0.12805882]
9,-0.0728117437466,[-0.50105954 -0.39107085],"[-0.14847735 -0.44326398 -1.47203864  1.18240555  0.43076333  0.40051415
 -0.21782888  2.90025695 -0.02891176 -0.51341778  0.        ]",-0.256849,"[[ -1.46774311   2.27736434   0.05252892   0.04475219]
 [ -8.96033325  23.29172294   0.           0.        ]]",[-0.28259352  0.64796388],[-0.01126381 -0.12805882]
