timestep,original_rewards,actions,obs,rewards,human_obs,avg_action_dist,logstd_action_dist
0,-0.403576486827,[-0.09189164  1.55162289],"[ 1.16114665  2.24729586  0.16205883 -0.65229032 -1.69692139  0.23004381
  1.06362217 -0.37391334  2.72698634 -0.05490582  0.        ]",-2.47343,"[[ 0.07498673  0.03891388 -0.19450189  0.02742239]
 [ 0.00143777  0.00454716  0.          0.        ]]",[-0.22259164  1.88632059],[-0.18695435 -0.3047103 ]
1,-0.403029447732,[ 0.2585704   1.30702295],"[ 1.16150955  2.24398198  0.15664851 -0.51739535 -1.69691313  0.23004351
  1.05284945  0.17450087  2.7233353  -0.0236118   0.        ]",-2.51836,"[[ 0.07135254  0.07873318 -0.19450189  0.02742239]
 [-0.36363489  3.96418593  0.          0.        ]]",[-0.49407232  1.61536586],[-0.18695435 -0.3047103 ]
2,-0.40031343812,[-0.96953348  0.86869088],"[ 1.16120019  2.2210998   0.16118493 -0.1202222  -1.69690486  0.2300432
  1.08319095  0.71198257  2.70282679  0.09293855  0.        ]",-2.27954,"[[ 0.0743999   0.19695329 -0.19450189  0.02742239]
 [ 0.66496314  7.8448936   0.          0.        ]]",[-0.87617028  1.32654631],[-0.18695435 -0.3047103 ]
3,-0.394821418593,[-0.36886133  2.23050696],"[ 1.16335125  2.14425032  0.12345384  0.49595371 -1.6968966   0.2300429
  0.96961811  1.16706674  2.65830591  0.21908063  0.        ]",-2.40407,"[[  0.04907353   0.3868188   -0.19450189   0.02742239]
 [ -3.18478102  11.1306921    0.           0.        ]]",[-1.23023748  1.13037813],[-0.18695435 -0.3047103 ]
4,-0.385552012399,[-0.62042518  1.17983163],"[ 1.16444216  1.96369258  0.00748293  1.26129316 -1.69688833  0.23004259
  0.92838998  1.6850109   2.58540613  0.30249644  0.        ]",-2.31018,"[[ -0.02864346   0.64695435  -0.19450189   0.02742239]
 [ -4.58223377  14.87038414   0.           0.        ]]",[-1.61781561  0.93551838],[-0.18695435 -0.3047103 ]
5,-0.369287834764,[-1.96049479  1.01455608],"[ 1.15072994  1.62306019 -0.16399441  2.03632797 -1.69688007  0.23004229
  0.8586212   2.19271659  2.46169194  0.35885126  0.        ]",-2.01145,"[[ -0.14401615   0.98114298  -0.19450189   0.02742239]
 [ -6.9471502   18.53621816   0.           0.        ]]",[-2.0985868   0.70942545],[-0.18695435 -0.3047103 ]
6,-0.344549990215,[-1.98211669 -0.97164706],"[ 1.094445    1.09600929 -0.42113673  2.5528025  -1.69687181  0.23004199
  0.74592073  2.69035582  2.28240048  0.33603069  0.        ]",-1.81279,"[[ -0.32128745   1.38792074  -0.19450189   0.02742239]
 [-10.76735173  22.12947335   0.           0.        ]]",[-2.36630821  0.55900806],[-0.18695435 -0.3047103 ]
7,-0.317668433978,[-2.16003356  0.23287703],"[ 0.9438694   0.53703525 -0.7605316   2.52998603 -1.69686354  0.23004168
  0.63545986  2.09680152  2.09603753  0.19619387  0.        ]",-1.6719,"[[ -0.5741989    1.78751351  -0.19450189   0.02742239]
 [-14.51164598  17.84396218   0.           0.        ]]",[-2.35182929  0.56941205],[-0.18695435 -0.3047103 ]
8,-0.291375364509,[-2.28692467 -0.12362926],"[ 0.64187707  0.06886389 -1.1201986   2.05566578 -1.69685528  0.23004138
  0.52712774  2.17546477  1.90960079 -0.0029812   0.        ]",-1.4476,"[[ -0.90127415   2.15009351  -0.19450189   0.02742239]
 [-18.18378787  18.41204642   0.           0.        ]]",[-2.31651115  0.52873707],[-0.18695435 -0.3047103 ]
9,-0.260957124304,[-3.6133085   0.38141018],"[ 0.15356514 -0.29662874 -1.38846601  1.2200741  -1.69684701  0.23004107
  0.42092276  2.05700804  1.68181393 -0.17295641  0.        ]",-1.03443,"[[ -1.30106957   2.50975433  -0.19450189   0.02742239]
 [-21.78382991  17.55684849   0.           0.        ]]",[-2.23196363  0.4946954 ],[-0.18695435 -0.3047103 ]
