timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.259157436349,[ 0.753718    2.98294755],-0.259157436349,"[ 1.02222564  1.51784475  0.24509767 -1.00674537 -0.4343125   0.21324393
  0.32170607 -0.32635305  1.99616161 -0.09409382  0.        ]","[[ 0.09316099  0.06311991 -0.0509102   0.02308947]
 [-0.00433178 -0.0012089   0.          0.        ]]",[-0.49351016 -0.39028344],[ 0.97430605  2.95759678]
1,-0.25773351745,[ 2.08350396  2.63136954],-0.25773351745,"[ 1.01744302  1.51364564  0.28939568 -0.90359339 -0.43431217  0.21324379
  0.63969204  0.30263953  1.97952647  0.03200953  0.        ]","[[ 0.12297529  0.10281219 -0.0509102   0.02308947]
 [ 2.97584784  3.95724732  0.          0.        ]]",[-0.49351016 -0.39028344],[ 0.88495117  2.63345599]
2,-0.252102987805,[ 0.91481133  2.14857117],-0.252102987805,"[ 0.99231868  1.48938476  0.43452423 -0.59987404 -0.43431184  0.21324365
  1.05535488  0.91912099  1.890475    0.41981293  0.        ]","[[ 0.22157776  0.22088365 -0.0509102   0.02308947]
 [ 6.87146446  7.83697024  0.          0.        ]]",[-0.49351016 -0.39028344],[ 0.6414609   2.37180352]
3,-0.23880428348,[-0.2408369   1.88659299],-0.23880428348,"[ 0.91477718  1.41168831  0.67972742 -0.11790178 -0.43431151  0.21324351
  1.42688101  1.52341149  1.62065714  1.00979398  0.        ]","[[  0.39394166   0.41578006  -0.0509102    0.02308947]
 [ 10.3534435   11.63998458   0.           0.        ]]",[-0.49351016 -0.39028344],[-0.01037806  1.78288746]
4,-0.215747301244,[-0.6089714   1.81138772],-0.215747301244,"[ 0.77779557  1.23179444  0.9368304   0.48072171 -0.43431119  0.21324336
  1.30333106  2.11599054  1.12278795  1.5254364   0.        ]","[[  0.58939164   0.68599759  -0.0509102    0.02308947]
 [  9.19555011  15.36932417   0.           0.        ]]",[-0.49351016 -0.39028344],[-0.37960669  0.99108666]
5,-0.183333268907,[-0.7247501   0.02296863],-0.183333268907,"[ 0.6324364   0.90135522  1.12187589  1.06459859 -0.43431086  0.21324322
  1.02691369  2.69689477  0.5188275   1.70387461  0.        ]","[[  0.74730922   1.03006524  -0.0509102    0.02308947]
 [  6.60496851  19.02524123   0.           0.        ]]",[-0.49351016 -0.39028344],[-0.46838608 -0.01346964]
6,-0.145008975394,[ 0.25015717 -0.18617295],-0.145008975394,"[ 0.52382107  0.45179938  1.22826142  1.40205521 -0.43431053  0.21324308
  0.7072136   2.65158183  0.00793273  1.51774434  0.        ]","[[  0.8493476    1.40770993  -0.0509102    0.02308947]
 [  3.60873332  18.74015544   0.           0.        ]]",[-0.49351016 -0.39028344],[-0.22951956 -0.5678795 ]
7,-0.104504674177,[-0.39373044 -0.25289723],-0.104504674177,"[ 0.42977359 -0.00951697  1.30481957  1.38436375 -0.4343102   0.21324294
  0.80546935  2.47544777 -0.3314729   1.11793213  0.        ]","[[  0.93076163   1.77139193  -0.0509102    0.02308947]
 [  4.52959755  17.63174569   0.           0.        ]]",[-0.49351016 -0.39028344],[-0.78297347 -1.31474257]
8,-0.0644363196137,[-1.72417258 -0.66258129],-0.0644363196137,"[ 0.33907511 -0.41086617  1.36758883  1.06599923 -0.43430987  0.2132428
  0.62980527  2.26087413 -0.48643042  0.63943587  0.        ]","[[  1.00483715   2.1104785   -0.0509102    0.02308947]
 [  2.88327314  16.28140107   0.           0.        ]]",[-0.49351016 -0.39028344],[-0.81251919 -1.50108004]
9,-0.0311732690939,[-0.40961496 -1.85688979],-0.0311732690939,"[ 0.31713494 -0.70164887  1.38132856  0.57765751 -0.43430955  0.21324266
  0.20142213  1.79279996 -0.45835889  0.24021568  0.        ]","[[  1.02222309   2.40655104  -0.0509102    0.02308947]
 [ -1.1315451   13.33564097   0.           0.        ]]",[-0.49351016 -0.39028344],[-0.25546005 -1.04508066]
10,-0.0130973211344,[-0.14962485 -1.01031059],-0.0130973211344,"[ 0.36560979 -0.86825102  1.35023851  0.10347436 -0.43430922  0.21324251
  0.03080106  1.1216826  -0.35677279 -0.01306433  0.        ]","[[ 0.98354921  2.63088695 -0.0509102   0.02308947]
 [-2.73060975  9.11201754  0.          0.        ]]",[-0.49351016 -0.39028344],[ 0.03271026 -0.70517462]
11,-0.017674519634,[-0.08572921 -1.61727399],-0.017674519634,"[ 0.43836789 -0.94469816  1.29832841 -0.22818483 -0.43430889  0.21324237
 -0.0266485   0.46385141 -0.26997496 -0.14806472  0.        ]","[[ 0.92353513  2.77158918 -0.0509102   0.02308947]
 [-3.26902818  4.9720012   0.          0.        ]]",[-0.49351016 -0.39028344],[ 0.08406267 -0.58269721]
12,-0.0228466142316,[ 1.35957635  0.62076748],-0.0228466142316,"[ 0.51704802 -0.9697218   1.23419866 -0.37251185 -0.43430856  0.21324223
 -0.05597577 -0.18095526 -0.22539056 -0.18912239  0.        ]","[[ 0.85539687  2.83031348 -0.0509102   0.02308947]
 [-3.54388403  0.91395286  0.          0.        ]]",[-0.49351016 -0.39028344],[ 0.22224274 -0.30738628]
13,-0.0265162881676,[ 0.0331114  -0.47588691],-0.0265162881676,"[ 0.55076504 -0.98531277  1.20382896 -0.47936612 -0.43430824  0.21324209
  0.37397198  0.20675525 -0.1974787  -0.22748137  0.        ]","[[ 0.82494814  2.87307411 -0.0509102   0.02308947]
 [ 0.48559147  3.35398238  0.          0.        ]]",[-0.49351016 -0.39028344],[-0.32836431 -0.93859285]
