timestep,avg_action_dist,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist
38,[-0.20239489 -0.22122598],"[-1.98057548 -0.44329873 -0.00429961  1.01826347 -0.17664939 -0.55543286
  0.41592405 -0.17783089 -0.49984569 -0.45882398  0.        ]",[-0.04874965  0.1819708 ],-0.0285972521855,-0.0285972521855,"[[-3.07265879  2.19894218 -0.02185629 -0.06357573]
 [ 0.821685    0.97695308  0.          0.        ]]",[-0.43584424 -0.33886206]
39,[-0.20187536 -0.33073771],"[-1.97893815 -0.47033122 -0.02578215  0.97629007 -0.17664927 -0.55543235
  0.39435764 -0.06901855 -0.46781444 -0.44094164  0.        ]",[-0.15445213  0.19700218],-0.0263956930056,-0.0263956930056,"[[-3.05832469  2.22551656 -0.02185629 -0.06357573]
 [ 0.61242372  1.67814767  0.          0.        ]]",[-0.43584424 -0.33886206]
40,[-0.09861806 -0.40308571],"[-1.97815895 -0.51101547 -0.03475524  0.9085479  -0.17664914 -0.55543185
  0.33009496  0.04687795 -0.43307807 -0.40618492  0.        ]",[ 0.69969785 -0.1310797 ],-0.0231485982112,-0.0231485982112,"[[-3.05233253  2.26657287 -0.02185629 -0.06357573]
 [-0.01113037  2.42499318  0.          0.        ]]",[-0.43584424 -0.33886206]
41,[-0.76440656 -0.62126458],"[-1.97390891 -0.55197558 -0.07597571  0.83427784 -0.17664902 -0.55543134
  0.61558428 -0.04112841 -0.38219761 -0.37207011  0.        ]",[-0.90144527 -0.59371292],-0.0209826691883,-0.0209826691883,"[[-3.02476116  2.30938264 -0.02185629 -0.06357573]
 [ 2.75904679  1.85787413  0.          0.        ]]",[-0.43584424 -0.33886206]
42,[ 0.23431785  0.15757185],"[-1.97035508 -0.56429449 -0.10405103  0.81064466 -0.17664889 -0.55543084
  0.24218822 -0.41163363 -0.35925648 -0.3623854   0.        ]",[ 0.68024944 -0.22896513],-0.0210157688197,-0.0210157688197,"[[-3.00593233  2.32258493 -0.02185629 -0.06357573]
 [-0.86410161 -0.52968664  0.          0.        ]]",[-0.43584424 -0.33886206]
43,[-0.3665275   0.09212071],"[-1.96827053 -0.54596466 -0.11879774  0.84558014 -0.17664876 -0.55543034
  0.52148272 -0.55070544 -0.36419428 -0.38346354  0.        ]",[ 0.31420134  0.97380828],-0.0225047193937,-0.0225047193937,"[[-2.99602338  2.30299945 -0.02185629 -0.06357573]
 [ 1.84596157 -1.42587669  0.          0.        ]]",[-0.43584424 -0.33886206]
44,[-0.86274916 -0.68820798],"[-1.95584744 -0.55578724 -0.19142467  0.8270269  -0.17664864 -0.55542983
  0.6458958   0.05202934 -0.3197625  -0.37970711  0.        ]",[-1.46182517 -0.11819418],-0.024284926333,-0.024284926333,"[[-2.94699194  2.31345196 -0.02185629 -0.06357573]
 [ 3.05317581  2.45817977  0.          0.        ]]",[-0.43584424 -0.33886206]
45,[ 0.11978596 -0.23531193],"[-1.9495255  -0.59607873 -0.22194233  0.74666105 -0.17664851 -0.55542933
  0.23168557 -0.02813603 -0.27904631 -0.33481353  0.        ]",[ 1.41069035  0.6225209 ],-0.0239633319073,-0.0239633319073,"[[-2.92625385  2.35743244 -0.02185629 -0.06357573]
 [-0.96599588  1.94158991  0.          0.        ]]",[-0.43584424 -0.33886206]
46,[-0.76358312 -0.90066254],"[-1.94262613 -0.65089537 -0.25210843  0.62494973 -0.17664838 -0.55542882
  0.64165014  0.34840118 -0.23248489 -0.26522021  0.        ]",[-1.37871695 -0.97265694],-0.0245794636694,-0.0245794636694,"[[-2.9056618   2.42060933 -0.02185629 -0.06357573]
 [ 3.01198432  4.36801485  0.          0.        ]]",[-0.43584424 -0.33886206]
47,[ 0.07001572 -0.11761248],"[-1.93536427 -0.68989281 -0.28115037  0.528109   -0.17664826 -0.55542832
  0.22751108 -0.26267273 -0.19828685 -0.20937148  0.        ]",[ 0.80104108 -0.56572352],-0.0264387979981,-0.0264387979981,"[[-2.88574043  2.46846052 -0.02185629 -0.06357573]
 [-1.00649259  0.43022743  0.          0.        ]]",[-0.43584424 -0.33886206]
48,[-0.49907541  0.06434125],"[-1.93075422 -0.67874905 -0.29841035  0.55675149 -0.17664813 -0.55542782
  0.55639052 -0.61160859 -0.1963395  -0.2252317   0.        ]",[-0.1905093  -1.36886313],-0.0269991082008,-0.0269991082008,"[[-2.87385202  2.45450456 -0.02185629 -0.06357573]
 [ 2.18469666 -1.81833235  0.          0.        ]]",[-0.43584424 -0.33886206]
49,[-0.15804532  0.8295092 ],"[-1.91570361 -0.61500359 -0.34988377  0.70635792 -0.17664801 -0.55542731
  0.47421016 -1.22047818 -0.20426379 -0.31183573  0.        ]",[-1.10378174  1.55945828],-0.0292124937241,-0.0292124937241,"[[-2.83815895  2.37877122 -0.02185629 -0.06357573]
 [ 1.38728813 -5.74192313  0.          0.        ]]",[-0.43584424 -0.33886206]
