timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.119166864415,[ 1.24312656  0.53257135],-0.119166864415,"[ 1.02071495  2.13065823  0.17447538 -0.74941779  0.91059474  0.55455494
  0.43827534 -0.36980651  0.51939468 -0.54379192  0.        ]","[[ 0.04018464  0.02764039  0.10253529  0.06366127]
 [ 0.00238606 -0.00013892  0.          0.        ]]",[-0.1865477  -0.12849657],[ 0.60623628  0.99428046]
1,-0.114078293061,[-0.60518455 -0.04150512],-0.114078293061,"[ 1.01731064  2.12953086  0.23546688 -0.68138275  0.91059209  0.55455379
  0.76698574 -0.07542892  0.5126569  -0.44898018  0.        ]","[[ 0.07991418  0.0487801   0.10253529  0.06366127]
 [ 3.95740288  2.10709225  0.          0.        ]]",[-0.1865477  -0.12849657],[-0.04832143  0.73220849]
2,-0.107027081095,[-0.65814454 -0.15834335],-0.107027081095,"[ 1.00902281  2.12572833  0.31856043 -0.55259767  0.91058943  0.55455263
  0.56151057 -0.10408154  0.49459382 -0.30946728  0.        ]","[[ 0.13425763  0.0888641   0.10253529  0.06366127]
 [ 1.48517272  1.90198839  0.          0.        ]]",[-0.1865477  -0.12849657],[-0.01891365  0.78271157]
3,-0.105190437656,[-0.1872073   1.40529665],-0.105190437656,"[ 1.00838387  2.12121389  0.32357215 -0.45208244  0.91058678  0.55455148
  0.34270163 -0.19678727  0.48741779 -0.27349934  0.        ]","[[ 0.13754681  0.12024567  0.10253529  0.06366127]
 [-1.14749126  1.23837623  0.          0.        ]]",[-0.1865477  -0.12849657],[ 0.22896042  0.88539803]
4,-0.104430488269,[ 1.31243012 -0.04971035],-0.104430488269,"[ 1.01363738  2.10781007  0.27752118 -0.247578    0.91058413  0.55455032
  0.28291043  0.35297741  0.48253732 -0.26804893  0.        ]","[[ 0.10737906  0.18449782  0.10253529  0.06366127]
 [-1.86688175  5.17372209  0.          0.        ]]",[-0.1865477  -0.12849657],[ 0.14024295  0.71795923]
5,-0.0989291627496,[-0.0461865   1.82659183],-0.0989291627496,"[ 1.01321222  2.07573284  0.28168734  0.06695793  0.91058147  0.55454917
  0.6147794   0.310957    0.45354955 -0.1703126   0.        ]","[[ 0.11010418  0.28495428  0.10253529  0.06366127]
 [ 2.12611302  4.87293468  0.          0.        ]]",[-0.1865477  -0.12849657],[-0.39425927  0.51919317]
6,-0.0895115602698,[-0.63638368 -0.43597028],-0.0895115602698,"[ 1.00575251  2.01110788  0.34307051  0.47830018  0.91057882  0.55454801
  0.59598617  0.85064166  0.38177636  0.01852961  0.        ]","[[ 0.15035757  0.42117366  0.10253529  0.06366127]
 [ 1.90001249  8.73612678  0.          0.        ]]",[-0.1865477  -0.12849657],[-0.85989863  0.25503078]
7,-0.081873801449,[-0.529305   -1.42670131],-0.081873801449,"[ 1.00299776  1.90892635  0.36186619  0.9181004   0.91057617  0.55454686
  0.38368537  0.58544831  0.29555319  0.16009623  0.        ]","[[ 0.1627297   0.57685002  0.10253529  0.06366127]
 [-0.65433302  6.83782723  0.          0.        ]]",[-0.1865477  -0.12849657],[-0.74674702  0.26142955]
8,-0.0784128234012,[-1.51584025 -0.10589812],-0.0784128234012,"[ 1.0100285   1.83212844  0.31020125  1.16795531  0.91057351  0.5545457
  0.2108374   0.01348154  0.26365954  0.17359772  0.        ]","[[ 0.1287776   0.6725277   0.10253529  0.06366127]
 [-2.73399263  2.74357606  0.          0.        ]]",[-0.1865477  -0.12849657],[-0.37871417  0.4159044 ]
9,-0.0788392057664,[ 0.61124327  0.47017916],-0.0788392057664,"[ 1.02096622  1.78791358  0.16641937  1.29167934  0.91057086  0.55454455
 -0.11347854 -0.05250997  0.2948787   0.05965693  0.        ]","[[ 0.03494714  0.72265995  0.10253529  0.06366127]
 [-6.63607775  2.27119598  0.          0.        ]]",[-0.1865477  -0.12849657],[ 0.27681455  0.58586067]
10,-0.0803388774605,[-0.68311922 -0.10879293],-0.0803388774605,"[  1.01811738e+00   1.72807571e+00   1.72567927e-03   1.44099655e+00
   9.10568206e-01   5.54543391e-01   9.83691944e-02   2.01161162e-01
   3.17581861e-01  -6.76159902e-02   0.00000000e+00]","[[-0.07220076  0.78630244  0.10253529  0.06366127]
 [-4.08718441  4.08702072  0.          0.        ]]",[-0.1865477  -0.12849657],[ 0.18950535  0.43304983]
11,-0.0821023203582,[ 2.0982477  -0.10292438],-0.0821023203582,"[ 0.99871988  1.65085953 -0.16305837  1.60845194  0.91056555  0.55454224
 -0.11953688  0.12978076  0.32406979 -0.18682548  0.        ]","[[-0.18024935  0.86291656  0.10253529  0.06366127]
 [-6.7089663   3.57606961  0.          0.        ]]",[-0.1865477  -0.12849657],[ 0.71943009  0.53313184]
12,-0.0842621898113,[ 1.50284472  2.039028  ],-0.0842621898113,"[ 0.96884509  1.57934531 -0.30260963  1.7425938   0.9105629   0.55454108
  0.2203424   0.06277078  0.32190131 -0.28820284  0.        ]","[[-0.27339957  0.92962497  0.10253529  0.06366127]
 [-2.61964424  3.09640265  0.          0.        ]]",[-0.1865477  -0.12849657],[ 0.51842552  0.41074336]
13,-0.0762490514985,[ 0.35378329  0.22348049],-0.0762490514985,"[ 0.96404649  1.46419847 -0.32062514  1.92370965  0.91056025  0.55453993
  0.55341231  0.60719916  0.27195297 -0.23201701  0.        ]","[[-0.28558589  1.03065376  0.10253529  0.06366127]
 [ 1.38775287  6.99350756  0.          0.        ]]",[-0.1865477  -0.12849657],[-0.1536499   0.06271172]
14,-0.0599179600237,[-0.36107675  0.43131925],-0.0599179600237,"[ 0.97954686  1.28368834 -0.25898594  2.13693273  0.91055759  0.55453877
  0.66748747  0.71142114  0.16385154 -0.07256971  0.        ]","[[-0.24406026  1.17800921  0.10253529  0.06366127]
 [ 2.76028328  7.73955471  0.          0.        ]]",[-0.1865477  -0.12849657],[-0.57990348 -0.15057504]
15,-0.0439847203494,[-0.14557011 -0.94516792],-0.0439847203494,"[ 0.99231438  1.06103015 -0.19851803  2.30285766  0.91055494  0.55453762
  0.54419908  0.92864745  0.02040884  0.06718288  0.        ]","[[-0.20373749  1.34840172  0.10253529  0.06366127]
 [ 1.27693588  9.2945083   0.          0.        ]]",[-0.1865477  -0.12849657],[-0.64829034 -0.24563384]
16,-0.0342126067433,[-1.37954858 -1.52001113],-0.0342126067433,"[ 0.99767795  0.86233977 -0.16906233  2.37287799  0.91055229  0.55453646
  0.49430887  0.38012759 -0.1061178   0.13904534  0.        ]","[[-0.18422043  1.49489736  0.10253529  0.06366127]
 [ 0.67668757  5.36813832  0.          0.        ]]",[-0.1865477  -0.12849657],[-0.62823015 -0.22220337]
17,-0.029832078229,[-1.5675866  -0.99659593],-0.029832078229,"[ 0.99031837  0.77104729 -0.20872647  2.38198464  0.91054963  0.55453531
  0.1643306  -0.18778234 -0.14241311  0.12544172  0.        ]","[[-0.21051995  1.56147316  0.10253529  0.06366127]
 [-3.29347776  1.30297018  0.          0.        ]]",[-0.1865477  -0.12849657],[-0.1293782 -0.010234 ]
18,-0.030444524687,[ 1.52826148 -0.30086762],-0.030444524687,"[ 0.951427    0.7899673  -0.36447705  2.38123938  0.91054698  0.55453415
 -0.15912315 -0.7425858  -0.06847947  0.00297211  0.        ]","[[-0.31543621  1.54768695  0.10253529  0.06366127]
 [-7.1851431  -2.66838522  0.          0.        ]]",[-0.1865477  -0.12849657],[ 0.66253495  0.35566193]
