timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.262497105501,[ 1.16340576  4.10777775],-0.262497105501,"[ 1.01606003  1.57447284  0.15678112 -1.15973211 -0.43618111  0.26563195
  0.34399587 -0.33104617  1.94292343 -0.41836672  0.        ]","[[ 0.02954265 -0.01732117 -0.05138086  0.02903433]
 [-0.00217776  0.00102385  0.          0.        ]]",[-0.414949   -0.31880683],[ 1.156196    2.81301594]
1,-0.260960285695,[ 0.41667599  1.15639863],-0.260960285695,"[ 1.01312923  1.57434075  0.21607931 -1.0543651  -0.43618074  0.26563175
  0.74819047  0.28267529  1.93701907 -0.27303892  0.        ]","[[ 0.06917459  0.0224115  -0.05138086  0.02903433]
 [ 3.95221023  3.95905713  0.          0.        ]]",[-0.414949   -0.31880683],[ 0.80244547  2.48255873]
2,-0.255784662132,[ 0.81879235  1.12878791],-0.255784662132,"[ 0.99661885  1.5621621   0.35706186 -0.74233522 -0.43618037  0.26563155
  0.90853136  0.88438822  1.88512193  0.09783215  0.        ]","[[ 0.16395764  0.14052789 -0.05138086  0.02903433]
 [ 5.52089342  7.83964803  0.          0.        ]]",[-0.414949   -0.31880683],[ 0.58330536  2.22185111]
3,-0.244225236903,[ 0.3705293   1.60749511],-0.244225236903,"[ 0.94721928  1.50400174  0.56350554 -0.24068633 -0.43617999  0.26563134
  1.22832534  1.47408818  1.70226144  0.6324157   0.        ]","[[  0.30576561   0.33547895  -0.05138086   0.02903433]
 [  8.64957222  11.64277828   0.           0.        ]]",[-0.414949   -0.31880683],[ 0.09661878  1.76125288]
4,-0.222381186171,[-0.5784536  0.2925157],-0.222381186171,"[ 0.83919289  1.34916548  0.81989506  0.39620663 -0.43617962  0.26563114
  1.36061366  2.0522025   1.29064422  1.19704826  0.        ]","[[  0.49174089   0.60574337  -0.05138086   0.02903433]
 [  9.94382324  15.37122123   0.           0.        ]]",[-0.414949   -0.31880683],[-0.6123817   0.87399673]
5,-0.191836871439,[ 0.2984669   0.76231998],-0.191836871439,"[ 0.6968293   1.07333691  1.03779095  0.99896771 -0.43617925  0.26563093
  1.10671179  2.18469147  0.73100159  1.50246072  0.        ]","[[  0.66569431   0.92174153  -0.05138086   0.02903433]
 [  7.45982674  16.22573376   0.           0.        ]]",[-0.414949   -0.31880683],[-0.64974457  0.32057741]
6,-0.153378928767,[-1.29031322 -1.58869383],-0.153378928767,"[ 0.53482903  0.67879478  1.2132631   1.42175846 -0.43617887  0.26563073
  1.21249465  2.60281942  0.14496028  1.46528144  0.        ]","[[  0.82527226   1.27331325  -0.05138086   0.02903433]
 [  8.49475995  18.92244533   0.           0.        ]]",[-0.414949   -0.31880683],[-1.11358905 -0.90515977]
7,-0.114066116517,[-0.78679217 -1.27217091],-0.114066116517,"[ 0.38534568  0.2598281   1.33445017  1.53637666 -0.4361785   0.26563052
  0.79111745  1.93086617 -0.27947136  1.15890329  0.        ]","[[  0.95380919   1.60828209  -0.05138086   0.02903433]
 [  4.37228141  14.58886557   0.           0.        ]]",[-0.414949   -0.31880683],[-0.67347026 -0.9251768 ]
8,-0.0854800254322,[-0.1591308  -0.43581766],-0.0854800254322,"[ 0.31641548 -0.05098974  1.38053013  1.43003031 -0.43617813  0.26563032
  0.46413254  1.27218463 -0.44719964  0.84583526  0.        ]","[[  1.0091607    1.85743778  -0.05138086   0.02903433]
 [  1.17327303  10.34084371   0.           0.        ]]",[-0.414949   -0.31880683],[-0.26745418 -0.64820319]
9,-0.0645851432078,[ 0.28683266 -1.32908764],-0.0645851432078,"[ 0.29484777 -0.27124719  1.39384447  1.2457361  -0.43617775  0.26563011
  0.39743692  0.97287519 -0.49541544  0.60245295  0.        ]","[[ 1.02608     2.04488706 -0.05138086  0.02903433]
 [ 0.52076906  8.41051411  0.          0.        ]]",[-0.414949   -0.31880683],[-0.27727866 -0.67251319]
10,-0.0497399802966,[-0.12625094  0.59388879],-0.0497399802966,"[ 0.26685001 -0.40920391  1.4103909   1.07366467 -0.43617738  0.26562991
  0.51248498  0.33308994 -0.511879    0.42788383  0.        ]","[[ 1.04778888  2.1716981  -0.05138086  0.02903433]
 [ 1.64632942  4.28434474  0.          0.        ]]",[-0.414949   -0.31880683],[-0.44621295 -0.63407058]
11,-0.0366100448166,[-0.99048913  0.03718748],-0.0366100448166,"[ 0.23076607 -0.51811783  1.43053387  0.89855272 -0.43617701  0.2656297
  0.45807537  0.68456103 -0.51402555  0.27366326  0.        ]","[[ 1.07537453  2.28012803 -0.05138086  0.02903433]
 [ 1.11402516  6.55109269  0.          0.        ]]",[-0.414949   -0.31880683],[-0.58476192 -1.00286317]
