timestep,avg_action_dist,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist
0,[ 2.54117036  2.28083324],"[ 0.97657311  1.7481969   0.17150704 -1.18496359 -0.47500409  1.01106975
  0.38727607 -0.34622406  1.84915414 -1.32569734  0.        ]",[ 0.58699065  1.84441345],-0.28995761542,-0.28995761542,"[[ 0.03638874 -0.07076732 -0.05599261  0.11558585]
 [ 0.00399901  0.00041916  0.          0.        ]]",[-0.28261226 -0.2216967 ]
1,[ 1.88758492  1.70993102],"[ 0.97489389  1.75076672  0.20722268 -1.07244318 -0.47500354  1.0110678
  0.6027152   0.23637795  1.84836424 -1.22955189  0.        ]",[ 2.13099886  1.15674509],-0.286298773402,-0.286298773402,"[[ 0.05975045 -0.03104023 -0.05599261  0.11558585]
 [ 2.32445021  3.95909945  0.          0.        ]]",[-0.28261226 -0.2216967 ]
2,[ 0.9011696   1.09500325],"[ 0.96177918  1.74654525  0.33767173 -0.73779707 -0.47500298  1.01106585
  0.96558635  0.80735392  1.81627997 -0.91097007  0.        ]",[ 1.03613779 -0.748172  ],-0.272708882849,-0.272708882849,"[[ 0.14545357  0.0870679  -0.05599261  0.11558585]
 [ 6.23286449  7.83878631  0.          0.        ]]",[-0.28261226 -0.2216967 ]
3,[ 0.17523903  1.18565154],"[ 0.90697544  1.72268123  0.58067671 -0.38613415 -0.47500243  1.0110639
  1.32153847  0.34830232  1.6867583  -0.44109235  0.        ]",[ 0.57528345  1.37870875],-0.248541167046,-0.248541167046,"[[  0.30857753   0.21254804  -0.05599261   0.11558585]
 [ 10.06677332   4.71961746   0.           0.        ]]",[-0.28261226 -0.2216967 ]
4,[-0.64420682  0.53985798],"[ 0.77199006  1.67593596  0.89057245 -0.02332262 -0.47500187  1.01106195
  1.51422574  0.91714863  1.39874547  0.07772423  0.        ]",[-0.21833385  0.24507629],-0.213523047682,-0.213523047682,"[[  0.53073583   0.3457215   -0.05599261   0.11558585]
 [ 12.1422126    8.58483144   0.           0.        ]]",[-0.28261226 -0.2216967 ]
5,[-1.04714227  0.06247771],"[ 0.56378953  1.57938978  1.17307403  0.43819594 -0.47500132  1.01106
  1.41175183  1.034972    0.94508803  0.4880612   0.        ]",[-1.16517649  0.96137699],-0.16963643112,-0.16963643112,"[[  0.76250618   0.52545095  -0.05599261   0.11558585]
 [ 11.03853286   9.38543279   0.           0.        ]]",[-0.28261226 -0.2216967 ]
6,[-1.02569485 -0.38823402],"[ 0.36289261  1.40975656  1.35313287  0.94776633 -0.47500076  1.01105805
  1.02412853  1.56803314  0.46013226  0.64721987  0.        ]",[-1.59495704  0.00648502],-0.126027854108,-0.126027854108,"[[  0.94138751   0.7495012   -0.05599261   0.11558585]
 [  6.86354838  13.00751723   0.           0.        ]]",[-0.28261226 -0.2216967 ]
7,[-0.77910423 -0.59571528],"[ 0.24276763  1.15746269  1.43397101  1.41328474 -0.47500021  1.0110561
  0.64428067  1.53408198  0.07870016  0.58433239  0.        ]",[-0.71064223 -0.79614861],-0.0887755047054,-0.0887755047054,"[[  1.03761064   1.00733742  -0.05599261   0.11558585]
 [  2.77229905  12.77685854   0.           0.        ]]",[-0.28261226 -0.2216967 ]
8,[-0.41307968 -0.48068583],"[ 0.20814122  0.90421398  1.45426623  1.6873801  -0.47499965  1.01105415
  0.37825889  1.03301854 -0.13118919  0.43907092  0.        ]",[ 0.13706268 -0.25979541],-0.0630002082039,-0.0630002082039,"[[ 1.06431018  1.22871504 -0.05599261  0.11558585]
 [-0.09295764  9.37223221  0.          0.        ]]",[-0.28261226 -0.2216967 ]
9,[-0.47469565 -0.67437029],"[ 0.20342254  0.68827074  1.45693168  1.81233052 -0.47499909  1.0110522
  0.42884224  0.8542994  -0.24825144  0.29302446  0.        ]",[ 0.44898531 -2.47194697],-0.0441302917744,-0.0441302917744,"[[ 1.06791751  1.40397562 -0.05599261  0.11558585]
 [ 0.45186902  8.15787579  0.          0.        ]]",[-0.28261226 -0.2216967 ]
10,[-0.64214927 -0.59912932],"[ 0.16809704  0.53396454  1.47620309  1.84882187 -0.47499854  1.01105025
  0.5930738   0.24774273 -0.34573202  0.16582934  0.        ]",[-0.89459452 -1.17926991],-0.0287808277644,-0.0287808277644,"[[ 1.09470322  1.52578126 -0.05599261  0.11558585]
 [ 2.22077589  4.03642973  0.          0.        ]]",[-0.28261226 -0.2216967 ]
11,[-0.08391505  0.00132179],"[ 0.15683573  0.48273184  1.48208484  1.85165426 -0.47499798  1.0110483
  0.26035697 -0.34666225 -0.3737152   0.12099199  0.        ]",[-0.3320982  -0.62261664],-0.0239361428843,-0.0239361428843,"[[ 1.10316372  1.56598652 -0.05599261  0.11558585]
 [-1.36283191 -0.00244833  0.          0.        ]]",[-0.28261226 -0.2216967 ]
12,[ 0.21980882  0.47807848],"[ 0.2098581   0.51431599  1.45327119  1.85043763 -0.47499743  1.01104635
  0.14087833 -0.70944529 -0.3144495   0.16633321  0.        ]",[-0.42089222  1.23996888],-0.0298704753094,-0.0298704753094,"[[ 1.06299532  1.54120493 -0.05599261  0.11558585]
 [-2.64970424 -2.46749899  0.          0.        ]]",[-0.28261226 -0.2216967 ]
13,[ 0.37506795  0.21550959],"[ 0.29838982  0.52594637  1.39861428  1.84954562 -0.47499687  1.0110444
 -0.00896889 -0.11948384 -0.22459402  0.20421948  0.        ]",[ 0.7986301   0.95496719],-0.0379299172528,-0.0379299172528,"[[ 0.99380803  1.5320754  -0.05599261  0.11558585]
 [-4.26366867  1.54117749  0.          0.        ]]",[-0.28261226 -0.2216967 ]
14,[-0.11594375 -0.44589198],"[ 0.36325627  0.43870727  1.35282784  1.85041045 -0.47499632  1.01104245
  0.29224939  0.43243242 -0.19620431  0.1584649   0.        ]",[ 0.75138312 -0.48408858],-0.0364483017654,-0.0364483017654,"[[ 0.94108566  1.60052537 -0.05599261  0.11558585]
 [-1.01932689  5.2913446   0.          0.        ]]",[-0.28261226 -0.2216967 ]
15,[-0.47188824 -0.58867228],"[ 0.35155278  0.3299854   1.36147062  1.83283556 -0.47499576  1.0110405
  0.57025649  0.13484939 -0.24931145  0.07186573  0.        ]",[-1.21900083 -0.8970894 ],-0.0260474575998,-0.0260474575998,"[[ 0.95074214  1.68606463 -0.05599261  0.11558585]
 [ 1.97501567  3.26932815  0.          0.        ]]",[-0.28261226 -0.2216967 ]
16,[ 0.12844181  0.01368177],"[ 0.35227735  0.29319898  1.36093641  1.82214315 -0.47499521  1.01103855
  0.19921557 -0.39736182 -0.26143363  0.04279497  0.        ]",[ 0.67290977  0.90714919],-0.0230398030276,-0.0230398030276,"[[ 0.95014592  1.71516804 -0.05599261  0.11558585]
 [-2.02135499 -0.34694042  0.          0.        ]]",[-0.28261226 -0.2216967 ]
17,[-0.29575923 -0.57739329],"[ 0.36837886  0.25649017  1.34897558  1.80904356 -0.47499465  1.01103661
  0.45015462  0.13222438 -0.25893459  0.0185887   0.        ]",[-0.3002537  -1.26120449],-0.0216902754893,-0.0216902754893,"[[ 0.93683658  1.74433337 -0.05599261  0.11558585]
 [ 0.68143895  3.25148674  0.          0.        ]]",[-0.28261226 -0.2216967 ]
18,[-0.04712982 -0.10675347],"[ 0.36648033  0.22559976  1.35039897  1.79611358 -0.4749941   1.01103466
  0.33861756 -0.45996547 -0.27059881 -0.00747236  0.        ]",[-0.6334728  -0.45071435],-0.0190533694827,-0.0190533694827,"[[ 0.93841224  1.76899097 -0.05599261  0.11558585]
 [-0.51988813 -0.772318    0.          0.        ]]",[-0.28261226 -0.2216967 ]
19,[ 0.41055042  0.37736189],"[ 0.40864347  0.26721807  1.31755721  1.81310809 -0.47499354  1.01103271
  0.10681559 -0.72031733 -0.21789042  0.04015434  0.        ]",[ 1.35870264 -0.63459598],-0.0267924426156,-0.0267924426156,"[[ 0.90296445  1.73579529 -0.05599261  0.11558585]
 [-3.01655169 -2.54135802  0.          0.        ]]",[-0.28261226 -0.2216967 ]
