timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.053156857302,[ 0.0458936  -0.09515608],-0.053156857302,"[ 1.07073812  1.73008172  0.02936706 -0.52739255  1.41264226  0.04741283
  0.25258336 -0.31672414  0.06307397 -0.05939664  0.        ]","[[-0.00948087  0.04171659  0.15678816  0.00343849]
 [-0.00085379  0.00247909  0.          0.        ]]",[ 0.00526689 -0.13624553],[-0.25783634  0.91847074]
1,-0.0531655276773,[ 0.65012375 -0.86511342],-0.0531655276773,"[ 1.07074601  1.73022752  0.03213335 -0.53677595  1.41261728  0.04741255
  0.26866788 -0.36894899  0.0631294  -0.05963342  0.        ]","[[-0.00767476  0.03798462  0.15678816  0.00343849]
 [ 0.1808586  -0.37441926  0.          0.        ]]",[ 0.00526689 -0.13624553],[-0.25785702  0.91798937]
2,-0.0531752668225,[-1.35987873  1.94103085],-0.0531752668225,"[ 1.07044651  1.73108278  0.07716278 -0.6419591   1.4125923   0.04741227
  0.49613737 -0.84272893  0.06321265 -0.04762589  0.        ]","[[  2.17235873e-02  -3.80850316e-03   1.56788158e-01   3.43848975e-03]
 [  2.75041636e+00  -3.79349521e+00   0.00000000e+00   0.00000000e+00]]",[ 0.00526689 -0.13624553],[-0.26392013  0.91083592]
3,-0.0531449190127,[-2.03930099  0.25816837],-0.0531449190127,"[ 1.0698384   1.73008799  0.09975628 -0.73097651  1.41256733  0.04741199
  0.14098172 -0.28341512  0.06303629 -0.05364764  0.        ]","[[ 0.03647985 -0.03918137  0.15678816  0.00343849]
 [-1.2614275   0.24275122  0.          0.        ]]",[ 0.00526689 -0.13624553],[-0.252974    0.91517717]
4,-0.0543637640053,[-1.413537    1.81424131],-0.0543637640053,"[  1.07019585e+00   1.73064580e+00   7.07129235e-04  -6.93030096e-01
   1.41254236e+00   4.74117117e-02  -2.07045556e-01  -1.42213849e-01
   6.21957100e-02  -1.44448472e-01   0.00000000e+00]","[[ -2.81928433e-02  -2.41027412e-02   1.56788158e-01   3.43848975e-03]
 [ -5.19275019e+00   1.26171127e+00   0.00000000e+00   0.00000000e+00]]",[ 0.00526689 -0.13624553],[-0.22263911  0.92299449]
5,-0.0615422088155,[ 0.34866264 -0.77459968],-0.0615422088155,"[ 1.05060187  1.72993422 -0.21636158 -0.53011376  1.41251739  0.04741143
 -0.54828824  0.40322414  0.0472153  -0.31734774  0.        ]","[[ -1.70723178e-01   4.06237543e-02   1.56788158e-01   3.43848975e-03]
 [ -9.04744563e+00   5.19781250e+00   0.00000000e+00   0.00000000e+00]]",[ 0.00526689 -0.13624553],[-0.18355694  0.93045461]
6,-0.075548995365,[-0.7457619   1.27266822],-0.075548995365,"[ 0.99327614  1.72295893 -0.46121222 -0.34906353  1.41249242  0.04741115
 -0.41023201 -0.03614403  0.00664371 -0.51597815  0.        ]","[[ -3.36025797e-01   1.12768050e-01   1.56788158e-01   3.43848975e-03]
 [ -7.48801276e+00   2.02718421e+00   0.00000000e+00   0.00000000e+00]]",[ 0.00526689 -0.13624553],[-0.15280919  0.9300912 ]
7,-0.0939607145733,[ 1.32509764 -0.32540749],-0.0939607145733,"[ 0.89183943  1.70767634 -0.70914012 -0.15036081  1.41246745  0.04741087
 -0.65842416  0.50713445 -0.06317923 -0.7183764   0.        ]","[[ -5.13915294e-01   1.92647364e-01   1.56788158e-01   3.43848975e-03]
 [ -1.02916075e+01   5.94766634e+00   0.00000000e+00   0.00000000e+00]]",[ 0.00526689 -0.13624553],[-0.11449312  0.92698014]
8,-0.109512087492,[-1.47054704  0.84053325],-0.109512087492,"[ 0.76443055  1.67573998 -0.91693134  0.10553928  1.41244248  0.04741059
 -0.29014559  0.31203314 -0.14134112 -0.8683887   0.        ]","[[ -6.78009321e-01   2.97474739e-01   1.56788158e-01   3.43848975e-03]
 [ -6.13163702e+00   4.53977950e+00   0.00000000e+00   0.00000000e+00]]",[ 0.00526689 -0.13624553],[-0.10749318  0.91482139]
9,-0.122983997731,[ 1.29633773 -0.34803173],-0.122983997731,"[ 0.6111167   1.62136375 -1.09586552  0.39595937  1.41241751  0.04741031
 -0.62973911  0.76096199 -0.22799497 -0.98655673  0.        ]","[[ -8.39129651e-01   4.20774824e-01   1.56788158e-01   3.43848975e-03]
 [ -9.96764657e+00   7.77939989e+00   0.00000000e+00   0.00000000e+00]]",[ 0.00526689 -0.13624553],[-0.07840765  0.90298826]
10,-0.133881735506,[-1.50410839  1.13227926],-0.133881735506,"[ 0.437846    1.53847271 -1.24241473  0.70697724  1.41239255  0.04741003
 -0.26201457  0.54842099 -0.31892436 -1.07280374  0.        ]","[[ -9.96807797e-01   5.60974305e-01   1.56788158e-01   3.43848975e-03]
 [ -5.81396912e+00   6.24569147e+00   0.00000000e+00   0.00000000e+00]]",[ 0.00526689 -0.13624553],[-0.08533005  0.88197201]
11,-0.141268519096,[ 1.32722869 -0.07090864],-0.141268519096,"[ 0.2495205   1.41569073 -1.35527609  1.03591907  1.41236759  0.04740975
 -0.60220307  1.08014364 -0.40909802 -1.12238502  0.        ]","[[ -1.15164164e+00   7.24387532e-01   1.56788158e-01   3.43848975e-03]
 [ -9.65666068e+00   1.00827933e+01   0.00000000e+00   0.00000000e+00]]",[ 0.00526689 -0.13624553],[-0.07213937  0.858661  ]
12,-0.143690208122,[-0.711359    0.13079062],-0.143690208122,"[ 0.05213674  1.23492708 -1.43332236  1.37237867  1.41234262  0.04740947
 -0.23502674  1.01335234 -0.49308728 -1.1263251   0.        ]","[[ -1.30316303e+00   9.21207893e-01   1.56788158e-01   3.43848975e-03]
 [ -5.50921197e+00   9.60090275e+00   0.00000000e+00   0.00000000e+00]]",[ 0.00526689 -0.13624553],[-0.09506476  0.82452285]
