timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
0,"[ 1.07006878  1.90972348 -0.09465611 -0.61851326  0.0741887   0.88271178
  0.32547133 -0.34192755  1.15990362 -0.98851234  0.        ]",[ 0.19682264  2.12899862],-0.23241210982,-0.23241210982,[ 0.46452707  1.27899778],"[[-0.08837976  0.02117446  0.00770257  0.09932486]
 [-0.00283146 -0.00348562  0.          0.        ]]",[-0.0113655 -0.1823927]
1,"[ 1.0709628   1.90757875 -0.08284655 -0.50692386  0.0741884   0.88270558
  0.38854066  0.20581643  1.16194468 -0.94039101  0.        ]",[ 1.38174956  1.17056212],-0.229756031533,-0.229756031533,[ 0.41988087  1.24714613],"[[-0.08063927  0.06083024  0.00770257  0.09932486]
 [ 0.77429889  3.95586939  0.          0.        ]]",[-0.0113655 -0.1823927]
2,"[  1.07499131e+00   1.88923572e+00   1.24781832e-03  -1.77034953e-01
   7.41881097e-02   8.82699377e-01   7.08232206e-01   7.42544953e-01
   1.15508434e+00  -7.43489086e-01   0.00000000e+00]",[-0.11190027  2.01020438],-0.21825151248,-0.21825151248,[ 0.2435213   1.20063305],"[[ -2.56312323e-02   1.78874308e-01   7.70257052e-03   9.93248551e-02]
 [  4.71341596e+00   7.83561157e+00   0.00000000e+00   0.00000000e+00]]",[-0.0113655 -0.1823927]
3,"[ 1.07267251  1.82030463  0.1372627   0.35019373  0.07418782  0.88269317
  0.66463552  1.26887603  1.09031978 -0.43233951  0.        ]",[ 0.49562569 -0.00807631],-0.197306192862,-0.197306192862,[ 0.08143788  1.15251994],"[[  6.32473914e-02   3.73759772e-01   7.70257052e-03   9.93248551e-02]
 [  4.17628904e+00   1.16402514e+01   0.00000000e+00   0.00000000e+00]]",[-0.0113655 -0.1823927]
4,"[ 1.05651286  1.68029866  0.29291782  0.92125056  0.07418752  0.88268697
  0.81710735  1.23245658  0.93694592 -0.10913266  0.        ]",[ 1.55976687  1.02626472],-0.170051286922,-0.170051286922,[-0.11987783  1.09037113],"[[  1.65622441e-01   6.03924364e-01   7.70257052e-03   9.93248551e-02]
 [  6.05502239e+00   1.13770841e+01   0.00000000e+00   0.00000000e+00]]",[-0.0113655 -0.1823927]
5,"[ 1.00296699  1.44994739  0.529696    1.47256888  0.07418723  0.88268077
  1.12846199  1.74884275  0.63890234  0.22262921  0.        ]",[-2.22661759  2.77948412],-0.13221243673,-0.13221243673,[-0.40356016  0.95380783],"[[  3.25212502e-01   8.68919341e-01   7.70257052e-03   9.93248551e-02]
 [  9.89146873e+00   1.51099626e+01   0.00000000e+00   0.00000000e+00]]",[-0.0113655 -0.1823927]
6,"[ 0.91832612  1.07272532  0.74941125  1.95477882  0.07418693  0.88267456
  0.79153124  2.25530797  0.22019619  0.39405384  0.        ]",[-1.10742794  1.3205805 ],-0.0881708827897,-0.0881708827897,[-0.46374032  0.8071208 ],"[[  4.81389173e-01   1.20785462e+00   7.70257052e-03   9.93248551e-02]
 [  5.74007232e+00   1.87713470e+01   0.00000000e+00   0.00000000e+00]]",[-0.0113655 -0.1823927]
7,"[ 0.86767012  0.54900836  0.84776807  2.13489292  0.07418664  0.88266836
  0.46127437  2.75167505 -0.15311016  0.29536956  0.        ]",[ 0.00544401 -0.85247695],-0.046375755014,-0.046375755014,[-0.36583915  0.70820642],"[[  5.55363462e-01   1.61928888e+00   7.70257052e-03   9.93248551e-02]
 [  1.67087795e+00   2.23600763e+01   0.00000000e+00   0.00000000e+00]]",[-0.0113655 -0.1823927]
8,"[ 0.8427271   0.0387512   0.89066723  1.84867584  0.07418634  0.88266216
  0.46053802  2.22343843 -0.39584974  0.03260666  0.        ]",[ 0.18412553  1.5097805 ],-0.0227474163899,-0.0227474163899,[-0.3093583   0.69681585],"[[  5.88692375e-01   2.02818164e+00   7.70257052e-03   9.93248551e-02]
 [  1.66183225e+00   1.85419255e+01   0.00000000e+00   0.00000000e+00]]",[-0.0113655 -0.1823927]
9,"[ 0.8109192  -0.3753112   0.94119299  1.15017146  0.07418605  0.88265596
  0.5171469   2.72030302 -0.51367014 -0.31576705  0.        ]",[ 1.14087084  0.61877204],-0.0485239652902,-0.0485239652902,[-0.25249901  0.64401782],"[[  6.28926769e-01   2.43506434e+00   7.70257052e-03   9.93248551e-02]
 [  2.35935954e+00   2.21343792e+01   0.00000000e+00   0.00000000e+00]]",[-0.0113655 -0.1823927]
