timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
23,-0.0312581442866,[-0.55373454 -0.49371678],-0.0312581442866,"[-1.30885778 -0.5108229  -1.11782157  0.93235194  0.5305336  -0.42695622
  0.53228863 -0.91443768 -0.50857268 -0.5019826   0.        ]","[[-2.18431316  2.1936286   0.06022863 -0.05047119]
 [ 1.98860699 -3.68983362  0.          0.        ]]",[-0.51042831 -0.39674202],[ 0.01903099  0.82879895]
24,-0.0400800015895,[-0.29329015  1.09694086],-0.0400800015895,"[-1.28762314 -0.41158343 -1.13259025  1.06380899  0.53053318 -0.42695591
  0.29245155 -1.21477088 -0.49728565 -0.61457542  0.        ]","[[-2.16692758  2.10095163  0.06022863 -0.05047119]
 [-0.24257549 -5.57158405  0.          0.        ]]",[-0.51042831 -0.39674202],[ 1.13690674  1.43898702]
25,-0.0489508618658,[ 0.68106547  0.66994771],-0.0489508618658,"[-1.30772165 -0.33221997 -1.11861966  1.15106533  0.53053276 -0.4269556
  0.16814963 -0.56518664 -0.51992975 -0.71889677  0.        ]","[[-2.18338111  2.03035528  0.06022863 -0.05047119]
 [-1.3989443  -1.50161338  0.          0.        ]]",[-0.51042831 -0.39674202],[ 1.34864247  0.8536253 ]
26,-0.0493392590238,[-0.49093481 -0.43774571],-0.0493392590238,"[-1.30851408 -0.32864358 -1.1180557   1.15465541  0.53053234 -0.42695528
  0.46089441 -0.1370908  -0.52105275 -0.72342742  0.        ]","[[-2.18403544  2.02723475  0.06022863 -0.05047119]
 [ 1.32443603  1.18062179  0.          0.        ]]",[-0.51042831 -0.39674202],[ 0.20786877  0.1861676 ]
27,-0.0482177742315,[ 0.60485828  0.87680596],-0.0482177742315,"[-1.30032217 -0.33550159 -1.123813    1.14774069  0.53053192 -0.42695497
  0.24919982 -0.41743865 -0.5138503  -0.71126308  0.        ]","[[-2.17730602  2.03322344  0.06022863 -0.05047119]
 [-0.6449363  -0.57589928  0.          0.        ]]",[-0.51042831 -0.39674202],[ 1.00206029  0.63564312]
28,-0.0448846569305,[ 0.35066226 -0.55049201],-0.0448846569305,"[-1.28654452 -0.36213266 -1.13331379  1.11989419  0.53053149 -0.42695465
  0.50791224  0.13846486 -0.50056945 -0.67304501  0.        ]","[[-2.16605696  2.05665164  0.06022863 -0.05047119]
 [ 1.7618421   2.90711233  0.          0.        ]]",[-0.51042831 -0.39674202],[-0.18248771 -0.21458632]
29,-0.0377698805045,[ 0.24423586  0.00340611],-0.0377698805045,"[-1.2255652  -0.40207193 -1.1727195   1.07504644  0.53053107 -0.42695434
  0.65339241 -0.218632   -0.45594037 -0.59236829  0.        ]","[[-2.11724102  2.09234546  0.06022863 -0.05047119]
 [ 3.11523365  0.66972395  0.          0.        ]]",[-0.51042831 -0.39674202],[-0.56926     0.10579449]
30,-0.032101942543,[-1.18451158  0.29422256],-0.032101942543,"[-1.13312473 -0.41685421 -1.22484527  1.05746917  0.53053065 -0.42695403
  0.75069035 -0.21861214 -0.39874799 -0.52148402  0.        ]","[[-2.04585462  2.10574121  0.06022863 -0.05047119]
 [ 4.02039236  0.66984751  0.          0.        ]]",[-0.51042831 -0.39674202],[-0.95367563  0.05020046]
31,-0.0273714648421,[ 0.17594004  1.242857  ],-0.0273714648421,"[-1.07992878 -0.44407856 -1.25104119  1.02365675  0.53053023 -0.42695371
  0.31662054 -0.03475467 -0.37113695 -0.45647016  0.        ]","[[-2.00596224  2.13069606  0.06022863 -0.05047119]
 [-0.01770741  1.82180352  0.          0.        ]]",[-0.51042831 -0.39674202],[ 0.17234991  0.03271544]
32,-0.0188008799706,[-1.24978395 -0.96545049],-0.0188008799706,"[-1.07098024 -0.52411416 -1.25518881  0.91262223  0.5305298  -0.4269534
  0.39150953  0.59145117 -0.37958916 -0.35120549  0.        ]","[[-1.99932667  2.20649771  0.06022863 -0.05047119]
 [ 0.67897851  5.74528721  0.          0.        ]]",[-0.51042831 -0.39674202],[-0.55482531 -0.83329999]
33,-0.0116929265508,[ 0.8588148   0.20999755],-0.0116929265508,"[-1.1062393  -0.59941442 -1.23840885  0.79022238  0.53052938 -0.42695309
 -0.03544897 -0.03681712 -0.413696   -0.27356426  0.        ]","[[-2.02559832  2.2819084   0.06022863 -0.05047119]
 [-3.29296352  1.80888581  0.          0.        ]]",[-0.51042831 -0.39674202],[ 0.82383263 -0.17319721]
34,-0.00872756962568,[ 0.80759723 -0.20306665],-0.00872756962568,"[-1.14738736 -0.64133526 -1.217353    0.71329373  0.53052896 -0.42695277
  0.33701389  0.09016264 -0.44337421 -0.23961723  0.        ]","[[-2.05669256  2.32606841  0.06022863 -0.05047119]
 [ 0.17201216  2.60447458  0.          0.        ]]",[-0.51042831 -0.39674202],[-0.26996109 -0.42653787]
35,-0.00204028579646,[-1.70204269 -0.26790489],-0.00204028579646,"[-1.10037486 -0.68096385 -1.24127335  0.63389358  0.53052854 -0.42695246
  0.68032263 -0.04641074 -0.4384138  -0.15848643  0.        ]","[[-2.02120839  2.36957244  0.06022863 -0.05047119]
 [ 3.36577262  1.74877797  0.          0.        ]]",[-0.51042831 -0.39674202],[-1.31993413 -0.51824307]
36,-0.00206930053205,[ 0.36758774 -0.18976585],-0.00206930053205,"[-1.06415289 -0.70207604 -1.25829618  0.58863777  0.53052811 -0.42695215
  0.24761399 -0.22123691 -0.43467618 -0.10895153  0.        ]","[[-1.99428121  2.39355778  0.06022863 -0.05047119]
 [-0.65965437  0.65340949  0.          0.        ]]",[-0.51042831 -0.39674202],[-0.05337757 -0.17111671]
37,-0.00270992861389,[-1.15191584 -0.94347881],-0.00270992861389,"[-1.06206805 -0.70675413 -1.25923732  0.57830868  0.53052769 -0.42695183
  0.40544609 -0.34323062 -0.43618359 -0.10120354  0.        ]","[[-1.99274245  2.39895701  0.06022863 -0.05047119]
 [ 0.8086376  -0.11093902  0.          0.        ]]",[-0.51042831 -0.39674202],[-0.42256117 -0.07902205]
38,-0.00279501030877,[ 1.56645902  0.85303759],-0.00279501030877,"[-1.09400327 -0.67173843 -1.24434715  0.65299596  0.53052727 -0.42695152
 -0.02181608 -0.9391227  -0.43241098 -0.16791796  0.        ]","[[-2.01645002  2.35927836  0.06022863 -0.05047119]
 [-3.1661189  -3.8444835   0.          0.        ]]",[-0.51042831 -0.39674202],[ 1.07650793  0.72050929]
39,-0.00861213503077,[-0.47409405 -0.39190272],-0.00861213503077,"[-1.12460719 -0.63289831 -1.22919475  0.72932311  0.53052685 -0.4269512
  0.41046081 -0.38789477 -0.43121198 -0.23866603  0.        ]","[[-2.039424    2.31704073  0.06022863 -0.05047119]
 [ 0.85528894 -0.39078933  0.          0.        ]]",[-0.51042831 -0.39674202],[-0.26237801  0.09658396]
40,-0.011229366546,[ 1.13386332  1.32874999],-0.011229366546,"[-1.12711369 -0.61079872 -1.22791205  0.76998953  0.53052642 -0.42695089
  0.20689928 -0.63432303 -0.42594815 -0.27009535  0.        ]","[[-2.04131839  2.29373359  0.06022863 -0.05047119]
 [-1.0384103  -1.93477811  0.          0.        ]]",[-0.51042831 -0.39674202],[ 0.4714886   0.45945674]
41,-0.0100764753858,[-1.66057939 -0.65610982],-0.0100764753858,"[-1.10164065 -0.61215346 -1.24064044  0.76754913  0.530526   -0.42695058
  0.63463604  0.00374251 -0.4153155  -0.25394006  0.        ]","[[-2.02216237  2.295149    0.06022863 -0.05047119]
 [ 2.94075944  2.06299173  0.          0.        ]]",[-0.51042831 -0.39674202],[-1.11975002 -0.44450223]
42,-0.00763275602556,[ 0.44859709 -0.69439939],-0.00763275602556,"[-1.07679709 -0.6262079  -1.25247259  0.74183172  0.53052558 -0.42695026
  0.20284596 -0.41740348 -0.40938862 -0.22084331  0.        ]","[[-2.00364959  2.30993416  0.06022863 -0.05047119]
 [-1.07610976 -0.57567906  0.          0.        ]]",[-0.51042831 -0.39674202],[ 0.29512075  0.17728773]
43,-0.0120573770647,[-0.00234966 -0.44894539],-0.0120573770647,"[-1.081495   -0.58874808 -1.25027527  0.80872047  0.53052516 -0.42694995
  0.39604108 -0.85443265 -0.3999948  -0.27356968  0.        ]","[[-2.00713928  2.27094746  0.06022863 -0.05047119]
 [ 0.72115347 -3.31386752  0.          0.        ]]",[-0.51042831 -0.39674202],[ 0.07357996  0.71356559]
44,-0.0206114768986,[ 0.62604849  1.46064543],-0.0206114768986,"[-1.06234114 -0.50443202 -1.25909539  0.9416091   0.53052474 -0.42694964
  0.39351794 -1.12768084 -0.37149642 -0.37091516  0.        ]","[[-1.9929518   2.18749273  0.06022863 -0.05047119]
 [ 0.69768384 -5.02589907  0.          0.        ]]",[-0.51042831 -0.39674202],[ 0.39710823  1.17563367]
45,-0.0256301041332,[-0.74868634  1.14465674],-0.0256301041332,"[-1.00951549 -0.44082329 -1.28174596  1.02778002  0.53052431 -0.42694932
  0.65840608 -0.47985034 -0.33392981 -0.41713667  0.        ]","[[-1.95427361  2.12769957  0.06022863 -0.05047119]
 [ 3.16189497 -0.9669542   0.          0.        ]]",[-0.51042831 -0.39674202],[-0.6595993   0.41254485]
46,-0.0225551592933,[-0.90274883  0.16414354],-0.0225551592933,"[-0.96396299 -0.46300275 -1.2993681   0.99899252  0.53052389 -0.42694901
  0.33307763  0.15520247 -0.31599882 -0.3614199   0.        ]","[[-1.92140131  2.14828194  0.06022863 -0.05047119]
 [ 0.13542732  3.01193369  0.          0.        ]]",[-0.51042831 -0.39674202],[-0.13741101 -0.23327804]
47,-0.0164397986014,[ 0.46692114 -1.20458621],-0.0164397986014,"[-1.00992763 -0.53225282 -1.2815733   0.90026128  0.53052347 -0.4269487
 -0.05135531  0.24944404 -0.35345301 -0.30412085  0.        ]","[[-1.95457473  2.21444509  0.06022863 -0.05047119]
 [-3.44087878  3.60239959  0.          0.        ]]",[-0.51042831 -0.39674202],[ 0.73056197 -0.41642106]
48,-0.0146663793947,[ 0.51016531  0.33201261],-0.0146663793947,"[-1.07748008 -0.56416457 -1.25213871  0.8498569   0.53052305 -0.42694838
  0.15467028 -0.39392688 -0.3917586  -0.3034626   0.        ]","[[-2.00416235  2.24604866  0.06022863 -0.05047119]
 [-1.52426251 -0.42860136  0.          0.        ]]",[-0.51042831 -0.39674202],[ 0.52043211  0.25306523]
49,-0.0145810043892,[ 1.1397772  -0.29510743],-0.0145810043892,"[-1.09081402 -0.56884509 -1.24584614  0.84218149  0.53052262 -0.42694807
  0.37500127 -0.18276128 -0.39894257 -0.30515153  0.        ]","[[-2.01408235  2.25075114  0.06022863 -0.05047119]
 [ 0.52543433  0.89444171  0.          0.        ]]",[-0.51042831 -0.39674202],[-0.1723991  -0.02614367]
