timestep,avg_action_dist,obs,actions,original_rewards,rewards,human_obs,logstd_action_dist
0,[-1.20898736  1.21310365],"[ 0.98762662  1.97150299  0.12619918 -0.60431873 -0.07064052 -0.6135184
  0.42201277 -0.36264249  1.3955859   0.66181105  0.        ]",[-0.7545956   1.04973622],-0.233129181642,-0.233129181642,"[[ 0.0045568   0.08931759 -0.0091477  -0.07007882]
 [ 0.00144003 -0.00370148  0.          0.        ]]",[-0.23255387 -0.17553705]
1,[-1.20771873  1.07246804],"[ 0.98717156  1.96576935  0.07986727 -0.48282827 -0.07064043 -0.61351731
  0.16474864  0.19967404  1.39450457  0.64362465  0.        ]",[-1.03395895 -0.60893347],-0.232339252623,-0.232339252623,"[[-0.02538043  0.12898376 -0.0091477  -0.07007882]
 [-2.98521494  3.95711259  0.          0.        ]]",[-0.23255387 -0.17553705]
2,[-0.69895899  1.34510279],"[ 0.97645748  1.95460696 -0.07255271 -0.3179312  -0.07064034 -0.61351622
 -0.17083663 -0.15354563  1.39182618  0.50461957  0.        ]",[-0.86343987  1.65197923],-0.227430825804,-0.227430825804,"[[-0.12417346  0.18316335 -0.0091477  -0.07007882]
 [-6.88112403  1.46912625  0.          0.        ]]",[-0.23255387 -0.17553705]
3,[-0.21742655  1.31663418],"[ 0.92503433  1.93492464 -0.33043354 -0.11088122 -0.07064025 -0.61351513
 -0.4534668   0.40463721  1.36464029  0.24190736  0.        ]",[-0.4628793  1.0685589],-0.217788538368,-0.217788538368,"[[ -2.94716499e-01   2.51993988e-01  -9.14769803e-03  -7.00788246e-02]
 [ -1.01622634e+01   5.40081631e+00   0.00000000e+00   0.00000000e+00]]",[-0.23255387 -0.17553705]
4,[ 0.27413079  1.15795362],"[ 0.79978492  1.87289236 -0.64228786  0.31698753 -0.07064016 -0.61351404
 -0.59401949  0.95166302  1.29167771 -0.02362038  0.        ]",[ 0.02212492  1.01029291],-0.205638134722,-0.205638134722,"[[ -5.14333181e-01   3.98670093e-01  -9.14769803e-03  -7.00788246e-02]
 [ -1.17939886e+01   9.25392738e+00   0.00000000e+00   0.00000000e+00]]",[-0.23255387 -0.17553705]
5,[ 0.52347267  0.83745098],"[ 0.60101947  1.72901599 -0.93248503  0.91529701 -0.07064007 -0.61351294
 -0.56652494  1.48773492  1.18281142 -0.21051824  0.        ]",[-0.10565893  1.65904747],-0.192008410658,-0.192008410658,"[[ -7.47010569e-01   6.21634447e-01  -9.14769803e-03  -7.00788246e-02]
 [ -1.14748087e+01   1.30299088e+01   0.00000000e+00   0.00000000e+00]]",[-0.23255387 -0.17553705]
6,[ 0.75405419  0.49649897],"[ 0.34634427  1.45543759 -1.16492508  1.57117088 -0.07063997 -0.61351185
 -0.58311453  2.01319426  1.04991919 -0.28368767  0.        ]",[ 0.36242848  0.18771017],-0.175858665409,-0.175858665409,"[[ -9.78439395e-01   9.19369069e-01  -9.14769803e-03  -7.00788246e-02]
 [ -1.16674129e+01   1.67311931e+01   0.00000000e+00   0.00000000e+00]]",[-0.23255387 -0.17553705]
7,[ 0.69057965  0.30764979],"[ 0.06846566  1.05990038 -1.32065946  2.05275279 -0.07063988 -0.61351076
 -0.43973899  2.07154573  0.89893135 -0.25198162  0.        ]",[ 0.99056493 -0.80309086],-0.156444068834,-0.156444068834,"[[ -1.19508821e+00   1.25811747e+00  -9.14769803e-03  -7.00788246e-02]
 [ -1.00029408e+01   1.71423064e+01   0.00000000e+00   0.00000000e+00]]",[-0.23255387 -0.17553705]
8,[ 0.32210246  0.24786919],"[-0.15173048  0.65941216 -1.39232537  2.2021002  -0.07063979 -0.61350967
 -0.08496922  1.57174988  0.76180053 -0.14285751  0.        ]",[ 0.99122999 -0.21057822],-0.138286615391,-0.138286615391,"[[ -1.35382488e+00   1.56564130e+00  -9.14769803e-03  -7.00788246e-02]
 [ -5.88434148e+00   1.36219019e+01   0.00000000e+00   0.00000000e+00]]",[-0.23255387 -0.17553705]
9,[-0.06159824  0.19653571],"[-0.26194618  0.31703801 -1.41350507  2.10154849 -0.0706397  -0.61350858
  0.26303     1.41499103  0.6542991   0.02635761  0.        ]",[-0.3667833   1.03815481],-0.125297003404,-0.125297003404,"[[ -1.43097839e+00   1.82700052e+00  -9.14769803e-03  -7.00788246e-02]
 [ -1.84434264e+00   1.25177630e+01   0.00000000e+00   0.00000000e+00]]",[-0.23255387 -0.17553705]
10,[-0.05398439  0.14928335],"[-0.33562629 -0.0325092  -1.42251448  1.75763101 -0.07063961 -0.61350749
  0.14113382  1.94194697  0.51375574  0.23405745  0.        ]",[ 0.79407262  0.54284049],-0.112478913217,-0.112478913217,"[[ -1.48206383e+00   2.11459827e+00  -9.14769803e-03  -7.00788246e-02]
 [ -3.25945660e+00   1.62296231e+01   0.00000000e+00   0.00000000e+00]]",[-0.23255387 -0.17553705]
11,[-0.45060745  0.13554895],"[-0.38340685 -0.37363035 -1.42619457  1.068027   -0.07063951 -0.6135064
  0.41752889  2.20144839  0.29827045  0.45784342  0.        ]",[-0.01710718  0.48625304],-0.0990355314017,-0.0990355314017,"[[ -1.51506008e+00   2.45753130e+00  -9.14769803e-03  -7.00788246e-02]
 [ -5.07299108e-02   1.80576246e+01   0.00000000e+00   0.00000000e+00]]",[-0.23255387 -0.17553705]
12,[-0.41730943  0.20622003],"[-0.38583609 -0.60956063 -1.42633132  0.05250485 -0.07063942 -0.6135053
  0.41184491  2.42401148  0.00460132  0.62289317  0.        ]",[ 0.22180385  0.45428578],-0.0875110991074,-0.0875110991074,"[[ -1.51673610e+00   2.83441462e+00  -9.14769803e-03  -7.00788246e-02]
 [ -1.16708954e-01   1.96254811e+01   0.00000000e+00   0.00000000e+00]]",[-0.23255387 -0.17553705]
13,[-0.48577613  0.41243449],"[-0.3764153  -0.67148134 -1.42574959 -0.84988871 -0.07063933 -0.61350421
  0.48764752  0.28998862 -0.26437739  0.65405722  0.        ]",[ 0.0871695   0.73989461],-0.080417716734,-0.080417716734,"[[-1.51023736  3.13208408 -0.0091477  -0.07007882]
 [ 0.76330415  4.59361633  0.          0.        ]]",[-0.23255387 -0.17553705]
