timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.244592934382,[ 1.97817042  3.17983686],-0.244592934382,"[ 1.04334569  1.44847675  0.03714998 -1.47762155 -0.25903531  0.3029616
  0.29313378 -0.32128367  1.91157053 -0.79315078  0.        ]","[[-0.03541839 -0.0899389  -0.03011224  0.0338485 ]
 [-0.0024135  -0.00167588  0.          0.        ]]",[-0.63362521 -0.52275252],[ 1.65151548  3.9411912 ]
1,-0.243062529996,[ 0.17840384  2.2946285 ],-0.243062529996,"[ 1.04425354  1.45206209  0.09622751 -1.37558837 -0.25903516  0.30296143
  0.74133964  0.3315919   1.9194697  -0.63        0.        ]","[[ 0.00420894 -0.05025965 -0.03011224  0.0338485 ]
 [ 3.95198169  3.95641502  0.          0.        ]]",[-0.63362521 -0.52275252],[ 1.00111008  3.05198383]
2,-0.238476841056,[ 1.20170961  2.7333467 ],-0.238476841056,"[ 1.03837723  1.45072307  0.22327223 -1.07140925 -0.25903502  0.30296125
  0.81230099  0.97175357  1.90341456 -0.23234819  0.        ]","[[ 0.08953006  0.06780815 -0.03011224  0.0338485 ]
 [ 4.57805916  7.83743033  0.          0.        ]]",[-0.63362521 -0.52275252],[ 1.00377059  2.75303483]
3,-0.228498784692,[ 0.84608113  2.47243213],-0.228498784692,"[ 1.00887478  1.4093921   0.41515133 -0.57659546 -0.25903487  0.30296108
  1.25026669  1.59902867  1.7742449   0.36983507  0.        ]","[[  0.21985974   0.26271255  -0.03011224   0.0338485 ]
 [  8.44211638  11.64033235   0.           0.        ]]",[-0.63362521 -0.52275252],[ 0.30855113  2.07344842]
4,-0.208800500632,[-1.22508853  1.05237674],-0.208800500632,"[ 0.91612992  1.27465777  0.69878463  0.06362696 -0.25903472  0.3029609
  1.61064259  2.21390818  1.38231921  1.11394214  0.        ]","[[  0.42060113   0.53292144  -0.03011224   0.0338485 ]
 [ 11.62163471  15.36811245   0.           0.        ]]",[-0.63362521 -0.52275252],[-0.87133265  1.00215828]
5,-0.179990720454,[-0.0497995   0.84023368],-0.179990720454,"[ 0.77824335  0.98825595  0.94542464  0.7358216  -0.25903458  0.30296072
  1.13622076  2.81702092  0.75685898  1.58442016  0.        ]","[[  0.6110366    0.87697064  -0.03011224   0.0338485 ]
 [  7.43595826  19.02460249   0.           0.        ]]",[-0.63362521 -0.52275252],[-0.6215359   0.30408219]
6,-0.14282963717,[-0.78013863 -1.58008308],-0.14282963717,"[ 0.64344814  0.52408573  1.11322167  1.22874469 -0.25903443  0.30296055
  1.0974299   3.30362814  0.08859025  1.57890206  0.        ]","[[  0.75631979   1.28706335  -0.03011224   0.0338485 ]
 [  7.09372892  21.97482708   0.           0.        ]]",[-0.63362521 -0.52275252],[-1.10635531 -1.20643878]
7,-0.10387863503,[-1.25816781 -1.15737132],-0.10387863503,"[ 0.52675838  0.0188059   1.22564356  1.31575615 -0.25903428  0.30296037
  0.73197626  2.57882032 -0.39131413  1.20595389  0.        ]","[[  0.86584802   1.682472    -0.03011224   0.0338485 ]
 [  3.86943997  17.5806583    0.           0.        ]]",[-0.63362521 -0.52275252],[-0.90178585 -1.28401065]
8,-0.0731182628182,[ 0.75527629 -0.51872334],-0.0731182628182,"[ 0.48476716 -0.36382703  1.26054131  1.10768828 -0.25903413  0.3029602
  0.27487267  1.86836368 -0.57016898  0.79100933  0.        ]","[[  0.90277697   1.99086983  -0.03011224   0.0338485 ]
 [ -0.16345348  13.27344583   0.           0.        ]]",[-0.63362521 -0.52275252],[-0.27215728 -0.7557835 ]
9,-0.0483235017879,[-1.63077365 -1.28252922],-0.0483235017879,"[ 0.45354977 -0.63119578  1.28484145  0.78680016 -0.25903399  0.30296002
  0.61419822  1.48620056 -0.62356209  0.43392686  0.        ]","[[  0.92954523   2.23309231  -0.03011224   0.0338485 ]
 [  2.83032168  10.95654247   0.           0.        ]]",[-0.63362521 -0.52275252],[-1.07159233 -1.55287838]
10,-0.0303868102987,[-0.03502767 -0.29177093],-0.0303868102987,"[ 0.43419422 -0.79824614  1.2992459   0.47548041 -0.25903384  0.30295985
  0.15919206  0.79732249 -0.61201368  0.1740079   0.        ]","[[ 0.94587551  2.41031992 -0.03011224  0.0338485 ]
 [-1.18406407  6.78012187  0.          0.        ]]",[-0.63362521 -0.52275252],[-0.30588517 -0.73355168]
11,-0.0184630635215,[-0.30964956  0.22746996],-0.0184630635215,"[ 0.46353877 -0.89651577  1.27720712  0.22776736 -0.25903369  0.30295967
  0.14613796  0.58462141 -0.56508527  0.02098406  0.        ]","[[ 0.9210388   2.5329841  -0.03011224  0.0338485 ]
 [-1.29923579  5.49059299  0.          0.        ]]",[-0.63362521 -0.52275252],[-0.2954874  -0.74767822]
12,-0.00817156208813,[-1.15119704 -1.12109532],-0.00817156208813,"[ 0.50739776 -0.975896    1.24205154 -0.03092504 -0.25903355  0.30295949
  0.01010686  0.71525039 -0.50632681 -0.11559441  0.        ]","[[ 0.88301255  2.650742   -0.03011224  0.0338485 ]
 [-2.49939714  6.28255351  0.          0.        ]]",[-0.63362521 -0.52275252],[-0.10453804 -0.71373802]
13,-0.0044309885552,[-0.57629133  0.63117373],-0.0044309885552,"[ 0.60489391 -1.02328253  1.15312873 -0.22755779 -0.2590334   0.30295932
 -0.4330446   0.04159965 -0.44332379 -0.18659931  0.        ]","[[ 0.79379664  2.73541607 -0.03011224  0.0338485 ]
 [-6.40918934  2.19845008  0.          0.        ]]",[-0.63362521 -0.52275252],[ 0.65513551  0.12746882]
14,-0.00871549630077,[ 1.16415654 -0.47355789],-0.00871549630077,"[ 0.74979412 -1.05545826  0.98518947 -0.39229603 -0.25903325  0.30295914
 -0.6772731   0.44662237 -0.37664225 -0.22353006  0.        ]","[[ 0.64399357  2.80402206 -0.03011224  0.0338485 ]
 [-8.56394644  4.65395842  0.          0.        ]]",[-0.63362521 -0.52275252],[ 1.01600432  0.17417324]
15,-0.0159192000379,[ 0.66112907 -0.098571  ],-0.0159192000379,"[ 0.85419291 -1.08351342  0.82324108 -0.57282893 -0.25903311  0.30295897
 -0.20931503  0.12215274 -0.32387533 -0.2865604   0.        ]","[[ 0.51413854  2.8773641  -0.03011224  0.0338485 ]
 [-4.43529949  2.68681733  0.          0.        ]]",[-0.63362521 -0.52275252],[ 0.42343557 -0.15720451]
16,-0.0207129823857,[ 0.22043297  0.05979906],-0.0207129823857,"[ 0.89624879 -1.09861009  0.74197342 -0.69624517 -0.25903296  0.30295879
  0.09732124  0.04901646 -0.29908966 -0.33996204  0.        ]","[[ 0.45257621  2.92665164 -0.03011224  0.0338485 ]
 [-1.72994435  2.24341908  0.          0.        ]]",[-0.63362521 -0.52275252],[ 0.03006072 -0.51666516]
17,-0.0253579005858,[-0.13079748 -0.39239708],-0.0253579005858,"[ 0.91220882 -1.11010956  0.70757128 -0.8146701  -0.25903281  0.30295861
  0.20012536  0.08075194 -0.28284377 -0.39902496  0.        ]","[[ 0.42707762  2.97345044 -0.03011224  0.0338485 ]
 [-0.82293565  2.43581979  0.          0.        ]]",[-0.63362521 -0.52275252],[-0.13059659 -0.69310421]
18,-0.0283522285665,[-1.38538112 -0.38655056],-0.0283522285665,"[ 0.92498557 -1.11633021  0.67826206 -0.89563989 -0.25903266  0.30295844
  0.14326593 -0.21670007 -0.27195119 -0.43610167  0.        ]","[[ 0.40558573  3.00522886 -0.03011224  0.0338485 ]
 [-1.32458715  0.63247847  0.          0.        ]]",[-0.63362521 -0.52275252],[-0.04399237 -0.51088721]
19,-0.0279029498817,[ 0.77636895 -0.94145166],-0.0279029498817,"[ 0.96027736 -1.11581278  0.58668171 -0.88820882 -0.25903252  0.30295826
 -0.30253251 -0.47187042 -0.26520996 -0.42269685  0.        ]","[[ 0.33963156  3.002319   -0.03011224  0.0338485 ]
 [-5.25772107 -0.91452529  0.          0.        ]]",[-0.63362521 -0.52275252],[ 0.61503518  0.16896036]
20,-0.0228367440014,[ 0.84532206  0.0548679 ],-0.0228367440014,"[ 0.99241062 -1.10389884  0.48242732 -0.74711979 -0.25903237  0.30295809
  0.05765455 -1.08373787 -0.26259533 -0.33196165  0.        ]","[[ 0.2663611   2.94680957 -0.03011224  0.0338485 ]
 [-2.07991088 -4.62405362  0.          0.        ]]",[-0.63362521 -0.52275252],[ 0.23198214  0.53663945]
21,-0.0176848650126,[-0.63856826  0.81728622],-0.0176848650126,"[ 0.99531138 -1.07653673  0.47147628 -0.52335252 -0.25903222  0.30295791
  0.44167179 -1.0327798  -0.26307188 -0.203866    0.        ]","[[ 0.25875645  2.85742815 -0.03011224  0.0338485 ]
 [ 1.30814539 -4.315121    0.          0.        ]]",[-0.63362521 -0.52275252],[-0.16050853  0.42583299]
22,-0.0171057855947,[-0.08832474  1.49874344],-0.0171057855947,"[ 0.99510783 -1.05563133  0.47225106 -0.39333435 -0.25903208  0.30295774
  0.15218918 -0.48492128 -0.26030204 -0.12887044  0.        ]","[[ 0.25929419  2.80445098 -0.03011224  0.0338485 ]
 [-1.24585967 -0.99366366  0.          0.        ]]",[-0.63362521 -0.52275252],[ 0.29455698  0.18756783]
23,-0.0179221856577,[ 0.28582345 -0.43357466],-0.0179221856577,"[ 1.00516254 -1.06394781  0.43149383 -0.4422839  -0.25903193  0.30295756
  0.11536334  0.17143615 -0.25289412 -0.1526362   0.        ]","[[ 0.23111717  2.82450279 -0.03011224  0.0338485 ]
 [-1.57076065  2.98558246  0.          0.        ]]",[-0.63362521 -0.52275252],[ 0.33356693 -0.07390183]
24,-0.0190331709824,[-0.93225548  0.17647699],-0.0190331709824,"[ 1.01153292 -1.07972933  0.40276276 -0.54557363 -0.25903178  0.30295738
  0.24714592 -0.12148094 -0.25043851 -0.2088646   0.        ]","[[ 0.21136742  2.8663968  -0.03011224  0.0338485 ]
 [-0.40808816  1.20973804  0.          0.        ]]",[-0.63362521 -0.52275252],[ 0.10788725 -0.17197984]
25,-0.0209710559134,[ 0.51137984  0.64668655],-0.0209710559134,"[ 1.02397926 -1.08999333  0.33669395 -0.62271568 -0.25903164  0.30295721
 -0.17029481 -0.01019583 -0.24108435 -0.24598647  0.        ]","[[ 0.16625365  2.89736087 -0.03011224  0.0338485 ]
 [-4.09101964  1.88441663  0.          0.        ]]",[-0.63362521 -0.52275252],[ 0.67597258  0.21760556]
26,-0.024893929136,[ 0.11477596 -0.4536457 ],-0.024893929136,"[ 1.0360657  -1.1071626   0.24704257 -0.78145179 -0.25903149  0.30295703
  0.06838316  0.40602399 -0.23322852 -0.32681308  0.        ]","[[ 0.10556108  2.96036707 -0.03011224  0.0338485 ]
 [-1.98524981  4.4077967   0.          0.        ]]",[-0.63362521 -0.52275252],[ 0.30210784 -0.13542652]
27,-0.0289136335279,[ 0.67416629 -0.36217725],-0.0289136335279,"[ 1.04056399 -1.11929749  0.19542676 -0.94211674 -0.25903134  0.30295686
  0.12432892 -0.13337172 -0.23176023 -0.40248072  0.        ]","[[ 0.07080877  3.02340655 -0.03011224  0.0338485 ]
 [-1.49166024  1.13765172  0.          0.        ]]",[-0.63362521 -0.52275252],[ 0.26671353 -0.07917511]
28,-0.0294473150416,[-0.79021333  0.15824636],-0.0294473150416,"[ 1.040844   -1.11938192  0.19132596 -0.9435616  -0.2590312   0.30295668
  0.43020897 -0.44698263 -0.23180623 -0.41200163  0.        ]","[[ 0.06805204  3.02397132 -0.03011224  0.0338485 ]
 [ 1.20700844 -0.76364889  0.          0.        ]]",[-0.63362521 -0.52275252],[-0.17837197 -0.2781629 ]
29,-0.0285792730751,[ 1.03713204  0.57576801],-0.0285792730751,"[ 1.04155052 -1.11750602  0.18017971 -0.91340935 -0.25903105  0.3029565
  0.0728816  -0.39175108 -0.23011019 -0.39431441  0.        ]","[[ 0.0605615   3.01218542 -0.03011224  0.0338485 ]
 [-1.94555682 -0.42880342  0.          0.        ]]",[-0.63362521 -0.52275252],[ 0.3901639   0.07695222]
30,-0.028161280548,[-0.12492853 -0.29758601],-0.028161280548,"[ 1.04144151 -1.11652324  0.18196602 -0.8986806  -0.2590309   0.30295633
  0.52601379 -0.35099797 -0.22982581 -0.38625165  0.        ]","[[ 0.06176178  3.00642195 -0.03011224  0.0338485 ]
 [ 2.05225987 -0.18173495  0.          0.        ]]",[-0.63362521 -0.52275252],[-0.34265861 -0.38773459]
31,-0.0269407001839,[-0.65891465 -0.13267597],-0.0269407001839,"[ 1.03727027 -1.11368699  0.23498918 -0.85933055 -0.25903075  0.30295615
  0.46533902 -0.54476688 -0.23398437 -0.36913956  0.        ]","[[ 0.09743606  2.99100065 -0.03011224  0.0338485 ]
 [ 1.51695225 -1.35647987  0.          0.        ]]",[-0.63362521 -0.52275252],[-0.23494355 -0.22101974]
32,-0.0248451293128,[ 0.27266224  0.39280294],-0.0248451293128,"[ 1.03670583 -1.10680448  0.24071977 -0.77764707 -0.25903061  0.30295598
  0.16623497 -0.62700828 -0.23231576 -0.32415114  0.        ]","[[ 0.10129835  2.95886843 -0.03011224  0.0338485 ]
 [-1.12192648 -1.85507896  0.          0.        ]]",[-0.63362521 -0.52275252],[ 0.27702305  0.17466828]
33,-0.0238720348194,[-0.41733397 -0.17647176],-0.0238720348194,"[ 1.03830228 -1.10156401  0.22382299 -0.72419707 -0.25903046  0.3029558
  0.29112102 -0.36439606 -0.22783817 -0.29283982  0.        ]","[[ 0.08991478  2.93774101 -0.03011224  0.0338485 ]
 [-0.02010414 -0.26296953  0.          0.        ]]",[-0.63362521 -0.52275252],[ 0.08606035 -0.04919064]
34,-0.0236210797189,[ 0.73737954 -0.09322236],-0.0236210797189,"[ 1.04033115 -1.09827502  0.19859262 -0.69338977 -0.25903031  0.30295562
  0.10387854 -0.47880516 -0.22246579 -0.27359458  0.        ]","[[ 0.07293797  2.92552233 -0.03011224  0.0338485 ]
 [-1.67207016 -0.95658677  0.          0.        ]]",[-0.63362521 -0.52275252],[ 0.42229292  0.2276327 ]
35,-0.0230291026079,[-0.43815428  0.78387931],-0.0230291026079,"[ 1.04072829 -1.09168354  0.19291478 -0.63651877 -0.25903017  0.30295545
  0.43853775 -0.53654691 -0.21776314 -0.24140921  0.        ]","[[ 0.06912065  2.90287827 -0.03011224  0.0338485 ]
 [ 1.2804968  -1.30665335  0.          0.        ]]",[-0.63362521 -0.52275252],[-0.0778458   0.02416867]
36,-0.0229986766766,[ 0.36429651 -0.27832879],-0.0229986766766,"[ 1.03987342 -1.09327286  0.20473943 -0.64972106 -0.25903002  0.30295527
  0.23905084 -0.02032509 -0.22064076 -0.24967093  0.        ]","[[ 0.07707202  2.90814589 -0.03011224  0.0338485 ]
 [-0.47949451  1.82298493  0.          0.        ]]",[-0.63362521 -0.52275252],[ 0.17207624 -0.05113101]
37,-0.0237816681766,[-0.02415579  0.69800429],-0.0237816681766,"[ 1.03929081 -1.10035547  0.2121363  -0.71270285 -0.25902987  0.3029551
  0.4036048  -0.20805034 -0.22557668 -0.2854667   0.        ]","[[ 0.08204846  2.93318665 -0.03011224  0.0338485 ]
 [ 0.97230014  0.68488467  0.          0.        ]]",[-0.63362521 -0.52275252],[-0.09981541 -0.22335219]
38,-0.0258095206281,[ 0.02550625  0.24915108],-0.0258095206281,"[ 1.03684031 -1.11030382  0.23930176 -0.81727066 -0.25902973  0.30295492
  0.3905963   0.2455922  -0.23338507 -0.34609587  0.        ]","[[ 0.10034295  2.97447844 -0.03011224  0.0338485 ]
 [ 0.85753362  3.43512884  0.          0.        ]]",[-0.63362521 -0.52275252],[-0.17668116 -0.44996768]
39,-0.030104615035,[-0.26355276 -0.41593932],-0.030104615035,"[ 1.03395264 -1.12012933  0.2659709  -0.95671815 -0.25902958  0.30295475
  0.40010602 -0.18915947 -0.23766174 -0.43015252  0.        ]","[[ 0.11833601  3.02911164 -0.03011224  0.0338485 ]
 [ 0.94143608  0.79941356  0.          0.        ]]",[-0.63362521 -0.52275252],[-0.24654098 -0.44193703]
40,-0.0294621448622,[ 1.17559059 -0.97412225],-0.0294621448622,"[ 1.03248453 -1.11941478  0.2780638  -0.94437602 -0.25902943  0.30295457
  0.27970984 -0.50181338 -0.23863355 -0.42033876  0.        ]","[[ 0.12650721  3.02429259 -0.03011224  0.0338485 ]
 [-0.12076745 -1.09607533  0.          0.        ]]",[-0.63362521 -0.52275252],[ 0.00358324 -0.15719527]
41,-0.0246840079553,[-0.1389495   0.67325632],-0.0246840079553,"[ 1.02454418 -1.1079549   0.33314122 -0.79037865 -0.25902928  0.30295439
  0.728729   -1.13442396 -0.24385378 -0.33995549  0.        ]","[[ 0.16383901  2.96389076 -0.03011224  0.0338485 ]
 [ 3.84074343 -4.93132934  0.          0.        ]]",[-0.63362521 -0.52275252],[-0.66120231  0.21401146]
42,-0.0196074269972,[-0.2987487  -0.30991527],-0.0196074269972,"[ 1.00403716 -1.08859473  0.43621576 -0.61177666 -0.25902914  0.30295422
  0.65776617 -0.67860843 -0.2574919  -0.25021649  0.        ]","[[ 0.23437233  2.89299038 -0.03011224  0.0338485 ]
 [ 3.21467307 -2.16791877  0.          0.        ]]",[-0.63362521 -0.52275252],[-0.53543818 -0.26063949]
43,-0.0164782813669,[-0.67508952 -0.10070154],-0.0164782813669,"[ 0.98444594 -1.06914653  0.51082708 -0.47478634 -0.25902899  0.30295404
  0.51647957 -0.87394901 -0.27046518 -0.18078461  0.        ]","[[ 0.28615913  2.83774981 -0.03011224  0.0338485 ]
 [ 1.96816503 -3.35218944  0.          0.        ]]",[-0.63362521 -0.52275252],[-0.27753422  0.1751377 ]
44,-0.0164762336762,[-0.10860008  1.31627744],-0.0164762336762,"[ 0.97929674 -1.03893382  0.52818285 -0.30371649 -0.25902884  0.30295387
  0.20911085 -0.92878644 -0.2709627  -0.08323636  0.        ]","[[ 0.29831416  2.76737029 -0.03011224  0.0338485 ]
 [-0.74361532 -3.68465065  0.          0.        ]]",[-0.63362521 -0.52275252],[ 0.22756025  0.67809725]
