timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.31008491 -0.21791579],"[[ 0.00053063 -0.02800731  0.14619421  0.04168446]
 [-0.00080694 -0.00363107  0.          0.        ]]",[ 1.18573005 -4.0086955 ],"[ 1.03576418  2.41914289 -0.11184888  0.63929757  1.24790403  0.35334643
 -0.84199504  0.36370175  0.25809931 -0.31399401  0.        ]",-0.244558,-0.0778447870895,[ 0.78926116 -3.60210752]
1,[-0.31008491 -0.21791579],"[[ 0.04022061 -0.06782249  0.14619421  0.04168446]
 [ 3.95662377 -3.96467942  0.          0.        ]]",[ 0.80393487 -3.00122876],"[ 1.0346359   2.41632821 -0.05012763  0.49095158  1.24790035  0.35334597
 -0.7282417  -0.14903563  0.25750903 -0.27998868  0.        ]",-0.362514,-0.0755784540727,[ 0.45873088 -3.61447668]
2,[-0.31008491 -0.21791579],"[[ 0.15049174 -0.18606833  0.14619421  0.04168446]
 [ 7.06015823 -7.84695495  0.          0.        ]]",[ 0.38543523 -2.2626772 ],"[ 1.02002308  2.39437469  0.12053426  0.05365408  1.24789667  0.35334551
 -0.63903288 -0.65157595  0.24968148 -0.19313329  0.        ]",-0.280979,-0.069686641272,[-0.05741334 -3.6342783 ]
3,[-0.31008491 -0.21791579],"[[  0.30560726  -0.38118127   0.14619421   0.04168446]
 [  8.44677965 -11.65164163   0.           0.        ]]",[ 0.29234062 -4.39896997],"[ 0.97124463  2.31443801  0.3553351  -0.64400359  1.24789299  0.35334505
 -0.59917496 -1.14407112  0.22244337 -0.10104492  0.        ]",0.469235,-0.0621321938728,[-0.60253036 -3.62601995]
4,[-0.31008491 -0.21791579],"[[  0.48448501  -0.65162959   0.14619421   0.04168446]
 [  9.43768982 -15.38073629   0.           0.        ]]",[-1.25005986 -3.93030848],"[ 0.8755234   2.11925032  0.61180757 -1.5186451   1.24788931  0.35334459
 -0.57069139 -1.62677731  0.16361716 -0.04518123  0.        ]",0.833849,-0.0525057073646,[-1.07737207 -3.52984238]
5,[-0.31008491 -0.21791579],"[[  0.63168197  -0.99590134   0.14619421   0.04168446]
 [  5.2955648  -19.03432743   0.           0.        ]]",[-2.62402652 -3.91510133],"[ 0.7670909   1.75075197  0.80585684 -2.38693414  1.24788563  0.35334413
 -0.68975144 -2.09970279  0.06571019 -0.11749271  0.        ]",1.29779,-0.0432049259407,[-1.15263462 -3.30186749]
6,[-0.31008491 -0.21791579],"[[  0.69684119  -1.41252336   0.14619421   0.04168446]
 [  1.23348778 -22.6160145    0.           0.        ]]",[-1.92785319 -3.65967475],"[ 0.71117218  1.18466084  0.88564589 -2.93993301  1.24788195  0.35334368
 -0.8065103  -2.56330955 -0.10718531 -0.35719895  0.        ]",1.39715,-0.0514784502567,[-1.02023149 -3.09055185]
7,[-0.31008491 -0.21791579],"[[  0.68153967  -1.90007214   0.14619421   0.04168446]
 [ -2.7508175  -26.12722922   0.           0.        ]]",[-0.61296303 -2.858217  ],"[ 0.72471841  0.47953746  0.86727506 -2.78612515  1.24787828  0.35334322
 -0.9210333  -3.01777835 -0.4275931  -0.63468709  0.        ]",1.11229,-0.0874491313809,[-0.75454605 -2.96686745]
8,[-0.31008491 -0.21791579],"[[  0.60269228  -2.45715261   0.14619421   0.04168446]
 [ -5.12611986 -29.56937798   0.           0.        ]]",[-0.67227347 -3.5598593 ],"[ 0.79044551 -0.1822561   0.76907861 -1.6146652   1.2478746   0.35334276
 -0.98930681 -3.46328614 -0.89287902 -0.70931006  0.        ]",0.963209,-0.130986207954,[-0.52603769 -3.05269814]
9,[-0.31008491 -0.21791579],"[[  0.47445716  -3.08239417   0.14619421   0.04168446]
 [ -7.6881732  -26.84524839   0.           0.        ]]",[-1.29273289 -4.00786702],"[ 0.88195712 -0.50987955  0.5979603   0.52307162  1.24787092  0.3533423
 -1.06294794 -3.11063471 -1.30967554 -0.37681384  0.        ]",0.609993,-0.160581390112,[-0.27004063 -3.41349316]
10,[-0.31008491 -0.21791579],"[[  0.28251206  -3.25836222   0.14619421   0.04168446]
 [-11.4939982    1.39547993   0.           0.        ]]",[ 0.93017682 -4.95597293],"[ 0.98055364 -0.50246342  0.32094311  1.1783627   1.24786724  0.35334184
 -1.17233946  0.5448265  -1.36000873 -0.19304375  0.        ]",0.187938,-0.161789234907,[ 0.69545293 -3.54301119]
