timestep,obs,logstd_action_dist,actions,rewards,original_rewards,human_obs,avg_action_dist
0,"[ 0.91165253  2.53457093 -0.33413067  1.10133859  0.18280841  1.23749021
 -0.76890855  0.36737702  1.17086964 -1.2008174   0.        ]",[-0.47769278 -0.23765452],[ 1.27701161 -4.40798295],-2.28258,-0.239687130886,"[[-0.0569956   0.08070088  0.02100676  0.14457432]
 [-0.00031377  0.00184965  0.          0.        ]]",[ 1.99179292 -4.31566715]
1,"[ 0.9137758   2.53820831 -0.26835844  0.94336208  0.18280827  1.23748794
 -0.65861516 -0.13843824  1.17195106 -1.16613341  0.        ]",[-0.47769278 -0.23765452],[ 1.04005668 -5.15367762],-2.06091,-0.237382562089,"[[-0.01729585  0.04099423  0.02100676  0.14457432]
 [ 3.95710597 -3.95930847  0.          0.        ]]",[ 1.56156945 -4.32908583]
2,"[ 0.90668005  2.5349671  -0.072896    0.47277239  0.18280814  1.23748566
 -0.55050415 -0.63423486  1.16833368 -1.06307744  0.        ]",[-0.47769278 -0.23765452],[-0.62460813 -4.81861259],-1.90272,-0.230039053696,"[[ 0.10076661 -0.07714844  0.02100676  0.14457432]
 [ 7.83622361 -7.8420098   0.          0.        ]]",[ 0.71773386 -4.366014  ]
3,"[ 0.87565827  2.48379647  0.14017313 -0.29149878  0.182808    1.23748339
 -0.62364552 -1.11989066  1.15205511 -1.01276233  0.        ]",[-0.47769278 -0.23765452],[-0.27169644 -3.49626446],-1.9224,-0.224952873791,"[[  0.23115981  -0.27214828   0.02100676   0.14457432]
 [  5.21181315 -11.6453037    0.           0.        ]]",[ 0.30324554 -4.28566313]
4,"[ 0.8391956   2.32234858  0.28751303 -1.27786902  0.18280786  1.23748111
 -0.65643816 -1.5960015   1.11485214 -1.1045403   0.        ]",[-0.47769278 -0.23765452],[-0.43415665 -5.75869936],-0.945538,-0.226939420393,"[[  0.32359099  -0.5424642    0.02100676   0.14457432]
 [  4.03515563 -15.37386738   0.           0.        ]]",[ 0.01061463 -4.1514864 ]
5,"[ 0.80781049  1.98301157  0.38493778 -2.3090285   0.18280772  1.23747884
 -0.70651406 -2.06266174  1.0190341  -1.30582164  0.        ]",[-0.47769278 -0.23765452],[ 0.04184525 -3.90179737],-0.940773,-0.231874251555,"[[  0.38626803  -0.88660902   0.02100676   0.14457432]
 [  2.23835441 -19.02845489   0.           0.        ]]",[-0.03999436 -3.90878916]
6,"[ 0.78144333  1.42719006  0.4548738  -3.06421576  0.18280759  1.23747656
 -0.7031422  -2.52015817  0.81700439 -1.54334601  0.        ]",[-0.47769278 -0.23765452],[-0.28188012 -4.70684922],-0.433053,-0.233849042715,"[[  4.32250504e-01  -1.30312632e+00   2.10067577e-02   1.44574321e-01]
 [  2.35931284e+00  -2.26113306e+01   0.00000000e+00   0.00000000e+00]]",[-0.10580206 -3.65846348]
7,"[ 0.75918362  0.69754211  0.50788778 -3.11024534  0.18280745  1.23747429
 -0.73557637 -2.96855764  0.48330692 -1.71217341  0.        ]",[-0.47769278 -0.23765452],[ 0.47257027 -2.69601161],-0.686037,-0.227064156851,"[[  4.67762645e-01  -1.79058681e+00   2.10067577e-02   1.44574321e-01]
 [  1.19551375e+00  -2.61230397e+01   0.00000000e+00   0.00000000e+00]]",[ 0.07566857 -3.47953796]
8,"[ 0.73047202 -0.03280008  0.56997036 -2.06277262  0.18280731  1.23747201
 -0.68416318 -3.4081092   0.05722943 -1.67486412  0.        ]",[-0.47769278 -0.23765452],[-0.11644847 -3.51190621],-0.494159,-0.205268820697,"[[  5.10180838e-01  -2.34758788e+00   2.10067577e-02   1.44574321e-01]
 [  3.04024226e+00  -2.95655567e+01   0.00000000e+00   0.00000000e+00]]",[ 0.29926229 -3.52515459]
9,"[ 0.68945387 -0.46345016  0.6490626   0.11017978  0.18280718  1.23746973
 -0.69873361 -3.83892676 -0.35066226 -1.34984258  0.        ]",[-0.47769278 -0.23765452],[ 0.86242642 -4.48932426],0.147165,-0.165706225234,"[[  5.65737966e-01  -2.97275381e+00   2.10067577e-02   1.44574321e-01]
 [  2.51741424e+00  -3.29398000e+01   0.00000000e+00   0.00000000e+00]]",[ 0.57153666 -3.95322132]
