timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.23256157 -0.21245119],"[[ 0.00240406  0.03877582  0.13869296  0.18803331]
 [ 0.00314206  0.00210911  0.          0.        ]]",[ 0.96176844 -1.621236  ],"[ 1.08118026  2.35630057 -0.08254972  0.88502661  1.19784169  1.62742756
 -0.84707189  0.36580499  0.29314765 -1.50488272  0.        ]",-1.75872,-0.196614349949,[ 1.09586477 -2.89941359]
1,[-0.23256157 -0.21245119],"[[  4.06547991e-02  -9.25108661e-04   1.38692961e-01   1.88033315e-01]
 [  3.80925334e+00  -3.95899616e+00   0.00000000e+00   0.00000000e+00]]",[ 1.29933803 -3.09515002],"[ 1.08003665  2.35736258 -0.02405164  0.74046408  1.1978376   1.62741924
 -0.73530998 -0.15267361  0.29259877 -1.47380646  0.        ]",-1.31634,-0.19317664245,[ 0.87393212 -2.9189353 ]
2,[-0.23256157 -0.21245119],"[[ 0.15578961 -0.11906156  0.13869296  0.18803331]
 [ 7.69130267 -7.84169755  0.          0.        ]]",[ 0.74766419 -3.20285646],"[ 1.06440577  2.34712988  0.15113348  0.31121777  1.19783351  1.62741092
 -0.62131858 -0.66088932  0.28452929 -1.37946798  0.        ]",-1.07987,-0.18245136719,[ 0.49445748 -2.96321559]
3,[-0.23256157 -0.21245119],"[[  0.33777997  -0.31407593   0.13869296   0.18803331]
 [ 10.49840385 -11.64703079   0.           0.        ]]",[-0.19227536 -0.11936371],"[ 1.00291822  2.28675984  0.4207313  -0.38136218  1.19782942  1.6274026
 -0.53889148 -1.15897603  0.25273192 -1.24212192  0.        ]",-1.38802,-0.165825818418,[ 0.0231998  -2.99567127]
4,[-0.23256157 -0.21245119],"[[  0.53803535  -0.54943973   0.13869296   0.18803331]
 [  9.53035703 -11.8885389    0.           0.        ]]",[-0.48624516 -2.70001578],"[ 0.88551063  2.1450004   0.6977075  -1.15812618  1.19782534  1.62739428
 -0.56731563 -1.19058364  0.19158313 -1.12128901  0.        ]",-0.515422,-0.149412609986,[-0.22838295 -2.95070314]
5,[-0.23256157 -0.21245119],"[[  0.70746441  -0.82456749   0.13869296   0.18803331]
 [  7.41948555 -15.61184875   0.           0.        ]]",[-1.45234439 -3.20916797],"[ 0.74881289  1.89408557  0.90798788 -1.93041177  1.19782125  1.62738596
 -0.62929695 -1.67792839  0.1147945  -1.10304242  0.        ]",0.00628328,-0.143644388116,[-0.40396047 -2.86029291]
6,[-0.23256157 -0.21245119],"[[  0.81469194  -1.17341752   0.13869296   0.18803331]
 [  3.31664421 -19.26106257   0.           0.        ]]",[-0.22102511 -2.56474493],"[ 0.64644042  1.47307146  1.02670477 -2.61446459  1.19781716  1.62737763
 -0.74976915 -2.15556522  0.01613662 -1.25575731  0.        ]",0.0169616,-0.157376753541,[-0.299155   -2.77855659]
7,[-0.23256157 -0.21245119],"[[  0.87158674  -1.59453808   0.13869296   0.18803331]
 [  2.37574644 -22.83908648   0.           0.        ]]",[-0.01125332 -3.03460007],"[ 0.58760937  0.88059934  1.08458379 -2.89719803  1.19781307  1.62736931
 -0.77739549 -2.62386951 -0.16295157 -1.51339734  0.        ]",0.252067,-0.184452798714,[-0.0741502  -2.70018959]
8,[-0.23256157 -0.21245119],"[[  0.91816805  -2.08651055   0.13869296   0.18803331]
 [  2.28256509 -26.34647381   0.           0.        ]]",[ 0.08137144 -2.04034854],"[ 0.53728625  0.20349456  1.1291571  -2.42451646  1.19780899  1.62736099
 -0.78012986 -3.08290788 -0.474199   -1.72986558  0.        ]",0.00493038,-0.212674557985,[ 0.15306753 -2.66325617]
9,[-0.23256157 -0.21245119],"[[  0.96657862  -2.64793432   0.13869296   0.18803331]
 [  2.55764354 -29.78444317   0.           0.        ]]",[-0.63560546 -1.96107366],"[ 0.4830552  -0.35537661  1.17268528 -0.98193683  1.1978049   1.62735267
 -0.77205085 -3.53283338 -0.90192323 -1.77457457  0.        ]",-0.152634,-0.234718973867,[ 0.28402442 -2.70809317]
