timestep,obs,logstd_action_dist,actions,rewards,original_rewards,human_obs,avg_action_dist
0,"[ 0.93881183  2.50518325 -0.35450998  1.05273679  1.23798663  1.12511617
 -0.79072367  0.36682723  0.26952366 -1.16193522  0.        ]",[-0.41578934 -0.22296733],[ 1.12954112 -3.81944521],-1.47108,-0.158170395104,"[[-0.09440581  0.07226378  0.14399762  0.13209522]
 [ 0.00197903  0.00372045  0.          0.        ]]",[ 2.12421894 -4.32125139]
1,"[ 0.94302229  2.50828711 -0.29006132  0.89760798  1.23798403  1.12511406
 -0.67935875 -0.14055059  0.27169129 -1.12738548  0.        ]",[-0.41578934 -0.22296733],[ 2.31092578 -3.7984641 ],-1.43073,-0.154691741895,"[[-0.05466066  0.03259418  0.14399762  0.13209522]
 [ 3.95935317 -3.95747496  0.          0.        ]]",[ 1.61871827 -4.3544116 ]
2,"[ 0.94228284  2.50358653 -0.09811337  0.43551886  1.23798144  1.12511195
 -0.57019741 -0.63787858  0.27131276 -1.02466169  0.        ]",[-0.41578934 -0.22296733],[ 1.28522916 -3.9199498 ],-1.21054,-0.144073924359,"[[ 0.06344631 -0.08551218  0.14399762  0.13209522]
 [ 7.8384278  -7.84021115  0.          0.        ]]",[ 0.76355922 -4.37163401]
3,"[ 0.89790621  2.45041382  0.21426748 -0.31414188  1.23797884  1.12510984
 -0.46319369 -1.12534442  0.24848086 -0.85755559  0.        ]",[-0.41578934 -0.22296733],[-2.31314171 -3.75040895],-0.691606,-0.1257092598,"[[  0.2583653   -0.28050106   0.14399762   0.13209522]
 [ 11.6408336  -11.64596062   0.           0.        ]]",[-0.37545121 -4.37113523]
4,"[ 0.80395379  2.28712779  0.50492885 -1.27964851  1.23797624  1.12510773
 -0.5809572  -1.60276222  0.19617506 -0.77787244  0.        ]",[-0.41578934 -0.22296733],[-0.58139582 -3.22998777],-0.511168,-0.114222941314,"[[  0.44919548  -0.55081746   0.14399762   0.13209522]
 [  7.45603741 -15.37328448   0.           0.        ]]",[-0.72214806 -4.22049809]
5,"[ 0.71722644  1.94722285  0.6814659  -2.28526872  1.23797365  1.12510561
 -0.64980915 -2.07082204  0.11452015 -0.88849458  0.        ]",[-0.41578934 -0.22296733],[-1.32923073 -4.28582911],-0.00730467,-0.120965725484,"[[  0.57376937  -0.89494767   0.14399762   0.13209522]
 [  5.00932964 -19.02758757   0.           0.        ]]",[-0.83916283 -3.99698687]
6,"[ 0.66917678  1.39342673  0.76110912 -3.01512028  1.23797105  1.1251035
 -0.76395296 -2.52958117 -0.04725411 -1.14423358  0.        ]",[-0.41578934 -0.22296733],[-0.86486604 -3.94973722],0.132483,-0.143661257476,"[[  0.63326305  -1.31143557   0.14399762   0.13209522]
 [  0.95315254 -22.6093383    0.           0.        ]]",[-0.55836535 -3.71809292]
7,"[ 0.68207965  0.66941326  0.74069562 -3.04467503  1.23796845  1.12510139
 -0.86086149 -2.97931289 -0.36184882 -1.44009325  0.        ]",[-0.41578934 -0.22296733],[ 0.80365023 -2.91870592],-0.0229827,-0.177133977038,"[[  0.61777852  -1.79885234   0.14399762   0.13209522]
 [ -2.49057039 -26.1206951    0.           0.        ]]",[-0.06557441 -3.51743841]
8,"[ 0.69627055 -0.0519023   0.71744799 -2.00014403  1.23796586  1.12509928
 -0.77003213 -3.42023181 -0.80851558 -1.50806544  0.        ]",[-0.41578934 -0.22296733],[-0.94575976 -2.83103119],-0.168525,-0.201071049218,"[[  0.6003488   -2.35580818   0.14399762   0.13209522]
 [  0.73704627 -29.56336118   0.           0.        ]]",[-0.09167635 -3.6343298 ]
9,"[ 0.71444689 -0.4724461   0.68635094  0.14353633  1.23796326  1.12509717
 -0.87586833 -3.85238308 -1.24719186 -1.22778108  0.        ]",[-0.41578934 -0.22296733],[-0.07389839 -3.60599274],-0.345023,-0.207379013629,"[[  0.57735307  -2.98093107   0.14399762   0.13209522]
 [ -3.02392375 -32.93771932   0.           0.        ]]",[ 0.24903268 -4.11875677]
