timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.7256555  -0.20932865],"[[-0.02075368  0.07019686  0.06181091  0.10925655]
 [-0.00417274 -0.00484963  0.          0.        ]]",[ 2.54784326 -6.69628892],"[ 0.84457813  2.65513117 -0.43538487  1.13071339  0.53291839  0.93485158
 -0.73197771  0.37014905  0.88102315 -0.84703477  0.        ]",-3.10242,-0.182009910682,[ 2.90271568 -6.50104904]
1,[-0.7256555  -0.20932865],"[[ 0.01886965  0.03035756  0.06181091  0.10925655]
 [ 3.95332296 -3.96587546  0.          0.        ]]",[ 2.25904184 -6.26219124],"[ 0.84463445  2.65824515 -0.36532094  0.95958817  0.53291814  0.93485095
 -0.62916458 -0.13025202  0.88105914 -0.81239538  0.        ]",-3.14296,-0.179752086556,[ 2.23504519 -6.3813591 ]
2,[-0.7256555  -0.20932865],"[[ 0.13685722 -0.08791514  0.06181091  0.10925655]
 [ 7.83251721 -7.84844498  0.          0.        ]]",[ 1.24273345 -5.87307287],"[ 0.83066536  2.65293417 -0.15742883  0.45139351  0.5329179   0.93485033
 -0.52838571 -0.62074153  0.87427856 -0.7092276   0.        ]",-3.13289,-0.172589560056,[ 0.92239529 -6.24995279]
3,[-0.7256555  -0.20932865],"[[  0.33165918  -0.28306705   0.06181091   0.10925655]
 [ 11.63504114 -11.65403019   0.           0.        ]]",[-0.82710688 -5.52919133],"[ 0.76191134  2.59689695  0.17711335 -0.37226526  0.53291765  0.9348497
 -0.42959871 -1.10150505  0.84085969 -0.54310368  0.        ]",-2.85667,-0.159464744913,[-0.90217507 -6.04818439]
4,[-0.7256555  -0.20932865],"[[  0.52923717  -0.55354573   0.06181091   0.10925655]
 [  8.13434558 -15.38143522   0.           0.        ]]",[-1.85674508 -5.72833027],"[ 0.63655904  2.42609819  0.49411501 -1.43207341  0.53291741  0.93484908
 -0.52054404 -1.57239085  0.78061359 -0.45585591  0.        ]",-2.25025,-0.147845263887,[-1.54785383 -5.71214914]
5,[-0.7256555  -0.20932865],"[[  0.65062645  -0.89783155   0.06181091   0.10925655]
 [  4.01806332 -19.0350259    0.           0.        ]]",[-0.97579681 -5.85880587],"[ 0.53378086  2.07159299  0.67238345 -2.53430876  0.53291717  0.93484845
 -0.62748181 -2.03394958  0.70611235 -0.58046324  0.        ]",-1.84057,-0.145583338436,[-1.04202116 -5.29790497]
6,[-0.7256555  -0.20932865],"[[  0.69145089  -1.31446732   0.06181091   0.10925655]
 [  0.07710688 -22.61668023   0.           0.        ]]",[-0.60125485 -5.13272395],"[ 0.49512486  1.49503164  0.72891858 -3.33150021  0.53291692  0.93484783
 -0.72986468 -2.48641736  0.55903465 -0.88025267  0.        ]",-1.57535,-0.151524033878,[-0.33206069 -4.94977951]
7,[-0.7256555  -0.20932865],"[[  0.66908519  -1.80203154   0.06181091   0.10925655]
 [ -2.30610122 -26.12807912   0.           0.        ]]",[-0.51667115 -4.59383278],"[ 0.51654855  0.74238158  0.69817195 -3.35753641  0.53291668  0.9348472
 -0.7917783  -2.93000522  0.25327425 -1.20740165  0.        ]",-1.45274,-0.159900578682,[ 0.27332997 -4.8740778 ]
8,[-0.7256555  -0.20932865],"[[  0.60286898  -2.35912883   0.06181091   0.10925655]
 [ -4.30899271 -29.57020729   0.           0.        ]]",[ 0.60326775 -4.94896213],"[ 0.57643342 -0.00603857  0.60398734 -2.20332248  0.53291643  0.93484658
 -0.84381151 -3.36483611 -0.21322553 -1.32898606  0.        ]",-1.67963,-0.16066936689,[ 0.72954202 -5.38258696]
9,[-0.7256555  -0.20932865],"[[  0.54148055  -2.98438649   0.06181091   0.10925655]
 [ -1.83762503 -32.94429804   0.           0.        ]]",[ 1.24956164 -8.5146386 ],"[ 0.6270459  -0.4402637   0.51273463  0.15566899  0.53291619  0.93484595
 -0.77960665 -3.79106424 -0.6621593  -1.0456707   0.        ]",-0.726873,-0.141935709719,[ 0.93061697 -6.92099714]
10,[-0.7256555  -0.20932865],"[[ 0.5448335  -3.27518176  0.06181091  0.10925655]
 [ 2.1594652  -0.25156376  0.          0.        ]]",[-0.15623683 -6.11371277],"[ 0.62440647 -0.44559867  0.51781031  1.40190235  0.53291595  0.93484533
 -0.67576465  0.33898928 -0.79155883 -0.79313372  0.        ]",-1.86787,-0.126526868645,[ 0.65198487 -7.60216379]
11,[-0.7256555  -0.20932865],"[[ 0.58139078 -3.20511376  0.06181091  0.10925655]
 [ 1.49836711  4.96855322  0.          0.        ]]",[  6.04245460e-03  -8.01400464e+00],"[ 0.59468821 -0.4563461   0.5724721   1.10205965  0.5329157   0.9348447
 -0.69293916  0.99844305 -0.76346989 -0.86934979  0.        ]",-1.57732,-0.131288282607,[ 0.54128098 -7.43946552]
12,[-0.7256555  -0.20932865],"[[ 0.61130016 -3.11536654  0.06181091  0.10925655]
 [ 1.49257339  3.69264726  0.          0.        ]]",[ 0.7589584  -6.39502206],"[ 0.56910737 -0.45895432  0.61623165  0.71624908  0.53291546  0.93484408
 -0.69308931  0.83725805 -0.72148168 -0.94724598  0.        ]",-1.8714,-0.135748572047,[ 0.39865655 -7.15526056]
13,[-0.7256555  -0.20932865],"[[ 0.67100394 -3.05876981  0.06181091  0.10925655]
 [ 4.46789155  2.04624411  0.          0.        ]]",[-0.07799402 -7.59068702],"[ 0.5147321  -0.45414555  0.70082987  0.47321796  0.53291521  0.93484345
 -0.61579226  0.62926852 -0.68691105 -0.9920191   0.        ]",-1.66639,-0.137952316958,[-0.20116961 -6.99353361]
14,[-0.7256555  -0.20932865],"[[ 0.75637545 -3.02924832  0.06181091  0.10925655]
 [ 4.0705891   1.00669441  0.          0.        ]]",[-0.30694659 -6.97895042],"[ 0.42964751 -0.44966084  0.81491943  0.34685323  0.53291497  0.93484283
 -0.6261136   0.49794252 -0.66040879 -1.01180958  0.        ]",-1.79235,-0.138359745176,[-0.49948788 -6.88161325]
15,[-0.7256555  -0.20932865],"[[ 0.824785   -3.01517448  0.06181091  0.10925655]
 [ 2.77468764  0.4641786   0.          0.        ]]",[-0.77391566 -6.65248642],"[ 0.35561344 -0.44704717  0.89999885  0.28675218  0.53291473  0.9348422
 -0.65977992  0.42940658 -0.64340232 -1.01842642  0.        ]",-1.86919,-0.138060386754,[-0.58205259 -6.80190992]
16,[-0.7256555  -0.20932865],"[[ 0.84898381 -3.008809    0.06181091  0.10925655]
 [-0.34441073  0.20547104  0.          0.        ]]",[-0.16941468 -7.63134294],"[ 0.32824867 -0.44576427  0.92865901  0.25960349  0.53291448  0.93484158
 -0.74081163  0.396724   -0.63624749 -1.02094745  0.        ]",-1.63263,-0.137919745414,[-0.29522562 -6.7489624 ]
17,[-0.7256555  -0.20932865],"[[ 0.83543397 -3.00602762  0.06181091  0.10925655]
 [-1.00835952  0.08844209  0.          0.        ]]",[ 0.1367215  -4.92672057],"[ 0.34364467 -0.44518394  0.91270484  0.24774808  0.53291424  0.93484096
 -0.75806016  0.38193963 -0.6360461  -1.02303517  0.        ]",-2.16534,-0.138124866199,[-0.18106437 -6.74168825]
18,[-0.7256555  -0.20932865],"[[ 0.82089828 -3.00484153  0.06181091  0.10925655]
 [-0.44707971  0.03730069  0.          0.        ]]",[-0.66763752 -6.28988974],"[ 0.35995225 -0.44493272  0.89532235  0.24269376  0.53291399  0.93484033
 -0.74347806  0.3754788  -0.63706026 -1.02431219  0.        ]",-1.91859,-0.138313591125,[-0.20368326 -6.74798059]
19,[-0.7256555  -0.20932865],"[[ 0.78552368 -3.00434484  0.06181091  0.10925655]
 [-3.08160039  0.01548716  0.          0.        ]]",[ 0.31791981 -5.86792675],"[ 0.39871613 -0.44482676  0.85188569  0.24057737  0.53291375  0.93483971
 -0.81192072  0.37272295 -0.64115906 -1.02601729  0.        ]",-1.95653,-0.138718822809,[ 0.21502686 -6.73877859]
20,[-0.7256555  -0.20932865],"[[ 0.73713306 -3.00413968  0.06181091  0.10925655]
 [-1.76185942  0.00635592  0.          0.        ]]",[ 0.74781775 -7.08755352],"[ 0.4495518  -0.44478277  0.78994364  0.23970321  0.53291351  0.93483908
 -0.77763426  0.37156926 -0.64715483 -1.02780015  0.        ]",-1.6846,-0.139240459987,[ 0.23081756 -6.75632   ]
21,[-0.7256555  -0.20932865],"[[  7.31952760e-01  -3.00405584e+00   6.18109110e-02   1.09256551e-01]
 [  1.23384604e+00   2.58422045e-03   0.00000000e+00   0.00000000e+00]]",[-0.50862716 -6.75323518],"[ 0.45483929 -0.44476466  0.78314471  0.23934591  0.53291326  0.93483846
 -0.69980738  0.37109263 -0.64776352 -1.02800855  0.        ]",-1.82438,-0.139296501162,[-0.09841835 -6.7781682 ]
22,[-0.7256555  -0.20932865],"[[  7.36179476e-01  -3.00402193e+00   6.18109110e-02   1.09256551e-01]
 [ -8.04382031e-01   1.03814663e-03   0.00000000e+00   0.00000000e+00]]",[ 0.26893808 -6.95497643],"[ 0.45052704 -0.44475722  0.78869366  0.23920136  0.53291302  0.93483783
 -0.75275883  0.37089716 -0.64720122 -1.02789963  0.        ]",-1.73702,-0.13925354257,[ 0.12290716 -6.76296425]
23,[-0.7256555  -0.20932865],"[[  7.30935127e-01  -3.00400831e+00   6.18109110e-02   1.09256551e-01]
 [  2.76345600e-01   4.16981784e-04   0.00000000e+00   0.00000000e+00]]",[-0.26447781 -7.18337567],"[ 0.45587406 -0.44475412  0.78180456  0.23914324  0.53291277  0.93483721
 -0.72468181  0.37081854 -0.64786241 -1.02806657  0.        ]",-1.71602,-0.139308279006,[ 0.01666629 -6.77117157]
24,[-0.7256555  -0.20932865],"[[  7.25900812e-01  -3.00400288e+00   6.18109110e-02   1.09256551e-01]
 [ -7.76269308e-01   1.64754936e-04   0.00000000e+00   0.00000000e+00]]",[-0.9831946  -7.33270455],"[ 0.46097759 -0.44475277  0.7751608   0.23912001  0.53291253  0.93483658
 -0.75202767  0.37078653 -0.64849976 -1.0282176   0.        ]",-1.71457,-0.139360060314,[ 0.15789866 -6.76387072]
25,[-0.7256555  -0.20932865],"[[  6.71472364e-01  -3.00400077e+00   6.18109110e-02   1.09256551e-01]
 [ -4.65365407e+00   6.27397137e-05   0.00000000e+00   0.00000000e+00]]",[ 0.6171204  -6.90876989],"[ 0.51428666 -0.44475213  0.70147237  0.23911093  0.53291228  0.93483596
 -0.85275918  0.37077349 -0.6554755  -1.02957958  0.        ]",-1.71146,-0.139898258632,[ 0.81910944 -6.73367596]
26,[-0.7256555  -0.20932865],"[[  6.03838620e-01  -3.00399989e+00   6.18109110e-02   1.09256551e-01]
 [ -2.11816987e+00   2.89834636e-05   0.00000000e+00   0.00000000e+00]]",[ 0.2853272  -7.60234121],"[ 0.57559231 -0.44475175  0.60539133  0.23910709  0.53291204  0.93483533
 -0.78688842  0.37076907 -0.66422037 -1.03064023  0.        ]",-1.59664,-0.140512858435,[ 0.8199935  -6.73828459]
27,[-0.7256555  -0.20932865],"[[  5.73230519e-01  -3.00399951e+00   6.18109110e-02   1.09256551e-01]
 [ -9.46544607e-01   1.16633656e-05   0.00000000e+00   0.00000000e+00]]",[ 0.77000135 -5.82052969],"[ 0.60146821 -0.44475148  0.56037286  0.23910538  0.5329118   0.93483471
 -0.75644989  0.37076673 -0.66819111 -1.0308882   0.        ]",-1.94789,-0.140770482405,[ 0.82776833 -6.73535728]
