timestep,obs,logstd_action_dist,actions,rewards,original_rewards,human_obs,avg_action_dist
0,"[ 0.99672494  2.45587364 -0.28617452  0.80020806  1.62173758  1.70020204
 -0.82700244  0.36561224 -0.06234509 -1.78618363  0.        ]",[-0.34860966 -0.22555488],[ 1.06675107 -3.71756169],-1.27382,-0.218179693957,"[[-0.09005134  0.01235136  0.1893116   0.19973419]
 [ 0.0008342   0.0049908   0.          0.        ]]",[ 1.71363974 -3.61083078]
1,"[ 1.00062643  2.45541783 -0.22363113  0.64965177  1.62173161  1.70019533
 -0.71444851 -0.14470991 -0.06031208 -1.75197915  0.        ]",[-0.34860966 -0.22555488],[ 1.52669027 -2.36804563],-1.53364,-0.214253699833,"[[-0.05032888 -0.0272931   0.1893116   0.19973419]
 [ 3.95823087 -3.95622988  0.          0.        ]]",[ 1.31841552 -3.65131974]
2,"[ 0.99918342  2.44033994 -0.03735009  0.20310793  1.62172565  1.70018863
 -0.60412138 -0.6449223  -0.06105931 -1.65029259  0.        ]",[-0.34860966 -0.22555488],[ 0.7536664  -4.17573987],-0.827863,-0.202497700503,"[[ 0.06775596 -0.14537471  0.1893116   0.19973419]
 [ 7.83733956 -7.83897886  0.          0.        ]]",[ 0.61121893 -3.70965433]
3,"[ 0.9578312   2.37104549  0.25070291 -0.514485    1.62171968  1.70018192
 -0.5236899  -1.13516576 -0.08319778 -1.50234717  0.        ]",[-0.34860966 -0.22555488],[ 0.80848588 -3.56390672],-0.636087,-0.18511447218,"[[  0.25287644  -0.3403352    0.1893116    0.19973419]
 [ 10.6653112  -11.6443581    0.           0.        ]]",[-0.24122727 -3.76729727]
4,"[ 0.8334147   2.18844966  0.60724276 -1.42445754  1.62171371  1.70017522
 -0.43867553 -1.61567451 -0.15003682 -1.33320703  0.        ]",[-0.34860966 -0.22555488],[-0.63619747 -4.49149359],0.0391979,-0.164882998228,"[[  0.49617276  -0.61064577   0.1893116    0.19973419]
 [ 13.65442172 -15.37420137   0.           0.        ]]",[-1.11676693 -3.77473044]
5,"[ 0.63466955  1.83102093  0.92166887 -2.34657953  1.62170775  1.70016851
 -0.5179007  -2.08638751 -0.26627383 -1.25407619  0.        ]",[-0.34860966 -0.22555488],[-1.16100022 -3.68948533],0.263019,-0.155717379233,"[[  0.74131373  -0.95478977   0.1893116    0.19973419]
 [ 10.86882143 -19.02805614   0.           0.        ]]",[-1.49301028 -3.62120748]
6,"[ 0.45354851  1.26922018  1.10860287 -2.96930907  1.62170178  1.70016181
 -0.63653723 -2.54776846 -0.42352394 -1.36726847  0.        ]",[-0.34860966 -0.22555488],[-1.8763676  -3.05340092],0.421051,-0.171232667607,"[[  0.91684153  -1.37128417   0.1893116    0.19973419]
 [  6.69750244 -22.6095481    0.           0.        ]]",[-1.42772961 -3.42788386]
7,"[ 0.34669127  0.55565027  1.1922816  -2.88829782  1.62169581  1.7001551
 -0.75289501 -3.00008013 -0.6695031  -1.61693847  0.        ]",[-0.34860966 -0.22555488],[-0.86101767 -3.47625422],0.433155,-0.207552520215,"[[  1.00974769  -1.85870313   0.1893116    0.19973419]
 [  2.60629688 -26.12074781   0.           0.        ]]",[-1.1646564  -3.26483488]
8,"[ 0.32594658 -0.13097449  1.20668113 -1.76789163  1.62168985  1.7001484
 -0.85136631 -3.44349035 -1.06440161 -1.82975804  0.        ]",[-0.34860966 -0.22555488],[-0.92499728 -4.33503133],0.423157,-0.251534723148,"[[  1.02713752  -2.41565461   0.1893116    0.19973419]
 [ -0.85602503 -29.56299227   0.           0.        ]]",[-0.85573137 -3.23925424]
9,"[ 0.38929003 -0.49660392  1.16089069  0.37103913  1.62168388  1.7001417
 -0.95508829 -3.11501654 -1.55833728 -1.75600285  0.        ]",[-0.34860966 -0.22555488],[-0.45490711 -4.88520429],0.24731,-0.283010265744,"[[  0.97342088  -3.04077037   0.1893116    0.19973419]
 [ -4.50297349 -27.0135047    0.           0.        ]]",[-0.44783092 -3.50632548]
