timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.103662819033,"[[-0.08201984  0.00902251  0.11103483  0.01658708]
 [ 0.00377681  0.00498064  0.          0.        ]]",[-0.01270157  1.35485435],-0.751719,"[ 1.0588258   1.74308405 -0.10640456 -0.53320217  0.94781867  0.15436352
  0.02103202 -0.29896687  0.45199687 -0.31419077  0.        ]",[-0.01702731 -0.05424169],[ 0.209682    2.45692864]
1,-0.102202423535,"[[-0.07363811  0.04884574  0.11103483  0.01658708]
 [ 0.83164584  3.9641483   0.          0.        ]]",[-0.01776155  1.35762143],-0.931523,"[ 1.05971734  1.74159952 -0.09358913 -0.4353003   0.94780915  0.15436269
  0.09844264  0.23806125  0.45423892 -0.26700971  0.        ]",[-0.01702731 -0.05424169],[ 0.52627018  1.27835642]
2,-0.0981366155212,"[[-0.0362972   0.16706105  0.11103483  0.01658708]
 [ 2.89559323  7.84445372  0.          0.        ]]",[-0.0250591   1.35768259],-1.10495,"[ 1.06254927  1.72557022 -0.03641393 -0.1464045   0.94779963  0.15436185
  0.29143448  0.76438989  0.44939086 -0.10691119  0.        ]",[-0.01702731 -0.05424169],[-0.10647384  0.16889843]
3,-0.0951084350434,"[[ 0.01681303  0.32910365  0.11103483  0.01658708]
 [ 2.41703591  8.3580928   0.          0.        ]]",[-0.02683642  1.35398269],-0.775233,"[ 1.06325449  1.67560233  0.04502096  0.23952305  0.94779011  0.15436102
  0.24668442  0.83405395  0.4111307   0.11069334  0.        ]",[-0.01702731 -0.05424169],[ 0.05715823  1.75532648]
4,-0.0951330211166,"[[  0.06693099   0.53433233   0.11103483   0.01658708]
 [  2.59423984  12.15213061   0.           0.        ]]",[-0.0265715   1.33646667],-1.18717,"[ 1.06033446  1.56787559  0.12180501  0.69717379  0.94778059  0.15436018
  0.2632529   1.34866928  0.32122295  0.34112717  0.        ]",[-0.01702731 -0.05424169],[-0.55083852 -0.38014324]
5,-0.0972977242973,"[[  0.09644661   0.75986652   0.11103483   0.01658708]
 [  0.36469294  10.4070922    0.           0.        ]]",[-0.01294029  1.30489826],-0.376107,"[ 1.0569839   1.39739362  0.16691644  1.13879693  0.94777108  0.15435934
  0.05477131  1.11195455  0.19051722  0.52447508  0.        ]",[-0.01702731 -0.05424169],[ 0.9433123   3.62870344]
6,-0.103227843637,"[[  0.14110778   1.00565697   0.11103483   0.01658708]
 [  4.08923859  14.1594665    0.           0.        ]]",[ -1.20245665e-03   1.24755120e+00],-0.806724,"[  1.04963604e+00   1.15943826e+00   2.34919265e-01   1.52169938e+00
   9.47761558e-01   1.54358507e-01   4.03046874e-01   1.62090467e+00
   1.20282813e-03   6.90673132e-01   0.00000000e+00]",[-0.01702731 -0.05424169],[-0.90054322  0.79269203]
7,-0.111824837387,"[[  1.86333725e-01   1.31753511e+00   1.11034830e-01   1.65870847e-02]
 [  4.45468236e-01   1.70187880e+01   0.00000000e+00   0.00000000e+00]]",[ 0.02497457  1.16579914],-0.489311,"[ 1.03940633  0.80141569  0.30334304  1.8256253   0.94775204  0.15435767
  0.0623202   2.00869318 -0.26636517  0.79814719  0.        ]",[-0.01702731 -0.05424169],[ 0.81318956  2.2922222 ]
8,-0.120753997254,"[[  2.27452174e-01   1.69425152e+00   1.11034830e-01   1.65870847e-02]
 [  3.65602582e+00   2.06408177e+01   0.00000000e+00   0.00000000e+00]]",[ 0.0571256   1.05146587],-0.543407,"[ 1.02768632  0.33191965  0.36505155  1.88531842  0.94774252  0.15435683
  0.36253654  2.49988615 -0.58494312  0.77939648  0.        ]",[-0.01702731 -0.05424169],[-0.00537986  1.878777  ]
9,-0.130179332049,"[[  2.99655454e-01   2.14269519e+00   1.11034830e-01   1.65870847e-02]
 [  3.56470808e+00   2.41917157e+01   0.00000000e+00   0.00000000e+00]]",[ 0.07900961  0.95634192],-0.639893,"[ 1.00160475 -0.19333609  0.47193424  1.51264386  0.947733    0.154356
  0.35399529  2.98135741 -0.91907485  0.58288933  0.        ]",[-0.01702731 -0.05424169],[ 0.82534555  1.4323411 ]
