timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.300598974312,[-0.24044661 -0.00223043],[-1.89021146  5.36653042],-2.27484,"[ 0.68862409  2.38462458 -0.10946964 -0.8485017  -0.62785416 -0.90319924
 -0.03902784 -0.35486657  1.84602647  0.73957736  0.        ]","[[-0.00267816 -0.03690873 -0.07381029 -0.10392168]
 [ 0.00190263  0.0039898   0.          0.        ]]",[-2.67648329  3.91713019]
1,-0.299234370315,[-0.24044661 -0.00223043],[-1.5431093   5.30202484],-1.95492,"[ 0.68709526  2.38558741 -0.1821057  -0.70504065 -0.62785299 -0.90319706
 -0.52187651  0.15377701  1.84538129  0.70616192  0.        ]","[[ -4.23464323e-02   2.91355467e-03  -7.38102887e-02  -1.03921676e-01]
 [ -3.95554779e+00   3.96503303e+00   0.00000000e+00   0.00000000e+00]]",[-0.85273884  5.85389749]
2,-0.295025839706,[-0.24044661 -0.00223043],[-1.09209776  5.27133417],-2.10207,"[ 0.66824186  2.37491219 -0.38649335 -0.28000926 -0.62785183 -0.90319487
 -0.92409455  0.65231579  1.83765093  0.61733711  0.        ]","[[-0.15453323  0.12116725 -0.07381029 -0.10392168]
 [-7.2521552   7.84738853  0.          0.        ]]",[-1.82536999  4.00479039]
3,-0.286421603554,[-0.24044661 -0.00223043],[-0.3910839   5.23688745],-1.99614,"[ 0.59192287  2.31342541 -0.7116779   0.40525682 -0.62785066 -0.90319269
 -1.38943821  1.14099663  1.80593964  0.47804809  0.        ]","[[ -0.3378432    0.31629821  -0.07381029  -0.10392168]
 [-11.06616678  11.65299041   0.           0.        ]]",[ 0.3643569   4.19231939]
4,-0.27534033458,[-0.24044661 -0.00223043],[ 0.0673549   5.14954519],-1.66735,"[ 0.44298143  2.1423396  -1.05025458  1.279469   -0.6278495  -0.90319051
 -1.18704655  1.61971854  1.74296609  0.38276828  0.        ]","[[ -0.54252393   0.58676308  -0.07381029  -0.10392168]
 [ -9.40738935  15.38107285   0.           0.        ]]",[-0.09682084  5.05655935]
5,-0.262639976622,[-0.24044661 -0.00223043],[ 0.65908188  4.95485878],-1.77257,"[ 0.24965078  1.79955568 -1.3296752   2.17515843 -0.62784833 -0.90318832
 -1.21123057  2.08903124  1.64731708  0.39599273  0.        ]","[[ -0.73266129   0.93105527  -0.07381029  -0.10392168]
 [ -9.60563509  19.03594485   0.           0.        ]]",[ 0.30978867  4.11054797]
6,-0.245441966763,[-0.24044661 -0.00223043],[ 1.10043669  4.6331811 ],-1.32062,"[ 0.02707407  1.25322097 -1.55131524  2.79837773 -0.62784717 -0.90318614
 -1.03856385  2.54897843  1.49546447  0.50423539  0.        ]","[[ -0.9105772    1.34771364  -0.07381029  -0.10392168]
 [ -8.19047485  22.61798119   0.           0.        ]]",[ 0.11746152  5.60488214]
7,-0.221482297382,[-0.24044661 -0.00223043],[ 1.52765739  4.14265537],-1.35055,"[-0.19787801  0.55143067 -1.70961173  2.76231803 -0.627846   -0.90318396
 -0.96202931  2.99984074  1.25460135  0.68323692  0.        ]","[[ -1.0680951    1.83530436  -0.07381029  -0.10392168]
 [ -7.56321473  26.12940759   0.           0.        ]]",[ 1.25224249  4.42776682]
8,-0.189147411367,[-0.24044661 -0.00223043],[ 1.6221832   3.54822779],-1.38617,"[-0.36747975 -0.13312996 -1.79680306  1.73831418 -0.62784484 -0.90318177
 -0.46061133  3.44175212  0.89134396  0.8692135   0.        ]","[[ -1.17812947   2.39242521  -0.07381029  -0.10392168]
 [ -3.45357789  29.57131219   0.           0.        ]]",[ 2.57748328  2.51045182]
9,-0.143856831137,[-0.24044661 -0.00223043],[ 1.48422885  3.03119946],-1.15003,"[-0.41301602 -0.51127779 -1.81617298 -0.27030511 -0.62784367 -0.90317959
  0.03094677  3.12648209  0.40984521  0.8921029   0.        ]","[[ -1.20677473   3.01770561  -0.07381029  -0.10392168]
 [  0.57524917  27.1164169    0.           0.        ]]",[ 1.51013037  1.7979175 ]
