timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.265323462187,[-2.90476284  0.89914549],-1.09138,"[[-0.02147529 -0.03666885 -0.01217493 -0.15389313]
 [-0.00121652  0.00300064  0.          0.        ]]","[ 1.26698308  2.53049953  0.07262123 -1.10625768 -0.1041005  -1.34485656
  1.77666267 -0.3972068   1.44478058  1.33644529  0.        ]",[-2.68806601  1.01968563],[-0.22859919 -0.17602313]
1,-0.262778790998,[-1.91343558  1.11693049],-1.12361,"[[ -6.12037661e-02  -8.72877990e-04  -1.21749252e-02  -1.53893130e-01]
 [ -3.95845050e+00   3.56472116e+00   0.00000000e+00   0.00000000e+00]]","[ 1.26471084  2.53148807  0.01434474 -0.95565848 -0.10410035 -1.34485108
  1.63582776  0.09180807  1.44335251  1.29897915  0.        ]",[-2.73624277  0.93777347],[-0.22859919 -0.17602313]
2,-0.254983800981,[-1.78952791 -0.08273619],-1.11156,"[[-0.17929293  0.10945638 -0.01217493 -0.15389313]
 [-7.83755091  7.45522812  0.          0.        ]]","[ 1.24515308  2.52241415 -0.15768411 -0.49230602 -0.10410019 -1.34484561
  1.4977754   0.6259641   1.43233662  1.19194514  0.        ]",[-2.73399401  0.86528504],[-0.22859919 -0.17602313]
3,-0.23840694771,[-1.19438369  1.00923018],-1.0095,"[[ -0.37417801   0.25380724  -0.01217493  -0.15389313]
 [-11.63832586   6.98140906   0.           0.        ]]","[ 1.17172722  2.48300129 -0.43249619  0.10461902 -0.10410004 -1.34484013
  1.36251205  0.56090875  1.38862116  0.98545337  0.        ]",[-2.55439401  0.943578  ],[-0.22859919 -0.17602313]
4,-0.211772218277,[-2.99957798  3.06160252],-0.808381,"[[ -6.44342599e-01   4.31788421e-01  -1.21749252e-02  -1.53893130e-01]
 [ -1.53657694e+01   1.08039094e+01   0.00000000e+00   0.00000000e+00]]","[ 0.99036664  2.39265336 -0.7777703   0.80906578 -0.10409989 -1.34483465
  1.22985966  1.08572645  1.27782991  0.70005256  0.        ]",[-2.40431881  0.92519259],[-0.22859919 -0.17602313]
5,-0.176231429507,[-2.19051347  0.977369  ],-0.634009,"[[ -9.88320193e-01   6.85455693e-01  -1.21749252e-02  -1.53893130e-01]
 [ -1.90199270e+01   1.45502154e+01   0.00000000e+00   0.00000000e+00]]","[ 0.64591596  2.18991629 -1.12196313  1.71181156 -0.10409974 -1.34482917
  1.09981634  1.60007787  1.07234243  0.41864619  0.        ]",[-2.19570184  0.91244102],[-0.22859919 -0.17602313]
6,-0.131026895595,[-3.75271593  1.65715991],-0.38841,"[[ -1.40466301e+00   1.01239751e+00  -1.21749252e-02  -1.53893130e-01]
 [ -2.26025988e+01   1.81318442e+01   0.00000000e+00   0.00000000e+00]]","[ 0.11457228  1.82056374 -1.34384839  2.61684336 -0.10409958 -1.34482369
  0.97231779  2.0918103   0.75951903  0.21123832  0.        ]",[-1.94854999  0.86861593],[-0.22859919 -0.17602313]
7,-0.0785591986402,[-0.96178691  0.4569314 ],-0.213359,"[[ -1.89195987e+00   1.41114745e+00  -1.21749252e-02  -1.53893130e-01]
 [ -2.61156049e+01   2.17309283e+01   0.00000000e+00   0.00000000e+00]]","[-0.54979601  1.25989    -1.28898643  3.20245644 -0.10409943 -1.34481821
  0.84729904  2.58592436  0.36890029  0.16790838  0.        ]",[-1.73526645  0.78732592],[-0.22859919 -0.17602313]
8,-0.0394716789886,[-1.90348749  1.69328151],-0.063626,"[[ -2.44731056e+00   1.85957600e+00  -1.21749252e-02  -1.53893130e-01]
 [ -2.94086793e+01   2.31071705e+01   0.00000000e+00   0.00000000e+00]]","[-1.17521668  0.58901359 -0.83525233  3.08167886 -0.10409928 -1.34481273
  0.7301074   2.77484151 -0.01460794  0.34491332  0.        ]",[-1.59556413  0.74265623],[-0.22859919 -0.17602313]
9,-0.0748874949521,[-3.34399344  1.08499814],-0.0548069,"[[ -3.06939688e+00   2.35682371e+00  -1.21749252e-02  -1.53893130e-01]
 [ -3.27887004e+01   2.66059344e+01   0.00000000e+00   0.00000000e+00]]","[ -1.49132021e+00  -5.01362874e-02  -1.74070980e-03   2.02156494e+00
  -1.04099126e-01  -1.34480726e+00   6.09821928e-01   3.25514737e+00
  -2.47959228e-01   7.35310180e-01   0.00000000e+00]",[-1.75165415  0.53347802],[-0.22859919 -0.17602313]
