timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.14748886113,[ 0.89280583  1.75631891],-0.931909,"[[-0.03358984  0.06957666  0.15451344  0.13730469]
 [-0.00317371 -0.00485122  0.          0.        ]]","[ 1.21791224  2.25909515  0.05707157 -0.69284307  1.33846797  1.19141383
  1.5859754  -0.39992191  0.16275055 -1.11330091  0.        ]",[ 1.08717382  1.95400202],[-0.48720378 -0.28866899]
1,-0.136444711798,[ 1.5058831   1.04172422],-0.854829,"[[  1.76787565e-03   1.09194666e-01   1.54513436e-01   1.37304692e-01]
 [  3.52720042e+00   3.95346390e+00   0.00000000e+00   0.00000000e+00]]","[ 1.21868547  2.25410118  0.10950287 -0.54203959  1.33846582  1.19141217
  1.69196156  0.16169658  0.15847699 -1.01101045  0.        ]",[ 0.80752122  1.30505514],[-0.48720378 -0.28866899]
2,-0.102013837117,[ 0.38532692  0.36103053],-0.644108,"[[ 0.11128806  0.22719123  0.15451344  0.13730469]
 [ 7.41192128  7.83326192  0.          0.        ]]","[ 1.21016347  2.22625917  0.27159696 -0.09768583  1.33846368  1.19141052
  1.80858521  0.71217459  0.11032234 -0.70402194  0.        ]",[ 0.31016472  0.30632758],[-0.48720378 -0.28866899]
3,-0.0504784896587,[-0.51272254 -1.12866874],-0.475524,"[[ 0.27334719  0.39663742  0.15451344  0.13730469]
 [ 8.78945352  9.10710343  0.          0.        ]]","[ 1.16753521  2.15302247  0.5072652   0.5179409   1.33846153  1.19140886
  1.84993708  0.89291059 -0.05038129 -0.28911236  0.        ]",[-0.21093908 -0.59222758],[-0.48720378 -0.28866899]
4,-0.00555825104288,[-0.06162824 -1.85468989],-0.417334,"[[ 0.4270595   0.53724951  0.15451344  0.13730469]
 [ 6.58904394  4.96789889  0.          0.        ]]","[ 1.0949513   2.06384289  0.72119469  0.99742481  1.33845938  1.1914072
  1.78387171  0.30562607 -0.27467117  0.02857171  0.        ]",[-0.42552456 -0.70251942],[-0.48720378 -0.28866899]
5,-0.0293445905872,[-0.52015768  0.70185695],-0.409415,"[[ 0.55510232  0.5958932   0.15451344  0.13730469]
 [ 6.21643935  0.90999275  0.          0.        ]]","[ 1.01182012  2.01946303  0.88854372  1.18650715  1.33845724  1.19140555
  1.7726811  -0.2701235  -0.46081508  0.21436706  0.        ]",[-0.53976589 -0.6169858 ],[-0.48720378 -0.28866899]
6,-0.0546917078644,[-1.37230095 -1.835851  ],-0.603483,"[[ 0.6575413   0.64180247  0.15451344  0.13730469]
 [ 4.03473959  3.67173426  0.          0.        ]]","[ 0.93143329  1.98191126  1.01333842  1.32941496  1.33845509  1.19140389
  1.70717805  0.12172206 -0.62573     0.33566271  0.        ]",[-0.78326404 -1.1245786 ],[-0.48720378 -0.28866899]
7,-0.0661194205003,[-0.55442084 -0.74614193],-0.58118,"[[  6.97755634e-01   6.74793660e-01   1.54513436e-01   1.37304692e-01]
 [  9.59061450e-05  -3.59181503e-01   0.00000000e+00   0.00000000e+00]]","[ 0.89669972  1.95345015  1.05979954  1.42914971  1.33845294  1.19140223
  1.5860465  -0.4501985  -0.70638852  0.37924219  0.        ]",[-0.66075903 -0.68892658],[-0.48720378 -0.28866899]
8,-0.0579331923735,[-0.79192868 -0.77193148],-0.539664,"[[ 0.67576049  0.63804629  0.15451344  0.13730469]
 [-2.19229569 -3.30573867  0.          0.        ]]","[ 0.91591084  1.9850626   1.03457196  1.31789501  1.33845079  1.19140058
  1.52022354 -0.86826598 -0.64648571  0.35174504  0.        ]",[-0.48233524 -0.19048905],[-0.48720378 -0.28866899]
9,-0.0327022812173,[ 0.29545216 -0.43515627],-0.388045,"[[ 0.60092683  0.54193156  0.15451344  0.13730469]
 [-5.28074286 -6.29577465  0.          0.        ]]","[ 0.9773268   2.06042191  0.94545777  1.0127679   1.33844865  1.19139892
  1.42749963 -1.29250134 -0.47396827  0.2445726   0.        ]",[-0.16849458  0.52685899],[-0.48720378 -0.28866899]
10,-0.00201084212812,[ 0.79369047  1.00315148],-0.290257,"[[ 0.50809541  0.39997371  0.15451344  0.13730469]
 [-4.00664978 -7.89467739  0.          0.        ]]","[ 1.04463947  2.15115459  0.82844669  0.52968418  1.3384465   1.19139727
  1.4657478  -1.51935659 -0.26428768  0.05956785  0.        ]",[ 0.10903636  1.10635734],[-0.48720378 -0.28866899]
11,-0.0244348924449,[ 0.82496707  0.09207742],-0.35148,"[[ 0.46024618  0.28336392  0.15451344  0.13730469]
 [-0.78902738 -3.78001055  0.          0.        ]]","[ 1.07531946  2.20620384  0.76564128  0.11000837  1.33844435  1.19139561
  1.56234411 -0.93555212 -0.14345114 -0.08392992  0.        ]",[ 0.08643458  0.88441455],[-0.48720378 -0.28866899]
12,-0.0287254312295,[ 1.12068982  0.75661564],-0.329487,"[[ 0.4773645   0.21216004  0.15451344  0.13730469]
 [ 2.48993243 -3.34183718  0.          0.        ]]","[ 1.06466283  2.23081074  0.78829006 -0.15376255  1.33844221  1.19139395
  1.66078131 -0.87338165 -0.11905157 -0.10966826  0.        ]",[ 0.03790834  0.87362444],[-0.48720378 -0.28866899]
13,-0.0143444505655,[-1.15547549  1.15797596],-0.336242,"[[ 0.56634794  0.1760306   0.15451344  0.13730469]
 [ 6.39540898 -0.28130636  0.          0.        ]]","[ 1.00357212  2.24062768  0.90266072 -0.28924665  1.33844006  1.1913923
  1.77802699 -0.43914233 -0.18329952 -0.00439568  0.        ]",[-0.26734704  0.36271399],[-0.48720378 -0.28866899]
14,-0.00796292642843,[-0.49979414 -0.42922467],-0.383111,"[[ 0.6532809   0.21020379  0.15451344  0.13730469]
 [ 2.3114945   3.68540297  0.          0.        ]]","[ 0.9350016   2.2313735   1.00832113 -0.16107277  1.33843791  1.19139064
  1.65541661  0.1236687  -0.29670198  0.13813217  0.        ]",[-0.51242912 -0.18005764],[-0.48720378 -0.28866899]
15,-0.0191681023908,[ 0.0272024  -0.29041714],-0.396033,"[[ 0.67922176  0.26613536  0.15451344  0.13730469]
 [ 0.2893158   1.91365661  0.          0.        ]]","[ 0.91291369  2.21276365  1.03856534  0.04663311  1.33843577  1.19138898
  1.5947038  -0.12771317 -0.36432256  0.20431812  0.        ]",[-0.49740204 -0.11220407],[-0.48720378 -0.28866899]
16,-0.0233876487499,[-0.56394192  1.99229579],-0.399928,"[[ 0.68603493  0.29249033  0.15451344  0.13730469]
 [ 0.39165783  0.72579917  0.          0.        ]]","[ 0.90699156  2.20251217  1.04640468  0.14345382  1.33843362  1.19138733
  1.59777303 -0.29625069 -0.39096884  0.2270659   0.        ]",[-0.48602596 -0.05372846],[-0.48720378 -0.28866899]
