timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 1.13672174  2.04353758 -0.26612808  1.18348043  0.86157918  0.93852024
 -0.98753328  0.39770804  0.51610189 -1.03438163  0.        ]","[[-0.0302279   0.03822918  0.09943526  0.10798108]
 [ 0.00053284  0.00024948  0.          0.        ]]",[ 1.63459366  0.17990367],-2.62852,-0.156015445178,[-0.49319986 -0.7357806 ],[ 2.50043654 -0.61951816]
1,"[ 1.13729772  2.04312002 -0.20586197  1.20420167  0.8615786   0.93851956
 -0.88096739  0.50780752  0.51510271 -0.95361693  0.        ]","[[ 0.00947039  0.04536586  0.09943526  0.10798108]
 [ 3.95612673  0.71105441  0.          0.        ]]",[ 1.4046633  -1.06148698],-2.82659,-0.149632417335,[-0.49319986 -0.7357806 ],[ 2.09223652 -0.87932259]
2,"[ 1.12598912  2.04427334 -0.02716257  1.12966016  0.86157802  0.93851888
 -0.77646057 -0.10792501  0.49991582 -0.75974792  0.        ]","[[ 0.12751381  0.01970268  0.09943526  0.10798108]
 [ 7.83529381 -3.26411987  0.          0.        ]]",[ 2.95225824 -1.18289029],-2.52865,-0.134341318446,[-0.49319986 -0.7357806 ],[ 1.57254636 -0.62282807]
3,"[ 1.06521528  2.03957094  0.2607758   0.82661915  0.86157744  0.93851819
 -0.67402138 -0.71145955  0.44816583 -0.50516187  0.        ]","[[  0.32237049  -0.08467397   0.09943526   0.10798108]
 [ 11.63771627  -7.16054476   0.           0.        ]]",[ 0.41387032 -0.15945156],-2.32193,-0.114060268473,[-0.49319986 -0.7357806 ],[ 0.71094239 -0.55710047]
4,"[ 0.91651229  2.00713188  0.59810823  0.40193251  0.86157686  0.93851751
 -0.63610728 -0.7873627   0.33465205 -0.21600488  0.        ]","[[  0.56924469  -0.23280177   0.09943526   0.10798108]
 [ 13.04503505  -7.650579     0.           0.        ]]",[ 0.23580416 -0.74070001],-2.15312,-0.0903923331893,[-0.49319986 -0.7357806 ],[-0.47311386 -0.7680074 ]
5,"[ 0.67484129  1.92755365  0.90722045 -0.09593844  0.86157628  0.93851683
 -0.61789332 -1.21818708  0.16225947  0.04293668  0.        ]","[[  0.83692839  -0.41372045   0.09943526   0.10798108]
 [ 13.72110566 -10.43199007   0.           0.        ]]",[-1.22385048 -0.83461013],-2.0759,-0.0687948643557,[-0.49319986 -0.7357806 ],[-1.36323619 -0.57510507]
6,"[ 0.41056689  1.75891584  1.1108307  -0.69430001  0.8615757   0.93851615
 -0.73174694 -1.69779673  0.00865024  0.15495634  0.        ]","[[  1.0689491   -0.65342684   0.09943526   0.10798108]
 [  9.49496464 -13.5283685    0.           0.        ]]",[-1.30805412  0.28202929],-1.99343,-0.0548789129785,[-0.49319986 -0.7357806 ],[-1.46789706  0.02732956]
7,"[ 0.22173392  1.50888891  1.20414435 -1.22219708  0.86157512  0.93851547
 -0.84340328 -1.48310113 -0.06821081  0.1106614   0.        ]","[[  1.2172654   -0.91008681   0.09943526   0.10798108]
 [  5.3503801  -12.14230364   0.           0.        ]]",[-1.41149971  1.12337031],-1.93567,-0.0443564551168,[-0.49319986 -0.7357806 ],[-1.43399262  0.24456209]
8,"[ 0.13371072  1.27357768  1.23581036 -1.53167092  0.86157454  0.93851479
 -0.95288471 -0.83236113 -0.09119513  0.00192013  0.        ]","[[ 1.28349946 -1.1107806   0.09943526  0.10798108]
 [ 1.28652108 -7.94112186  0.          0.        ]]",[-1.47741088 -0.43432535],-1.99648,-0.0378824918557,[-0.49319986 -0.7357806 ],[-1.40027034  0.05619386]
9,"[ 0.15277511  1.04854815  1.22954222 -1.71611844  0.86157396  0.9385141
 -1.06017117 -1.07423189 -0.06645697 -0.18482308  0.        ]","[[ 1.26927463 -1.28527011  0.09943526  0.10798108]
 [-2.69586938 -9.50264795  0.          0.        ]]",[-0.40178871  1.58870613],-1.80331,-0.0426943960725,[-0.49319986 -0.7357806 ],[-0.61268508  0.75559956]
