timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 1.07840261  1.36644445 -0.00800233  0.52305498  1.02036817 -0.66413069
 -0.4109257   0.18009806  0.34353002  0.64018734  0.        ]","[[ 0.03031343  0.07660471  0.11499441 -0.07818956]
 [-0.00019998 -0.00387281  0.          0.        ]]",[-1.182522   -0.26896788],-1.14877,-0.132437975197,[-0.02262384 -0.04728468],[ 0.21835701 -0.56103063]
1,"[ 1.0789624   1.3673545  -0.06865926  0.5027063   1.02035459 -0.66412445
 -0.74428776  0.03849168  0.34677109  0.57273928  0.        ]","[[-0.00937692  0.06585792  0.11499441 -0.07818956]
 [-3.95566612 -1.06726771  0.          0.        ]]",[ 2.22333123 -0.74637978],-1.01014,-0.126326514136,[-0.02262384 -0.04728468],[ 0.22043167 -0.55983996]
2,"[ 1.0774137   1.36984203 -0.12766918  0.40637614  1.020341   -0.66411821
 -0.40418899 -0.35245062  0.34680094  0.47540923  0.        ]","[[-0.04800324  0.01505675  0.11499441 -0.07818956]
 [ 0.07959417 -4.00305926  0.          0.        ]]",[ 0.12101747 -0.76110351],-1.06636,-0.11772874902,[-0.02262384 -0.04728468],[ 0.222008   -0.55572212]
3,"[ 1.07779471  1.36450318 -0.11791016  0.19881011  1.02032742 -0.66411196
 -0.36387553 -0.74323005  0.34070669  0.3997079   0.        ]","[[-0.04161249 -0.09444813  0.11499441 -0.07818956]
 [ 0.55788175 -6.9376481   0.          0.        ]]",[-0.6475641  -0.99044946],-1.09668,-0.110957960149,[-0.02262384 -0.04728468],[ 0.22387515 -0.55426627]
4,"[ 1.07678834  1.3252336  -0.140261   -0.13056255  1.02031383 -0.66410572
 -0.58059001 -1.24703446  0.30855567  0.24402164  0.        ]","[[ -0.05625369  -0.27116144   0.11499441  -0.07818956]
 [ -2.01348271 -10.72107913   0.           0.        ]]",[-1.43903094  0.83430787],-0.994073,-0.0964642909015,[-0.02262384 -0.04728468],[ 0.22680961 -0.55195928]
5,"[ 1.06621439  1.24797474 -0.26129924 -0.44823575  1.02030025 -0.66409948
 -0.91077272 -0.77864771  0.22138269  0.00680942  0.        ]","[[-0.13583071 -0.45029316  0.11499441 -0.07818956]
 [-5.93119302 -7.2038185   0.          0.        ]]",[-1.69146111 -0.16541094],-1.01886,-0.0758203735686,[-0.02262384 -0.04728468],[ 0.22634181 -0.55938447]
6,"[ 1.01997384  1.15658097 -0.49574387 -0.69305836  1.02028667 -0.66409324
 -1.23431099 -0.84666241  0.05101674 -0.27836028  0.        ]","[[-0.29297157 -0.5994949   0.11499441 -0.07818956]
 [-9.77017563 -7.71464068  0.          0.        ]]",[-0.79062623 -2.98396526],-1.10375,-0.0616233618215,[-0.02262384 -0.04728468],[ 0.22790693 -0.55363059]
7,"[ 0.89749181  1.00589168 -0.81088687 -0.97302045  1.02027309 -0.664087
 -1.48158481 -1.35340286 -0.27380926 -0.57137263  0.        ]","[[ -0.51781347  -0.7919699    0.11499441  -0.07818956]
 [-12.70442527 -11.5201482    0.           0.        ]]",[-0.05402805 -0.4331645 ],-0.9251,-0.0775814711096,[-0.02262384 -0.04728468],[ 0.23125763 -0.53579283]
8,"[ 0.68701949  0.76870951 -1.1200193  -1.25634637  1.02025951 -0.66408075
 -1.47848353 -1.55132416 -0.73022717 -0.71950441  0.        ]","[[ -0.7715354   -1.03728796   0.11499441  -0.07818956]
 [-12.66799302 -13.00668654   0.           0.        ]]",[ 0.11804994 -1.45382941],-1.0682,-0.120349702933,[-0.02262384 -0.04728468],[ 0.23192966 -0.5139268 ]
9,"[ 0.42193519  0.43290416 -1.35487754 -1.46736546  1.02024592 -0.66407451
 -1.41808246 -2.04418427 -1.19424438 -0.62398642  0.        ]","[[ -1.01770611  -1.33456174   0.11499441  -0.07818956]
 [-11.95165868 -16.70834577   0.           0.        ]]",[ 1.15951997 -1.42940356],-1.23504,-0.163724110108,[-0.02262384 -0.04728468],[ 0.23252507 -0.47808316]
