timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 1.15229138  1.86891468 -0.11610467  0.57211897 -0.79918353 -1.02290242
 -0.86334015  0.31251016  1.84233305  0.85858239  0.        ]","[[-0.00629917 -0.0318358  -0.09258925 -0.11761476]
 [-0.00137185 -0.00040498  0.          0.        ]]",[ 1.82718004 -0.64263388],-2.02353,-0.322850546158,[-0.12398667 -0.23880729],[ 1.6873194  -1.49031711]
1,"[ 1.1515468   1.86741547 -0.05628904  0.50608657 -0.7991805  -1.02289758
 -0.67943819 -0.03509606  1.84227684  0.90204344  0.        ]","[[ 0.0333741  -0.05738971 -0.09258925 -0.11761476]
 [ 3.95552171 -2.54649481  0.          0.        ]]",[ 0.90243065 -1.82032568],-2.27886,-0.324813981545,[-0.12398667 -0.23880729],[ 1.70336497 -1.43001318]
2,"[ 1.13737009  1.85542393  0.11505876  0.27416301 -0.79917747 -1.02289273
 -0.51708728 -0.56897976  1.83533877  1.01236461  0.        ]","[[ 0.14753284 -0.14755512 -0.09258925 -0.11761476]
 [ 7.44872268 -6.4570026   0.          0.        ]]",[ 2.04855601 -1.3890515 ],-2.0386,-0.329257215976,[-0.12398667 -0.23880729],[ 1.71843982 -1.35787499]
3,"[ 1.07598813  1.80556336  0.3887817  -0.14731147 -0.79917443 -1.02288788
 -0.34000657 -1.09229474  1.80425001  1.17235905  0.        ]","[[  0.33473536  -0.31515442  -0.09258925  -0.11761476]
 [ 11.25886547 -10.29012042   0.           0.        ]]",[ 3.12026496 -1.77668693],-1.93291,-0.333934855858,[-0.12398667 -0.23880729],[ 1.7121911  -1.31642222]
4,"[ 0.91416915  1.67209226  0.74158567 -0.71657854 -0.7991714  -1.02288303
 -0.16641669 -1.60519813  1.72227455  1.37327707  0.        ]","[[  0.59738672  -0.55865196  -0.09258925  -0.11761476]
 [ 14.99390058 -14.04703585   0.           0.        ]]",[ 1.80736528 -1.72818946],-2.02619,-0.336243617232,[-0.12398667 -0.23880729],[ 1.67875397 -1.27500403]
5,"[ 0.59492303  1.40179902  1.10578451 -1.33344264 -0.79916837 -1.02287818
  0.00376661 -2.10784448  1.56071588  1.57977023  0.        ]","[[  0.93400273  -0.87653576  -0.09258925  -0.11761476]
 [ 18.65563843 -17.72893314   0.           0.        ]]",[ 0.34347811 -1.22811586],-2.03899,-0.332156793235,[-0.12398667 -0.23880729],[ 1.61047399 -1.18718934]
6,"[ 0.12247986  0.95905313  1.35304589 -1.81395435 -0.79916534 -1.02287334
  0.04988751 -2.60030664  1.32296057  1.70229387  0.        ]","[[  1.31707163  -1.2673103   -0.09258925  -0.11761476]
 [ 19.64799607 -21.33641138   0.           0.        ]]",[ 1.86054065  0.03676044],-1.60445,-0.316434555107,[-0.12398667 -0.23880729],[ 1.52573276 -0.99591589]
7,"[-0.4621115   0.41873966  1.37826825 -1.91429626 -0.7991623  -1.02286849
  0.21583145 -2.5225457   1.0280823   1.72215782  0.        ]","[[  1.74585327  -1.68832867  -0.09258925  -0.11761476]
 [ 23.21851251 -20.76714365   0.           0.        ]]",[-0.17673394 -1.44837134],-1.74648,-0.289288756997,[-0.12398667 -0.23880729],[ 1.42709887 -0.83306915]
8,"[-1.03026379 -0.12801111  1.1137552  -1.52534269 -0.79915927 -1.02286364
  0.16207527 -3.00661232  0.74170082  1.58557098  0.        ]","[[  2.19862056  -2.13925108  -0.09258925  -0.11761476]
 [ 22.06188753 -24.31338819   0.           0.        ]]",[ 0.16140611 -1.74237821],-1.49994,-0.250384862941,[-0.12398667 -0.23880729],[ 1.35481763 -0.38506252]
9,"[-1.42946485 -0.58003078  0.61589785 -0.54269362 -0.79915624 -1.02285879
  0.17154293 -3.48115456  0.54176115  1.25799603  0.        ]","[[  2.64190406  -2.6604015   -0.09258925  -0.11761476]
 [ 22.26560464 -27.79019516   0.           0.        ]]",[ 2.21637787 -0.84009017],-1.1487,-0.199774065812,[-0.12398667 -0.23880729],[ 1.36253786  0.02656066]
