timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 1.20244412  2.18875338 -0.00616055  0.9703236   0.80150849  1.39767816
 -1.06895145  0.386612    0.61549737 -1.26012954  0.        ]","[[ 0.08504716  0.01369647  0.09203202  0.16128432]
 [-0.00399271 -0.00370384  0.          0.        ]]",[ 2.33868082 -0.09976619],-2.09197,-0.183994933011,[-0.28937596 -0.54016352],[ 1.43774545 -0.15705168]
1,"[ 1.19672704  2.18881153  0.05253204  0.95687673  0.80150766  1.39767556
 -0.95452455  0.32937276  0.6089123  -1.19413357  0.        ]","[[ 0.12466014  0.00964419  0.09203202  0.16128432]
 [ 3.95211791 -0.40019802  0.          0.        ]]",[ 1.36942717 -0.3700466 ],-2.14036,-0.177460724877,[-0.28937596 -0.54016352],[ 1.28593552 -0.18352446]
2,"[ 1.16704847  2.18875051  0.22522058  0.88174891  0.80150683  1.39767297
 -0.84234924  0.11877431  0.57822815 -1.00935071  0.        ]","[[ 0.24261437 -0.01299658  0.09203202  0.16128432]
 [ 7.83039081 -1.85901065  0.          0.        ]]",[ 1.62714822 -0.2551465 ],-2.0031,-0.158659987974,[-0.28937596 -0.54016352],[ 0.88486224 -0.23135987]
3,"[ 1.07765668  2.18634828  0.49834058  0.72603248  0.80150601  1.39767038
 -0.73239807 -0.0219692   0.4923088  -0.72388565  0.        ]","[[  0.43736257  -0.05995867   0.09203202   0.16128432]
 [ 11.63177389  -2.83393889   0.           0.        ]]",[ 0.4830475  0.143962 ],-1.82115,-0.127708969703,[-0.28937596 -0.54016352],[ 0.19188596 -0.49860165]
4,"[ 0.89481059  2.18034723  0.81206086  0.55940543  0.80150518  1.39766778
 -0.68378838  0.06833631  0.31573516 -0.38229858  0.        ]","[[  0.68685987  -0.11036126   0.09203202   0.16128432]
 [ 13.31236329  -2.20839408   0.           0.        ]]",[-0.95171877 -1.47063813],-1.77752,-0.0862902263703,[-0.28937596 -0.54016352],[-0.70658588 -1.04005456]
5,"[ 0.67198068  2.16267139  1.0460532   0.28580033  0.80150435  1.39766519
 -0.80025393 -0.49673458  0.12164814 -0.14441316  0.        ]","[[ 0.91270652 -0.19380185  0.09203202  0.16128432]
 [ 9.28570457 -6.12262926  0.          0.        ]]",[-0.53341798  0.40480563],-1.43609,-0.0528057347417,[-0.28937596 -0.54016352],[-1.13891113 -0.76646525]
6,"[ 0.48417851  2.12682818  1.17808697 -0.05240916  0.80150352  1.39766259
 -0.86661665 -0.2477046  -0.01417852 -0.03049932  0.        ]","[[ 1.07539994 -0.29894665  0.09203202  0.16128432]
 [ 6.99127571 -4.39760652  0.          0.        ]]",[-1.70428454 -1.54759522],-1.5547,-0.0341886714744,[-0.28937596 -0.54016352],[-1.43028355 -1.05021334]
7,"[ 0.36139459  2.06402924  1.24153517 -0.4455553   0.8015027   1.39766
 -0.98499494 -0.80652764 -0.06555791 -0.01335514  0.        ]","[[ 1.17416156 -0.42573715  0.09203202  0.16128432]
 [ 2.89847443 -8.26856196  0.          0.        ]]",[-1.50994137 -1.56913307],-1.50294,-0.0278127887792,[-0.28937596 -0.54016352],[-1.3892132  -0.54196352]
8,"[ 0.33878699  1.92110571  1.25151305 -1.02787825  0.80150187  1.39765741
 -1.10104404 -1.35430368  0.01626354 -0.14415987  0.        ]","[[  1.19187577  -0.62917906   0.09203202   0.16128432]
 [ -1.11380892 -12.06300525   0.           0.        ]]",[ -1.41801556e+00  -3.44728806e-04],-1.42814,-0.039213246154,[-0.28937596 -0.54016352],[-0.97105086  0.14805919]
9,"[ 0.4168625   1.69434586  1.21485682 -1.60719741  0.80150104  1.39765481
 -1.21485822 -1.31982924  0.15925294 -0.41961008  0.        ]","[[  1.13011944  -0.86804319   0.09203202   0.16128432]
 [ -5.04883594 -11.82421755   0.           0.        ]]",[-0.7179427   1.52943164],-1.34203,-0.0708943123298,[-0.28937596 -0.54016352],[-0.47927243  0.56759077]
