timestep,obs,human_obs,actions,rewards,original_rewards,logstd_action_dist,avg_action_dist
0,"[ 0.90194608  1.84342922  0.08676946 -0.74490033  1.5000861   0.56736429
 -0.57486752 -0.36335454 -0.00501983 -0.76374629  0.        ]","[[-0.01794534 -0.02634981  0.17356179  0.06524806]
 [-0.00207081  0.00044283  0.          0.        ]]",[-0.23813121  1.68166695],-2.83556,-0.0805621209048,[-0.66019821 -0.64427251],[ 0.21790713  1.95279646]
1,"[ 0.90161614  1.84375334  0.07171024 -0.62850404  1.50008492  0.56736411
 -0.60849631  0.21529872 -0.00437126 -0.74155478  0.        ]","[[-0.02745334  0.01339048  0.17356179  0.06524806]
 [-0.9455822   3.9603873   0.          0.        ]]",[ 0.10964719  1.2697333 ],-2.80587,-0.0784865849495,[-0.66019821 -0.64427251],[ 0.34729105  0.93200552]
2,"[ 0.90085473  1.83292512  0.04893118 -0.28353945  1.50008374  0.56736393
 -0.59242272  0.78241671 -0.00850699 -0.64837982  0.        ]","[[-0.04184045  0.13153762  0.17356179  0.06524806]
 [-0.49461924  7.84139238  0.          0.        ]]",[-0.567164   -0.39181301],-2.71586,-0.0695640676188,[-0.66019821 -0.64427251],[ 0.12535024 -0.30046511]
3,"[ 0.89799597  1.79755964 -0.00214991  0.11710675  1.50008256  0.56736375
 -0.6720189   0.53315242 -0.02463266 -0.56916094  0.        ]","[[-0.07413901  0.27125059  0.17356179  0.06524806]
 [-2.72781409  6.13558382  0.          0.        ]]",[-0.56524629 -0.0679484 ],-2.64435,-0.0614046025098,[-0.66019821 -0.64427251],[ 0.5324387  -0.22500843]
4,"[ 0.88490913  1.74874208 -0.12247179  0.44605344  1.50008139  0.56736357
 -0.74979074  0.47620362 -0.04067441 -0.59766686  0.        ]","[[-0.15058792  0.39005218  0.17356179  0.06524806]
 [-4.90982565  5.74586276  0.          0.        ]]",[ 0.97551978  0.48921316],-2.69292,-0.0629907171699,[-0.66019821 -0.64427251],[ 1.02538061 -0.19363284]
5,"[ 0.86892971  1.67441791 -0.2136565   0.79597243  1.50008021  0.56736339
 -0.60880077  0.74242598 -0.06896741 -0.57765697  0.        ]","[[-0.20909642  0.52324857  0.17356179  0.06524806]
 [-0.95415051  7.56772415  0.          0.        ]]",[ 0.85101014 -0.58836576],-2.70406,-0.0594964356089,[-0.66019821 -0.64427251],[ 0.28070271 -0.67021781]
6,"[ 0.87348497  1.58584159 -0.19053627  1.104301    1.50007903  0.56736321
 -0.48809401  0.37992875 -0.11655736 -0.42928806  0.        ]","[[-0.1942008   0.64971324  0.17356179  0.06524806]
 [ 2.43245061  5.08702058  0.          0.        ]]",[-0.42756058 -1.71909767],-2.6747,-0.0430367250838,[-0.66019821 -0.64427251],[-0.44297916 -0.64708322]
7,"[ 0.88195047  1.53725457 -0.14188112  1.24320885  1.50007785  0.56736303
 -0.55004853 -0.21330473 -0.15372559 -0.31735307  0.        ]","[[-0.16299159  0.71072119  0.17356179  0.06524806]
 [ 0.69422123  1.02730217  0.          0.        ]]",[-0.13702458  0.10369356],-2.63537,-0.0307714431977,[-0.66019821 -0.64427251],[-0.19634712 -0.08933073]
8,"[ 0.8839563   1.51675743 -0.12888751  1.29693941  1.50007668  0.56736284
 -0.56986435 -0.15625237 -0.16915588 -0.28121513  0.        ]","[[-0.15468535  0.73518455  0.17356179  0.06524806]
 [ 0.13825427  1.4177324   0.          0.        ]]",[ 0.16949581  0.48922494],-2.6274,-0.0266430508826,[-0.66019821 -0.64427251],[-0.17090365 -0.21387672]
9,"[ 0.88611393  1.47535986 -0.11406917  1.39789546  1.5000755   0.56736266
 -0.54608189  0.12268043 -0.19875188 -0.22441082  0.        ]","[[-0.14522571  0.78269121  0.17356179  0.06524806]
 [ 0.80550112  3.32657289  0.          0.        ]]",[-0.56702312 -0.38333288],-2.59785,-0.0198273351022,[-0.66019821 -0.64427251],[-0.43394738 -0.6915856 ]
10,"[ 0.88463304  1.42899506 -0.12433633  1.50039013  1.50007432  0.56736248
 -0.62659033 -0.10863504 -0.22515273 -0.19458652  0.        ]","[[-0.15177858  0.8333402   0.17356179  0.06524806]
 [-1.45328569  1.74359577  0.          0.        ]]",[ 0.4215107  -0.58135228],-2.65543,-0.015400809603,[-0.66019821 -0.64427251],[-0.04413986 -0.43901831]
